 	a87	a23	a87	a23	a13	a57	a30	a93	a70	a75	a79	a44	a90	a79	a20	a44	a43	a75	a5	a21	a5	a21	a61	a96	a62	a21	a47	a88	a71	a9	a99	a87	a23	a99	a18	a75	a6	a5	a61	a21	a47	a61	a75	a6	a36	a26	a21	a5	a21	a5	a18	a88	a71	a21	a61	a75	a92	a56	a79	a92	a6	a36	a26	a57	a87	a23	a87	</S>
le	0.00835326	0.012584	0.00911606	0.0116334	0.0138654	0.0251723	0.0639089	0.0346109	0.052092	0.0410074	0.0580594	0.0336316	0.061569	0.0288905	0.023937	0.0192335	0.0248358	0.0271552	0.023537	0.0120742	0.0193038	0.0237564	0.0116816	0.016993	0.0149487	0.012678	0.0148005	0.0121758	0.0135945	0.00924882	0.00765871	0.0088336	0.0113974	0.0128505	0.0154408	0.00826473	0.0103661	0.00686188	0.00829488	0.00930844	0.0103621	0.00779675	0.00759729	0.00891521	0.00879265	0.00842283	0.0115694	0.00881598	0.00810305	0.00497471	0.00410363	0.00548554	0.00322893	0.00685625	0.00513984	0.00552632	0.00292242	0.00416889	0.00297882	0.00225715	0.00251684	0.0032903	0.00344626	0.00528999	0.00566073	0.0049724	0.00280941	0.010271
chef	0.00210696	0.00428838	0.00353909	0.0101838	0.0104953	0.0302856	0.0678863	0.0392161	0.0688249	0.043067	0.0802543	0.0551247	0.126286	0.0837416	0.0731648	0.105888	0.0331724	0.0156973	0.0147642	0.024099	0.00538479	0.00327163	0.00223449	0.00449529	0.0056972	0.00782208	0.00290457	0.00143365	0.0039074	0.00233439	0.00219465	0.00126091	0.00144192	0.00195046	0.00112986	0.002161	0.001384	0.00341376	0.00105903	0.00352952	0.00362132	0.00680351	0.00308174	0.00404846	0.0041111	0.00216625	0.00406837	0.00214739	0.00402633	0.00392604	0.00245287	0.00150873	0.00120416	0.000713354	0.00089735	0.000915799	0.000548156	0.000469084	0.000527668	0.000305042	0.000188597	0.000153675	0.000180833	0.000172998	0.000246249	9.10605e-05	0.000196234	0.000130982
de	0.011843	0.0128438	0.0131748	0.0107961	0.0137216	0.0136358	0.0129529	0.0174159	0.015654	0.0146344	0.0293305	0.0758033	0.0576245	0.0897064	0.0712025	0.0560801	0.0466976	0.0250628	0.0239926	0.0509857	0.0145094	0.0210339	0.014899	0.0164689	0.0216317	0.046457	0.0340535	0.00494908	0.045003	0.0240787	0.00966853	0.0050468	0.0047052	0.0052334	0.00345473	0.00461094	0.00187258	0.00391954	0.00441308	0.00584964	0.00355693	0.00374021	0.00169661	0.00154365	0.0035372	0.00135075	0.00440224	0.00354621	0.00309553	0.00129308	0.00146356	0.00139343	0.000881824	0.00120072	0.00134662	0.00121966	0.00151	0.000958729	0.00114665	0.00112369	0.000719497	0.000564801	0.000769467	0.000699019	0.000819948	0.000335821	0.000629861	0.000437556
notre	0.0144333	0.00674465	0.00919188	0.00358166	0.0070182	0.0071477	0.00671427	0.00472883	0.00484925	0.00807001	0.0121185	0.0303638	0.0276968	0.0154239	0.0310531	0.0301366	0.0208021	0.0192866	0.0339536	0.0281199	0.0235752	0.0185248	0.0270217	0.0327575	0.0137448	0.0185845	0.024542	0.0204651	0.0122163	0.0089298	0.00826923	0.0121162	0.0154628	0.0123531	0.01027	0.00797027	0.0101916	0.00879575	0.0090828	0.0112184	0.00952437	0.014329	0.0160649	0.0140226	0.0185663	0.018369	0.013257	0.0191066	0.0132352	0.012179	0.00708674	0.00498739	0.00244694	0.00423513	0.00418964	0.00466056	0.00670862	0.0109326	0.0180927	0.0179409	0.0168638	0.0200506	0.0239094	0.0209918	0.0139472	0.0157458	0.0205507	0.0104791
village	0.0171189	0.0236012	0.0387548	0.0198553	0.0356938	0.0397968	0.0117889	0.0167319	0.0108921	0.0103357	0.00410464	0.00582908	0.00912784	0.0061644	0.0117746	0.0131159	0.00772222	0.00959887	0.0221105	0.0286393	0.0273367	0.0198988	0.0343942	0.0237725	0.0210073	0.0205946	0.0179821	0.0369933	0.016476	0.0148194	0.0126325	0.0151703	0.0224294	0.0130532	0.0176112	0.0104144	0.01485	0.0208018	0.0057504	0.00448581	0.00306134	0.00426616	0.00654824	0.00827936	0.00826712	0.0118971	0.00946973	0.0119112	0.0124645	0.0138109	0.0168536	0.011056	0.0131412	0.0118626	0.0087167	0.00752944	0.00656199	0.0109118	0.0123227	0.00894198	0.0110492	0.0110131	0.0132292	0.0108298	0.00686562	0.0137385	0.0167695	0.00540087
est	0.00744687	0.00491436	0.00616525	0.00290229	0.00505338	0.00335043	0.00252272	0.00199366	0.00243865	0.00307829	0.00346567	0.00872824	0.00647869	0.0066832	0.0119541	0.0171371	0.0296653	0.030207	0.055825	0.0484859	0.0471628	0.0370928	0.0563018	0.0471049	0.0360011	0.0543015	0.0482529	0.0344431	0.0526624	0.0306627	0.0209834	0.0201258	0.0297229	0.0220141	0.0227615	0.01586	0.0134635	0.0199958	0.0114173	0.00726491	0.0041216	0.00403807	0.00847565	0.00904724	0.00765571	0.00636274	0.00677158	0.00634472	0.00428926	0.00220831	0.00219681	0.00138519	0.000887713	0.00186153	0.00151416	0.00141442	0.00212721	0.00348168	0.00612075	0.0036435	0.00282184	0.00407932	0.00289252	0.00409072	0.00330258	0.00446049	0.00290598	0.00540731
barbu	0.015938	0.00887181	0.0135699	0.00476385	0.00475509	0.00579007	0.0023255	0.00352149	0.00333897	0.00320544	0.00309493	0.00678947	0.00975206	0.00621413	0.00989704	0.0127422	0.0164678	0.0149032	0.0264322	0.0255809	0.0303098	0.0321189	0.0349594	0.0289895	0.0259861	0.0328724	0.0450513	0.033997	0.0312027	0.0238576	0.0186531	0.0241753	0.0302606	0.0220642	0.0241631	0.015792	0.0178629	0.0217889	0.0200496	0.0138637	0.00838543	0.00737942	0.0081879	0.00713013	0.00559201	0.00543775	0.00610306	0.00517703	0.00424091	0.00280773	0.0025636	0.00339743	0.00272902	0.00804695	0.00521483	0.00667752	0.00525026	0.0148309	0.0182703	0.0141597	0.0127951	0.0189179	0.0134115	0.0177868	0.016981	0.0245944	0.0118699	0.0160893
mais	0.0209344	0.00854657	0.0171982	0.00620249	0.00603959	0.00756384	0.00296889	0.00463485	0.00521612	0.00534708	0.005404	0.00935956	0.0115529	0.00838048	0.00900562	0.011249	0.0220154	0.0138394	0.030374	0.0364317	0.0383623	0.0384448	0.0424174	0.0364467	0.0301343	0.0308294	0.0389984	0.0249525	0.044615	0.0314746	0.0230312	0.0253629	0.0317326	0.0221927	0.0188626	0.0118763	0.0107754	0.012491	0.00920735	0.00662455	0.00551959	0.00537843	0.00635055	0.0064562	0.00648047	0.00564091	0.00725788	0.00683665	0.00399285	0.00298063	0.00263747	0.0035724	0.00218111	0.00714435	0.00385454	0.00599905	0.00371883	0.0107992	0.0118912	0.0112973	0.00731455	0.012855	0.0136695	0.0157023	0.0200463	0.0172916	0.00955518	0.0124799
la	0.0108553	0.00837759	0.0102452	0.00438931	0.00495022	0.0058075	0.00379106	0.00404674	0.00451196	0.00408369	0.00329818	0.00339692	0.00459128	0.00275504	0.00329351	0.00567784	0.0102	0.0144298	0.0206822	0.0202508	0.0301047	0.0249453	0.0289525	0.0318632	0.0267017	0.0229323	0.0281886	0.02876	0.0246129	0.0258107	0.0237626	0.0267824	0.0348361	0.0295495	0.0262356	0.0172421	0.0170206	0.0140078	0.0113976	0.00691466	0.00484706	0.00492999	0.00323865	0.00261435	0.0025608	0.00220222	0.00214824	0.00204439	0.00246958	0.00238775	0.00247692	0.00281618	0.00169591	0.00435159	0.00312094	0.00423638	0.00480225	0.0128938	0.0127017	0.0206773	0.0200623	0.0377136	0.0378197	0.0387786	0.0433081	0.0376294	0.0247857	0.0304314
barbe	0.00860043	0.0112265	0.0151182	0.0136419	0.00923718	0.0143986	0.0106482	0.0101235	0.0124747	0.00847565	0.00481216	0.00483334	0.00742911	0.00525533	0.00673429	0.0109611	0.0131339	0.0172845	0.0240374	0.0261364	0.0297471	0.0226788	0.0272851	0.0264688	0.0277121	0.0221727	0.0335844	0.0288116	0.0262408	0.0329497	0.0280333	0.0260859	0.0334403	0.025164	0.024162	0.0209229	0.0179512	0.0200982	0.0122471	0.00881527	0.00726111	0.00824771	0.00845394	0.00794673	0.00985423	0.00818144	0.00617951	0.00780052	0.00743903	0.00741345	0.00724636	0.00559009	0.00399301	0.00562167	0.00463442	0.00414714	0.00425877	0.00881018	0.0085603	0.00544796	0.0106964	0.012114	0.00944439	0.0197593	0.0145829	0.0286948	0.0245673	0.0139198
