 	a66	a87	a97	a79	a90	a56	a75	a79	a98	a85	a92	a12	a21	a85	a92	a15	a7	a40	a47	a36	a2	a57	a3	a97	a87	a97	</S>
il	0.105069	0.0564871	0.121856	0.0799113	0.0514583	0.0322671	0.029734	0.0210709	0.0173836	0.049296	0.044192	0.018036	0.0090542	0.0198075	0.0159388	0.0163085	0.0117994	0.0190013	0.0152866	0.0174421	0.0129714	0.0149226	0.0231223	0.0240419	0.0347849	0.0343698	0.104388
n'	0.0103922	0.012275	0.0178329	0.0149492	0.0232123	0.0137997	0.00986619	0.0139641	0.0184227	0.0258894	0.030795	0.0254111	0.0410607	0.0426171	0.0333836	0.0348263	0.0361009	0.0320777	0.0294076	0.0449429	0.0462588	0.0406175	0.0607896	0.103913	0.0878422	0.109796	0.0395565
a	0.114836	0.0786326	0.0569337	0.0641295	0.0450934	0.0418309	0.0295335	0.0261513	0.0107381	0.00964654	0.00847761	0.0127646	0.00892755	0.0152901	0.0105941	0.00632513	0.0128718	0.0132531	0.0235789	0.012894	0.0144353	0.0272072	0.0351623	0.0537583	0.0735976	0.0927697	0.100567
pas	0.143524	0.145606	0.111775	0.0842215	0.0390261	0.0333414	0.0535695	0.0399989	0.0139558	0.0114295	0.0225009	0.0349363	0.0375453	0.0254023	0.0219609	0.026121	0.0150402	0.0136284	0.0135505	0.0150852	0.0155682	0.0167573	0.0147775	0.0117919	0.0109933	0.0114564	0.0164369
d'	0.113732	0.0794031	0.0707764	0.0289401	0.0163526	0.0140133	0.0235825	0.0214577	0.0103895	0.0155395	0.013776	0.0123171	0.010583	0.0250398	0.014013	0.0117962	0.0171816	0.0245674	0.0293672	0.0344544	0.0399939	0.0374369	0.0498067	0.0542891	0.0600389	0.0644884	0.106664
amour	0.0685114	0.0530756	0.0501039	0.0293331	0.028997	0.0428732	0.0521096	0.0523407	0.0324513	0.0297867	0.0309856	0.0569704	0.0290167	0.0189291	0.0237075	0.018124	0.0196339	0.0256782	0.0359828	0.0282001	0.0373857	0.0351069	0.0389029	0.0503111	0.0398283	0.0298331	0.0418213
pour	0.086718	0.0494287	0.0341481	0.0189689	0.00767699	0.00418399	0.00338896	0.00465817	0.00323084	0.00384777	0.00665703	0.0130833	0.019625	0.0137336	0.0190585	0.0146269	0.0241993	0.0490234	0.0448285	0.0414644	0.055808	0.0693905	0.0763159	0.092542	0.0732304	0.107098	0.0630648
ses	0.177596	0.112509	0.0828217	0.0523393	0.028248	0.0122945	0.0105676	0.0145659	0.00904102	0.00706381	0.0168299	0.031234	0.0335825	0.00984649	0.0133891	0.0186192	0.0169331	0.0187266	0.0244351	0.0201807	0.0296129	0.0278992	0.0425838	0.0351036	0.0459591	0.0516756	0.0563428
enfants	0.11062	0.0568819	0.0754964	0.0606432	0.0363472	0.0233836	0.0248403	0.0291489	0.0105738	0.00538098	0.0137521	0.0153292	0.0104796	0.00954245	0.0113152	0.0135958	0.0180316	0.0254557	0.0354136	0.0221892	0.0226452	0.0286164	0.0411142	0.0391724	0.0615749	0.0669745	0.131482
</S>	0.0632093	0.0337578	0.0327046	0.0327885	0.0196589	0.00892906	0.00852513	0.010443	0.00298557	0.0029987	0.00731172	0.00952009	0.0110001	0.0147446	0.0181229	0.0188339	0.0355906	0.0469055	0.0594454	0.0413843	0.0369261	0.0478426	0.0488914	0.0662998	0.0739335	0.0934261	0.153821
