 	a66	a87	a97	a3	a99	a3	a97	a38	a47	a92	a79	a47	a6	a36	a37	a61	a21	a85	a6	a36	a85	a75	a61	a96	a70	a66	a9	a26	a3	a82	a40	a26	a57	</S>
on	0.0187415	0.0223388	0.0305432	0.0198059	0.0373323	0.0327448	0.0324602	0.021844	0.0509704	0.0603173	0.0803622	0.0723737	0.0619193	0.0355796	0.017627	0.0364649	0.0370912	0.0360039	0.0262895	0.0339137	0.0205934	0.0294127	0.0275771	0.0126357	0.0104968	0.00964663	0.0101267	0.0126775	0.0114811	0.0165101	0.0161024	0.0167627	0.0189816	0.0222719
piège	0.0392356	0.0261435	0.020349	0.0148617	0.0209827	0.0217444	0.0214513	0.018779	0.0209298	0.021118	0.0159259	0.016646	0.0161756	0.0320488	0.0440114	0.0334232	0.0285933	0.0254139	0.0230508	0.0120682	0.00882142	0.00848761	0.0066353	0.0106374	0.0130468	0.021161	0.0224486	0.0299475	0.0629833	0.0682865	0.0907155	0.0558541	0.0594458	0.068577
la	0.0221604	0.0249746	0.0192326	0.0175507	0.0280562	0.027547	0.0288943	0.0293422	0.0379343	0.0375855	0.0326893	0.0366857	0.0302568	0.0305231	0.0226397	0.0138367	0.0125712	0.0205478	0.0169152	0.0112989	0.00932266	0.00661355	0.00817566	0.0130725	0.0164521	0.0187506	0.0326808	0.0358967	0.0540063	0.0671435	0.0752767	0.0481207	0.049176	0.0640701
pintade	0.0255007	0.0202867	0.0203251	0.0265957	0.0432626	0.0372907	0.0309158	0.0310823	0.0207454	0.0205682	0.0217579	0.0305967	0.0321945	0.054357	0.0686984	0.0530716	0.0539788	0.044306	0.041629	0.0533123	0.0386362	0.0491381	0.0376466	0.0257929	0.0191671	0.0176076	0.011107	0.0138792	0.011917	0.0118094	0.0101993	0.00699889	0.00805736	0.00756802
avec	0.0446377	0.0460696	0.0254332	0.0216197	0.036719	0.0242725	0.0166567	0.0220519	0.0257709	0.0141969	0.00951604	0.00929934	0.00927471	0.00966404	0.0109301	0.014125	0.0224159	0.0273067	0.0325234	0.0267914	0.021469	0.0210197	0.0175809	0.0376838	0.0373498	0.0213398	0.0244513	0.0291364	0.0364642	0.0585681	0.067294	0.0390588	0.0523787	0.0869306
la	0.0382292	0.0286442	0.0162521	0.0116825	0.00983119	0.0105081	0.010102	0.0114335	0.0160923	0.00853849	0.0100538	0.0131289	0.0157825	0.0308606	0.0239895	0.0548676	0.0662295	0.0622789	0.0566048	0.040933	0.0231297	0.0208445	0.020647	0.0240211	0.0309639	0.0343595	0.0555095	0.0555367	0.0271389	0.0370145	0.0402667	0.0312997	0.0429261	0.0202994
fibre	0.0371443	0.0240498	0.0131616	0.0098694	0.00884041	0.00827259	0.00759516	0.00931855	0.00985632	0.00648466	0.00707823	0.00838518	0.00636795	0.00947837	0.00823028	0.0135055	0.0217803	0.0211181	0.0233263	0.022151	0.0112376	0.012128	0.011813	0.0206325	0.0421613	0.0371616	0.0660265	0.0511085	0.112142	0.090288	0.104494	0.0870019	0.053821	0.0239695
de	0.0355852	0.0173212	0.0107675	0.00827735	0.00820947	0.00812649	0.0078275	0.0079313	0.00964494	0.00620847	0.00269228	0.00185153	0.00231598	0.00390272	0.00314171	0.00828289	0.0146031	0.0147891	0.0161303	0.00961176	0.00635261	0.00650985	0.00702417	0.0227339	0.0322055	0.0360355	0.0533919	0.0477039	0.123296	0.125802	0.130816	0.0907868	0.0862497	0.0338722
palmier	0.0530003	0.0263096	0.0235672	0.0168119	0.0177173	0.0170945	0.0130002	0.0165189	0.0196803	0.0151584	0.00640347	0.00467035	0.0056949	0.00727998	0.0056969	0.0120981	0.0157873	0.0206609	0.0192558	0.0139271	0.0104685	0.0115959	0.00771979	0.0138567	0.0253902	0.0436138	0.0537704	0.0654403	0.0622908	0.0946718	0.0921258	0.0708554	0.0841592	0.033708
</S>	0.0497024	0.0292362	0.0412708	0.0291164	0.0311006	0.0266368	0.0179883	0.0260506	0.0307554	0.0318087	0.00879884	0.00581362	0.00821438	0.00865766	0.00670826	0.00731837	0.00755383	0.0112602	0.0116164	0.0109189	0.00926545	0.0109146	0.00753436	0.0175861	0.025319	0.0257448	0.0385559	0.0434186	0.0452599	0.057284	0.0682904	0.0728333	0.0756254	0.101842
