 	a66	a87	a23	a79	a4	a98	a47	a36	a21	a92	a37	a85	a5	a21	a12	a18	a0	a88	a71	a38	a90	a21	a12	a18	a21	a56	a93	a70	a62	a88	a50	a83	a9	a87	a23	a87	</S>
obateme	0.0338531	0.0359572	0.0449091	0.0564541	0.0676452	0.104738	0.077448	0.0753671	0.0458881	0.0462683	0.0279167	0.0272653	0.0153539	0.01441	0.00771621	0.00875775	0.0106021	0.00835157	0.00782858	0.00597199	0.00558522	0.00753995	0.00658328	0.00664274	0.00938194	0.00782461	0.0158326	0.0131255	0.0163871	0.0201532	0.021598	0.0305292	0.0334555	0.0177344	0.0260958	0.0171233	0.0217053
nous	0.018359	0.0109764	0.0149443	0.0203554	0.0184498	0.0238268	0.0387782	0.0550344	0.0452012	0.0532893	0.0240148	0.0172547	0.01396	0.0165497	0.0163224	0.0180117	0.0214559	0.0331377	0.0338564	0.0242972	0.0218573	0.0351796	0.0373536	0.0264547	0.0242043	0.0250317	0.0223019	0.0237113	0.022994	0.0571154	0.0365311	0.0330775	0.0269147	0.0267475	0.0177685	0.0220067	0.0226747
a	0.0314567	0.0155671	0.0186397	0.0101663	0.0223699	0.0124871	0.0174113	0.0201497	0.0266182	0.0370222	0.0379824	0.0554281	0.0388823	0.0472473	0.0273623	0.032708	0.0400272	0.0414202	0.0438714	0.0510069	0.0197173	0.0190804	0.0146613	0.0122562	0.00605244	0.0102997	0.0105491	0.0104725	0.0105302	0.0177226	0.0268095	0.0368647	0.0312144	0.0332391	0.0248022	0.04092	0.046984
raconté	0.0502276	0.0467372	0.0276076	0.0129479	0.012159	0.0157979	0.0194516	0.0141277	0.0195207	0.0162251	0.0174574	0.0267976	0.0296593	0.0246458	0.0284574	0.0206358	0.0210057	0.0210002	0.0205136	0.0270966	0.0275712	0.0227265	0.0233256	0.0211789	0.0145739	0.0209868	0.0174179	0.0367889	0.0315981	0.0415503	0.0468724	0.0315644	0.021353	0.0386849	0.0306466	0.0309047	0.0701844
ce	0.0552975	0.0424202	0.0209511	0.0129105	0.00708016	0.00477753	0.00779483	0.0137833	0.0238039	0.011305	0.0268978	0.0265404	0.0354667	0.0227756	0.0244629	0.0246795	0.0257523	0.0235974	0.0240536	0.019522	0.015526	0.0256788	0.0284158	0.0330609	0.0293733	0.0285055	0.0142765	0.0251609	0.028228	0.0538548	0.0467851	0.0316511	0.0317293	0.037974	0.0364548	0.0425822	0.0368708
qu'	0.0520699	0.0307421	0.0180354	0.0174054	0.0169346	0.0198297	0.0201462	0.016867	0.0233874	0.0195173	0.0414469	0.0500812	0.0468557	0.0243689	0.0234092	0.0275387	0.0267115	0.0220392	0.0160253	0.0129252	0.0132569	0.0179385	0.0127377	0.0127779	0.013881	0.0258155	0.0270331	0.036497	0.0521639	0.0452206	0.0371821	0.0337689	0.0385599	0.02482	0.0359377	0.0304646	0.0156079
il	0.0821242	0.0531312	0.0380268	0.01907	0.0167025	0.0102457	0.0123692	0.0138362	0.0192986	0.0313491	0.0399182	0.0509456	0.047512	0.0272413	0.0373217	0.028689	0.0354847	0.0175403	0.0126865	0.0125241	0.0121119	0.0237378	0.0162248	0.0211511	0.0149123	0.0245965	0.0149261	0.0211093	0.0366739	0.0349551	0.0242326	0.0366981	0.0310178	0.025662	0.0274858	0.0217874	0.00670072
a	0.07569	0.030099	0.0138603	0.00740516	0.00492731	0.00324644	0.00309099	0.00327946	0.00359955	0.00711387	0.0132255	0.0218198	0.0254226	0.0216339	0.029439	0.0264719	0.0359167	0.0282439	0.0169043	0.0111449	0.0126725	0.0273279	0.0199118	0.0251266	0.0226967	0.0339214	0.0296573	0.0420831	0.0421629	0.0716029	0.0657188	0.0492163	0.070394	0.0349209	0.0290996	0.0311593	0.00979362
vu	0.0828038	0.0473813	0.0284942	0.0148679	0.0149683	0.00832841	0.00579885	0.0055388	0.00618894	0.0078311	0.0147965	0.0252946	0.03168	0.02435	0.015446	0.0180128	0.0259427	0.0156653	0.0146035	0.0087706	0.00951916	0.0145928	0.0138479	0.0134147	0.0121776	0.0211355	0.0157765	0.0179154	0.0278438	0.0629783	0.0634783	0.0538202	0.0911751	0.0431562	0.0484279	0.0464092	0.0275678
à	0.028703	0.0191202	0.0185938	0.0089051	0.0157361	0.00773251	0.00505773	0.00448464	0.00461296	0.00722329	0.00803772	0.0168512	0.0209213	0.0194652	0.0158368	0.0174498	0.022934	0.0192684	0.0193372	0.0144457	0.0138513	0.0169727	0.0183337	0.015405	0.0127951	0.0313733	0.0263822	0.0294568	0.0463405	0.0533998	0.0665702	0.0718585	0.0933162	0.0490316	0.067362	0.0559694	0.0368651
ekyembe	0.0297404	0.0186525	0.0127128	0.00685745	0.00783034	0.00516288	0.00343051	0.00521808	0.00625377	0.00959497	0.0153439	0.031209	0.0255513	0.0316275	0.0279333	0.0237268	0.0243129	0.0200497	0.0206165	0.0162678	0.0174619	0.0195703	0.0233171	0.0293255	0.0257223	0.0282031	0.0276461	0.0294216	0.0414281	0.0446388	0.0496326	0.0582434	0.0619981	0.0498413	0.0539234	0.0651727	0.0323614
</S>	0.0255586	0.0318248	0.0349414	0.0414396	0.030634	0.0193512	0.0188404	0.0228199	0.0159259	0.026594	0.0197672	0.0136154	0.00745574	0.00880401	0.00806051	0.0115654	0.0116171	0.00848981	0.0108865	0.00543303	0.00549857	0.0131434	0.0125529	0.0131174	0.0158748	0.0302353	0.0511302	0.039848	0.0572716	0.0650662	0.0603409	0.0559334	0.0620447	0.0351897	0.048436	0.0335173	0.0271752
