 	a66	a87	a23	a87	a23	a79	a53	a79	a37	a6	a0	a11	a61	a66	a90	a15	a69	a53	a90	a44	a96	a62	a83	a98	a47	a36	a2	a57	a87	a23	a87	a23	a87	a23	a18	a62	a88	a53	a44	a70	a21	a5	a18	a70	a13	a82	a87	a23	a87	a97	</S>
c'	0.0222486	0.030296	0.0333232	0.0409194	0.0288767	0.0212758	0.0314693	0.00906461	0.0293349	0.0156896	0.0215896	0.0188322	0.0262002	0.0202222	0.0199148	0.0417259	0.0615385	0.0572017	0.0476498	0.0332302	0.0164516	0.0119883	0.0119283	0.0194271	0.0201454	0.0144191	0.0107675	0.0119236	0.0088462	0.00636371	0.00549849	0.00506162	0.00537197	0.00523765	0.00454513	0.00526597	0.00702341	0.00620419	0.00811238	0.00766591	0.00803413	0.0120142	0.0141626	0.0211382	0.0158409	0.0164641	0.0190925	0.0173362	0.017337	0.0208728	0.0348571
est	0.0225831	0.0142109	0.0097506	0.015437	0.0145267	0.0257745	0.0348977	0.0447759	0.0343314	0.0332805	0.020861	0.0188637	0.0201648	0.0168526	0.0164737	0.0153821	0.0150797	0.0147543	0.0159236	0.0167828	0.0115266	0.0128505	0.00848668	0.0122855	0.0152498	0.0164469	0.0145343	0.0177268	0.022796	0.017368	0.019629	0.0205513	0.0171141	0.0159407	0.0116034	0.0120024	0.0101749	0.0108195	0.0119781	0.0227497	0.0201743	0.0248007	0.0346363	0.0368198	0.0220039	0.0213608	0.0258336	0.0329461	0.0209336	0.0232666	0.0146836
umberto	0.0321396	0.0263388	0.020914	0.0250258	0.0271424	0.0269703	0.0313299	0.050524	0.0594626	0.0358334	0.0448006	0.0492474	0.056857	0.0360762	0.0482752	0.043551	0.0468656	0.0264036	0.0101276	0.00909253	0.00650811	0.00622506	0.00797554	0.0128289	0.0102485	0.00808187	0.0109204	0.0115673	0.00666336	0.0103771	0.00708828	0.0106191	0.00661364	0.0131482	0.00872636	0.0102239	0.00549186	0.00568397	0.00495311	0.00437653	0.00485748	0.0047376	0.00431279	0.00529792	0.00604902	0.00629384	0.0133638	0.0128668	0.0149961	0.0241848	0.0277411
qui	0.0344477	0.0309782	0.023283	0.0189137	0.0217867	0.0190355	0.0150906	0.0185348	0.00852227	0.0130611	0.00671127	0.00521989	0.00433307	0.00634479	0.00390149	0.00307561	0.00220221	0.00319007	0.00632077	0.010265	0.0105481	0.0189881	0.0114897	0.0119698	0.0173295	0.0199261	0.0408526	0.0345427	0.0535973	0.034534	0.061083	0.0366442	0.0592341	0.0381473	0.0240237	0.0252688	0.0118829	0.0170672	0.0132329	0.0166028	0.0123556	0.0117187	0.0159356	0.0189534	0.0229625	0.0239073	0.0219323	0.0148813	0.0148752	0.016602	0.0136936
sera	0.0301975	0.00743777	0.00377639	0.00235684	0.00584004	0.0133895	0.00749709	0.018082	0.00949785	0.00947342	0.00769243	0.00492408	0.00652987	0.0200563	0.0358373	0.0223022	0.0237721	0.0246795	0.0246751	0.0348173	0.0355281	0.0721704	0.0335864	0.0257553	0.0433207	0.026107	0.0150657	0.0220064	0.0268714	0.0312383	0.0279877	0.0252911	0.0126521	0.0223427	0.0122203	0.0218859	0.0227918	0.0183583	0.0196707	0.0134593	0.0145557	0.0117506	0.0137046	0.0131071	0.00634336	0.0103383	0.0162364	0.0165249	0.0214162	0.0211504	0.0137283
mon	0.0123513	0.00295582	0.00207363	0.00206122	0.00337232	0.00790306	0.00948227	0.0105431	0.00651196	0.00867883	0.00708151	0.00484544	0.00748045	0.022868	0.0389193	0.0205089	0.0264127	0.0252034	0.0337304	0.0895816	0.0813644	0.1054	0.0745965	0.0559334	0.0756312	0.0384161	0.0238045	0.0261745	0.0250802	0.0180045	0.0153499	0.0123816	0.00882826	0.0122839	0.00703919	0.0128447	0.010831	0.00680873	0.00851625	0.00466398	0.00589744	0.00445389	0.00355438	0.00484641	0.00121283	0.00265416	0.00198981	0.00181128	0.00335481	0.00183257	0.00187429
habilleur	0.0137355	0.00529874	0.00402246	0.00279935	0.00551346	0.00806993	0.011423	0.0119676	0.0153489	0.00927351	0.0117749	0.0107708	0.0249292	0.0219816	0.0392882	0.032315	0.034676	0.0641085	0.0536533	0.0828922	0.058275	0.0716672	0.063287	0.0451807	0.0727855	0.0248111	0.0108455	0.0181969	0.0152373	0.00922576	0.00908532	0.00997688	0.00689331	0.0211512	0.00902601	0.0157149	0.00934373	0.00703117	0.0081052	0.00454323	0.00518909	0.00560244	0.00535696	0.00883176	0.00198618	0.0054535	0.00256129	0.00251886	0.00371106	0.00279125	0.00177236
le	0.00708131	0.00599815	0.0106044	0.00811944	0.0118732	0.0128756	0.0150675	0.0167043	0.0143243	0.0164738	0.0251501	0.0193425	0.015946	0.0148312	0.0164413	0.0155583	0.0196655	0.0408647	0.0417626	0.0452531	0.0432715	0.0430143	0.0445512	0.031616	0.0313683	0.024656	0.0138037	0.0178922	0.018469	0.015477	0.00941683	0.00816711	0.00375708	0.00725616	0.00560603	0.0063155	0.0059184	0.00625083	0.00698787	0.0102975	0.0157037	0.0263716	0.0345554	0.0267928	0.025511	0.0258731	0.0234031	0.0224229	0.0304899	0.0166894	0.0241575
jour	0.0157649	0.0142201	0.0279775	0.020691	0.0244111	0.0272815	0.0339972	0.0243215	0.0151004	0.0334346	0.0185241	0.018508	0.0190196	0.0228196	0.0168059	0.0287994	0.0505625	0.0449692	0.0425545	0.0367855	0.0263653	0.0220872	0.0243045	0.0222381	0.0278486	0.0187098	0.0220697	0.0260717	0.0229319	0.0208088	0.0182275	0.014614	0.00746202	0.0112733	0.00662393	0.004277	0.00403524	0.0046792	0.00274318	0.0045135	0.00386841	0.0073909	0.0106839	0.0136188	0.0112652	0.0125084	0.0154564	0.0131429	0.0227107	0.0144692	0.0264527
du	0.0310717	0.0210364	0.0140781	0.0205645	0.0179747	0.0197151	0.0161297	0.019134	0.0215498	0.0110266	0.0172982	0.016641	0.027785	0.0297658	0.0395049	0.026269	0.0327249	0.0322365	0.0211259	0.02466	0.0157919	0.0173647	0.0175702	0.0178428	0.0193601	0.0101738	0.0100965	0.0171309	0.00893981	0.00829878	0.00481048	0.0066644	0.00467166	0.0132674	0.0116155	0.0109946	0.0083164	0.00642355	0.00707245	0.00726417	0.00962938	0.0124932	0.0135866	0.0176657	0.0173848	0.0196353	0.0359281	0.0264988	0.0439065	0.0507075	0.0686022
mariage	0.0152879	0.00626009	0.00496491	0.00370847	0.00648395	0.0111341	0.0108595	0.0184776	0.0164615	0.0144464	0.014565	0.0121001	0.0134934	0.0227481	0.0211923	0.0200782	0.0288842	0.0315078	0.030006	0.0400898	0.0364839	0.0363787	0.0364577	0.03349	0.0323107	0.0253215	0.0225557	0.0204419	0.0201586	0.0219698	0.0160091	0.0146381	0.00901694	0.014595	0.0117938	0.0142011	0.0107457	0.00814367	0.00852695	0.00852432	0.00811495	0.00898112	0.011237	0.011661	0.0118662	0.0130045	0.0239844	0.0266151	0.0362376	0.0514893	0.0522962
</S>	0.0426176	0.0165897	0.0191864	0.0171132	0.016691	0.0156411	0.00930623	0.0107979	0.013245	0.00777762	0.0209045	0.0163087	0.0234742	0.0181728	0.0271095	0.0246759	0.030037	0.0199904	0.0157351	0.018602	0.0139771	0.0110962	0.0113891	0.016348	0.0117115	0.00730913	0.00717595	0.00728966	0.00446366	0.00767176	0.00355235	0.00368061	0.00182327	0.00707671	0.00789548	0.0101663	0.0184643	0.0179266	0.0173632	0.0147916	0.0123177	0.0127913	0.0173831	0.0246963	0.0223935	0.0251861	0.0442069	0.0465489	0.0667188	0.0742204	0.0683887
