 	a23	a87	a23	a50	a24	a32	a90	a94	a35	a26	a24	a43	a11	a75	a14	a0	a41	a37	a75	a14	a41	a35	a47	a98	a66	a25	a99	a87	</S>
il	0.0896072	0.103621	0.146484	0.0736584	0.0634784	0.0701579	0.0519658	0.0447711	0.0319095	0.0238103	0.0155714	0.0155607	0.011865	0.0189614	0.0213895	0.0155649	0.0104771	0.00944753	0.00986588	0.00889758	0.0124777	0.0125563	0.00969317	0.0166469	0.0169569	0.0131242	0.0150239	0.0208039	0.0456518
y	0.0207052	0.00964506	0.0129372	0.0243662	0.0744526	0.142661	0.101472	0.0537246	0.026412	0.0218933	0.0110925	0.0169401	0.0106358	0.0134858	0.0099487	0.02158	0.0118964	0.0167619	0.014428	0.0105289	0.0242755	0.034223	0.053828	0.040719	0.0515776	0.0497148	0.0476345	0.040742	0.0317186
a	0.0136189	0.0154869	0.0142417	0.0188073	0.0226524	0.036901	0.0212861	0.0140581	0.00824973	0.00503065	0.00307394	0.00547913	0.00276155	0.00552017	0.00422163	0.00658689	0.00657005	0.00725062	0.0143792	0.0297835	0.0503004	0.0696567	0.0812486	0.0585613	0.0901789	0.101105	0.0894569	0.0886709	0.114862
des	0.082528	0.0922253	0.0449367	0.0410725	0.0656869	0.0480185	0.0383828	0.0437707	0.0348118	0.0445018	0.0519827	0.0314377	0.0402798	0.0426743	0.040828	0.0275666	0.0502258	0.0326427	0.0367596	0.0171667	0.0139547	0.0101533	0.00835746	0.00876071	0.00805685	0.00883428	0.00901871	0.0108346	0.0145302
nappes	0.0975439	0.10584	0.0864062	0.0738527	0.0614828	0.0639482	0.0506111	0.043013	0.0285958	0.0261334	0.0145105	0.0254071	0.0167114	0.0144224	0.0254363	0.0269709	0.0241372	0.0155219	0.0277628	0.0184662	0.015325	0.0133104	0.014182	0.0192181	0.017737	0.0180123	0.0184253	0.0166119	0.0204046
de	0.100341	0.0976672	0.0946695	0.0845227	0.0299266	0.0284008	0.035912	0.0254573	0.0262535	0.0195378	0.0127966	0.0192808	0.0127985	0.0127521	0.0158001	0.0195829	0.0122345	0.00863414	0.0209095	0.0148229	0.0125115	0.0206149	0.0181688	0.0249138	0.0287115	0.0315452	0.0442558	0.0583442	0.0686341
brume	0.0761291	0.0791265	0.0766224	0.0711438	0.0392096	0.0445091	0.0363237	0.0288842	0.017513	0.0126195	0.0062828	0.0128007	0.0104289	0.00874944	0.0106426	0.0222982	0.0187146	0.0231715	0.0528809	0.0568138	0.0430399	0.0321894	0.0235584	0.030188	0.0276602	0.0317247	0.0301291	0.0361792	0.0404666
sur	0.0755515	0.0394665	0.046896	0.0283333	0.0173141	0.0188025	0.0154523	0.00859151	0.00586261	0.0061706	0.00630864	0.00797667	0.00704528	0.00561892	0.00631596	0.00922159	0.00575257	0.00471708	0.0126579	0.01593	0.0271172	0.0388347	0.0339565	0.0500176	0.080278	0.081157	0.0900982	0.121756	0.1328
le	0.128142	0.0676126	0.0582134	0.0378529	0.0202482	0.0200661	0.0160007	0.0106104	0.00772948	0.00823583	0.00908508	0.00655312	0.00660946	0.00776055	0.00439005	0.0129916	0.0112866	0.0107571	0.0212406	0.0284312	0.0534098	0.0551894	0.0478661	0.0460485	0.0627742	0.0491614	0.0557329	0.0648769	0.071124
fleuve	0.0689216	0.0450639	0.0684215	0.0518434	0.0265692	0.0365883	0.0284993	0.0159793	0.0113743	0.00986831	0.0083093	0.0060039	0.00494059	0.00495041	0.0071359	0.00699962	0.00775841	0.0110818	0.0165343	0.0222932	0.0323267	0.0315151	0.0296846	0.0501721	0.0661567	0.0633555	0.071871	0.0722684	0.123513
</S>	0.0541996	0.0169842	0.0120933	0.00703811	0.00439362	0.00330014	0.00189384	0.00133028	0.00103086	0.00123248	0.00234805	0.00172692	0.00177026	0.00237966	0.0016588	0.00254444	0.00243193	0.00233552	0.00303633	0.00617376	0.0206098	0.0392806	0.0521402	0.0840478	0.113579	0.1093	0.123778	0.123574	0.203788
