 	a85	a87	a23	a53	a4	a53	a20	a73	a41	a24	a41	a88	a31	a21	a85	a73	a2	a57	a87	a23	a20	a73	a94	a76	a90	a32	a75	a12	a18	a75	a73	a69	a76	a73	a2	a57	a53	a90	a13	a38	a24	a9	a27	a54	a73	a44	a13	a38	a13	a9	a87	</S>
prenez	0.0125626	0.0145398	0.0168395	0.019015	0.0139033	0.028476	0.056829	0.112814	0.137147	0.155801	0.0957218	0.0570664	0.0229144	0.0302417	0.0191754	0.0213501	0.0141011	0.0112135	0.00651908	0.00476659	0.00519971	0.00339199	0.00250809	0.00282117	0.00284495	0.00216351	0.00226745	0.00281487	0.00312479	0.00326442	0.0022973	0.0027213	0.0038681	0.00363407	0.00546558	0.00384037	0.00340462	0.00329002	0.00398592	0.00445105	0.00261347	0.00351778	0.0037017	0.00364767	0.00499637	0.00646731	0.00593485	0.00896447	0.00712944	0.00919315	0.0144405	0.0110376
quelque	0.00149959	0.00160393	0.00221916	0.00249489	0.0027189	0.00400373	0.00601819	0.0137249	0.0251204	0.0187137	0.0267785	0.0346092	0.0304482	0.0421374	0.0832611	0.0984955	0.0480379	0.0255384	0.0181402	0.0117239	0.0151826	0.0104391	0.00673453	0.0203323	0.0153418	0.0206771	0.0298772	0.0439787	0.0283732	0.0171616	0.0105871	0.0131504	0.0139435	0.0121343	0.0105357	0.00945283	0.00851758	0.00777172	0.00930778	0.0108837	0.0137761	0.0158645	0.0180259	0.0192184	0.0200598	0.0161424	0.0213684	0.0199947	0.0161684	0.0124034	0.00855046	0.00675694
chose	0.00779366	0.00522661	0.00354936	0.00433971	0.00391891	0.00221471	0.0020232	0.00559177	0.011905	0.0508148	0.0677908	0.0716522	0.0735246	0.0699068	0.0344183	0.0248523	0.0102121	0.00470071	0.00754441	0.00365217	0.00410309	0.00840296	0.00426052	0.00536656	0.00748324	0.00640287	0.00400597	0.00779713	0.00490619	0.00333805	0.00278911	0.00302605	0.00336332	0.00377365	0.00446188	0.00344629	0.00373001	0.00304928	0.00604963	0.005749	0.0106232	0.0155256	0.0255843	0.0341713	0.062929	0.0674092	0.0608493	0.041752	0.0438621	0.0397225	0.0160832	0.0203513
pour	0.0195186	0.0204527	0.0141523	0.0193939	0.0115513	0.0107875	0.0134366	0.0100486	0.0113104	0.0183383	0.0411014	0.0308356	0.0342926	0.0340677	0.0395961	0.0425908	0.0360539	0.0371126	0.0375589	0.0208691	0.033065	0.0175536	0.012544	0.0216308	0.0196174	0.0151675	0.0217361	0.0188215	0.0181303	0.0234435	0.0314361	0.0308455	0.0308945	0.0259989	0.018126	0.0126438	0.00840066	0.00988351	0.00348387	0.00333305	0.00471058	0.00597403	0.0105204	0.00599774	0.00604795	0.0058976	0.00918804	0.0072142	0.00949951	0.0132959	0.00701674	0.0348127
vous	0.00834061	0.00262231	0.00171443	0.00165528	0.00154575	0.00204862	0.00301052	0.00237038	0.00206733	0.00398718	0.0073294	0.0158076	0.0127736	0.014378	0.0357959	0.0128631	0.0114659	0.0120658	0.0174137	0.0117471	0.0176477	0.0222754	0.0296844	0.0375958	0.0263042	0.0342274	0.0449208	0.0447555	0.0492544	0.0251465	0.0256046	0.0128232	0.012593	0.0112086	0.0160674	0.0184526	0.0160456	0.022715	0.0120852	0.0164952	0.0143679	0.0221544	0.0284076	0.0238339	0.0278234	0.0234303	0.0301483	0.0290069	0.0277893	0.0379534	0.0291022	0.0290771
en	0.0178771	0.00703663	0.006945	0.00498634	0.0044561	0.00350601	0.00319346	0.00211373	0.00353478	0.00579222	0.00991433	0.0182581	0.0100633	0.0108577	0.0336731	0.042446	0.0252399	0.0367649	0.0238012	0.0206915	0.0307526	0.0263868	0.0166152	0.0196869	0.0217445	0.0219302	0.034879	0.0382182	0.0434918	0.0415382	0.0304425	0.024166	0.017323	0.0217423	0.0206253	0.0126768	0.0162537	0.0136622	0.0136243	0.0179175	0.0152367	0.0160636	0.0130646	0.0112572	0.0174209	0.0138631	0.0205911	0.0237476	0.0228878	0.0247991	0.0255798	0.02066
servir	0.0150874	0.00979323	0.00723405	0.00540522	0.00483771	0.00417516	0.00476816	0.00526472	0.00545163	0.0123364	0.0100914	0.0230491	0.00649029	0.00945255	0.0262888	0.0389656	0.0456328	0.0747044	0.0576764	0.0382801	0.05672	0.054874	0.0281871	0.0378228	0.0313377	0.0165976	0.0163312	0.017098	0.0238176	0.036059	0.02208	0.0184032	0.0106449	0.017828	0.0140559	0.00770894	0.00819681	0.00314209	0.00657251	0.00789284	0.00627184	0.0120327	0.0114139	0.00937896	0.0131383	0.0104597	0.0136914	0.0159871	0.0177296	0.0179208	0.0193668	0.0122535
au	0.0172359	0.0138252	0.0094545	0.00716402	0.00655518	0.00439512	0.00331638	0.00532488	0.00375023	0.0134865	0.00985423	0.00914905	0.00908044	0.0117077	0.0252775	0.0266369	0.026432	0.0262089	0.0128253	0.00667358	0.0247251	0.0116781	0.00449205	0.0119207	0.0138042	0.0140392	0.0304275	0.034453	0.0358668	0.0455285	0.0203673	0.0239558	0.0187384	0.0204998	0.020668	0.0145111	0.0120629	0.00748219	0.0112204	0.00821003	0.00550634	0.00949704	0.00895688	0.00776619	0.0145014	0.0145067	0.018404	0.0277165	0.034969	0.0415487	0.0668109	0.116811
besoin	0.0187818	0.0175122	0.0195251	0.0126909	0.0121306	0.011338	0.00857836	0.00918532	0.0055476	0.0108236	0.00809573	0.016445	0.00797024	0.012058	0.011494	0.0155139	0.0198989	0.0285011	0.0190902	0.0118351	0.0206534	0.0173712	0.0122526	0.0142024	0.0194012	0.0184381	0.0253772	0.0247314	0.0266647	0.0287166	0.0288384	0.0286962	0.0227963	0.0268012	0.0234091	0.0189317	0.0193933	0.0139965	0.0192212	0.0188171	0.0116073	0.0155762	0.0122976	0.0135492	0.0195713	0.0209424	0.021642	0.0296515	0.0315063	0.0360948	0.0380952	0.043741
</S>	0.0126959	0.011633	0.0133868	0.00696808	0.00619571	0.00344861	0.00208884	0.00382823	0.00402245	0.00879868	0.00805538	0.00759555	0.00582446	0.00980901	0.0122089	0.0124366	0.00951169	0.0118212	0.0075818	0.00584676	0.0090395	0.00711374	0.00489881	0.00778483	0.0135611	0.0154535	0.0250625	0.0220952	0.0253896	0.0220754	0.017178	0.016949	0.0132796	0.012671	0.0168945	0.0134964	0.0135145	0.00970103	0.0146133	0.0149313	0.0139289	0.0193631	0.0227118	0.0183904	0.0356456	0.0328908	0.041613	0.0544235	0.0463961	0.0721551	0.0597878	0.123233
