 	a15	a66	a87	a23	a79	a69	a94	a54	a47	a37	a61	a21	a5	a12	a47	a61	a75	a6	a79	a7	a75	a85	a6	a36	a37	a96	a75	a36	a37	a27	a30	a87	a23	a87	a23	a87	</S>
qui	0.100915	0.089304	0.0671656	0.050688	0.0292291	0.0303866	0.045024	0.029795	0.0466336	0.0365531	0.0278461	0.0192092	0.0280238	0.0253268	0.0218844	0.0134641	0.0114345	0.00838216	0.0137228	0.0127546	0.011882	0.011122	0.0081228	0.00745625	0.0105444	0.00898866	0.0173616	0.0228356	0.0227582	0.027588	0.0228345	0.0197917	0.0166691	0.0122624	0.0182651	0.0228942	0.030881
va	0.0104644	0.0104527	0.0103617	0.00888464	0.0151297	0.0275173	0.0424032	0.0250106	0.033182	0.0408002	0.0154733	0.0248199	0.021585	0.0421614	0.0522577	0.0292519	0.0172358	0.0217468	0.0190319	0.0161174	0.0200826	0.0140992	0.0304163	0.0252196	0.043569	0.0352354	0.0254664	0.0223266	0.0248388	0.0265462	0.0249208	0.0238741	0.0352598	0.0420711	0.0532332	0.0504035	0.0185498
goûter	0.0514448	0.0397357	0.0360643	0.0292818	0.0328076	0.0528596	0.0585034	0.0358634	0.0230256	0.0225241	0.0201319	0.0228279	0.0275345	0.0419787	0.065905	0.0617061	0.0548222	0.0490409	0.033606	0.0222632	0.00659137	0.0111956	0.0162487	0.0159317	0.0114892	0.011335	0.0141857	0.0144245	0.00499621	0.00796081	0.0106167	0.0142241	0.0131351	0.0136775	0.0121395	0.0187876	0.021134
la	0.105709	0.0737048	0.0978959	0.0356643	0.0366122	0.0362546	0.0770659	0.0192783	0.0272253	0.0263407	0.012371	0.0138811	0.0129977	0.0265621	0.020463	0.0138668	0.0147734	0.0137819	0.00736016	0.00630999	0.00636709	0.00810956	0.0154573	0.010974	0.00850927	0.00845656	0.0105624	0.0204587	0.00761116	0.0105659	0.0208884	0.0261599	0.0231553	0.0310162	0.0185132	0.0315311	0.063545
nourriture	0.0384631	0.0188136	0.0161352	0.00639045	0.00991619	0.0146862	0.0310974	0.0234694	0.0254038	0.0193048	0.0277398	0.0412565	0.0297124	0.0193835	0.0255427	0.0402444	0.0540052	0.0664951	0.0512466	0.0411462	0.0236229	0.0184087	0.0103993	0.00758329	0.00711063	0.0188719	0.0175147	0.0158385	0.0158213	0.0128504	0.0159315	0.0301353	0.0284089	0.0375523	0.0379445	0.0453981	0.0561552
que	0.0244718	0.0244386	0.0227161	0.0185431	0.0243506	0.0458549	0.0529233	0.0294025	0.0329241	0.0425589	0.0188723	0.0527006	0.041947	0.0318904	0.0364247	0.0397059	0.0284815	0.0142211	0.0106865	0.0119798	0.0197371	0.0196179	0.0262748	0.0138171	0.0281773	0.0410327	0.0319546	0.0260142	0.0253609	0.0242259	0.0185792	0.0218279	0.0198017	0.020622	0.0231875	0.0219809	0.0126949
j'	0.0686907	0.0295133	0.0235108	0.011089	0.00982447	0.0204477	0.0369668	0.0382945	0.0237207	0.0262779	0.0263283	0.029531	0.0272267	0.0314785	0.0537154	0.0576477	0.0656085	0.039326	0.0483693	0.0296328	0.0157952	0.0178253	0.0156855	0.00995742	0.0220397	0.0288778	0.023518	0.0131415	0.0194843	0.0196375	0.0100375	0.0124549	0.0207616	0.0189487	0.0229769	0.0162377	0.0154205
ai	0.12189	0.0844512	0.0842281	0.0405436	0.0286964	0.0307403	0.0192065	0.010773	0.0046081	0.00355364	0.00402953	0.00355029	0.00338283	0.00684424	0.0100158	0.0117034	0.0202291	0.0218684	0.0142603	0.0112216	0.00994866	0.0151837	0.0204877	0.0207277	0.053496	0.0361708	0.0287418	0.0277563	0.0371331	0.024549	0.0209625	0.0188763	0.0372485	0.0453809	0.0247974	0.0256842	0.0170593
préparer	0.138282	0.107017	0.104803	0.0631262	0.0351695	0.0224242	0.0223982	0.00973151	0.00479242	0.00565764	0.00368213	0.00447276	0.00280926	0.00508684	0.00699941	0.00900192	0.0141016	0.00831051	0.00543248	0.00411638	0.00532876	0.00567492	0.0148457	0.00880103	0.0206409	0.0212723	0.0183016	0.0149309	0.0150054	0.028557	0.0247684	0.0273169	0.0500879	0.0454105	0.0306625	0.0569093	0.034071
</S>	0.0678713	0.0537972	0.0758253	0.0274366	0.0166497	0.0147326	0.024844	0.0125187	0.0107552	0.0121281	0.00679908	0.00944201	0.00749521	0.0105013	0.0141112	0.0168628	0.0259452	0.0149101	0.0112397	0.0105131	0.00944386	0.00797585	0.0115501	0.0134202	0.0283195	0.0305639	0.0416742	0.0407433	0.0335613	0.038607	0.0168757	0.023228	0.0458274	0.0428613	0.0443535	0.0731941	0.053422
