 	a23	a13	a75	a94	a41	a94	a38	a75	a94	a98	a73	a90	a98	a41	a56	a32	a75	a56	a98	a73	a84	a82	a20	a84	a87	a23	a13	a90	a94	a75	a66	a11	a90	a98	a92	a75	a56	a44	a57	a82	a87	a38	a53	a54	a73	a44	a93	a4	a98	a73	a84	a20	a69	a84	a87	</S>
autant	0.0567004	0.0355034	0.0277165	0.0326468	0.0375943	0.0374794	0.0348887	0.0275383	0.0330885	0.0475427	0.0331644	0.0641179	0.0998671	0.0545392	0.0222954	0.0201039	0.0129949	0.00846955	0.00638203	0.00722984	0.00457365	0.00661911	0.00557426	0.0101374	0.010517	0.00847491	0.0100594	0.00822049	0.00865438	0.0100122	0.00941794	0.00627651	0.0108622	0.00753675	0.00514268	0.00463461	0.00585803	0.00495443	0.0112883	0.0118029	0.011033	0.00561918	0.00350685	0.00661196	0.00881971	0.00773675	0.0143519	0.0098622	0.00740486	0.00679563	0.00981506	0.0109185	0.00667774	0.0115088	0.00755635	0.0113013
hier	0.0129777	0.0193685	0.0475564	0.0240254	0.016918	0.0377666	0.0395622	0.0435194	0.0316393	0.0527499	0.0251769	0.0334352	0.0324869	0.0220489	0.0238882	0.0336791	0.0289604	0.0501526	0.045908	0.0469931	0.0162332	0.0116677	0.00780875	0.00583804	0.00550917	0.0033066	0.00295728	0.00359729	0.00282031	0.00159178	0.00214895	0.00226277	0.00294602	0.00405973	0.00505472	0.00719373	0.00638355	0.0114098	0.00910907	0.00678072	0.0112233	0.00428454	0.00522685	0.00589578	0.00850084	0.00823164	0.0103642	0.00919379	0.00779578	0.0112235	0.0153578	0.0196016	0.0141339	0.0239992	0.0178186	0.0396569
j'	0.0086235	0.00765706	0.0136841	0.0107086	0.0122568	0.0178575	0.0248626	0.0170082	0.0166512	0.0140928	0.0143858	0.00961347	0.0117155	0.0145856	0.0313412	0.020711	0.0318991	0.0140277	0.0245012	0.0135938	0.012139	0.0109698	0.0163087	0.00757067	0.00639419	0.00502006	0.00641482	0.00349028	0.00485981	0.00390591	0.00943514	0.00965474	0.0120988	0.02109	0.0258522	0.0382483	0.0246535	0.0424333	0.026663	0.00862964	0.0224971	0.00784942	0.0091703	0.00587876	0.00670049	0.0126798	0.0102074	0.0180942	0.0162443	0.0274058	0.0320022	0.0242714	0.0268628	0.0362455	0.0709087	0.0473736
étais	0.0134973	0.0122181	0.0241777	0.0494828	0.0478186	0.0447072	0.0277052	0.01995	0.0272366	0.040691	0.0290581	0.0143004	0.0102867	0.0156253	0.0221899	0.00966262	0.0187963	0.00761665	0.0173777	0.00859315	0.00709815	0.00887564	0.019614	0.00604627	0.00821627	0.00981675	0.00943183	0.0125576	0.00908321	0.0113533	0.0107768	0.0131882	0.0102146	0.0112421	0.00873645	0.0140102	0.0220368	0.0187794	0.0144434	0.0129357	0.0129901	0.00945591	0.0116139	0.0170301	0.0245426	0.0395195	0.0343883	0.0250026	0.0220017	0.0171199	0.0182343	0.0129966	0.0130452	0.0136584	0.0164817	0.0124714
heureux	0.0170903	0.00805429	0.0107074	0.0193961	0.0198161	0.00985452	0.0053226	0.0112989	0.0202669	0.0128438	0.017145	0.0111072	0.0110134	0.0247622	0.0227254	0.019091	0.0292136	0.0124853	0.0283501	0.0157949	0.0138747	0.0160198	0.0395757	0.0180193	0.0151295	0.0197031	0.0133777	0.0227177	0.0149391	0.0141077	0.0201375	0.0196796	0.0188516	0.0296144	0.0265686	0.0338747	0.0293407	0.0221282	0.0198652	0.0222582	0.0174796	0.0175917	0.017499	0.0234619	0.0234766	0.0245874	0.0235845	0.0229887	0.0123778	0.00742721	0.00993609	0.00834991	0.010749	0.00982163	0.0107357	0.00381126
autant	0.045117	0.030064	0.0326257	0.0218197	0.0144233	0.0403679	0.0513466	0.0366918	0.0237423	0.0330791	0.0159215	0.00861718	0.0043249	0.00525784	0.00508471	0.00435208	0.00444046	0.00383454	0.00434225	0.00426548	0.0046763	0.00864136	0.014011	0.0107634	0.0214059	0.0198978	0.0285238	0.0211987	0.0191275	0.023705	0.0168366	0.0134906	0.0221821	0.0103332	0.00873478	0.00940824	0.00742093	0.00828035	0.00674507	0.00537137	0.00749508	0.00568953	0.00588225	0.00605132	0.0205279	0.0219183	0.0330329	0.0274736	0.015305	0.0243029	0.0311801	0.028319	0.0231873	0.0208015	0.0239335	0.0344274
je	0.0412337	0.0277461	0.0264221	0.0239183	0.0177841	0.021582	0.0224126	0.0237698	0.028041	0.0326472	0.0265785	0.0186747	0.00776835	0.00844365	0.00687397	0.00541757	0.00534724	0.00518433	0.00598701	0.00582204	0.00601126	0.00814372	0.0112156	0.0124908	0.0184412	0.0141806	0.0197684	0.0136885	0.0106712	0.00715986	0.00681917	0.00666513	0.0158095	0.0067645	0.00930628	0.00842575	0.00985485	0.011146	0.0138933	0.00782634	0.0105002	0.00870703	0.00847876	0.00798424	0.0188211	0.026045	0.0495759	0.0351905	0.0182831	0.025206	0.0533062	0.0304372	0.0286858	0.0320876	0.036431	0.0303244
suis	0.0269477	0.0177285	0.0215613	0.0163027	0.0105285	0.013756	0.012944	0.011929	0.0173113	0.0196547	0.0103405	0.00972345	0.0056992	0.00794008	0.00576485	0.00541161	0.00813312	0.00722626	0.00965916	0.011357	0.00679618	0.0113977	0.0090439	0.014104	0.0294226	0.0146477	0.018207	0.0178755	0.0106337	0.00987562	0.00836739	0.00696269	0.00959698	0.0058943	0.00888779	0.0083548	0.00869689	0.0117145	0.00992986	0.00804049	0.0161199	0.00690193	0.00711561	0.0103528	0.0350935	0.0303721	0.0704165	0.0516487	0.0176524	0.0178295	0.0301138	0.0408269	0.0399836	0.0525222	0.0331619	0.0615203
triste	0.0428998	0.0281706	0.0217758	0.0252158	0.0200872	0.019998	0.0208009	0.0101705	0.0115357	0.0108522	0.0079994	0.00659291	0.00843118	0.0120234	0.008644	0.00816168	0.0160062	0.010245	0.0161706	0.0131545	0.0146009	0.0191124	0.027898	0.0293971	0.0206186	0.0329899	0.0361651	0.0248319	0.022232	0.028624	0.0130648	0.0206066	0.0185093	0.0150404	0.0113913	0.0123075	0.00825217	0.0124094	0.0135198	0.0128604	0.0152603	0.0152372	0.0166369	0.0209677	0.0237735	0.0250761	0.0376699	0.032026	0.019039	0.00979359	0.0105607	0.00766959	0.0124684	0.0158339	0.0120676	0.012553
aujourd'	0.0283966	0.0232913	0.0231943	0.0291075	0.0176	0.012278	0.013524	0.0109582	0.0100004	0.0061609	0.00673678	0.00405146	0.00634626	0.00825513	0.00858723	0.00614248	0.0112129	0.00921301	0.0162581	0.014945	0.0213749	0.0222226	0.0274846	0.0230006	0.0175244	0.021576	0.0225027	0.0181662	0.0178231	0.0180671	0.0104692	0.0176778	0.0143211	0.0153726	0.0121325	0.0150877	0.0101732	0.0172769	0.0117133	0.00849205	0.0149884	0.00852054	0.00958365	0.00796905	0.0136313	0.0202828	0.0238909	0.0200321	0.0185548	0.0246781	0.0333359	0.0293735	0.0358936	0.0352642	0.0361169	0.0591664
hui	0.0155502	0.0107455	0.0111967	0.0175341	0.0168802	0.010549	0.00935288	0.0149095	0.0126631	0.00565028	0.00654517	0.0060833	0.0150831	0.017765	0.014631	0.00779385	0.0133358	0.0169438	0.0219388	0.0167194	0.0196715	0.0288723	0.0303717	0.0275738	0.0189369	0.0166343	0.0167786	0.0106265	0.00955705	0.0102842	0.00812	0.0107808	0.00943837	0.0110877	0.0100466	0.0117486	0.0108448	0.0194951	0.0262762	0.0186721	0.0260567	0.0127395	0.0149934	0.01514	0.0177027	0.0196392	0.0226808	0.0211035	0.0223235	0.0286665	0.0234963	0.0313171	0.032197	0.0325865	0.0320076	0.0596619
