 	a66	a87	a23	a13	a54	a79	a15	a25	a79	a7	a56	a98	a85	a92	a56	a25	a15	a20	a98	a47	a0	a75	a5	a43	a21	a12	a18	a25	a10	a87	a23	a82	</S>
le	0.036306	0.0706633	0.0456463	0.0413727	0.0491686	0.101351	0.0335244	0.0178196	0.0154717	0.0177716	0.00960397	0.00602593	0.00509221	0.00441828	0.00519281	0.00716548	0.00828821	0.00517097	0.0181306	0.0208682	0.0227538	0.0264	0.0377284	0.0403823	0.0435696	0.0530788	0.0535987	0.0288644	0.0292917	0.0217253	0.027533	0.0217764	0.0742458
prophète	0.00251324	0.00518541	0.00719354	0.0220746	0.0388497	0.053147	0.0585695	0.117739	0.155867	0.13084	0.0970493	0.0646312	0.0388158	0.0335709	0.0229384	0.0339372	0.0314503	0.0120885	0.0153526	0.0154055	0.00730566	0.00508737	0.00718875	0.00584475	0.00416852	0.00286699	0.00237114	0.00182131	0.000744276	0.000794136	0.00110912	0.00224042	0.00123878
traditionnel	0.0474668	0.0480292	0.0446075	0.0529882	0.0448523	0.0368311	0.0371709	0.0357817	0.0294234	0.0370684	0.0767537	0.0526317	0.0228707	0.0245656	0.0150074	0.00970836	0.0192127	0.00894704	0.00910025	0.0111753	0.0101087	0.0142233	0.0209558	0.0183967	0.0353631	0.0367988	0.0289685	0.0244042	0.0303004	0.0246135	0.0349244	0.0351079	0.0216428
est	0.014165	0.00803415	0.00674551	0.00674704	0.00785188	0.00495355	0.00792135	0.00883088	0.00973002	0.0114107	0.0207258	0.0310467	0.0455626	0.0376359	0.0315826	0.0368219	0.0413431	0.0497261	0.0298847	0.0181496	0.0201244	0.0246108	0.0227468	0.0238428	0.0443231	0.0412259	0.0443389	0.0506334	0.0553464	0.0612778	0.0632511	0.045394	0.0740154
déjà	0.0439333	0.0356729	0.0358109	0.0268033	0.0119631	0.00536987	0.00606317	0.00435637	0.00266778	0.00368651	0.00364142	0.00885554	0.0117474	0.0141051	0.052155	0.091647	0.126659	0.0911238	0.0837055	0.0577195	0.0656124	0.0290857	0.0318721	0.0182437	0.0282627	0.0175432	0.0182527	0.0146654	0.0141174	0.00993425	0.0107466	0.00996525	0.0140125
arrivé	0.0319997	0.0355331	0.0359882	0.0348863	0.0297011	0.0201864	0.0130265	0.019075	0.0127665	0.0237469	0.0151749	0.0148126	0.0177928	0.0259532	0.0507228	0.0442163	0.0765895	0.0401367	0.035358	0.0274239	0.0359241	0.0280173	0.0317586	0.0265043	0.0332243	0.0338006	0.0332825	0.0319828	0.0317293	0.0243795	0.0299486	0.0256551	0.0287027
dans	0.0358561	0.0377592	0.0349657	0.0364655	0.0355534	0.0321823	0.0268508	0.0363728	0.0360092	0.0435318	0.0309277	0.0192846	0.0119502	0.0156711	0.0147414	0.0163102	0.0220302	0.00983978	0.0139279	0.0112018	0.0158211	0.0210179	0.0291717	0.0246269	0.0326838	0.0373409	0.0309887	0.0285486	0.0415467	0.032278	0.0500908	0.0434284	0.0910247
le	0.0388836	0.0279008	0.0228909	0.0278042	0.0286046	0.0202446	0.0153105	0.0382394	0.042374	0.0634337	0.0503285	0.0378022	0.0243727	0.0249164	0.021204	0.0146339	0.0173798	0.0122884	0.0128617	0.0120722	0.0111017	0.0103247	0.0109983	0.0114661	0.0141736	0.0231721	0.0193464	0.0367289	0.0476707	0.0568132	0.0688886	0.0704775	0.065292
sanctuaire	0.0322663	0.0237786	0.0225765	0.0261775	0.0238104	0.0220223	0.0224885	0.0236489	0.0208957	0.0311788	0.0225977	0.0282693	0.0339779	0.0382643	0.0306392	0.0213669	0.0247403	0.0214568	0.0460773	0.0458901	0.0207952	0.0144978	0.0112604	0.013127	0.011658	0.0267548	0.0276711	0.0471198	0.0421159	0.0529658	0.0650598	0.0554629	0.0493882
</S>	0.0274893	0.040303	0.0343844	0.0324587	0.0243209	0.0219356	0.0100132	0.0176971	0.0128534	0.0186189	0.0143243	0.0157517	0.012251	0.0132595	0.0275397	0.022201	0.0454184	0.0250222	0.0372143	0.0300737	0.0186146	0.0148551	0.0144979	0.0166607	0.0137832	0.0228695	0.028603	0.0373083	0.0512839	0.0537054	0.0801687	0.0717613	0.0927579
