 	a66	a87	a79	a69	a21	a12	a21	a12	a75	a92	a75	a85	a6	a0	a12	a47	a62	a88	a62	a88	a71	a9	a10	a87	a23	a99	a87	a97	</S>
il	0.116633	0.220078	0.134341	0.0280546	0.0174961	0.0141517	0.0101493	0.00467867	0.00319136	0.00233311	0.00362635	0.00227635	0.00382458	0.00256502	0.0046991	0.00801603	0.00751705	0.0155568	0.0341048	0.0295519	0.0374591	0.0330977	0.0477405	0.0310633	0.0353596	0.0390051	0.0435625	0.0361783	0.0336889
y	0.0397742	0.0554779	0.0663826	0.0742004	0.0753216	0.0803404	0.0652911	0.040983	0.0377035	0.0556886	0.0432591	0.0367451	0.0319646	0.0230323	0.017779	0.0144806	0.0159057	0.0154853	0.0158087	0.0208137	0.0167976	0.0233902	0.0192401	0.0188168	0.0225912	0.022274	0.0178137	0.0190279	0.0136111
a	0.0411193	0.0364295	0.0262521	0.0182485	0.0456337	0.0416721	0.0532943	0.0273548	0.020725	0.0230407	0.0263163	0.0199148	0.0156313	0.0198945	0.019686	0.0208323	0.0166531	0.0215583	0.0265561	0.0277051	0.0193444	0.0288367	0.0345262	0.0302379	0.0567173	0.0518475	0.047336	0.0963335	0.0863028
beaucoup	0.106085	0.0824764	0.0738576	0.0701623	0.0332324	0.026699	0.0266708	0.0282674	0.0343718	0.0331004	0.0304706	0.0276347	0.0299735	0.0284953	0.0273443	0.0191916	0.0255104	0.0194838	0.0185255	0.0189477	0.0216316	0.0236871	0.0252612	0.0217998	0.0253696	0.0298269	0.0213775	0.0261484	0.0443979
d'	0.0364415	0.0209541	0.0217934	0.0374211	0.0326412	0.0323998	0.02223	0.0190387	0.0249193	0.0242902	0.0203467	0.0169779	0.017571	0.0195313	0.0192878	0.0222429	0.0274448	0.029274	0.0359863	0.0440171	0.0493471	0.0481267	0.077565	0.0536266	0.0664107	0.0679846	0.0425881	0.0390861	0.0304561
escargots	0.060426	0.0450181	0.0318028	0.0453122	0.0642116	0.0672669	0.0476768	0.0351765	0.0305247	0.0299655	0.025948	0.0285157	0.0230837	0.021877	0.0174294	0.0173523	0.0183065	0.0293359	0.0373496	0.0395477	0.0359267	0.0277129	0.048951	0.0269261	0.0320507	0.0356252	0.0286967	0.024181	0.0238027
dans	0.055558	0.0597658	0.0393752	0.0224092	0.0310434	0.0201537	0.0182638	0.00894524	0.00810594	0.0104844	0.0150283	0.0217103	0.0278236	0.0285966	0.01911	0.0234761	0.0276548	0.033637	0.0350034	0.0515168	0.0510817	0.0488975	0.0773002	0.0446192	0.0567244	0.054886	0.0430119	0.034512	0.0313052
ce	0.105172	0.065908	0.027825	0.0090449	0.0156226	0.0135203	0.0143743	0.00341231	0.00285812	0.00305062	0.00408311	0.00894862	0.0184084	0.0301508	0.0232768	0.0235666	0.0258048	0.0309696	0.0327632	0.0438254	0.0418321	0.0483691	0.0471961	0.0436565	0.0603898	0.060801	0.0536151	0.0736451	0.0679094
ruisseau	0.030028	0.0278809	0.0345553	0.0159416	0.0174053	0.0148614	0.0136478	0.00501217	0.00433923	0.00467779	0.00699569	0.0101719	0.0139275	0.0146745	0.0185027	0.0193212	0.0216768	0.017497	0.030297	0.031627	0.0612594	0.0571996	0.0848245	0.0700942	0.10555	0.0840503	0.0680756	0.0622132	0.0536933
</S>	0.0215801	0.0217375	0.0251251	0.0153507	0.0230894	0.0180022	0.0194437	0.00838965	0.00847418	0.0122206	0.0151105	0.0147193	0.0166375	0.0224748	0.0234663	0.0258347	0.0262975	0.0248692	0.0366455	0.0322664	0.0425072	0.0364305	0.0798732	0.0443878	0.107213	0.0719087	0.0726513	0.0773191	0.0559745
