 	a66	a10	a87	a23	a99	a54	a6	a37	a6	a47	a79	a90	a92	a79	a90	a44	a37	a75	a98	a47	a7	a90	a93	a4	a57	a3	a87	a23	a99	a30	a27	</S>
le	0.0349112	0.0368668	0.026781	0.0300515	0.0519379	0.0721299	0.221	0.0801234	0.0803467	0.0238525	0.0207207	0.0130574	0.00982445	0.00648123	0.0138799	0.00512144	0.00591773	0.00900931	0.0123819	0.0102351	0.014054	0.0195573	0.0169761	0.0260626	0.0325815	0.0210411	0.0139452	0.025292	0.011537	0.0177628	0.0170058	0.0195549
barrage	0.00168832	0.00297997	0.00375161	0.00890283	0.0246541	0.135694	0.188943	0.151787	0.241978	0.155217	0.0266623	0.0191821	0.00950605	0.00276146	0.000535582	0.00154939	0.000406743	0.00225932	0.00598105	0.00248786	0.0016769	0.000779122	0.000664091	0.000552007	0.000714281	0.00140538	0.00071694	0.000994693	0.00191834	0.000542382	0.00191756	0.00119086
de	0.0846901	0.109182	0.0691937	0.0625427	0.0486642	0.0741012	0.0600911	0.0429525	0.0443867	0.0672322	0.0235273	0.0389277	0.0206641	0.0111002	0.0105998	0.00712699	0.00509921	0.0147882	0.0307228	0.0184469	0.0131518	0.0199623	0.0176746	0.0140586	0.0163947	0.0166621	0.01081	0.00994568	0.00836326	0.00740715	0.0100418	0.011489
mon	0.0850819	0.0607544	0.0314858	0.0309124	0.0255116	0.0295045	0.0264181	0.0174612	0.0131368	0.0216115	0.0218847	0.0326092	0.0258523	0.0163266	0.0205539	0.0161649	0.00781471	0.014793	0.0118023	0.0100626	0.00548391	0.00943502	0.0178808	0.0187525	0.0240344	0.0380126	0.0492863	0.0562424	0.0535224	0.0800561	0.0687964	0.0587545
oncle	0.0344379	0.0221213	0.0234467	0.0227395	0.0209254	0.00989335	0.00583382	0.00623935	0.00342705	0.00761783	0.0174563	0.0194939	0.0468949	0.0335478	0.0104652	0.0115579	0.00946828	0.0327817	0.0270875	0.0148405	0.0170321	0.0264717	0.0400023	0.0630582	0.0510379	0.0678519	0.0430538	0.0409496	0.0678783	0.0759687	0.0702687	0.0561506
a	0.0361204	0.0288446	0.0244251	0.0222072	0.015641	0.0117497	0.0170054	0.0145863	0.0140539	0.0136521	0.0187009	0.0282508	0.0237238	0.0159724	0.0112019	0.0187142	0.00539232	0.014628	0.0179671	0.0186776	0.0227029	0.0295159	0.0332817	0.0717583	0.0339269	0.0707513	0.0600945	0.0577966	0.070595	0.0571931	0.065648	0.0552208
des	0.0173433	0.0132058	0.0130129	0.0168258	0.0169128	0.0109106	0.010409	0.0103648	0.00806997	0.0128364	0.0266433	0.0211486	0.0224359	0.0320157	0.0149601	0.032506	0.0146014	0.0273474	0.0202409	0.0197347	0.0173537	0.0277142	0.0368663	0.0634014	0.0479033	0.059896	0.0612433	0.0566284	0.0661293	0.0568706	0.0642888	0.0801791
nasses	0.0228812	0.0158817	0.0147801	0.0201893	0.026297	0.0158171	0.014738	0.0147405	0.00981505	0.0131468	0.0229133	0.0174543	0.0243022	0.022258	0.0145036	0.00984739	0.00960491	0.00814124	0.00709647	0.00776761	0.0139634	0.0158069	0.0198025	0.0536956	0.0353811	0.0914486	0.0922791	0.0829886	0.0795134	0.0821834	0.0560598	0.0647018
de	0.0496258	0.0249756	0.024441	0.0304118	0.0448273	0.0263465	0.0279704	0.0203261	0.0109822	0.0120431	0.0234845	0.0166763	0.0210752	0.0146392	0.0461853	0.0211023	0.0286549	0.0226103	0.0184162	0.027759	0.0389898	0.0424313	0.0361116	0.0465505	0.0426585	0.0482085	0.0431995	0.0469859	0.0315529	0.0422837	0.0374744	0.0310006
type	0.0326483	0.0273126	0.0292594	0.0343849	0.0448019	0.0301319	0.0252634	0.0141347	0.00899959	0.0147746	0.0181954	0.0122881	0.015705	0.0119906	0.0102738	0.00876803	0.00750859	0.0109574	0.0112187	0.0156347	0.0211148	0.0285918	0.0318241	0.0444401	0.0609889	0.0521447	0.0566398	0.0663815	0.0399493	0.0505708	0.0618286	0.101274
kooro	0.0314064	0.0250577	0.026045	0.0321669	0.0427091	0.0253818	0.0235073	0.0151606	0.0124139	0.0224752	0.0265739	0.0230673	0.0256391	0.0221885	0.0191218	0.0116047	0.0125312	0.0128453	0.0123291	0.0135078	0.0162675	0.021962	0.0251857	0.0402479	0.0469516	0.0507912	0.0583645	0.0610457	0.0407253	0.0454117	0.0497439	0.10757
</S>	0.027993	0.0163059	0.0173609	0.0191403	0.0248603	0.0166192	0.0235605	0.0108514	0.0104893	0.00719869	0.00867338	0.00483794	0.00637011	0.00602223	0.00686826	0.00428472	0.00477961	0.00454265	0.00424346	0.0132837	0.0175704	0.0392143	0.0405918	0.0710496	0.0736956	0.063298	0.0652748	0.0829833	0.0534672	0.0719312	0.0754009	0.107237
