 	a66	a87	a23	a79	a20	a15	a7	a20	a6	a36	a26	a21	a12	a43	a0	a11	a88	a9	a87	a23	a40	a36	a44	a11	a0	a56	a36	a2	a57	a10	a87	a23	a87	</S>
si	0.0221241	0.0307477	0.0212422	0.0386069	0.063076	0.0693264	0.100717	0.0527535	0.0474774	0.0541505	0.0704386	0.0180512	0.0328155	0.0153935	0.00804621	0.0055314	0.00452348	0.00889234	0.0284555	0.0319459	0.0590486	0.0267812	0.0218	0.0206649	0.00720039	0.00912779	0.00587037	0.00916859	0.00489201	0.0112064	0.01553	0.0211644	0.0322762	0.0309539
l'	0.0219264	0.0428813	0.0605598	0.0271062	0.0179283	0.03458	0.07424	0.0398096	0.0404091	0.0257868	0.0269939	0.0251317	0.0200649	0.0238824	0.0269271	0.0168197	0.0151815	0.0109205	0.0206844	0.0227484	0.0246437	0.00969413	0.0126013	0.0102868	0.0158427	0.0312098	0.0250532	0.0328442	0.0390177	0.0432935	0.0416071	0.0429412	0.0568852	0.0194975
enfant	0.0278459	0.0277835	0.0163989	0.0210976	0.0394464	0.0535503	0.0555456	0.0320835	0.0514058	0.0493895	0.0436409	0.0334053	0.0442957	0.0352147	0.0297954	0.0305942	0.0309649	0.0308808	0.02666	0.0338297	0.0331805	0.0245414	0.00847881	0.00803506	0.00385833	0.00265481	0.00686638	0.0150365	0.0143032	0.018756	0.0242805	0.0311693	0.0580383	0.0369725
fait	0.0559804	0.0262356	0.0282025	0.0134442	0.00977072	0.00564981	0.00750461	0.00715942	0.0102166	0.00734783	0.00787458	0.0182376	0.0199098	0.0358749	0.0104119	0.00750257	0.00856358	0.00475561	0.00715059	0.00886413	0.00993762	0.00805684	0.0104308	0.00912964	0.0249894	0.0153806	0.0528197	0.0604325	0.125235	0.147744	0.0771337	0.0560229	0.0530347	0.0489963
des	0.018342	0.0094821	0.00634935	0.00476864	0.00606942	0.00506184	0.00931496	0.0262209	0.0189264	0.022175	0.0374287	0.0402446	0.0628045	0.0585289	0.0202243	0.0197512	0.0132153	0.0101976	0.0109894	0.0178382	0.0302799	0.0418225	0.0250879	0.0209877	0.0109163	0.0137419	0.0364456	0.0248739	0.0730366	0.085752	0.0708676	0.0634886	0.0524799	0.0322862
bêtises	0.0158436	0.0182281	0.0110352	0.0101442	0.0174836	0.0227011	0.0185509	0.0438654	0.0290383	0.0317481	0.0379637	0.063716	0.036227	0.0390881	0.0448688	0.043798	0.0590125	0.0590132	0.0546236	0.0538462	0.0381232	0.034839	0.014356	0.0123309	0.025074	0.0168856	0.0269598	0.0153905	0.0354511	0.0216028	0.0149567	0.0119881	0.00996613	0.0112803
il	0.0541135	0.0199416	0.0203177	0.0124609	0.00794462	0.0160983	0.0221771	0.0345309	0.0384904	0.0325187	0.0280695	0.026741	0.0240861	0.01653	0.00991925	0.0058609	0.00685448	0.00771744	0.0131128	0.0101235	0.0114165	0.0101288	0.00796386	0.00743007	0.0124004	0.0208427	0.0375917	0.0496231	0.0643897	0.10116	0.0787223	0.0773988	0.0709195	0.0424032
faut	0.0361952	0.0248758	0.0234305	0.0122622	0.0117798	0.0194852	0.0169649	0.0320449	0.0224019	0.021662	0.0268527	0.0269879	0.0223483	0.0359493	0.02203	0.0107173	0.0127398	0.0114653	0.0139462	0.00996616	0.0114129	0.00961693	0.0094594	0.0106357	0.0134488	0.0270678	0.0414616	0.0431498	0.0878784	0.10037	0.0830724	0.0502615	0.0523487	0.0457107
le	0.0419262	0.0341433	0.02671	0.0155027	0.0138031	0.0175155	0.0185993	0.0334603	0.0194538	0.0179707	0.0213335	0.0161941	0.0269325	0.0507788	0.0145451	0.0137362	0.013053	0.0108361	0.0139692	0.0117777	0.0143374	0.0138633	0.0165277	0.0351138	0.0185727	0.0402639	0.0363022	0.0451313	0.045355	0.050914	0.0583376	0.0614692	0.0571364	0.0744343
redresser	0.0136386	0.0120534	0.0162211	0.0179908	0.0185282	0.0176271	0.0168253	0.0364429	0.03436	0.0368268	0.0459244	0.0358749	0.0497612	0.0566716	0.0477357	0.0453088	0.0492065	0.0379171	0.026447	0.0147847	0.0131152	0.00908591	0.0072231	0.0128048	0.00546005	0.0130936	0.0156983	0.0305939	0.031923	0.0402243	0.0427373	0.0304341	0.0541745	0.0632855
</S>	0.00995011	0.00414431	0.00729051	0.00609626	0.0040591	0.00997349	0.0172343	0.029259	0.0357403	0.029978	0.0480619	0.0222786	0.0482397	0.0410106	0.0370913	0.0381523	0.0274593	0.0204573	0.0173867	0.0139329	0.00756972	0.00659964	0.00776493	0.0112594	0.0114667	0.0248006	0.0337623	0.0331457	0.0479283	0.0495837	0.0729255	0.0752478	0.0820525	0.0680973
