 	a66	a87	a10	a62	a96	a44	a98	a85	a0	a75	a37	a75	a47	a61	a21	a12	a61	a21	a61	a18	a21	a47	a88	a71	a9	a3	a97	a27	</S>
cet	0.0647579	0.0570256	0.0335513	0.0275824	0.0229974	0.0238016	0.0301737	0.0289628	0.0297455	0.0299771	0.0255922	0.0253359	0.0230658	0.021941	0.0298073	0.0323728	0.0294096	0.0271642	0.0190664	0.0241544	0.0278615	0.0314784	0.0359524	0.0343552	0.0508667	0.0364931	0.0488208	0.0582785	0.0694082
homme	0.00727279	0.00715878	0.00980395	0.0161524	0.0222567	0.062843	0.138037	0.19552	0.127962	0.123472	0.0905169	0.0534735	0.0340755	0.0218489	0.015147	0.0136077	0.0131974	0.0116698	0.00458796	0.00198926	0.00442705	0.00224696	0.00175942	0.00239628	0.000915474	0.00432746	0.00520039	0.00317406	0.00496077
est	0.0773296	0.0843489	0.0703365	0.0575296	0.0514148	0.0493862	0.0358492	0.0279609	0.0213247	0.0145712	0.0151855	0.0135265	0.00995124	0.0058548	0.00563528	0.00707995	0.00656064	0.0115218	0.0164366	0.00982488	0.0196882	0.028463	0.0239676	0.0259943	0.0267362	0.0482323	0.0603923	0.0995523	0.0753447
en	0.0417457	0.0224234	0.0167194	0.0169859	0.0183627	0.0155921	0.0207149	0.0332399	0.0470747	0.046969	0.0478547	0.0493379	0.042799	0.0253783	0.0185628	0.0278071	0.0188842	0.0290705	0.0318012	0.0314575	0.0280757	0.0514576	0.0641659	0.033332	0.0281638	0.038258	0.0522029	0.0513927	0.0501705
train	0.0520433	0.0272815	0.0264815	0.016187	0.0132879	0.0124995	0.0110772	0.0142476	0.0385881	0.0581111	0.0794305	0.0861264	0.0757342	0.0722936	0.067709	0.0438904	0.0587269	0.0468804	0.0276164	0.0174489	0.0236843	0.0190401	0.00844346	0.0136883	0.0322889	0.0193795	0.0139902	0.0114934	0.0123304
de	0.0314608	0.0210208	0.00872753	0.0066459	0.00623398	0.00383833	0.00420073	0.00416423	0.00581629	0.00515457	0.00526396	0.00589763	0.00730538	0.0135867	0.0360132	0.0529726	0.0536939	0.0838017	0.0636488	0.0527304	0.0423973	0.0393026	0.0259866	0.054571	0.0557056	0.0646375	0.0639915	0.0866531	0.0945774
se	0.0571844	0.0323495	0.0203452	0.0153851	0.0285373	0.0285743	0.0392729	0.0417859	0.0413357	0.0507381	0.0723141	0.0614241	0.0678581	0.0552704	0.0386532	0.0472833	0.0404659	0.0416305	0.027121	0.0196994	0.0158694	0.0179108	0.00814639	0.0135099	0.0274953	0.030656	0.0207725	0.0236279	0.0147836
raser	0.0382932	0.0352791	0.0229094	0.0164726	0.021124	0.0231573	0.0199634	0.02438	0.0322715	0.0388672	0.0697656	0.0707869	0.0698109	0.0600249	0.0395586	0.0343896	0.0354253	0.03568	0.0315967	0.0250875	0.0229637	0.0323299	0.0156658	0.0237121	0.0277278	0.0293595	0.0306092	0.0332624	0.039526
la	0.0471574	0.024896	0.0182726	0.0141606	0.0165972	0.0158806	0.0108183	0.00981561	0.00978615	0.0117861	0.010553	0.0118558	0.016304	0.0189888	0.0253604	0.0380388	0.0452384	0.0676114	0.0664802	0.0710285	0.0354949	0.0634995	0.0483033	0.0401477	0.0291029	0.0581528	0.0640545	0.0566942	0.0539205
barbe	0.0334283	0.00937449	0.00717612	0.00635445	0.0086559	0.0145338	0.0163781	0.0190035	0.0209623	0.0204078	0.0154535	0.0152484	0.0167725	0.0172514	0.0175506	0.0193638	0.0293125	0.0416839	0.043867	0.052117	0.067448	0.0791827	0.0773244	0.0573431	0.0926202	0.0616968	0.0547214	0.0464559	0.0383121
</S>	0.0206085	0.0105425	0.00593863	0.00299229	0.00420455	0.00499919	0.00508967	0.00372833	0.00418321	0.00374812	0.00355443	0.00588526	0.00755142	0.013343	0.0231332	0.0251406	0.0284245	0.0374774	0.0404916	0.0656617	0.0589442	0.0530232	0.0518098	0.0776812	0.0768139	0.0763655	0.0743921	0.1086	0.105671
