 	a66	a87	a23	a87	a23	a40	a41	a66	a62	a75	a25	a44	a57	a38	a75	a47	a44	a26	a75	a5	a37	a94	a75	a25	a90	a13	a93	a0	a75	a73	a44	a93	a56	a98	a44	a26	a54	a36	a57	a87	a23	a99	a97	</S>
on	0.0481519	0.107602	0.114059	0.0595901	0.0390104	0.0456626	0.0583349	0.0660421	0.0385153	0.0285411	0.0176716	0.0169015	0.0110711	0.012084	0.0112146	0.0123106	0.0169941	0.00960332	0.00989723	0.00846113	0.0102861	0.00925016	0.0068076	0.00550573	0.0105802	0.0133798	0.00733729	0.00939829	0.0102128	0.00920261	0.012136	0.0159415	0.0125758	0.00725323	0.0093044	0.0139879	0.0114418	0.0110027	0.0116029	0.011273	0.0101242	0.0124822	0.0134191	0.0237767
ne	0.0129476	0.0118612	0.0152675	0.0153217	0.0206089	0.0310485	0.0520216	0.0338138	0.0765629	0.0530442	0.039341	0.035338	0.0323109	0.0218025	0.0204489	0.02381	0.0186521	0.0159734	0.0126369	0.0131504	0.0126894	0.0126451	0.0191574	0.0198228	0.0186126	0.0139691	0.0153435	0.0135372	0.0131208	0.0136645	0.0131001	0.00653849	0.0117411	0.0239474	0.026262	0.0313535	0.0260285	0.0250559	0.0193378	0.021457	0.0235458	0.0252306	0.0180527	0.0198246
se	0.0436365	0.0336258	0.0244682	0.019684	0.0138514	0.0180908	0.0153922	0.0150198	0.0148894	0.0141393	0.0171545	0.015579	0.0200576	0.0195875	0.0243697	0.029778	0.0326698	0.045731	0.0446129	0.0395512	0.0519252	0.0406033	0.032109	0.0185485	0.022837	0.00761779	0.00948205	0.00577548	0.00808227	0.00928463	0.00846265	0.00708864	0.00948853	0.0151083	0.0148655	0.0177196	0.0285423	0.0255281	0.0250345	0.0301866	0.0372295	0.0205279	0.0321466	0.0199173
courbe	0.0381831	0.0188829	0.0158023	0.0156864	0.00951046	0.0110455	0.00895098	0.0121398	0.0134615	0.010428	0.00884476	0.0075118	0.0107269	0.0137767	0.0269358	0.0306794	0.0383982	0.0469947	0.0466489	0.0456917	0.0555061	0.056948	0.049808	0.0490368	0.0341504	0.0328604	0.0382999	0.0300006	0.0110365	0.0136251	0.0118806	0.0112654	0.0129456	0.0109487	0.00889698	0.00740142	0.00838703	0.00981921	0.0121482	0.0145472	0.0189102	0.0127249	0.0172997	0.0412532
pas	0.074244	0.0281038	0.0232876	0.0200925	0.0208971	0.0129419	0.0136182	0.015326	0.0162859	0.0151815	0.0118626	0.0121337	0.0140701	0.0140006	0.0248776	0.0233761	0.0270641	0.0250291	0.0276074	0.0258311	0.0288857	0.0309562	0.0204734	0.0265726	0.0381592	0.0525669	0.0386466	0.0253793	0.0173006	0.0273862	0.0305872	0.0318794	0.0236162	0.0108193	0.0121122	0.0100573	0.00925408	0.0128465	0.0121071	0.0166417	0.0201941	0.00967769	0.0141688	0.0338809
avec	0.0411201	0.025253	0.0201694	0.0218277	0.025406	0.0176434	0.0310691	0.0278816	0.0208591	0.0264685	0.0181514	0.0216564	0.0279141	0.0221799	0.0297606	0.0243967	0.0281449	0.0270068	0.0242308	0.026206	0.037641	0.0283797	0.0202796	0.0224343	0.0245337	0.0226553	0.0122157	0.0132004	0.0139177	0.0101555	0.0132816	0.0165154	0.0212111	0.0189398	0.0194037	0.0201077	0.0238151	0.0238961	0.0233304	0.0222721	0.0280088	0.015555	0.0173664	0.0235386
la	0.100988	0.0315235	0.013506	0.00841534	0.00654075	0.00439515	0.00477485	0.00443904	0.00277976	0.00315532	0.00294679	0.00409079	0.00431253	0.00723875	0.012235	0.013244	0.0147461	0.0146125	0.0203748	0.0169257	0.032602	0.0186215	0.0197307	0.0158189	0.0186214	0.00686893	0.00560394	0.0106998	0.0181485	0.0196061	0.0293982	0.0374958	0.0413158	0.0400912	0.0429012	0.0366486	0.0325188	0.0529842	0.0454121	0.0426385	0.0430166	0.028374	0.039355	0.0302838
tête	0.043797	0.0185454	0.0157248	0.00714055	0.00518042	0.00451369	0.0035315	0.00368572	0.00264881	0.00275817	0.00284967	0.00529148	0.00424041	0.00799481	0.0273868	0.0212664	0.0232474	0.0373659	0.0548368	0.0428164	0.0474182	0.0370805	0.037653	0.0243078	0.0282161	0.0155104	0.0135847	0.0113164	0.0119262	0.0101309	0.0152802	0.0223181	0.0238973	0.0185651	0.0241433	0.0232484	0.03786	0.0492773	0.0535928	0.0487642	0.0414154	0.0294518	0.0268174	0.0134024
dans	0.0817779	0.0217432	0.0117124	0.0108288	0.00405366	0.00243762	0.00154651	0.00396374	0.00185201	0.002884	0.00236303	0.00559996	0.00577568	0.00925524	0.0148823	0.00828598	0.00917776	0.00826149	0.0103931	0.00769377	0.0110443	0.00609594	0.00693682	0.00401152	0.00968463	0.00781733	0.00863573	0.0083919	0.00632805	0.00854336	0.0188514	0.0163165	0.0125993	0.00521962	0.0102326	0.0163378	0.0319889	0.0631294	0.0495381	0.0927347	0.128731	0.0658848	0.0753555	0.111103
les	0.0612438	0.0159083	0.00731297	0.00607647	0.00430335	0.00298395	0.0022682	0.00459841	0.00241483	0.0040808	0.00403703	0.00829961	0.0116208	0.0190655	0.0261891	0.0160769	0.0166793	0.0147404	0.0154769	0.0116638	0.0169178	0.0124975	0.0131233	0.00767186	0.0178294	0.0120085	0.0169042	0.0194159	0.017775	0.0236052	0.0313692	0.0213076	0.0225493	0.0173104	0.0227135	0.0266009	0.0382756	0.0452442	0.03727	0.0616521	0.0651341	0.0513674	0.0641113	0.0823054
