 	a23	a0	a75	a56	a25	a79	a44	a56	a12	a47	a31	a0	a75	a56	a75	a56	a25	a90	a69	a53	a4	a58	a57	a82	a87	a23	a99	a97	a87	a97	</S>
nous	0.0558535	0.0424627	0.0281743	0.0336382	0.0389436	0.0236275	0.0242292	0.0179513	0.016028	0.00896636	0.00802096	0.00818081	0.00806494	0.00955468	0.0116699	0.0125117	0.0156257	0.0193871	0.0199761	0.0356157	0.0443356	0.0441042	0.0536077	0.0558697	0.0452972	0.0591554	0.0675776	0.0402508	0.0448179	0.0509125	0.0555891
venons	0.0120953	0.0140873	0.0113009	0.0177547	0.0103334	0.0171226	0.0329176	0.0393359	0.0249228	0.0245752	0.0256511	0.0212339	0.0303595	0.044925	0.0456857	0.00993084	0.0273407	0.0241054	0.0403431	0.0547451	0.0687159	0.0613073	0.0514603	0.0508706	0.038577	0.0335987	0.0359131	0.033836	0.0302671	0.0353325	0.0313555
de	0.0104778	0.0129326	0.0206374	0.0211473	0.0157563	0.0165447	0.0160483	0.0225129	0.0175419	0.0190484	0.0150456	0.0155938	0.0318786	0.0303228	0.0786708	0.0208631	0.024156	0.0426949	0.0357416	0.0330527	0.0369186	0.0250513	0.0268516	0.0318305	0.0319559	0.0372039	0.0540258	0.0514346	0.0496441	0.0759198	0.0784964
cueillir	0.0379031	0.0222249	0.0262456	0.0115352	0.0174717	0.0117019	0.0105894	0.0303552	0.0459898	0.0727363	0.053852	0.0908672	0.145205	0.122866	0.0981444	0.0436559	0.0417956	0.0166993	0.0100769	0.0139606	0.00980387	0.00882959	0.00681658	0.00705735	0.00472425	0.00495295	0.00542774	0.00392599	0.00398203	0.00485339	0.0157507
les	0.0758036	0.0520061	0.0548149	0.0273279	0.0340412	0.0295315	0.028087	0.054227	0.0545855	0.0332333	0.0259432	0.0290662	0.0284979	0.0242167	0.0196915	0.0125314	0.0161117	0.018055	0.0206425	0.0276179	0.0286815	0.0236893	0.0204348	0.0326065	0.0288779	0.028381	0.0316714	0.031273	0.0338064	0.0307845	0.0437618
fruits	0.0853764	0.0399819	0.0253247	0.0140169	0.0151901	0.010863	0.0148885	0.0361942	0.0467555	0.0344929	0.0500326	0.0241979	0.0195587	0.0257944	0.0175958	0.0277891	0.0550756	0.0383577	0.0298212	0.0481924	0.0507184	0.0316545	0.0343125	0.0339353	0.0374417	0.0322453	0.0355913	0.0196937	0.0238546	0.0171664	0.0238867
sauvages	0.0751214	0.0659583	0.0520161	0.039454	0.0334181	0.0241476	0.0286208	0.0260119	0.023374	0.0102012	0.0193763	0.0104392	0.0114419	0.0133097	0.00834259	0.0134149	0.0145704	0.0165713	0.014605	0.0297586	0.0307897	0.0181043	0.0230352	0.0327847	0.0385948	0.0462265	0.0542291	0.0415084	0.0388721	0.0472898	0.0984122
dans	0.0602773	0.0419308	0.0374496	0.0353068	0.0332201	0.0294138	0.0258194	0.0214177	0.0237786	0.0131391	0.0208495	0.0110393	0.0119445	0.012282	0.0102491	0.0120513	0.0148333	0.0115314	0.0151073	0.0237802	0.0343237	0.0325585	0.0324768	0.051091	0.0584624	0.0621365	0.0563647	0.058382	0.0475809	0.044035	0.0571675
la	0.0402732	0.0274162	0.0258284	0.028727	0.0268301	0.0217668	0.0143327	0.0103717	0.0102468	0.00675718	0.00955414	0.0064637	0.00648823	0.00643856	0.00941653	0.0120727	0.020658	0.0102637	0.0116419	0.0165855	0.0269204	0.0233018	0.0382018	0.0531969	0.0600468	0.088326	0.0879193	0.0494716	0.0617822	0.0657581	0.122942
plaine	0.0699674	0.0422564	0.0364685	0.028462	0.0212223	0.022484	0.0146769	0.0128453	0.0118836	0.0158041	0.0201008	0.0213207	0.0192523	0.0150063	0.0176487	0.0246756	0.0288789	0.0294322	0.0358642	0.0353526	0.0428782	0.038593	0.0534252	0.0353516	0.0378862	0.0385437	0.051833	0.0248147	0.0414791	0.0484889	0.0631037
</S>	0.0620395	0.0444254	0.0250932	0.0183986	0.0283593	0.0142036	0.0186605	0.00855833	0.00523479	0.00293771	0.00351047	0.00320124	0.00302529	0.00283651	0.00342333	0.00577271	0.011128	0.0101619	0.0168861	0.0383903	0.0520659	0.0411022	0.0453933	0.0583922	0.0575892	0.0654609	0.0844911	0.048138	0.0495074	0.0567009	0.114912
