 	a66	a87	a23	a50	a83	a53	a90	a92	a37	a12	a43	a0	a31	a62	a96	a93	a56	a93	a56	a44	a94	a12	a96	a18	a71	a82	a87	a23	a97	</S>
l'	0.0744937	0.120373	0.0881623	0.0410813	0.0742968	0.0355896	0.0829214	0.0297874	0.01983	0.0109013	0.00935706	0.0137432	0.0198598	0.0238715	0.017023	0.0159172	0.00847784	0.0144129	0.0100397	0.0119766	0.0111481	0.0151795	0.043084	0.0303332	0.0244705	0.0483687	0.0234815	0.0179229	0.0130554	0.0508406
un	0.0158293	0.021856	0.0263641	0.0393288	0.0218489	0.0528637	0.128755	0.208806	0.212483	0.0849013	0.0544988	0.0204469	0.0156422	0.0121538	0.0240727	0.00912824	0.00519318	0.00341122	0.00623142	0.00358988	0.00307393	0.00221787	0.00150127	0.00218045	0.00210146	0.00188497	0.00245845	0.00437119	0.00665856	0.00614727
de	0.0613431	0.048664	0.0402576	0.0361308	0.0403563	0.0509112	0.162953	0.17747	0.148434	0.0502191	0.0174282	0.00906774	0.00857364	0.00839952	0.0119129	0.00644933	0.00353395	0.00486992	0.00516633	0.00515302	0.00746398	0.00237828	0.00325432	0.00443831	0.00634415	0.00458332	0.00857489	0.013221	0.0264527	0.0259953
nos	0.0991274	0.064224	0.0500322	0.050263	0.0413477	0.0294394	0.0115473	0.0125809	0.0137058	0.0206115	0.0169746	0.020548	0.0249518	0.020742	0.0239344	0.0338882	0.0216882	0.0160791	0.0196421	0.0177244	0.0223584	0.0269643	0.0405575	0.0279456	0.0362151	0.0238421	0.0277903	0.0382964	0.0443687	0.10261
parents	0.0483781	0.0329124	0.0282032	0.0241338	0.0208773	0.0121763	0.00935883	0.00626356	0.0115031	0.0180762	0.0243758	0.0400413	0.0319465	0.0395768	0.032498	0.029633	0.0179942	0.0168305	0.0158929	0.0221962	0.0200502	0.046197	0.0816419	0.0528105	0.0497645	0.0383316	0.0388779	0.0545049	0.0544548	0.080499
maternels	0.082106	0.0473225	0.0330114	0.0257712	0.0336829	0.01849	0.0230617	0.00799836	0.0190225	0.0202753	0.0238171	0.0218058	0.0194329	0.0237784	0.0203931	0.0266902	0.0186645	0.0295896	0.0244348	0.0324797	0.0151356	0.0261091	0.0412729	0.0297422	0.0350775	0.0680537	0.0536061	0.0496	0.0509087	0.0786664
est	0.0876148	0.0619319	0.0365362	0.0265682	0.0274303	0.0183163	0.0156184	0.0113376	0.0103754	0.00918656	0.00886794	0.0110768	0.0114585	0.0147349	0.0131862	0.0211573	0.0216062	0.0260894	0.0248163	0.0206508	0.0111319	0.0418515	0.0425051	0.038807	0.0429124	0.0467256	0.0570567	0.0398831	0.0425272	0.15804
décédé	0.0777869	0.0624701	0.0406989	0.0264754	0.0252867	0.0108619	0.0114168	0.0135869	0.016046	0.0114102	0.0117743	0.0119379	0.0108964	0.0104969	0.0142161	0.0117433	0.00804582	0.0131557	0.0159238	0.0136513	0.00493296	0.0236243	0.0497243	0.0415288	0.0423425	0.0562396	0.067937	0.0787265	0.0823255	0.134737
à	0.0609075	0.0523188	0.0279796	0.0144177	0.00988676	0.00931564	0.00768463	0.00775769	0.00318086	0.0029764	0.00291135	0.00827658	0.013686	0.0179813	0.0167299	0.0274927	0.0200685	0.034604	0.0244102	0.0342225	0.0120972	0.0477675	0.0715063	0.0638674	0.0568277	0.098455	0.074013	0.0520636	0.0459468	0.0806467
brazaville	0.0491696	0.0434886	0.0222675	0.0088867	0.00826169	0.00413829	0.00540058	0.0073208	0.00506192	0.00529697	0.00522674	0.0103695	0.0182071	0.015019	0.0125172	0.0239807	0.0229175	0.0237158	0.020142	0.0271813	0.0111161	0.04769	0.0496363	0.0627965	0.0674685	0.0849603	0.0845736	0.0785703	0.0704349	0.104184
</S>	0.0444623	0.0414875	0.026149	0.0139349	0.015238	0.00879278	0.0054968	0.00617237	0.00453371	0.0067439	0.00633374	0.0141519	0.0163058	0.0149194	0.0148877	0.0227982	0.0282174	0.0309029	0.0285318	0.0308337	0.0120829	0.0572342	0.0578882	0.0625458	0.0581218	0.0848482	0.0674599	0.0544438	0.0448346	0.119647
