 	a66	a10	a87	a23	a99	a13	a53	a69	a94	a54	a47	a36	a40	a47	a37	a70	a0	a11	a24	a11	a90	a69	a4	a58	a13	a53	a54	a92	a79	a7	a69	a58	a7	a58	a84	a57	a87	a23	a87	</S>
ma	0.0272403	0.0377323	0.0332139	0.0302957	0.0360439	0.0315402	0.0352653	0.0254131	0.0358328	0.037947	0.0310785	0.0206378	0.019386	0.0216707	0.0225447	0.0173212	0.0231533	0.0169124	0.0210881	0.016195	0.0154704	0.01492	0.0285449	0.0563269	0.0388448	0.0436607	0.0249074	0.0241692	0.0149547	0.0190114	0.0197437	0.0127694	0.0230789	0.0196627	0.0256813	0.0120211	0.0113848	0.0241748	0.0120963	0.0180642
mère	0.00414038	0.006989	0.00804815	0.033321	0.0516061	0.0740984	0.0715435	0.0823199	0.0610001	0.0649003	0.0784943	0.0411434	0.0220878	0.0189395	0.0260529	0.0171363	0.0275776	0.0153248	0.0102018	0.0085105	0.0141158	0.00904136	0.0112112	0.0265512	0.0149022	0.0342935	0.0298369	0.0213591	0.00924287	0.0129408	0.0187727	0.00925468	0.00973151	0.00513178	0.00590052	0.00394061	0.00581386	0.00663372	0.00968493	0.018205
est	0.02034	0.0098476	0.0107852	0.0105801	0.0191803	0.0206141	0.0225332	0.0292177	0.0258235	0.0164246	0.026543	0.0425211	0.0534065	0.0631261	0.142069	0.0588016	0.0999511	0.118587	0.0450881	0.0234055	0.0127853	0.0118046	0.00449602	0.00130294	0.00164253	0.000817882	0.000956554	0.000993803	0.00136514	0.00245364	0.0037162	0.00595225	0.00680215	0.0061857	0.0104093	0.00704883	0.0154965	0.0126491	0.0216421	0.012634
partie	0.0213631	0.00682083	0.00627345	0.00548925	0.00147623	0.00160066	0.00365918	0.00345094	0.0084089	0.0123296	0.0199565	0.0279028	0.0292756	0.0237877	0.0300311	0.0233219	0.0750449	0.117579	0.0925459	0.0353649	0.0665564	0.110866	0.0441541	0.0139464	0.0142316	0.0142558	0.0125531	0.0171915	0.0204888	0.0170666	0.0167108	0.011067	0.0136605	0.0170059	0.0115728	0.00953018	0.00916149	0.00940953	0.00897724	0.015912
planter	0.0559623	0.0249734	0.0244716	0.0154522	0.00707847	0.00872861	0.0147486	0.0153201	0.0155969	0.0312792	0.0372085	0.0445492	0.0401509	0.0208335	0.0380543	0.0548731	0.037564	0.0267823	0.0428699	0.0319991	0.022325	0.0307216	0.0380322	0.0174864	0.024239	0.0127241	0.0123183	0.0119504	0.0124031	0.00936431	0.0108354	0.0124713	0.0298166	0.0226151	0.0186233	0.0268456	0.0191654	0.0236933	0.0148668	0.0410063
la	0.0644746	0.0337851	0.0226771	0.0194052	0.0174676	0.0201834	0.0173429	0.0185135	0.0239639	0.0308821	0.0549076	0.0530399	0.0542706	0.0258545	0.0192373	0.0389618	0.0247958	0.0156262	0.0350637	0.0319394	0.0201656	0.0181566	0.0204558	0.00986555	0.0109847	0.00747579	0.00873889	0.00697888	0.0127323	0.0138836	0.0119411	0.0144211	0.027504	0.0230934	0.0257187	0.0232743	0.0232833	0.0191788	0.0248852	0.0548701
première	0.0463255	0.0162609	0.010129	0.0072673	0.0048741	0.00647338	0.00746394	0.00767809	0.00817405	0.00908395	0.00696327	0.0147649	0.0170652	0.0156414	0.0101802	0.0331625	0.0864938	0.0762364	0.0946654	0.103414	0.0597453	0.0531877	0.0383444	0.0133226	0.0193351	0.0156667	0.0127073	0.012335	0.0252544	0.0203621	0.0142804	0.00888865	0.0251852	0.0178272	0.0150455	0.0148325	0.0149625	0.0106021	0.013355	0.0124431
semence	0.0503828	0.0202141	0.0153391	0.00956954	0.00624463	0.00712221	0.00973377	0.00642646	0.00665728	0.00607163	0.00489219	0.0102958	0.0105549	0.0109133	0.00741287	0.0194704	0.0513637	0.0653923	0.0911949	0.116823	0.0664361	0.0574925	0.0500467	0.0199877	0.0288073	0.0294769	0.0268201	0.0237514	0.0408224	0.0286229	0.0153499	0.00753293	0.0143898	0.00845059	0.0110806	0.00945953	0.00819686	0.00973871	0.0079427	0.00951898
dans	0.0588234	0.0397115	0.0329106	0.0172672	0.0178315	0.0172029	0.0140672	0.0109158	0.00981299	0.00958417	0.00993672	0.0115737	0.0103535	0.00634477	0.00920056	0.0160613	0.0252566	0.0158379	0.0295634	0.0437895	0.0394717	0.0310713	0.0278331	0.0227357	0.0274526	0.0190107	0.0178371	0.017765	0.0144547	0.0141506	0.0143645	0.0124276	0.0291847	0.0294081	0.0416078	0.0311774	0.0460516	0.0498226	0.0436758	0.0644525
son	0.0312064	0.027062	0.0262358	0.0198022	0.0165403	0.0147692	0.0153614	0.00727227	0.00652719	0.00720559	0.00653935	0.00757574	0.00748188	0.00530815	0.00511386	0.00987032	0.00970648	0.00768239	0.0126716	0.0156801	0.0143102	0.0120261	0.0127492	0.0146963	0.0158517	0.0163387	0.0133977	0.0112002	0.0101396	0.0124403	0.0160481	0.0230239	0.0411429	0.0581149	0.0858654	0.03814	0.0615625	0.0785114	0.0718527	0.132976
champ	0.0188064	0.0159972	0.0163742	0.0160845	0.0199202	0.0158516	0.0158434	0.0114135	0.0110918	0.0106162	0.0109139	0.0121107	0.0106266	0.00956507	0.0108039	0.0184582	0.0173933	0.0235943	0.0302569	0.0379786	0.0340559	0.0303275	0.0321285	0.0268606	0.030574	0.0237729	0.0227845	0.0203426	0.0264361	0.020118	0.0206389	0.0220165	0.0327211	0.0374908	0.0395229	0.0488449	0.0508488	0.0400828	0.052072	0.0546604
aujourd'	0.0311644	0.0151687	0.0103482	0.0106043	0.0139593	0.0123558	0.00872212	0.00863286	0.0114552	0.0112107	0.0249576	0.0243497	0.0204972	0.0131243	0.0159185	0.0187344	0.0117624	0.012704	0.0184833	0.02003	0.00944445	0.00665342	0.0130069	0.00823623	0.0134195	0.00688354	0.00591465	0.00895648	0.0141602	0.0115713	0.0182937	0.0185056	0.033454	0.0525179	0.0669007	0.0740462	0.0727739	0.0780085	0.0700786	0.102991
hui	0.0221302	0.0293646	0.0312839	0.0344793	0.0202343	0.0226333	0.0247675	0.0167663	0.0208172	0.0298203	0.0299288	0.0363733	0.0320309	0.0448294	0.0315724	0.0418267	0.0522816	0.0536037	0.0437994	0.0404843	0.0258752	0.0275112	0.0307075	0.0147198	0.0246612	0.0111484	0.0119696	0.01469	0.0171036	0.00920159	0.0103712	0.00815354	0.0105535	0.0120087	0.0195479	0.0228811	0.0198687	0.0181316	0.0189698	0.0128981
</S>	0.0472574	0.0174691	0.0103628	0.00768278	0.00761789	0.00750875	0.00568054	0.00701892	0.0122785	0.0142665	0.0178495	0.0196476	0.0179495	0.0068146	0.0124962	0.0160818	0.00817573	0.00732811	0.0194701	0.0230223	0.0144684	0.0123259	0.011626	0.00539413	0.00889674	0.00519202	0.00663095	0.0091881	0.0246272	0.0199747	0.0333569	0.0298454	0.0491239	0.0555178	0.0623926	0.0666882	0.0669765	0.0658384	0.0647962	0.101161
