 	a66	a87	a23	a13	a62	a21	a5	a43	a31	a96	a75	a56	a90	a98	a92	a12	a96	a88	a53	a93	a94	a26	a57	a87	a23	a87	</S>
il	0.0875462	0.106505	0.0862381	0.0284775	0.0217485	0.0166746	0.0126777	0.0134586	0.0167252	0.0145898	0.0294639	0.0181484	0.0348135	0.0262643	0.0352802	0.0360727	0.0139781	0.0251115	0.0442126	0.0465559	0.0488833	0.0364175	0.0334636	0.0333707	0.0297381	0.0487428	0.0548418
paraît	0.0353691	0.0236312	0.0295915	0.0199926	0.0299114	0.0284444	0.0186211	0.0326316	0.0373161	0.0410645	0.0357636	0.0441143	0.0456556	0.0456006	0.0425204	0.0366271	0.0551078	0.050465	0.0467506	0.0474915	0.0216932	0.0208406	0.0276984	0.0373579	0.0381297	0.0588386	0.0487718
que	0.00841497	0.01331	0.0138446	0.0124631	0.014647	0.016335	0.0190308	0.0319769	0.0382359	0.0209946	0.04557	0.0247399	0.0110341	0.00710446	0.0141667	0.0195298	0.0263077	0.0415982	0.0215509	0.02827	0.0364483	0.048553	0.0579544	0.0715347	0.0698728	0.20688	0.0796323
la	0.0835969	0.052608	0.0462938	0.0714351	0.0471558	0.0465605	0.044292	0.052937	0.053664	0.0276815	0.0392397	0.0289889	0.0193831	0.0117541	0.0129979	0.0188813	0.0203241	0.0139642	0.0119107	0.011683	0.00790599	0.0145172	0.0300814	0.0525865	0.0516016	0.0549172	0.0730386
maison	0.0292545	0.0145705	0.0149857	0.0223742	0.0349894	0.0424853	0.0593579	0.0763511	0.0721395	0.0392373	0.0642516	0.0277116	0.0146101	0.00874896	0.0122088	0.0300443	0.0100237	0.0127155	0.0111277	0.00611152	0.00938653	0.0175347	0.045688	0.0682976	0.0651154	0.135991	0.0546875
d'	0.0525994	0.0333466	0.0377472	0.0343256	0.0300779	0.0349258	0.0400467	0.0260474	0.0239183	0.0180275	0.0257181	0.014538	0.0115984	0.00920536	0.0160458	0.0282174	0.016289	0.0208992	0.0272078	0.0154918	0.0133133	0.017154	0.0499522	0.0874847	0.0591711	0.0898508	0.166801
un	0.0396207	0.0270834	0.0296763	0.029629	0.0251605	0.0217624	0.0235646	0.0193602	0.0231932	0.0163197	0.0185789	0.0193962	0.0106806	0.0104329	0.0122298	0.0220998	0.0214778	0.0257344	0.0228001	0.0208429	0.0228979	0.0342681	0.0589684	0.0812014	0.0722878	0.140981	0.149752
tel	0.0379652	0.0210912	0.017145	0.0163799	0.0122937	0.0152359	0.0227374	0.0173916	0.0161667	0.0114528	0.0111934	0.0126186	0.012629	0.0170651	0.0142967	0.0194107	0.0160442	0.0163295	0.0258345	0.0308354	0.0351602	0.0980372	0.0999647	0.107677	0.0895444	0.0953411	0.110159
est	0.0585269	0.0627337	0.052193	0.0370269	0.0276233	0.0331154	0.024016	0.0173727	0.0164833	0.00836853	0.0110717	0.00700756	0.00736734	0.00852237	0.00823497	0.0111454	0.00734945	0.00760698	0.0161163	0.0142316	0.016673	0.0504104	0.0605228	0.0754917	0.0639358	0.119576	0.177277
incendiée	0.0287408	0.0199717	0.0157069	0.0153647	0.0154245	0.0170175	0.0195452	0.0220317	0.0233709	0.0189866	0.0278047	0.0299967	0.0266756	0.0349072	0.0178734	0.0222163	0.0253661	0.0194299	0.0238823	0.0269135	0.029757	0.0691225	0.0713611	0.0680539	0.0583011	0.102834	0.149344
</S>	0.0270649	0.0151701	0.0107969	0.00684788	0.0086452	0.00909606	0.00522066	0.0083328	0.00609586	0.00470422	0.00960432	0.00283362	0.00680467	0.0107625	0.0167186	0.0455576	0.0200303	0.0301807	0.0391308	0.0351037	0.055685	0.105637	0.0794355	0.0850349	0.0856879	0.119557	0.150262
