 	a87	a23	a53	a15	a73	a56	a98	a14	a41	a32	a11	a62	a21	a85	a41	a27	a11	a75	a41	a96	a38	a24	a94	a90	a76	a94	a90	a56	a94	a98	a73	a44	a84	a58	a93	a32	a54	a73	a84	a87	</S>
elle	0.0198007	0.0387044	0.0468679	0.0440156	0.0784461	0.0701374	0.0654251	0.048735	0.143374	0.0540009	0.0285479	0.0476192	0.0321878	0.0330376	0.0162529	0.0222197	0.00804193	0.0075374	0.0070474	0.00893729	0.0104538	0.00519364	0.00468491	0.00461443	0.00446257	0.00303219	0.00172174	0.00237635	0.00416283	0.00392547	0.00795919	0.00672698	0.00735613	0.0104378	0.0159034	0.0210571	0.0183567	0.0154735	0.0134133	0.0075685	0.0101831
cultive	0.00196273	0.00254244	0.00209575	0.00692956	0.00899107	0.0222907	0.0312874	0.0286867	0.018582	0.0478064	0.0534981	0.0224984	0.061282	0.0304962	0.0334901	0.0472864	0.0309514	0.0426622	0.0301875	0.040419	0.0477079	0.046194	0.0572356	0.0543062	0.023563	0.0193166	0.019802	0.0104594	0.00738766	0.0102417	0.00947345	0.011833	0.0177962	0.0137047	0.0128646	0.0124446	0.0135463	0.0185986	0.0105978	0.0127846	0.00619578
les	0.0263045	0.0165892	0.011098	0.0247156	0.0103662	0.0206754	0.0382917	0.0199964	0.0178891	0.026653	0.0289756	0.0102874	0.0375392	0.0192285	0.0236999	0.0298959	0.0275047	0.0182395	0.0199068	0.0239216	0.0269551	0.0284467	0.0323131	0.0323152	0.0276727	0.0112328	0.012281	0.0120682	0.0128819	0.0122045	0.0144944	0.0180433	0.0194767	0.0309999	0.0347899	0.0344854	0.0321639	0.0417439	0.0250685	0.0305861	0.0579985
aubergine	0.0099309	0.0128849	0.0122937	0.00614685	0.0115127	0.0131114	0.00928757	0.011322	0.0223138	0.0122173	0.0280672	0.0340365	0.0228935	0.0240841	0.0289156	0.0334541	0.0245335	0.0272006	0.0336117	0.0351977	0.0304311	0.0451015	0.0430891	0.0574469	0.0513438	0.0620509	0.0635511	0.0405507	0.0216277	0.0502024	0.0369515	0.0151466	0.0181414	0.00898529	0.00561841	0.00556241	0.00532818	0.0058281	0.00592672	0.00528938	0.00881117
dans	0.0329777	0.0199077	0.0158832	0.0188328	0.0217205	0.0213332	0.0162485	0.0146513	0.0140039	0.0227047	0.0197254	0.0162932	0.0246725	0.0225006	0.0282532	0.0132697	0.0148679	0.0130604	0.0255685	0.0257557	0.0263509	0.0255694	0.0168405	0.0238816	0.0207039	0.0113364	0.0163273	0.0313979	0.0241262	0.0335775	0.0336721	0.0239366	0.0209056	0.019552	0.0237946	0.0264323	0.0239683	0.0403138	0.0408224	0.0320641	0.082196
son	0.0125547	0.0129032	0.00775454	0.0140721	0.0219472	0.0179057	0.0221363	0.0165692	0.0182221	0.0269803	0.0204473	0.0303616	0.035615	0.0324119	0.0255512	0.0163024	0.015859	0.0140467	0.035019	0.0325406	0.0426363	0.0660385	0.0469252	0.0607231	0.0532325	0.018949	0.0190808	0.0267265	0.0239051	0.0283712	0.0299151	0.0165557	0.0131873	0.00828441	0.00942483	0.0115919	0.0135326	0.0191082	0.0236224	0.0177066	0.0212827
jardin	0.0100097	0.0108265	0.00644138	0.00487079	0.00495964	0.00409591	0.0125823	0.00891295	0.015201	0.0149306	0.016401	0.00843405	0.0243273	0.0195279	0.00597989	0.00670311	0.00595736	0.00659668	0.0146157	0.0137844	0.00953953	0.0170844	0.0117416	0.0180259	0.0236444	0.0184385	0.0208266	0.0584424	0.0887492	0.0819876	0.131887	0.0746267	0.0619058	0.0442651	0.0225272	0.0197358	0.0168105	0.0149309	0.0238467	0.0150677	0.0107578
de	0.0266497	0.031816	0.0207518	0.0268267	0.0340413	0.0202603	0.0427023	0.0367682	0.043702	0.0347678	0.0263735	0.0177994	0.0405453	0.0266347	0.00855934	0.0137267	0.0102507	0.00931309	0.0213076	0.0131394	0.0101215	0.0120656	0.009015	0.0112179	0.00901525	0.00415624	0.00549929	0.00902078	0.0153792	0.0121977	0.0273021	0.0208148	0.0139471	0.0273788	0.0394244	0.0312709	0.0275454	0.0468693	0.070427	0.0472475	0.0441486
case	0.00642138	0.00685226	0.00626263	0.00484346	0.00654196	0.00501017	0.00941062	0.00730179	0.00887572	0.00583111	0.00569217	0.0031243	0.00744944	0.00300802	0.00298525	0.00314316	0.00711918	0.00528149	0.0093174	0.00628321	0.00588031	0.00628449	0.0082104	0.0125244	0.011728	0.0102365	0.0183056	0.0223741	0.0334161	0.0309704	0.0511859	0.0406187	0.0608072	0.101191	0.122917	0.088363	0.0678345	0.0411064	0.0589609	0.0471217	0.0392085
</S>	0.0171318	0.0198001	0.0135561	0.0197544	0.0207109	0.0230756	0.028656	0.0211112	0.0221241	0.0268447	0.0163002	0.00931628	0.0211218	0.011003	0.00991107	0.00752686	0.010716	0.00687918	0.0100813	0.00871555	0.00766186	0.00838683	0.00594965	0.00779351	0.00821612	0.00492261	0.00644393	0.00916402	0.0108951	0.00885381	0.0142859	0.012726	0.0154042	0.0306118	0.0663372	0.0609576	0.0540705	0.0504288	0.0593726	0.0566306	0.176551
