 	a87	a23	a87	a10	a87	a23	a87	a53	a93	a34	a75	a56	a25	a98	a85	a18	a62	a83	a98	a44	a11	a75	a47	a83	a50	a62	a47	a62	a9	a75	a85	a47	a6	a36	a57	a87	a23	a87	a23	a97	</S>
cette	0.03448	0.0231297	0.0261443	0.0292634	0.0391291	0.0450681	0.0546957	0.0419808	0.0432042	0.0700482	0.0431762	0.0410385	0.0286335	0.0228884	0.0232711	0.0132853	0.0117739	0.0116167	0.00738623	0.00684244	0.00649301	0.00599548	0.00555992	0.00543735	0.00522548	0.00809657	0.0109777	0.0169965	0.00949893	0.0104731	0.0255223	0.0205131	0.0218897	0.0351694	0.0248357	0.0235609	0.0397535	0.0305748	0.0222073	0.0124527	0.0417108
femme	0.00835813	0.00620968	0.00809566	0.0215527	0.0348589	0.0869495	0.069627	0.099846	0.0719038	0.0696037	0.0480679	0.0540584	0.0354313	0.0326105	0.052528	0.0585297	0.0360735	0.042648	0.0279502	0.0185467	0.0206868	0.0233219	0.013999	0.00810952	0.00659876	0.00473537	0.00832648	0.00753171	0.00282825	0.00151832	0.00157826	0.00112215	0.00122888	0.000652427	0.00141706	0.00132777	0.00137412	0.00462392	0.0012528	0.00243057	0.00188663
couvre	0.031848	0.0190605	0.0226734	0.0264749	0.0311112	0.0385986	0.0274294	0.0401548	0.0312982	0.0432166	0.0298865	0.0255775	0.0290242	0.052598	0.0600267	0.0977803	0.0499025	0.0293535	0.0447248	0.0450469	0.0296463	0.01286	0.017421	0.0127442	0.00764083	0.00525793	0.00734914	0.00667359	0.0128504	0.00966844	0.0138389	0.0102373	0.014391	0.00464473	0.00808771	0.00667118	0.00979082	0.0124534	0.00571799	0.0119234	0.00434547
le	0.0351453	0.023434	0.0166134	0.0132811	0.0160366	0.0112216	0.0113102	0.0111596	0.0101386	0.0114235	0.0166694	0.0203871	0.0224113	0.0264242	0.037603	0.0480624	0.0313494	0.0241686	0.0196262	0.0186104	0.0149108	0.0117979	0.0130427	0.0274048	0.0256586	0.0231689	0.0226732	0.0206626	0.0259936	0.029227	0.0217483	0.023045	0.0308421	0.0256319	0.0270166	0.0224452	0.0365936	0.0387396	0.0404118	0.021318	0.0725919
foufou	0.0401697	0.0430163	0.0377864	0.031363	0.0406955	0.0489651	0.0367751	0.027748	0.035667	0.0253323	0.0267107	0.0261372	0.0359946	0.0412488	0.0322324	0.0266303	0.0290079	0.0340447	0.0322939	0.0295208	0.0374871	0.0415076	0.0365559	0.0364333	0.0236577	0.0165397	0.012798	0.0100882	0.00864467	0.010329	0.0118185	0.00682902	0.00565879	0.00623423	0.00553095	0.00816709	0.00931148	0.00898084	0.00726658	0.00556082	0.00926086
qui	0.0152252	0.00963125	0.00810444	0.00753118	0.0113599	0.0119809	0.0138428	0.0101466	0.0111427	0.012207	0.0104109	0.0108054	0.00728636	0.00933367	0.00636212	0.0101351	0.00865523	0.0089606	0.0122259	0.0175245	0.0183611	0.0156554	0.0204716	0.0151034	0.023242	0.0322768	0.0428773	0.0523451	0.0663673	0.0765981	0.0872213	0.0477029	0.0418738	0.0290684	0.0291797	0.0351143	0.041487	0.0296269	0.0236113	0.0318577	0.027087
est	0.0429731	0.0178558	0.00919318	0.00608323	0.00820219	0.0109798	0.00830973	0.0111631	0.0117121	0.0212879	0.018743	0.0268386	0.0196778	0.0210969	0.0136803	0.0136529	0.0113702	0.0109245	0.010982	0.00958015	0.0108054	0.0112186	0.0112444	0.00978629	0.00744464	0.0163321	0.0169368	0.0157252	0.030672	0.0415871	0.0450652	0.0635515	0.0610938	0.0685254	0.046071	0.0445566	0.0574148	0.0415293	0.0285799	0.0219588	0.0455944
sur	0.0232568	0.0123554	0.0097187	0.00907478	0.0218745	0.0191905	0.019834	0.0200286	0.013007	0.0148402	0.0162602	0.015152	0.0223918	0.0221098	0.0224422	0.0371735	0.0329967	0.0301431	0.031634	0.0381722	0.041777	0.0421853	0.0452689	0.0471991	0.0360067	0.0463885	0.0433001	0.0237111	0.0252569	0.0229633	0.0235914	0.0176232	0.0228241	0.0242117	0.0149492	0.0178308	0.0171314	0.0147805	0.00861049	0.0113375	0.0213971
le	0.0428902	0.0196006	0.0119033	0.00820626	0.0109382	0.0071407	0.00554554	0.00552246	0.00505288	0.0146203	0.0106177	0.0123243	0.0147114	0.0107911	0.00709428	0.0061327	0.00383626	0.00343054	0.00409932	0.00716744	0.00893491	0.00932642	0.0105238	0.00970916	0.0125737	0.0219943	0.0286363	0.0273202	0.0417183	0.033511	0.0375475	0.0402569	0.0632919	0.0667828	0.0518398	0.0602419	0.0607037	0.0440918	0.0437695	0.0440076	0.0715928
séchoir	0.0198486	0.0146339	0.0123246	0.012091	0.0145007	0.0117341	0.00969987	0.0049993	0.00547657	0.0103746	0.00776653	0.00814837	0.0158602	0.0166698	0.0126821	0.0269129	0.0183625	0.0159977	0.0157131	0.0187835	0.020669	0.0175163	0.0192356	0.0171241	0.0205225	0.0235675	0.0271752	0.0317697	0.0441839	0.0368741	0.0351884	0.0373481	0.0381778	0.0447201	0.0327754	0.0439041	0.046798	0.0484841	0.0321212	0.0393938	0.0698711
