 	a87	a23	a87	a23	a54	a30	a41	a96	a75	a14	a6	a85	a41	a66	a62	a83	a93	a70	a83	a75	a98	a44	a13	a90	a11	a75	a61	a88	a47	a83	a9	a87	a23	a97	a87	a23	a87	a23	a87	a23	a87	a23	a87	</S>
le	0.0193069	0.0225505	0.0151211	0.0196001	0.0450534	0.096964	0.118956	0.0742977	0.0609967	0.0885485	0.0548145	0.042464	0.0215725	0.0160257	0.00845825	0.00742588	0.00743888	0.00724575	0.00877549	0.00763383	0.0069432	0.00669336	0.00407261	0.00365849	0.00372692	0.00394175	0.00500581	0.00761555	0.00950182	0.011926	0.0107035	0.0108618	0.0124258	0.0100867	0.0126843	0.0139105	0.0139793	0.0144951	0.0131912	0.0169255	0.012731	0.0127216	0.0116185	0.0273297
père	0.0017645	0.00362744	0.00269924	0.00529494	0.00906482	0.018586	0.0410775	0.163776	0.0783836	0.145457	0.0430029	0.078014	0.0504457	0.0479693	0.0357236	0.0523358	0.0413248	0.0268018	0.0383787	0.0349299	0.0224231	0.0216099	0.0118542	0.00427869	0.0024376	0.00203616	0.00202076	0.0015312	0.00106363	0.00191089	0.00122467	0.000989535	0.0010012	0.000626016	0.000804778	0.000839758	0.000754597	0.000385043	0.000363403	0.000461369	0.000835278	0.000395832	0.00100574	0.000489259
de	0.0283878	0.0230356	0.0293127	0.0285227	0.037367	0.0398984	0.0401625	0.0387908	0.0343726	0.0438346	0.0776875	0.0696907	0.0453451	0.0356105	0.0524432	0.0408757	0.0296041	0.0453048	0.0363728	0.0284482	0.0310697	0.0153737	0.0124793	0.00992411	0.00581723	0.0066216	0.00303678	0.00392045	0.00239751	0.00417841	0.00458762	0.00645709	0.00796214	0.00471588	0.00698324	0.00426947	0.0084755	0.00518245	0.00809889	0.00502841	0.0136292	0.00786948	0.0150172	0.00183744
ngala	0.0254128	0.0193345	0.0168088	0.0146003	0.0129004	0.0102343	0.0139553	0.0126802	0.0252595	0.0479654	0.0477658	0.0559147	0.0284335	0.0337565	0.0478047	0.0506922	0.0530237	0.0496563	0.0508575	0.0314483	0.0155021	0.0169194	0.0181541	0.0101348	0.0123436	0.0113214	0.00929176	0.00714134	0.0086994	0.0115569	0.00969257	0.00744822	0.00858151	0.0105881	0.0116249	0.0154814	0.0144395	0.0188165	0.0173162	0.02093	0.0149551	0.02003	0.0229882	0.0375387
a	0.0388207	0.0398033	0.0337174	0.0342217	0.0311304	0.0124918	0.0092299	0.0162771	0.0305988	0.0308708	0.0301396	0.0327015	0.0330381	0.0643051	0.0685342	0.0709139	0.0614356	0.0511241	0.0452499	0.0300839	0.0182688	0.0127371	0.012245	0.00658769	0.00378923	0.00321866	0.00271447	0.00704512	0.00423888	0.00411965	0.00498365	0.0031989	0.00597762	0.00363727	0.00390793	0.00476202	0.00638536	0.00520323	0.0105221	0.0101738	0.0159543	0.0199376	0.0246206	0.0410833
aménagé	0.0275459	0.0179244	0.0183207	0.0115494	0.0144746	0.0143667	0.0150037	0.0173476	0.029144	0.0415011	0.056052	0.0539624	0.0517047	0.0416997	0.0455554	0.0383249	0.0295485	0.0461301	0.0466048	0.0290327	0.0246545	0.0130531	0.00750715	0.00962915	0.00715124	0.00775071	0.00815959	0.0139122	0.0174952	0.0158865	0.0185902	0.0126749	0.0153632	0.00724409	0.00925996	0.00874862	0.0137785	0.0124537	0.0145831	0.0176112	0.0185302	0.0194767	0.0148109	0.0458821
une	0.0424007	0.0215167	0.0237851	0.0128211	0.0170894	0.0152099	0.011067	0.00562233	0.00850258	0.0121255	0.0148772	0.0116696	0.0109563	0.0116433	0.0111079	0.00677337	0.00672629	0.0130559	0.0114961	0.0104116	0.0143723	0.00486646	0.00184496	0.00170334	0.00192872	0.00325413	0.00456524	0.00972649	0.0118617	0.0131206	0.0269133	0.0314228	0.0366992	0.028733	0.0451188	0.0377701	0.0453124	0.0484424	0.0588095	0.0615246	0.0595883	0.0620126	0.0491809	0.0623702
place	0.0192157	0.01002	0.0103588	0.00547404	0.00749811	0.0120271	0.0111905	0.00907004	0.00736992	0.0121574	0.0128412	0.0130458	0.0219831	0.0139072	0.0140223	0.0275909	0.0322959	0.0449953	0.0291223	0.0369045	0.0267955	0.026004	0.0146366	0.0105351	0.0128164	0.0126864	0.011289	0.0135259	0.0217125	0.0160762	0.0285331	0.0460604	0.0265927	0.0360777	0.0237107	0.0304346	0.0283152	0.0347003	0.0417207	0.0343931	0.033361	0.0686622	0.028592	0.0216785
dans	0.0252772	0.0230168	0.0155441	0.00696068	0.00651396	0.00558725	0.00493528	0.00329092	0.00446717	0.0101312	0.00773267	0.0103356	0.00806485	0.00685404	0.00791547	0.00450956	0.00519106	0.00842872	0.00534356	0.00501482	0.00633927	0.00414849	0.00339046	0.00217352	0.00208895	0.00203084	0.00251487	0.00540193	0.00975141	0.0117614	0.0239218	0.0405919	0.0416165	0.0398766	0.0453603	0.0417241	0.0376108	0.0365286	0.0729785	0.0930093	0.0652516	0.0726208	0.0612926	0.102901
sa	0.0157697	0.0160053	0.00869831	0.00766627	0.0077006	0.00627582	0.00605014	0.00427676	0.00370519	0.005847	0.00452772	0.00666365	0.00519148	0.00543656	0.00575856	0.00484364	0.00562937	0.0063756	0.0053888	0.00579497	0.00629236	0.00496173	0.00366543	0.0033932	0.00452996	0.00549554	0.0095564	0.0199142	0.0182366	0.0269739	0.0381961	0.0544246	0.0466871	0.0496331	0.0674885	0.058136	0.0499087	0.0460927	0.0661014	0.0781877	0.0626817	0.0506599	0.0434561	0.0477216
