 	a66	a87	a23	a87	a23	a99	a50	a31	a61	a47	a96	a75	a85	a5	a61	a75	a85	a5	a85	a5	a37	a18	a71	a82	a97	a87	a23	a87	</S>
il	0.0378745	0.0426904	0.0298093	0.0167886	0.0121235	0.00872199	0.00889821	0.00703425	0.00422546	0.0037192	0.0035184	0.00622158	0.00715011	0.00854403	0.0123986	0.0206883	0.0347326	0.0376265	0.0561872	0.0570819	0.0888034	0.0903425	0.0853701	0.0962755	0.0446809	0.0457934	0.0463925	0.0355112	0.0507957
y	0.0260068	0.0217617	0.0319946	0.0226022	0.0298795	0.0153191	0.0205496	0.0327382	0.0345041	0.0519872	0.0543374	0.0542841	0.0645569	0.065314	0.0409675	0.0519022	0.0175742	0.0294028	0.0229815	0.030032	0.02437	0.0329702	0.0284501	0.0270115	0.0449923	0.0378795	0.0312324	0.0357243	0.018674
a	0.0197658	0.0235856	0.026207	0.018633	0.0226746	0.0190751	0.0180557	0.0197218	0.0105926	0.0157785	0.0219651	0.0292135	0.0186186	0.0151567	0.0133689	0.0207482	0.0130297	0.0258268	0.017399	0.0433517	0.0354274	0.0758536	0.06764	0.0765067	0.05145	0.0832808	0.063596	0.0873663	0.0461113
longtemps	0.0855504	0.0866094	0.101883	0.104681	0.0554308	0.0970509	0.0492584	0.0312371	0.050456	0.0431737	0.0278032	0.0148782	0.0132067	0.019442	0.0159499	0.0140647	0.0211814	0.0138667	0.0200628	0.0154416	0.0148424	0.0127494	0.0131156	0.0114442	0.00688496	0.00712103	0.0114058	0.00742396	0.0337845
que	0.218229	0.0865649	0.120256	0.0785441	0.027775	0.0267171	0.0157943	0.0137777	0.010026	0.00730207	0.0106301	0.00363072	0.00643111	0.0114687	0.0117989	0.0142156	0.0147095	0.0171455	0.0308524	0.0419394	0.0277367	0.0295866	0.0267908	0.0247706	0.0202075	0.0280994	0.0247357	0.0239837	0.026281
je	0.0748198	0.0412878	0.0554514	0.0396422	0.0201257	0.0349412	0.025248	0.037506	0.0392507	0.0310601	0.0751388	0.0393879	0.041152	0.0338399	0.0361887	0.0313263	0.0227938	0.0225148	0.0218942	0.027691	0.0276338	0.0478596	0.033971	0.020845	0.0290415	0.026497	0.0184267	0.0247373	0.019728
ne	0.0959991	0.0569157	0.059802	0.0407785	0.0426186	0.0703044	0.0397845	0.0319514	0.0292905	0.0249083	0.0329268	0.0188015	0.0280522	0.0325689	0.031546	0.0286176	0.023043	0.0184273	0.0236588	0.0286368	0.0332761	0.0536395	0.0412188	0.0192776	0.0286242	0.020918	0.0150933	0.016026	0.0132948
suis	0.0913664	0.0810053	0.0747962	0.0561409	0.0572762	0.0250136	0.0259987	0.0198353	0.00834487	0.00556698	0.0089347	0.00827995	0.015123	0.02092	0.0124507	0.0163858	0.00929559	0.0148657	0.0190401	0.0294985	0.027517	0.0549324	0.0436987	0.0286812	0.0488841	0.0456021	0.0470893	0.0398712	0.0635853
plus	0.0858153	0.0579784	0.0623841	0.0290887	0.0338837	0.0317789	0.0259272	0.0159623	0.00858578	0.00395358	0.00629026	0.0121035	0.0146795	0.0256062	0.0281534	0.0271897	0.0170951	0.0294073	0.0239797	0.0337633	0.0474835	0.0600867	0.0577968	0.0587498	0.0313845	0.0494115	0.0339918	0.0371472	0.0503222
parti	0.0756538	0.0499431	0.0577537	0.039301	0.0288513	0.017698	0.0152104	0.0132659	0.00332083	0.00173011	0.0031778	0.00454252	0.00853824	0.0155271	0.0118859	0.021748	0.0209546	0.0309028	0.0297811	0.0342659	0.0359814	0.0412805	0.0488655	0.0554526	0.0422705	0.0558963	0.0595016	0.0488128	0.127887
au	0.0672284	0.0407455	0.0465925	0.0253812	0.014946	0.00546437	0.00429332	0.00549425	0.00354726	0.00283708	0.00337978	0.0028793	0.00403539	0.00636135	0.00829431	0.017939	0.0177886	0.0297988	0.0345328	0.0412526	0.0405981	0.0622253	0.0649775	0.0479338	0.083262	0.0710224	0.0800124	0.0596104	0.107566
marché	0.0419773	0.0144631	0.0154214	0.0093509	0.00541282	0.00453035	0.00354816	0.00453812	0.00355797	0.00274314	0.00356843	0.00400779	0.00581709	0.00792556	0.0146096	0.035966	0.0403048	0.0483176	0.047757	0.0594772	0.059997	0.0622608	0.0659848	0.0713822	0.0712687	0.0825395	0.0852688	0.0741523	0.0538513
</S>	0.0198471	0.00896049	0.00687854	0.00600443	0.00298675	0.00373795	0.00320921	0.0033482	0.00152035	0.000938709	0.000917994	0.00113452	0.00197128	0.00361475	0.00681482	0.0191146	0.0363808	0.0455262	0.0555208	0.0652005	0.0698787	0.0614074	0.0717773	0.0992839	0.0624098	0.093029	0.080679	0.0828295	0.0850774
