 	a66	a87	a23	a83	a98	a15	a92	a34	a35	a56	a96	a98	a92	a56	a44	a90	a56	a75	a5	a21	a47	a88	a71	a25	a10	a87	a23	a99	a97	</S>
je	0.0490222	0.0668959	0.0654908	0.063127	0.0978443	0.0994417	0.0472085	0.0321946	0.0194947	0.0131	0.0157972	0.0151794	0.0112038	0.00826511	0.00744434	0.00831346	0.0152548	0.0223189	0.0214483	0.0197662	0.024777	0.0251861	0.0290553	0.0303324	0.0212505	0.0232116	0.0372721	0.0327585	0.017854	0.0594914
suis	0.0177083	0.0137695	0.0141927	0.0266808	0.0285729	0.0346849	0.0554677	0.0477299	0.0364382	0.0403849	0.0309083	0.0578533	0.0578467	0.0439007	0.0479423	0.0332988	0.0282136	0.0242578	0.0240792	0.0242071	0.0273088	0.0333614	0.0392652	0.0299382	0.0302234	0.0288134	0.0350887	0.0319761	0.0299584	0.025929
en	0.0161915	0.0122259	0.01173	0.00911487	0.0106539	0.0103502	0.0103132	0.0144817	0.0203953	0.022328	0.0177239	0.0275491	0.0220347	0.020918	0.025041	0.0217181	0.0275834	0.0280879	0.0299124	0.0202225	0.0297199	0.0411038	0.0397835	0.0557616	0.0702133	0.0643219	0.0640102	0.0731726	0.0964244	0.0869133
train	0.0482521	0.0374121	0.0357058	0.0266886	0.0232562	0.0112972	0.00726895	0.00620101	0.0147924	0.0180277	0.0487382	0.0636438	0.063598	0.11415	0.128102	0.0901519	0.059392	0.0423495	0.0360756	0.0227362	0.0197628	0.0138351	0.0144446	0.00947356	0.00776744	0.00698148	0.00924438	0.0058276	0.00406816	0.0107548
de	0.193471	0.0584502	0.0333278	0.0336163	0.0390324	0.033824	0.0244843	0.0203711	0.00933678	0.0149042	0.00752991	0.0214247	0.033717	0.0218975	0.0582295	0.0422151	0.036172	0.036709	0.0221508	0.0242864	0.0307999	0.020121	0.0223006	0.0221055	0.0215913	0.0191763	0.0148527	0.0229891	0.0385678	0.0223462
me	0.151491	0.104032	0.0945415	0.0669258	0.0706836	0.0588321	0.0334047	0.0144846	0.0129606	0.022248	0.0138731	0.0252305	0.0291209	0.0272961	0.035031	0.0278386	0.0237829	0.0241515	0.0264173	0.0247065	0.0259582	0.0203776	0.0124872	0.0121816	0.00928352	0.00708141	0.00713657	0.00526078	0.00614445	0.00703655
battre	0.0508913	0.0384927	0.0504845	0.0389375	0.0463018	0.0286757	0.0185629	0.0143939	0.010885	0.0221254	0.0227237	0.0302159	0.0352508	0.0326688	0.0324248	0.0318657	0.0278911	0.0347514	0.0357309	0.0470074	0.0515752	0.0381674	0.0354947	0.0323296	0.0347871	0.0276722	0.0308777	0.0276687	0.0307436	0.0404027
pour	0.0466758	0.0115059	0.00819088	0.00738335	0.00639085	0.00461905	0.00443517	0.00588888	0.00470327	0.00716229	0.00560861	0.0146098	0.0187502	0.00964239	0.0194311	0.0213977	0.0276203	0.0440279	0.055841	0.0591606	0.0871443	0.0557095	0.0793117	0.0634033	0.0687671	0.0578837	0.0595358	0.0577605	0.0598291	0.0276101
construire	0.0456333	0.0150519	0.0118872	0.01251	0.00927087	0.00858939	0.00969836	0.0112024	0.00942666	0.0108901	0.00916642	0.01808	0.0301495	0.013994	0.0264638	0.0198599	0.0168055	0.0288107	0.0228887	0.0271271	0.0505674	0.0302237	0.0543819	0.0499391	0.0712077	0.0564627	0.0469367	0.0902038	0.121108	0.0714637
ma	0.0766452	0.0464998	0.0298854	0.0225006	0.0168403	0.0166226	0.0178627	0.0174828	0.0133853	0.0142282	0.0183235	0.0270785	0.0316679	0.0182604	0.0343241	0.0303302	0.0221145	0.0284444	0.0172428	0.0159986	0.0178919	0.0182206	0.0431978	0.035005	0.0542825	0.0404063	0.0361169	0.0640855	0.107755	0.0673004
maison	0.0348386	0.0251293	0.021534	0.0225404	0.0190318	0.016004	0.0101526	0.00922053	0.00832376	0.00838873	0.011287	0.0130141	0.0134884	0.00953019	0.0109431	0.0101409	0.00879817	0.016474	0.0102198	0.0175706	0.0256058	0.0231942	0.0466124	0.0467972	0.0722694	0.0592566	0.0542885	0.113495	0.122512	0.139339
</S>	0.0323936	0.0190642	0.01336	0.0151267	0.0115921	0.00889925	0.00486998	0.00555748	0.00415556	0.00342868	0.00392814	0.00616196	0.0047203	0.00261064	0.00594076	0.00856107	0.0131573	0.027766	0.0171023	0.0209854	0.021777	0.026839	0.0588163	0.0553833	0.0883973	0.0723515	0.0688454	0.124684	0.11664	0.136885
