 	a66	a87	a23	a97	a87	a40	a36	a27	a75	a12	a96	a18	a93	a96	a90	a56	a44	a75	a92	a79	a98	a47	a7	a75	a98	a47	a36	a2	a57	a97	a87	a23	a83	a71	a9	a75	a6	a0	a54	a79	a90	a56	a54	a92	a37	a66	a44	a56	a79	a36	a27	a3	a97	a87	a23	a99	a97	</S>
les	0.0374287	0.0416018	0.0325989	0.0260147	0.0265798	0.0225812	0.0563272	0.0341681	0.0417148	0.0435523	0.0458765	0.0610201	0.0456481	0.0424111	0.0358987	0.0348825	0.0306236	0.0225098	0.0161378	0.0129011	0.0114904	0.00833885	0.00942745	0.0102338	0.0123837	0.00762088	0.00900084	0.00512466	0.0037684	0.00292758	0.00273114	0.00216331	0.00275283	0.00325669	0.00451881	0.00789004	0.00976224	0.0102631	0.0136213	0.0121159	0.0185671	0.0158359	0.016387	0.0148366	0.00525517	0.00564435	0.00454165	0.00303005	0.00405351	0.00320415	0.00410285	0.00534801	0.00583385	0.00589873	0.00553792	0.0046167	0.00748765	0.00995027
jeunes	0.00358877	0.00510242	0.00417121	0.00353695	0.00335755	0.00757426	0.0409326	0.0723328	0.0556992	0.0612717	0.0550503	0.0558974	0.0532332	0.0349404	0.0258105	0.0142404	0.0181184	0.0299782	0.0208075	0.0209018	0.0271884	0.0222603	0.0268995	0.0242583	0.0264023	0.035093	0.0320626	0.0211167	0.0227857	0.0232549	0.0322118	0.0307309	0.0146689	0.0116485	0.00929217	0.00676246	0.00237637	0.00199532	0.00178112	0.00269002	0.00261404	0.00136192	0.00210901	0.00167344	0.0012554	0.00144879	0.00295057	0.00392146	0.0041472	0.00159721	0.00196311	0.00184357	0.00263101	0.00136221	0.00180803	0.00135321	0.00342635	0.000508672
d'	0.0320799	0.0239425	0.018803	0.0153796	0.0258024	0.0455044	0.0390254	0.0392137	0.0243463	0.0314634	0.0196156	0.0177664	0.0125013	0.0177188	0.0163147	0.0200476	0.0178754	0.0350982	0.0268451	0.0193219	0.0235703	0.0141452	0.0162038	0.0219867	0.0186535	0.0207111	0.0202594	0.0191171	0.0263409	0.0343772	0.0348838	0.0233858	0.0207023	0.0221497	0.0186302	0.00822773	0.0106887	0.0100388	0.00840774	0.00863834	0.00819016	0.00565318	0.00312653	0.00470828	0.005597	0.00549383	0.0036442	0.00364481	0.00574442	0.00412991	0.0068155	0.00781493	0.0115428	0.00733668	0.00820303	0.00574066	0.0206416	0.00218851
ongonza	0.0265815	0.0342843	0.0188273	0.0109309	0.0135199	0.0320524	0.0218741	0.0251815	0.0181318	0.0171083	0.0168166	0.0188631	0.0106234	0.0165014	0.00814025	0.00880508	0.0123967	0.0107769	0.0129898	0.0131773	0.0121433	0.0164034	0.0308475	0.019447	0.0241114	0.0232669	0.0308933	0.0197156	0.0291834	0.0349584	0.0230557	0.0213845	0.0133023	0.0116915	0.00684121	0.00754141	0.00581943	0.00548703	0.00643624	0.00579668	0.00598123	0.0101919	0.00589625	0.00743787	0.015055	0.0120338	0.0120705	0.0171499	0.0140149	0.0222987	0.0162178	0.029073	0.0176326	0.0180355	0.0249302	0.020603	0.0174521	0.0380171
pratiquent	0.0766563	0.0435545	0.028841	0.0253263	0.0248499	0.0235351	0.00897314	0.00589824	0.00591406	0.00514866	0.00460867	0.00733851	0.00664235	0.0111418	0.00814439	0.0185518	0.0227568	0.0167329	0.028008	0.0228541	0.0249141	0.0223144	0.0317006	0.0395485	0.051306	0.0450926	0.045157	0.0248062	0.0314919	0.02615	0.0228909	0.0165815	0.0202263	0.0218077	0.0173938	0.0151547	0.0144601	0.0131045	0.0114094	0.00716893	0.00845526	0.00758619	0.00175608	0.00325384	0.00792529	0.00492732	0.00271833	0.00537957	0.00359264	0.00555722	0.00412768	0.00623206	0.00482744	0.00389798	0.00608439	0.00653655	0.00477964	0.0142068
la	0.0481049	0.0391122	0.0269862	0.026753	0.0133885	0.0144883	0.00637357	0.00726606	0.00624781	0.00590448	0.00422189	0.00413212	0.00535952	0.00737984	0.00815621	0.0163636	0.0227243	0.0207947	0.0337896	0.0288908	0.0353006	0.0304102	0.0401085	0.0464775	0.0410261	0.032035	0.0479981	0.0212539	0.0352263	0.0203626	0.0153601	0.0174089	0.020021	0.0234517	0.0195967	0.0260895	0.0195051	0.0164604	0.0150828	0.00862067	0.0116006	0.00982802	0.00492073	0.00830865	0.0103161	0.00987713	0.00644426	0.00440201	0.00488285	0.00568445	0.00541839	0.00618262	0.00444434	0.00501679	0.00452305	0.00549175	0.00530666	0.00911835
pêche	0.0262618	0.0108947	0.00432633	0.00417385	0.00304592	0.00455119	0.00359985	0.00349097	0.00421513	0.00462681	0.00962559	0.00510236	0.00544887	0.0127919	0.00991387	0.0180989	0.0213044	0.0309101	0.036369	0.0387058	0.0413844	0.0414262	0.0534306	0.0466828	0.046323	0.0318435	0.0163949	0.0202091	0.0499498	0.0419113	0.0246322	0.0358739	0.0256418	0.023552	0.0242428	0.029102	0.0192044	0.016852	0.011496	0.00460086	0.00567543	0.00435975	0.00225794	0.00460657	0.00374472	0.00349311	0.00236705	0.00228497	0.00473089	0.00529352	0.00664623	0.0125475	0.0155458	0.0100056	0.0132336	0.00845153	0.0127807	0.0197644
au	0.0598946	0.0244797	0.00905724	0.00549775	0.00210657	0.00139578	0.000745488	0.000500202	0.000328745	0.000482114	0.000909383	0.00169822	0.00321349	0.00579381	0.0108003	0.0204001	0.0483135	0.0540026	0.0805778	0.122396	0.0522175	0.0918168	0.0449159	0.0375773	0.0347184	0.0118248	0.00384605	0.0043134	0.0102422	0.00417574	0.00237396	0.000942029	0.00104295	0.00110242	0.000936795	0.00135181	0.00284994	0.00177035	0.00480033	0.00491783	0.011296	0.0144822	0.00874515	0.0227732	0.0118781	0.00748844	0.00374062	0.00155358	0.00245266	0.00343705	0.00989102	0.0263753	0.0215054	0.0172608	0.0162086	0.0143195	0.0169501	0.0193123
filet	0.0244395	0.00509884	0.00201096	0.00125787	0.000839052	0.000886318	0.000780179	0.000717949	0.000450035	0.000602218	0.00110339	0.00200211	0.00220026	0.00555242	0.00890793	0.0148314	0.0267901	0.0357498	0.0480718	0.101013	0.0415273	0.0812854	0.0509827	0.0494886	0.0488676	0.0172858	0.00669627	0.00922024	0.0217158	0.0100353	0.00471715	0.00244407	0.00277445	0.00272025	0.00193518	0.0018913	0.00302505	0.00186753	0.00261566	0.00281566	0.00560526	0.00842743	0.0102719	0.0153239	0.0111655	0.00805529	0.00516554	0.00415157	0.00919126	0.00978637	0.0231441	0.0542586	0.0354011	0.0247145	0.0307007	0.0324915	0.0217759	0.0431532
dans	0.0461204	0.0181194	0.00731335	0.0047099	0.0017215	0.00073621	0.000565008	0.000293283	0.000395584	0.000606143	0.00192317	0.00215763	0.00364953	0.0101287	0.0179754	0.0245596	0.0364004	0.0323357	0.0503002	0.0655252	0.038262	0.0442314	0.0303174	0.0355074	0.0450886	0.0170371	0.0100734	0.00722997	0.00959122	0.00612286	0.0047578	0.00279665	0.00292062	0.00397251	0.00499485	0.00678869	0.0111916	0.00448336	0.00870893	0.00925928	0.0128565	0.00790806	0.00627478	0.00834224	0.00520081	0.00519396	0.0053823	0.00760715	0.0110895	0.0111621	0.02111	0.0349117	0.0349245	0.0315598	0.0383333	0.0368199	0.0537451	0.0387066
