 	a66	a87	a97	a10	a87	a97	a87	a97	a99	a38	a71	a62	a0	a31	a47	a62	a21	a85	a6	a56	a96	a0	a24	a88	a71	a9	a97	a87	a97	a87	</S>
la	0.0932766	0.0712357	0.0318092	0.023693	0.0144713	0.015187	0.0123451	0.00949454	0.0105398	0.010673	0.0115345	0.0088616	0.00571729	0.00772102	0.00385489	0.00354199	0.00454139	0.00591918	0.00747514	0.0132049	0.0139894	0.0318162	0.057437	0.0479427	0.0673378	0.0805472	0.0632809	0.0467791	0.0531417	0.0656483	0.106983
cola	0.0131484	0.014503	0.0147328	0.013956	0.0167537	0.0241662	0.0327473	0.0251252	0.0325308	0.0656805	0.0578008	0.0415326	0.0537453	0.0724726	0.0545955	0.0745981	0.0446977	0.0660276	0.0610015	0.0568446	0.0521603	0.00957759	0.0101625	0.00217268	0.0068138	0.00638033	0.00935692	0.0106403	0.0116608	0.0158498	0.0285646
se	0.0461889	0.0393388	0.032058	0.0333759	0.046012	0.0570248	0.0652193	0.0425405	0.0635293	0.0722339	0.0373472	0.0620256	0.0403551	0.0294718	0.0336855	0.021054	0.0077279	0.00849605	0.00400377	0.0046648	0.0154518	0.00480132	0.0133657	0.0194269	0.02011	0.0230857	0.021284	0.0215768	0.0237447	0.0568977	0.0339023
fend	0.0236717	0.0378468	0.0404737	0.0279698	0.0457836	0.0296268	0.0195253	0.018127	0.0189928	0.0219737	0.0196673	0.0148449	0.0210376	0.0185232	0.016387	0.039662	0.0347943	0.0418069	0.0213929	0.0146917	0.0361452	0.0127126	0.0342279	0.015082	0.0382081	0.056962	0.0371384	0.0523478	0.0428836	0.0622214	0.0852722
sous	0.0284502	0.0351446	0.0248464	0.0254595	0.028871	0.0252671	0.0233805	0.0268895	0.0324118	0.043949	0.0388275	0.0408373	0.0352668	0.0501919	0.0305313	0.0490482	0.0601	0.0756088	0.0618933	0.0314534	0.019995	0.0162608	0.017155	0.0191564	0.0172704	0.0235468	0.0190131	0.0290036	0.0227157	0.0203016	0.0271534
l'	0.0332805	0.0215342	0.0170123	0.014254	0.0192642	0.0157966	0.0146754	0.0167186	0.0197849	0.0252862	0.03495	0.0209141	0.0152444	0.019073	0.0185009	0.0149854	0.00807325	0.0116599	0.00829891	0.0171348	0.0208478	0.0382194	0.0228216	0.043432	0.0311654	0.0471123	0.0437178	0.0696251	0.0707259	0.079794	0.166097
effet	0.0200968	0.00993495	0.0102174	0.0130045	0.0196688	0.0300784	0.0288571	0.0308426	0.0388116	0.0593509	0.0538686	0.0421483	0.0855107	0.0496236	0.0379305	0.0535152	0.0240074	0.023375	0.00814517	0.0132013	0.0170255	0.0138853	0.0171444	0.0294926	0.0234981	0.0211461	0.0524824	0.0419545	0.0498993	0.0538465	0.0274366
du	0.114791	0.0549093	0.0476718	0.0297206	0.0289695	0.024176	0.0182817	0.0139381	0.0157081	0.0167883	0.0183626	0.0166714	0.0141693	0.0119695	0.0126887	0.0159281	0.00853874	0.00511681	0.00172072	0.00408333	0.0134179	0.0158214	0.0193423	0.0478458	0.0358126	0.0310936	0.0626275	0.0519516	0.055964	0.0832497	0.10867
soleil	0.0532967	0.0489049	0.0268899	0.0292982	0.0214365	0.0239339	0.0149996	0.0144156	0.0167846	0.014632	0.00963352	0.00944326	0.0114182	0.0120385	0.0135976	0.0176441	0.0112565	0.0129491	0.00231414	0.00403964	0.0100042	0.0139606	0.0251142	0.0361544	0.0352621	0.0522211	0.0639115	0.0861786	0.105629	0.102776	0.0998619
</S>	0.0624319	0.0566995	0.0390994	0.0330297	0.0240063	0.0250383	0.0193518	0.0166723	0.0174966	0.016792	0.0123874	0.0119171	0.0130592	0.0123491	0.0114473	0.00792656	0.00862667	0.0102184	0.00516587	0.00579322	0.00917791	0.0241935	0.0280857	0.043419	0.0375541	0.0376377	0.050964	0.0491341	0.0776827	0.064342	0.168301
