 	a66	a87	a23	a30	a93	a25	a79	a56	a34	a70	a44	a25	a79	a56	a70	a11	a47	a12	a62	a50	a93	a90	a92	a7	a94	a57	a3	a87	a23	a87	</S>
cet	0.0280298	0.0522031	0.0668948	0.0442404	0.0482888	0.063243	0.0433904	0.0333633	0.024671	0.0332468	0.0357862	0.0429268	0.0334045	0.0275088	0.0216596	0.0122855	0.0102642	0.0134011	0.0101864	0.00758574	0.0183792	0.0359667	0.042479	0.0495672	0.0477587	0.0332916	0.0333416	0.0220651	0.0190748	0.0130181	0.0324777
homme-ci	0.00884169	0.0112009	0.00887535	0.0116733	0.0218126	0.0213318	0.0227238	0.0387391	0.0497554	0.0450659	0.0949512	0.118589	0.123249	0.0998236	0.035879	0.0386483	0.0437444	0.0297072	0.0239735	0.0203231	0.0179875	0.0360445	0.0097865	0.00633005	0.00566613	0.00971759	0.00594409	0.00851766	0.0107488	0.0129417	0.00740727
n'	0.0640121	0.0901275	0.0753183	0.0825591	0.0750422	0.0453054	0.0441257	0.0334833	0.027904	0.0256878	0.0230327	0.0223118	0.0190257	0.0139086	0.00797258	0.00660946	0.0085806	0.0122771	0.0093748	0.0116551	0.010727	0.0144085	0.0158909	0.02672	0.0259545	0.0261745	0.0334114	0.0309468	0.039824	0.0406559	0.0369723
a	0.0270959	0.0184699	0.0100847	0.0131501	0.00716346	0.0102677	0.0115264	0.00921328	0.0205403	0.0165772	0.0239621	0.0329775	0.0439712	0.0318504	0.0148536	0.0292641	0.0307281	0.0167954	0.0189208	0.0124678	0.0168883	0.0260353	0.0161425	0.033112	0.0394419	0.0627366	0.0662412	0.0789259	0.0649954	0.0704371	0.125164
pas	0.0500715	0.0596227	0.0731425	0.0599544	0.0662907	0.0757757	0.0668105	0.0518711	0.0422687	0.0218254	0.0450854	0.0336621	0.0662496	0.0682189	0.0254983	0.0186258	0.0189106	0.0101726	0.00707308	0.00560484	0.00669648	0.0061715	0.00240619	0.00466601	0.00723006	0.00688588	0.015032	0.0145125	0.016333	0.0170335	0.0362986
pu	0.0489678	0.0267971	0.022422	0.0159144	0.0237879	0.0295788	0.0213361	0.0314056	0.0370477	0.0360138	0.0598137	0.0714929	0.0525801	0.0607472	0.0300503	0.0189851	0.017128	0.0223948	0.0238752	0.0162584	0.0210704	0.0243423	0.0156	0.0355511	0.0322033	0.0285887	0.0268547	0.0285257	0.0369495	0.0307298	0.0529875
couper	0.0292923	0.0142418	0.0143197	0.0116989	0.0174622	0.0269055	0.0226726	0.0309951	0.043146	0.0380371	0.0328619	0.0423564	0.0205095	0.0237181	0.0160268	0.0206871	0.0130825	0.0199502	0.0353356	0.0345719	0.0284417	0.0213428	0.0196669	0.0298679	0.027992	0.0362937	0.0335643	0.0342003	0.0493915	0.0476617	0.163706
cet	0.0411497	0.0263341	0.0257269	0.0177323	0.0294244	0.0284948	0.0277912	0.0259872	0.0315159	0.0282332	0.023662	0.0335377	0.0269261	0.0237925	0.0171675	0.0429421	0.0299702	0.0236352	0.039367	0.0276661	0.0184322	0.0139674	0.00701208	0.0159847	0.0191487	0.0311979	0.0314288	0.0390123	0.0600953	0.0678702	0.124794
arbre	0.0314096	0.0203649	0.0148419	0.0121119	0.0202302	0.0205922	0.0185069	0.0184951	0.014139	0.0153301	0.0132251	0.0233529	0.0172766	0.0163978	0.0253727	0.0305065	0.025954	0.0322974	0.0358772	0.0329877	0.0380511	0.0331458	0.0296444	0.0408615	0.0519303	0.060817	0.0564181	0.0578296	0.0551466	0.0634036	0.0734819
</S>	0.0291146	0.0193857	0.0119228	0.00838906	0.0199558	0.0225146	0.0186141	0.0139888	0.0102195	0.0104884	0.0107516	0.0207	0.0186029	0.0171047	0.0200934	0.0354742	0.023683	0.0208035	0.0290654	0.0209013	0.02442	0.0215944	0.014008	0.0256067	0.0439773	0.0698427	0.0681773	0.0680728	0.0802269	0.0783402	0.12396
