 	a66	a87	a97	a87	a23	a97	a87	a23	a79	a4	a11	a54	a73	a44	a11	a34	a44	a54	a37	a75	a96	a70	a66	a97	a82	a3	a87	a23	a87	a23	a97	a87	a23	a97	a87	a23	a97	a87	</S>
qui	0.0284464	0.0307013	0.017527	0.0130899	0.0177827	0.0226475	0.0133801	0.0186475	0.0184182	0.0226378	0.0338632	0.032467	0.0207208	0.0206521	0.0135117	0.0108778	0.00971381	0.00718525	0.00501141	0.00683458	0.0048355	0.00594604	0.0145076	0.0189031	0.0324012	0.0348791	0.0511919	0.0404627	0.054795	0.0439919	0.0322988	0.0287169	0.0243721	0.0338958	0.0301941	0.0319195	0.0345258	0.0363679	0.081679
est	0.0197493	0.0110165	0.00847331	0.00535833	0.0042893	0.00515279	0.00637941	0.00640759	0.00653127	0.0107957	0.0178089	0.0173957	0.0214807	0.0118256	0.0239898	0.0713253	0.124271	0.0944868	0.0583319	0.0343478	0.0271978	0.0168562	0.0176917	0.03161	0.0246258	0.0192084	0.0227787	0.0240905	0.0293976	0.0310518	0.0312088	0.0224307	0.0237227	0.0167979	0.0247039	0.0246202	0.0232426	0.0175708	0.0117775
ce	0.0804193	0.0672211	0.0777432	0.0531368	0.0491922	0.0497632	0.0243522	0.027273	0.0218649	0.020396	0.0205633	0.0209369	0.0180803	0.0176553	0.0169933	0.0288508	0.0335461	0.0217588	0.0118108	0.018625	0.0100593	0.0130339	0.0155668	0.0230455	0.016843	0.0183987	0.00996242	0.0154422	0.0129134	0.00931616	0.00871642	0.00659308	0.00868103	0.0145825	0.0157725	0.0264163	0.0432886	0.0223793	0.0288062
qui	0.0407391	0.0233714	0.0330078	0.0394333	0.04792	0.0368778	0.0538398	0.0453743	0.0373819	0.0321546	0.01325	0.00895049	0.00761581	0.0115179	0.0112952	0.0378942	0.0515569	0.0544174	0.036231	0.0324739	0.057375	0.0578236	0.0400171	0.0358496	0.0203069	0.0140895	0.0107095	0.00814021	0.00672875	0.00731654	0.00628362	0.00528957	0.00748628	0.0109439	0.0110381	0.0125432	0.00601861	0.0114171	0.0153199
a	0.0958584	0.0465317	0.0245196	0.0129044	0.00991733	0.00858759	0.00750925	0.00732902	0.00598767	0.00616	0.011721	0.00608436	0.0071608	0.00400209	0.00412567	0.00601516	0.00794364	0.00550177	0.00478939	0.00547169	0.00322574	0.00539291	0.00506628	0.0170212	0.00873329	0.0189053	0.0284783	0.0255419	0.0347177	0.0372454	0.0332467	0.03745	0.0395613	0.0558226	0.0704366	0.0774175	0.100539	0.0801835	0.0328943
arraché	0.0975944	0.0449858	0.0369791	0.0247639	0.0174122	0.0137183	0.0123352	0.0163757	0.0151359	0.0175738	0.048858	0.0466545	0.0307198	0.0345162	0.016789	0.0116152	0.0125439	0.0075941	0.00706365	0.00725788	0.00604286	0.0169825	0.0268277	0.0537977	0.0333944	0.0605961	0.0291068	0.0191491	0.015016	0.0123197	0.0149675	0.0183649	0.0260698	0.0298509	0.0251597	0.0160251	0.0337339	0.0215748	0.0205339
le	0.0597736	0.0263547	0.0361965	0.0224254	0.0175179	0.0148265	0.0173659	0.0122431	0.0134069	0.0116343	0.0224966	0.0216497	0.0149716	0.014601	0.00661632	0.00402865	0.00473093	0.00567533	0.00733911	0.00852612	0.0102747	0.0343075	0.0260671	0.0925707	0.0382697	0.0653952	0.0466319	0.027577	0.0408468	0.049393	0.0347247	0.0269554	0.0294614	0.0291861	0.0241852	0.017794	0.0244471	0.0213806	0.0181518
safoutier	0.0447589	0.014943	0.0151751	0.00943011	0.0082561	0.0061321	0.00746693	0.00603592	0.00568204	0.00607523	0.00711055	0.00587661	0.00436493	0.00477089	0.00251063	0.00398918	0.00535606	0.00606332	0.00585407	0.00553914	0.00821028	0.0333862	0.0263869	0.0844206	0.045059	0.106503	0.0875247	0.0454158	0.0575012	0.0555217	0.0604352	0.0380624	0.0315573	0.0341843	0.0230492	0.0221554	0.0282847	0.023237	0.0137147
qui	0.061558	0.0320964	0.0120878	0.00840572	0.00710144	0.00691709	0.00580523	0.00597329	0.00601118	0.00590877	0.00605372	0.0045776	0.00633131	0.00352509	0.00423919	0.0110771	0.0157297	0.0173764	0.0161698	0.0178552	0.0126458	0.029985	0.0242429	0.0575562	0.025546	0.0537966	0.0406762	0.0260732	0.0373925	0.0250803	0.0373236	0.0270281	0.0474671	0.0546564	0.0571877	0.0523185	0.0577965	0.0574052	0.0210223
était	0.0644384	0.0416488	0.0168591	0.00972503	0.00618825	0.0051226	0.00329395	0.00422456	0.00442385	0.00450721	0.00844891	0.00609853	0.00666884	0.00366449	0.00401753	0.00430054	0.00603279	0.00647084	0.00699579	0.0123944	0.0050755	0.0146854	0.0138752	0.0263303	0.0181773	0.0340841	0.028642	0.0248501	0.0351048	0.0313962	0.0316849	0.0250136	0.0493551	0.0723349	0.0779339	0.0674628	0.0897357	0.0911261	0.0376075
là	0.0380797	0.0261114	0.017476	0.0114181	0.00787758	0.00585792	0.00324766	0.00379654	0.00294307	0.00415487	0.00792365	0.00533885	0.00495422	0.00575333	0.00415749	0.00771172	0.0110411	0.00792526	0.00751845	0.00863085	0.00555098	0.0123769	0.0126015	0.0250138	0.0155648	0.025665	0.0276219	0.0178491	0.0342299	0.0210966	0.0249576	0.0271496	0.0498622	0.0729135	0.0751032	0.065635	0.0890588	0.0927853	0.113046
</S>	0.0245967	0.0113948	0.00197308	0.000981777	0.000882103	0.0010065	0.000668346	0.000924187	0.00169409	0.00152203	0.00258869	0.0021752	0.00299721	0.00201057	0.00214883	0.00297164	0.00235963	0.0030453	0.00230917	0.00457157	0.00443754	0.00841038	0.0126452	0.0307954	0.0289102	0.0441409	0.070277	0.0473765	0.0731607	0.0464187	0.0497968	0.044443	0.0639786	0.0731699	0.0730226	0.0653039	0.072851	0.0684625	0.0495779
