 	a66	a87	a97	a53	a56	a25	a56	a98	a92	a85	a5	a21	a56	a94	a61	a21	a85	a47	a36	a56	a44	a70	a13	a38	a3	a99	a97	</S>
mon	0.0328494	0.0789086	0.0589568	0.0539755	0.044874	0.0266428	0.0184839	0.0161782	0.0216293	0.0231561	0.0229262	0.0198816	0.0179461	0.0195045	0.0168425	0.0179285	0.0129506	0.0216958	0.0387206	0.0436564	0.0706496	0.0574959	0.0575342	0.0377956	0.0362055	0.0306765	0.0279257	0.0740095
mari	0.00948931	0.00700659	0.00720669	0.00729218	0.00675929	0.0138024	0.0445145	0.0581247	0.074411	0.124246	0.138928	0.139428	0.114007	0.0742645	0.0530357	0.0377184	0.0257825	0.0180164	0.0130746	0.00722545	0.00405724	0.00224252	0.00309263	0.00189301	0.00255158	0.00289372	0.00647958	0.00245589
sait	0.0596658	0.071958	0.105666	0.113032	0.101915	0.0421139	0.0257746	0.0236034	0.00612083	0.00485481	0.00400405	0.0103601	0.0181476	0.0152187	0.0159507	0.0225718	0.0228407	0.030336	0.012105	0.0221832	0.0245618	0.0248623	0.0341641	0.0261349	0.0281256	0.0428101	0.0503854	0.0405338
tendre	0.0637887	0.0435147	0.0385672	0.0273464	0.0243692	0.00959509	0.00609032	0.00637402	0.00755943	0.00575608	0.0052425	0.0128531	0.0194242	0.0221225	0.0250645	0.0355249	0.030246	0.0300046	0.0350377	0.0226699	0.0272161	0.0311648	0.0426854	0.0508055	0.0790785	0.0826868	0.0733496	0.141862
des	0.112917	0.0750687	0.0996492	0.0749802	0.0936826	0.0594705	0.0323973	0.0355861	0.0208958	0.014878	0.0145201	0.0208794	0.0332065	0.0280112	0.0365554	0.0437883	0.0177445	0.0131399	0.0109949	0.00726247	0.00509076	0.00535011	0.0119953	0.0133502	0.0236234	0.0185144	0.0220159	0.054432
pièges	0.0743314	0.0326568	0.0420944	0.0456287	0.0474277	0.0359367	0.0256533	0.0330127	0.0390267	0.0326132	0.0307641	0.031693	0.033356	0.0250394	0.0177552	0.0262793	0.0201672	0.0242084	0.0195886	0.0216016	0.0248123	0.0205238	0.0398992	0.0277907	0.0385321	0.0466953	0.0590165	0.0838956
pour	0.0914236	0.0554248	0.0615678	0.0532704	0.0534107	0.0384864	0.0420097	0.0554822	0.0438832	0.0221952	0.012603	0.0174575	0.0167974	0.0127903	0.00970054	0.0112417	0.0153259	0.0173809	0.0136701	0.0178957	0.0248595	0.0276203	0.0498759	0.0415078	0.0334382	0.0397251	0.0755076	0.0454485
prendre	0.0472025	0.0316736	0.038099	0.0254837	0.0222479	0.00885968	0.00698466	0.00945757	0.00901957	0.00734836	0.00569857	0.00435516	0.00640882	0.00579614	0.0039579	0.0086386	0.00526601	0.0107242	0.0188947	0.025016	0.0476604	0.0492138	0.083175	0.107202	0.0926726	0.0747892	0.124185	0.119969
les	0.0404049	0.0408524	0.0505836	0.037275	0.0384776	0.0188176	0.0119964	0.0138197	0.0113249	0.0122685	0.0132567	0.0213701	0.0257305	0.0252292	0.0173997	0.0262591	0.0191985	0.0224766	0.0155107	0.0144331	0.0227557	0.0220188	0.0445265	0.0611298	0.09789	0.0847817	0.081042	0.109171
rats	0.0363249	0.0347302	0.0456656	0.0373227	0.0371925	0.0232767	0.015882	0.015723	0.0108636	0.0117269	0.00785059	0.0102308	0.0116931	0.0116992	0.0103163	0.0101077	0.00750733	0.00766782	0.0117203	0.0112024	0.020157	0.0169601	0.0343608	0.0596491	0.0918172	0.100196	0.140468	0.167688
palmistes	0.0279645	0.0425103	0.0643082	0.0425135	0.0359289	0.0199171	0.0159659	0.0179399	0.0132656	0.0087907	0.00712713	0.0110377	0.0109983	0.00813763	0.00785689	0.00705367	0.00733866	0.00683096	0.00670439	0.00692778	0.0207961	0.0155022	0.0318842	0.0671965	0.0736415	0.0522723	0.12525	0.24434
</S>	0.0313449	0.0344115	0.0382281	0.0267924	0.0297578	0.0262286	0.0132204	0.015808	0.0162645	0.00940191	0.0113044	0.0100771	0.0110142	0.01001	0.00874243	0.00940531	0.00959759	0.0131562	0.00967558	0.0133331	0.0219137	0.0235836	0.0499877	0.0761078	0.0870774	0.0466928	0.0819942	0.264869
