 	a66	a87	a79	a36	a54	a47	a6	a36	a12	a61	a0	a88	a71	a54	a47	a36	a2	a40	a6	a37	a66	a38	a5	a18	a61	a0	a75	a18	a40	a75	a6	a0	a11	a50	a88	a62	a88	a71	a9	a87	</S>
ces	0.0318047	0.0606278	0.0510941	0.0437994	0.0454689	0.0643146	0.0946305	0.091992	0.0792472	0.0483505	0.0250775	0.0150331	0.00812864	0.00638428	0.00724917	0.00932468	0.0070071	0.00854674	0.00821165	0.00725505	0.00744156	0.00875199	0.00975533	0.017233	0.0152873	0.013988	0.0176235	0.0140138	0.0246601	0.0105057	0.0132711	0.00864085	0.0114577	0.010628	0.0110134	0.012498	0.0110776	0.0124042	0.0211821	0.0126171	0.0224021
petits	0.00359602	0.00717104	0.0208375	0.038154	0.0247278	0.0380563	0.0599785	0.0647813	0.0972726	0.0393089	0.025364	0.0450119	0.0368708	0.0338204	0.0332598	0.0548739	0.0192584	0.0421009	0.0485923	0.0566278	0.0252601	0.0290822	0.0213393	0.0209149	0.0346079	0.0159036	0.012464	0.00689088	0.00615948	0.00531064	0.00100032	0.00174644	0.0012348	0.00165323	0.00238202	0.00330494	0.00303082	0.00381774	0.0039124	0.00670613	0.00361396
enfants	0.00570237	0.00612695	0.0113018	0.0125082	0.0106501	0.0115619	0.0119035	0.0194029	0.0185573	0.028036	0.03855	0.0360692	0.0957528	0.104965	0.0802254	0.0605714	0.0735757	0.0443789	0.0502417	0.0575469	0.0395787	0.0302002	0.0422554	0.0294057	0.0194362	0.0156991	0.014585	0.00806579	0.0045552	0.00290273	0.000803576	0.0010262	0.000455611	0.000426423	0.000900509	0.00103017	0.00134177	0.00300071	0.00201695	0.0034085	0.00127731
ont	0.00664531	0.00474834	0.00513076	0.00592524	0.0110354	0.0109658	0.0156084	0.0249815	0.022708	0.0492422	0.0738856	0.0337691	0.0733934	0.0430823	0.035601	0.0395314	0.0587655	0.0220955	0.0524027	0.0452008	0.0488725	0.0703011	0.0454948	0.0222702	0.0149345	0.0135007	0.0135057	0.00839546	0.00683185	0.0103102	0.00461883	0.00484523	0.00791556	0.0106752	0.00886724	0.0148895	0.00939691	0.0203031	0.0122848	0.00996307	0.007105
collé	0.0119271	0.00900724	0.00749186	0.00718215	0.00747032	0.0147676	0.0130306	0.0280782	0.0395298	0.0237901	0.045415	0.0247878	0.032996	0.0289924	0.0334741	0.0277828	0.0378176	0.0287884	0.0247275	0.0337274	0.0259189	0.0378465	0.0449692	0.0455874	0.0497213	0.0813387	0.0741588	0.0416046	0.0350258	0.0272962	0.00568233	0.00487359	0.00649062	0.00402539	0.00286399	0.00698752	0.00363592	0.00426065	0.00498987	0.00471138	0.00722751
des	0.00998615	0.00538821	0.00396378	0.00285125	0.00259542	0.00393687	0.00666919	0.010136	0.013984	0.0308284	0.0524455	0.0254852	0.0445592	0.0282684	0.0561193	0.0264175	0.0324421	0.0188544	0.0147204	0.0119664	0.0113132	0.0133732	0.00906064	0.0136926	0.0155859	0.0208332	0.0216695	0.0126233	0.0177015	0.0225994	0.0267014	0.0252325	0.0701929	0.0789984	0.0292234	0.047012	0.0279696	0.0226981	0.0328871	0.0351302	0.0438845
feuilles	0.0116927	0.0113976	0.0119786	0.01326	0.0146463	0.0122668	0.00678655	0.0080081	0.00888582	0.011497	0.0133852	0.0115669	0.0142147	0.015959	0.0191617	0.0128356	0.0168934	0.0147596	0.0131622	0.01364	0.0142365	0.0164319	0.0151068	0.0219096	0.0245659	0.0272834	0.0316851	0.0212594	0.0394988	0.0452316	0.0361847	0.0180688	0.0242221	0.0387981	0.0391591	0.080575	0.0613557	0.0638616	0.0537471	0.0395278	0.0312933
sur	0.0447232	0.0250687	0.0143728	0.0109633	0.00908513	0.0116106	0.0163474	0.0137101	0.0182158	0.050511	0.0386252	0.0494598	0.0397642	0.0439548	0.0405292	0.0498914	0.0509201	0.0296056	0.0217324	0.0146927	0.021855	0.0115406	0.0147374	0.0446307	0.029646	0.035081	0.0279008	0.0242859	0.0117262	0.0102052	0.00822388	0.00615733	0.0142649	0.0173332	0.0148382	0.0237807	0.0218621	0.0148929	0.0160918	0.0158941	0.0212684
leurs	0.0217448	0.0264967	0.0303339	0.0270628	0.026373	0.030533	0.0408006	0.022503	0.0381362	0.0209012	0.0181242	0.0130127	0.0141904	0.0147522	0.0179597	0.0231137	0.0281904	0.0216937	0.0171759	0.0109671	0.018755	0.0166063	0.0151862	0.0258166	0.0239922	0.0254588	0.0205129	0.0172636	0.0150731	0.0193781	0.0156438	0.0140656	0.0196029	0.0295556	0.0286739	0.0674843	0.0406279	0.0259796	0.0273969	0.0347592	0.0341024
visages	0.0225366	0.0250537	0.0385217	0.0281675	0.0188932	0.0331874	0.0235167	0.0135445	0.0217831	0.0127966	0.0152058	0.0145509	0.0177613	0.0180675	0.0265484	0.0248535	0.0293662	0.0280571	0.0184717	0.0131914	0.022536	0.0176746	0.0179559	0.026989	0.0224118	0.0291146	0.0298399	0.0270301	0.0288768	0.0247999	0.0133261	0.0111657	0.0170444	0.0156926	0.0204963	0.0451079	0.0350022	0.0172311	0.0338123	0.0353961	0.064422
