 	a66	a87	a23	a87	a23	a87	a23	a50	a83	a38	a70	a96	a34	a47	a96	a18	a70	a93	a12	a47	a62	a70	a90	a56	a44	a62	a24	a31	a88	a9	a87	a23	a40	a2	a11	a75	a6	a85	a5	a36	a21	a12	a43	a93	a70	a13	a38	a62	a96	a83	a44	a26	a3	a10	a87	a23	a87	</S>
la	0.0329347	0.0206823	0.0185192	0.0187827	0.019195	0.0242825	0.011313	0.0267755	0.0326695	0.0364568	0.0317933	0.0236965	0.013122	0.00734554	0.0217249	0.0167462	0.0217313	0.0368211	0.0183824	0.0355737	0.0308548	0.0170658	0.0184611	0.0199426	0.0194892	0.020493	0.0230239	0.0163331	0.0129527	0.0109039	0.00852957	0.00839301	0.00715907	0.00920007	0.0146278	0.0157091	0.0215828	0.0159703	0.016738	0.0141153	0.0204621	0.0178442	0.0170453	0.0242034	0.0112432	0.00979597	0.011007	0.00655811	0.00649588	0.00700017	0.00829772	0.00858908	0.0080243	0.00948104	0.00952618	0.00951191	0.0104115	0.0144094
manière	0.00413512	0.00545054	0.00363242	0.00607563	0.0128412	0.0184632	0.0118934	0.0179978	0.0220116	0.0428902	0.0319775	0.0222107	0.0358563	0.048167	0.0444392	0.0594206	0.0331094	0.0391567	0.0509582	0.0131384	0.0436271	0.0219021	0.0343989	0.0429243	0.0110861	0.0141643	0.0144053	0.00357014	0.0162505	0.0612152	0.0149085	0.0283071	0.00513651	0.0168835	0.0231735	0.00763513	0.0169967	0.0203163	0.0064266	0.00545956	0.00639847	0.0119426	0.00858511	0.016902	0.0046275	0.00188642	0.00204296	0.00275863	0.00219875	0.00114662	0.000686805	0.00028313	0.000576845	0.000692416	0.0020693	0.00166458	0.00176366	0.00116178
dont	0.0466077	0.0408008	0.0407219	0.0218574	0.0237412	0.024105	0.0277712	0.0232435	0.0140208	0.0116151	0.0146072	0.00898529	0.0141395	0.0201454	0.00788655	0.00655679	0.00858765	0.00954957	0.0284903	0.0194028	0.0242697	0.0304315	0.0287768	0.0318962	0.0400498	0.0332641	0.0425928	0.043033	0.048556	0.0392488	0.0594792	0.0234203	0.0221065	0.0127974	0.0125163	0.0130367	0.0108076	0.00518462	0.00320051	0.00180376	0.00394109	0.00270311	0.00370652	0.0024081	0.00339355	0.00157002	0.00321642	0.00109221	0.00275752	0.00268312	0.00304646	0.00435523	0.00280871	0.00363439	0.00324699	0.00366945	0.00593175	0.00652822
il	0.0109451	0.0151727	0.00967165	0.00619094	0.0028185	0.00202078	0.00199074	0.00135479	0.00232188	0.00230917	0.00300801	0.0057172	0.0109803	0.0190282	0.00841629	0.0196766	0.0300179	0.0221328	0.0219376	0.0134688	0.014323	0.0123634	0.0307989	0.0193079	0.016626	0.0158335	0.0213108	0.0356525	0.0286124	0.0257275	0.0248723	0.016507	0.0168917	0.0140081	0.0142822	0.0229425	0.045892	0.0656413	0.054057	0.0266143	0.0313261	0.0221434	0.0118827	0.0188643	0.00636255	0.00752628	0.014082	0.00885405	0.0129911	0.0194623	0.0138865	0.0103326	0.0137928	0.0172907	0.0206222	0.0133707	0.0217544	0.00401107
a	0.016349	0.00975142	0.00569715	0.0047168	0.00433565	0.00385006	0.00370869	0.002629	0.0057633	0.00591615	0.00451218	0.00550079	0.00527554	0.00633189	0.007068	0.00480085	0.014385	0.00707922	0.027293	0.015341	0.00968362	0.0100121	0.0102995	0.028967	0.031645	0.0196533	0.0299313	0.025108	0.0336166	0.031507	0.0115661	0.0205848	0.0221897	0.0346138	0.0204487	0.031469	0.0536407	0.101807	0.0670471	0.0469556	0.0432137	0.0321412	0.0189314	0.0263444	0.00590312	0.00502723	0.00389528	0.00239396	0.00325441	0.00558034	0.00227317	0.0051291	0.00457372	0.00338149	0.00637755	0.0111808	0.0101092	0.00923901
laissé	0.0225477	0.0144165	0.0123155	0.0062355	0.0103099	0.01918	0.0331372	0.017229	0.0131938	0.0080349	0.00590612	0.00333921	0.00253258	0.00240488	0.00660273	0.00308652	0.010625	0.0101231	0.0239958	0.0266662	0.0242888	0.0236833	0.0255809	0.0415549	0.0447496	0.0459908	0.0434064	0.0330505	0.0301537	0.0325314	0.0145335	0.0252334	0.0171139	0.0248326	0.0259134	0.0215573	0.031244	0.0318889	0.0323893	0.0218434	0.0204798	0.0199056	0.0211764	0.0230525	0.0106706	0.00888199	0.00481232	0.0022535	0.00190217	0.00211845	0.00170656	0.00225341	0.00200996	0.00274692	0.00556435	0.00598626	0.00722885	0.0138283
cette	0.0189748	0.0119397	0.0124635	0.00687486	0.0133265	0.0252392	0.0126821	0.0265573	0.0114436	0.00816031	0.00694109	0.00377008	0.00259045	0.00365456	0.00649268	0.00442535	0.0114568	0.00957844	0.0168335	0.0249187	0.0188771	0.0166471	0.0210071	0.0404478	0.0278141	0.0277527	0.0277515	0.0223677	0.0219339	0.0279439	0.0239891	0.0275895	0.0221302	0.0204205	0.0229253	0.0252345	0.0285816	0.0512151	0.0413799	0.0271495	0.0283205	0.019753	0.0277469	0.0200655	0.0111657	0.0155993	0.00835332	0.0054745	0.00411153	0.00341163	0.0051839	0.00377691	0.00343317	0.00614608	0.0121815	0.0112369	0.0137061	0.0188519
affaire	0.010229	0.00462194	0.00643592	0.0042026	0.00926598	0.0208966	0.0167331	0.0199674	0.0119148	0.00572559	0.00741001	0.00385828	0.00279092	0.00434493	0.00584201	0.0058874	0.00388654	0.00874747	0.0141341	0.0214841	0.0306874	0.0214615	0.0188184	0.0332155	0.0235175	0.0367385	0.0270317	0.0379869	0.0300459	0.0344645	0.0343939	0.0343233	0.0297966	0.0210574	0.0182156	0.0138737	0.0152826	0.0138753	0.0114395	0.0126769	0.0107448	0.0106468	0.00891873	0.00811359	0.00721271	0.0122481	0.00674922	0.0095513	0.0102709	0.00971325	0.0171454	0.0110202	0.0107192	0.0201036	0.037697	0.0302231	0.0510855	0.0405553
montre	0.00841372	0.00980639	0.0130681	0.00881047	0.0115004	0.0113816	0.00770058	0.00737325	0.00538691	0.00461268	0.00741834	0.00640719	0.00482179	0.00644592	0.00969386	0.00708074	0.0094439	0.0157262	0.0228391	0.02595	0.040329	0.035848	0.0294286	0.0259445	0.0253364	0.0290904	0.0210223	0.0230267	0.0215787	0.0217935	0.0222286	0.0241297	0.0197797	0.0146497	0.0176811	0.0145819	0.0107058	0.00616354	0.00405648	0.00235985	0.00274968	0.00226686	0.00274743	0.00250456	0.00391098	0.00821249	0.0107627	0.00786994	0.0124226	0.0179448	0.017789	0.0170552	0.0225744	0.030544	0.050398	0.0449709	0.08506	0.0466007
qu'	0.0244027	0.0291907	0.0215699	0.0129836	0.0128444	0.00951998	0.00584888	0.00668862	0.00390891	0.00532458	0.0098396	0.0104144	0.00847667	0.0114696	0.00922541	0.0120766	0.0146932	0.0123324	0.0159921	0.0232436	0.0243837	0.0229767	0.0148624	0.0182534	0.0363434	0.0254706	0.0301368	0.0357624	0.0276622	0.0191118	0.0209411	0.0245832	0.0261245	0.0154233	0.0155277	0.0178044	0.0120605	0.00629875	0.00691472	0.00456303	0.00573167	0.00630002	0.00541128	0.0088431	0.00818453	0.0115452	0.0155667	0.0104844	0.00916926	0.0113757	0.0122715	0.0146236	0.0188682	0.0229989	0.0342626	0.0499258	0.0523373	0.0368496
