 	a66	a87	a23	a99	a53	a15	a98	a79	a56	a75	a56	a34	a96	a34	a75	a92	a98	a15	a7	a79	a98	a85	a6	a75	a61	a34	a75	a92	a85	a5	a36	a0	a88	a9	a57	a3	a97	a87	a23	a87	</S>
ma	0.0206207	0.0297175	0.0239083	0.0375594	0.0433158	0.0589265	0.0623945	0.103408	0.0904913	0.0766145	0.0652768	0.0395907	0.0540059	0.0195945	0.0110942	0.00851524	0.00651251	0.00649056	0.00469604	0.00360314	0.0038555	0.00275421	0.00294491	0.00333158	0.00338179	0.00468734	0.00528887	0.00761808	0.0108981	0.0154211	0.0190432	0.0126534	0.0145681	0.0137675	0.0154729	0.0166971	0.0143828	0.0124336	0.0124476	0.0137959	0.0282206
mère	0.00397587	0.00883386	0.0222214	0.026988	0.023216	0.0227826	0.0623734	0.0537603	0.0496623	0.0440903	0.0289172	0.0430707	0.0299402	0.0567115	0.0343051	0.0387095	0.0431669	0.0647399	0.0317618	0.0285113	0.0260534	0.0514287	0.038898	0.0444399	0.026299	0.0221629	0.0193118	0.0093593	0.00765836	0.00405378	0.00244019	0.00448044	0.00482357	0.00264588	0.00196403	0.00206902	0.00262522	0.00211133	0.0024595	0.00416528	0.00281252
m'	0.0172879	0.0222604	0.0194096	0.0263703	0.0238181	0.0216508	0.0188618	0.0227093	0.0327112	0.0531987	0.0376977	0.0507532	0.0990689	0.0582643	0.075762	0.0676394	0.0518084	0.0334961	0.0440929	0.0398654	0.0369232	0.0195004	0.0182992	0.01196	0.0104561	0.00736704	0.005407	0.00478309	0.00526705	0.00540011	0.00474289	0.00464756	0.00412559	0.00337649	0.00414178	0.00375299	0.00510275	0.00686934	0.00596681	0.010612	0.00457216
a	0.0191153	0.0103912	0.00769888	0.00638476	0.00574192	0.00376675	0.00363761	0.00721143	0.0305695	0.0356926	0.0336736	0.0411518	0.0259503	0.0276144	0.0238317	0.028367	0.0271931	0.0257368	0.0430986	0.0520772	0.0622516	0.0406242	0.0370655	0.0335542	0.0384721	0.023743	0.0191646	0.0199101	0.0130442	0.0158527	0.0150659	0.00806207	0.00772206	0.00816774	0.0132784	0.0198812	0.0219861	0.0293573	0.0293355	0.030276	0.0542811
acheté	0.0326936	0.0292954	0.0287428	0.0220993	0.0286286	0.0353649	0.0428142	0.0373819	0.0476649	0.0502038	0.0421014	0.0323131	0.0244422	0.0149921	0.0157404	0.0114369	0.0093896	0.0182995	0.0212971	0.018322	0.0165819	0.0138228	0.0104207	0.0261242	0.0294649	0.0625245	0.0546632	0.0588836	0.0332536	0.0165377	0.0146659	0.0132158	0.0122391	0.00819917	0.00918412	0.00874587	0.00662096	0.00735994	0.00965313	0.00963687	0.0149783
du	0.0239804	0.0196108	0.0188726	0.0179298	0.015857	0.015953	0.0119988	0.0179465	0.0431151	0.0418943	0.0370331	0.0555874	0.041559	0.0562751	0.0493332	0.03868	0.0276789	0.0323962	0.0232288	0.0138563	0.00905685	0.00697239	0.00604429	0.00740329	0.00842491	0.0102195	0.0116974	0.0142444	0.0151346	0.0154831	0.0191336	0.0248514	0.0230809	0.020423	0.0243088	0.0276246	0.0251084	0.0251072	0.024591	0.0275593	0.0507445
pain	0.0191597	0.0172878	0.0159406	0.0138419	0.0138893	0.012844	0.00670101	0.0150679	0.0450548	0.051458	0.0499109	0.0805827	0.0447277	0.0698693	0.0665603	0.04185	0.0346393	0.0319811	0.0261787	0.0141798	0.00913878	0.00930104	0.00578908	0.0087646	0.00804125	0.0070135	0.0095385	0.00915229	0.0120202	0.0111042	0.016328	0.0217141	0.0205823	0.0159869	0.0203379	0.0213071	0.0213577	0.0268037	0.0262358	0.0272666	0.0204918
pour	0.0553849	0.0485291	0.0436236	0.0391698	0.0237849	0.0160118	0.0100913	0.00947371	0.0215102	0.025537	0.0250609	0.0502518	0.0528578	0.0206699	0.0575172	0.0208197	0.0154158	0.0243644	0.0249604	0.0115749	0.00554036	0.00604899	0.00389934	0.0116984	0.011529	0.0188571	0.0244043	0.0171889	0.0261798	0.0273289	0.022271	0.0108446	0.020277	0.0118359	0.0219492	0.0323176	0.0248713	0.0257007	0.0225611	0.0293626	0.0287249
que	0.0210455	0.0167139	0.0168979	0.0130967	0.00920401	0.00871013	0.00216106	0.0024	0.00681718	0.00817104	0.010343	0.0286732	0.0265796	0.0224942	0.0355059	0.0216593	0.0223026	0.0271387	0.0299563	0.0163613	0.00756764	0.0136778	0.00810858	0.0107433	0.012366	0.0116937	0.0175506	0.0219866	0.02062	0.0290935	0.0314708	0.0123553	0.031646	0.0318664	0.0493397	0.0600576	0.0608222	0.0632207	0.0501778	0.0566853	0.0527191
je	0.0396023	0.045767	0.0403098	0.0321184	0.0226512	0.019189	0.0103814	0.0123097	0.0189119	0.0217976	0.0222631	0.0528494	0.0507393	0.0296799	0.0432992	0.0262461	0.0178351	0.0282364	0.0203066	0.0160158	0.0069303	0.00722827	0.00602207	0.0102863	0.0113464	0.0140867	0.014338	0.0188527	0.0196504	0.0289322	0.0181158	0.0141549	0.0212868	0.0144317	0.0180586	0.0221904	0.024972	0.0332716	0.0385687	0.0545321	0.0322347
