 	a23	a87	a23	a40	a44	a93	a35	a90	a56	a90	a4	a57	a40	a6	a37	a62	a70	a96	a75	a6	a36	a2	a40	a6	a36	a2	a57	a87	a23	a99	a38	a36	a7	a44	a93	a70	a93	a4	a53	a69	a58	a40	a36	a26	a61	a75	a6	a36	a4	a11	a54	a44	a54	a36	a27	a82	a87	a23	a87	</S>
les	0.0285879	0.0304989	0.0411839	0.0224966	0.0366163	0.0554716	0.041915	0.0285981	0.0260206	0.0323558	0.061729	0.0669212	0.0650325	0.0350713	0.0225811	0.0304008	0.0239726	0.0166728	0.0113662	0.0067823	0.00690911	0.00966679	0.00641363	0.00907911	0.0114848	0.0134179	0.00420646	0.00607873	0.00507563	0.0034647	0.00636975	0.00443418	0.00365204	0.00870813	0.00522778	0.00641665	0.00707558	0.00554768	0.00604933	0.0066666	0.00613314	0.00643702	0.00492502	0.00366016	0.00838654	0.0049616	0.0073527	0.00223707	0.00889108	0.00733179	0.00358262	0.00467759	0.00781444	0.0113049	0.0201773	0.0102822	0.00698043	0.0279782	0.00899128	0.0176759
policiers	0.00310161	0.00338916	0.0035363	0.0103772	0.0478704	0.0603395	0.109008	0.0667928	0.0699788	0.0703636	0.0448485	0.0302636	0.0276295	0.037575	0.0231444	0.021677	0.0292786	0.0320728	0.0233935	0.0258798	0.0252077	0.0180166	0.0169714	0.00733453	0.0127883	0.0104679	0.00859998	0.0218112	0.0112752	0.00434674	0.0274531	0.00462357	0.00661013	0.00703271	0.00448426	0.00669331	0.00372531	0.00546249	0.00483665	0.00362525	0.00781462	0.00461246	0.00134874	0.00226344	0.0014704	0.00318812	0.00332143	0.00172392	0.00228339	0.00458669	0.0017264	0.00228381	0.00336987	0.0013996	0.00136813	0.000452846	0.00198892	0.000740648	0.00184452	0.000325293
n'	0.0303404	0.0314446	0.013457	0.0435533	0.0466262	0.0281253	0.0336042	0.0140403	0.0276479	0.0295328	0.0402145	0.0308646	0.0390277	0.0688651	0.0528322	0.0305704	0.0499022	0.0341344	0.0276803	0.0187263	0.0123281	0.012195	0.0112505	0.0149221	0.0111418	0.0109716	0.00349291	0.00365584	0.00361153	0.00302856	0.00701158	0.00225022	0.00599103	0.01456	0.00855228	0.0183286	0.0173227	0.0123603	0.0100038	0.0102587	0.00590282	0.00855355	0.00386423	0.00626639	0.0034029	0.00642754	0.00340076	0.00582734	0.00708129	0.00482703	0.00902949	0.00950787	0.00755365	0.00541755	0.00505406	0.00252216	0.0102587	0.0024041	0.0058581	0.00241338
ont	0.0345897	0.0164094	0.0103786	0.0213968	0.018406	0.0176407	0.0257369	0.029531	0.0322543	0.0180377	0.0131859	0.00982259	0.0095226	0.0121666	0.0137011	0.0134537	0.0137662	0.0268066	0.0171868	0.0218217	0.0153746	0.019207	0.0165167	0.0297304	0.0281312	0.0213687	0.0136796	0.0127846	0.010732	0.0130253	0.0102008	0.0111881	0.0160173	0.0258383	0.0185471	0.0286645	0.0361158	0.0199053	0.0168248	0.0105058	0.0118476	0.0163022	0.00904136	0.00939679	0.00697709	0.00759467	0.00494386	0.00727819	0.0059623	0.00534425	0.00737799	0.0083273	0.011767	0.0279513	0.0281592	0.019903	0.0179016	0.0141403	0.00864387	0.0209673
jamais	0.0164118	0.014513	0.00956852	0.00256153	0.00452281	0.00830513	0.0085034	0.00243186	0.00255015	0.00121176	0.0022507	0.0034425	0.00255474	0.00199668	0.0034029	0.00445049	0.00339382	0.00480948	0.00807117	0.00732128	0.0105383	0.0100992	0.0122425	0.00910674	0.00998901	0.0112036	0.0266576	0.0173072	0.019883	0.0365168	0.0294465	0.027577	0.0431704	0.0413128	0.0309068	0.0215949	0.0242359	0.0262943	0.0221384	0.0254398	0.0252342	0.0271052	0.017318	0.0265883	0.0166919	0.0272334	0.0369167	0.0263341	0.0179084	0.0284595	0.0112023	0.0122816	0.0109995	0.0361547	0.033191	0.0219456	0.0127384	0.0111957	0.012526	0.0200408
pitié	0.0386472	0.0239994	0.0122433	0.0071071	0.00571102	0.00389388	0.00372101	0.00326825	0.00332025	0.00250891	0.00529433	0.0098104	0.00509808	0.00484351	0.00435053	0.0069598	0.00970455	0.0117065	0.0159732	0.0220513	0.0273668	0.0215998	0.0310181	0.0128301	0.0161606	0.0191225	0.0334277	0.0357676	0.0493848	0.0469132	0.0520855	0.042063	0.0348519	0.032305	0.0296221	0.0148072	0.0135138	0.0157405	0.0163473	0.0192386	0.00835043	0.0123267	0.00695564	0.00549608	0.00584375	0.00502658	0.00671844	0.00750191	0.0118554	0.00679214	0.00739101	0.011733	0.0124215	0.0165193	0.024481	0.0263053	0.0173623	0.0172734	0.0128149	0.0124526
mais	0.0157796	0.0116811	0.00765837	0.00498533	0.00425378	0.00268043	0.00284642	0.0028141	0.0037039	0.00199303	0.00373207	0.00501281	0.0036433	0.00290627	0.00376815	0.00581238	0.0110405	0.0174282	0.0213401	0.0230469	0.0407179	0.0184532	0.0276924	0.0195719	0.0148419	0.0120544	0.057351	0.0465622	0.0465155	0.0793302	0.030215	0.0516286	0.0393232	0.0294822	0.0312706	0.0219917	0.0200532	0.0202753	0.014559	0.0144803	0.00894306	0.0135002	0.0100103	0.00905626	0.00930487	0.00859592	0.00943266	0.0094207	0.0113248	0.00989011	0.00860281	0.0106149	0.00962243	0.0114253	0.0138579	0.0133986	0.0106521	0.0105124	0.00997159	0.00936675
ce	0.0311772	0.0208826	0.0161702	0.0123196	0.00870203	0.00650504	0.00578608	0.00549875	0.00582476	0.00493024	0.0102252	0.0104511	0.00770787	0.00801555	0.0116001	0.013756	0.0220275	0.0287905	0.0354884	0.0304506	0.0482617	0.0245315	0.0313537	0.0226814	0.0183143	0.0165932	0.0365972	0.0278964	0.0257741	0.0444553	0.0211367	0.0187433	0.0191341	0.0181964	0.0144576	0.0153294	0.00910741	0.0154302	0.0111975	0.013954	0.00973585	0.0111573	0.0109118	0.00717217	0.0121369	0.00870249	0.00994599	0.0106348	0.0115189	0.0122464	0.0121785	0.0130572	0.0104453	0.0119663	0.0171985	0.0201879	0.0164864	0.0159938	0.016942	0.011927
policier-ci	0.0195957	0.0143504	0.0102627	0.00501379	0.00541242	0.00693362	0.0059872	0.00372581	0.00222286	0.00295834	0.00449602	0.00652558	0.00427218	0.00325857	0.00406933	0.00613206	0.00633557	0.0136682	0.013387	0.0158305	0.0341603	0.0255362	0.0262252	0.0200831	0.019347	0.0183664	0.0438308	0.0413572	0.0329081	0.0496969	0.0265639	0.0264578	0.0232754	0.021103	0.0174791	0.0157542	0.0118894	0.0175377	0.0140676	0.0154957	0.0174755	0.0149987	0.0170954	0.0106354	0.0200786	0.0148664	0.0166218	0.0158088	0.0159625	0.0185727	0.0142128	0.013084	0.0117672	0.0180634	0.0216125	0.0204146	0.0178949	0.0180263	0.0267089	0.0205269
est	0.021518	0.0175602	0.0156566	0.00954706	0.00710499	0.00942567	0.00722564	0.00438419	0.00327994	0.00588744	0.00884757	0.0104195	0.0084884	0.00898034	0.0120615	0.0159866	0.0142134	0.0217518	0.0195088	0.0234424	0.0411707	0.0456155	0.0402654	0.0368685	0.0400528	0.0340411	0.028598	0.0306931	0.0250986	0.0284063	0.0185387	0.0134696	0.010188	0.00978672	0.00585273	0.00639601	0.00392336	0.00719972	0.00434071	0.00604434	0.00572453	0.00485938	0.00574517	0.00431419	0.00913232	0.00620827	0.01238	0.00686023	0.018885	0.0202	0.0141849	0.0191514	0.0254352	0.0167542	0.0311827	0.0148303	0.0385984	0.0129406	0.039403	0.0113702
