 	a10	a87	a23	a53	a35	a26	a24	a38	a26	a98	a25	a53	a76	a94	a32	a76	a14	a44	a38	a24	a35	a30	a20	a14	a35	a57	a38	a75	a14	a73	a57	a10	a87	a23	a83	a66	a57	a38	a62	a34	a98	a38	a41	a62	a32	a35	a24	a32	a13	a9	a87	</S>
si	0.0393373	0.0805068	0.0620482	0.0871184	0.0456042	0.0381653	0.012635	0.00827753	0.0129702	0.0171298	0.0123	0.0137018	0.0167474	0.0135312	0.0188912	0.00950387	0.0103652	0.0110106	0.00979907	0.00989652	0.00698881	0.00805246	0.00860302	0.0109561	0.0121356	0.00596363	0.00724462	0.00922059	0.00689383	0.00965843	0.0244278	0.0241842	0.0162509	0.0091337	0.00787086	0.0106548	0.00725341	0.00906051	0.00829032	0.00984121	0.0106755	0.0116934	0.016776	0.0132159	0.0129831	0.0184847	0.0108503	0.0176598	0.0271494	0.0191427	0.0352406	0.063904
je	0.00100251	0.00110945	0.00105493	0.00124671	0.00194689	0.00583788	0.00453797	0.0128872	0.0411118	0.0636139	0.0210941	0.0801158	0.0881186	0.0819392	0.110271	0.0378607	0.0330049	0.0337761	0.0270296	0.0106079	0.0165026	0.0111222	0.00707941	0.00752326	0.0134677	0.0082653	0.0174683	0.016296	0.0113713	0.00958109	0.0106801	0.00594738	0.00556235	0.0072224	0.00665813	0.00774384	0.00946269	0.0165206	0.0117351	0.00935428	0.00919699	0.00871958	0.00939586	0.0217485	0.0176922	0.0109331	0.0131224	0.0114691	0.00903929	0.00852886	0.00728494	0.00513836
ne	0.0131147	0.00850486	0.0126876	0.0120707	0.0115355	0.0124488	0.0088931	0.0218944	0.0221337	0.0271456	0.0137271	0.0247768	0.0284322	0.0200818	0.0292483	0.0107644	0.0131718	0.015639	0.024722	0.0114465	0.0145243	0.0081459	0.0065191	0.00584823	0.00548391	0.00821313	0.0107499	0.0121562	0.00852615	0.0074967	0.00647302	0.0043265	0.00316493	0.00545322	0.00577704	0.00450786	0.00919598	0.00690773	0.00407298	0.00465571	0.00737347	0.0120277	0.0130331	0.0273513	0.0180201	0.0303887	0.0503946	0.0470929	0.0847811	0.0728082	0.0651658	0.0869256
veux	0.0255451	0.0146177	0.0106342	0.0102712	0.0190961	0.0177388	0.0282393	0.0306526	0.0193655	0.0144577	0.0132836	0.0100145	0.0128197	0.0106415	0.0117345	0.00975571	0.0125972	0.0170481	0.0248037	0.0207927	0.0369554	0.0463917	0.032653	0.0238779	0.0166297	0.023064	0.0270542	0.0234477	0.0204693	0.0147369	0.0118434	0.0136737	0.0168567	0.0191831	0.0237485	0.0166199	0.0220658	0.0122246	0.0165855	0.0123479	0.0150034	0.0126672	0.0148652	0.0176651	0.0211845	0.0136069	0.0163435	0.0149218	0.0196476	0.0188331	0.0228708	0.0478522
pas	0.0438105	0.0306573	0.024852	0.0228689	0.0375811	0.0248818	0.0246192	0.0192196	0.0173192	0.0121897	0.00831659	0.00792638	0.00763316	0.00813151	0.00734051	0.00606594	0.00617947	0.00768101	0.00990712	0.00604655	0.00930771	0.0132902	0.0117497	0.00744774	0.0105237	0.0160912	0.0308484	0.0222986	0.0234501	0.0193732	0.0154239	0.0128299	0.0163612	0.0186222	0.0304497	0.0297905	0.0371192	0.0407371	0.0323762	0.02772	0.0194629	0.0187345	0.00968963	0.00637142	0.0221453	0.0088927	0.0126773	0.019017	0.0133223	0.0252945	0.0374538	0.0479007
rester	0.0239931	0.0124007	0.00975109	0.00829651	0.0169524	0.0128045	0.015791	0.019587	0.0126519	0.00981765	0.011257	0.00838977	0.0107724	0.00957531	0.00877514	0.00872021	0.00846751	0.014655	0.0249725	0.011158	0.0123257	0.0141039	0.0160429	0.0159101	0.0202028	0.020447	0.0292893	0.0328238	0.0251534	0.0258665	0.0198242	0.0184983	0.017384	0.0147136	0.0186282	0.0199061	0.0212321	0.0198043	0.0205667	0.0222129	0.0186529	0.0224379	0.0207996	0.0234275	0.0274407	0.0215358	0.0213696	0.0230578	0.0274663	0.0310238	0.0374465	0.0616172
ici	0.0444388	0.0198219	0.0129069	0.00991259	0.015784	0.00972879	0.00807088	0.00709131	0.00669116	0.00481646	0.00325887	0.0038428	0.00484483	0.00399419	0.00701094	0.00293232	0.00336107	0.0050023	0.0075014	0.00399344	0.00751161	0.0057264	0.00634289	0.00619836	0.0114026	0.0136367	0.0218692	0.0198613	0.0163544	0.0230727	0.0277709	0.0319904	0.0284497	0.0337541	0.0562828	0.0533792	0.0582268	0.0489048	0.0276036	0.0188218	0.0119082	0.0163139	0.0100884	0.00991485	0.0198331	0.00957843	0.0162979	0.0277822	0.021576	0.0504289	0.0758356	0.0282773
j'	0.0304336	0.0161249	0.0162938	0.00886403	0.0103091	0.00826246	0.00612342	0.00498215	0.00280606	0.00229991	0.00378288	0.00229818	0.00312556	0.00317689	0.00310256	0.00301928	0.0035904	0.00342015	0.00569005	0.00385382	0.00411344	0.00435214	0.00393847	0.00369541	0.00627964	0.00749041	0.0132771	0.0132671	0.0148621	0.014791	0.015037	0.0146707	0.0172492	0.028991	0.0460955	0.0493284	0.0632775	0.0770611	0.0603066	0.0519066	0.0299235	0.0384271	0.0174235	0.0250161	0.0472374	0.0258753	0.0288145	0.0381689	0.0257955	0.027041	0.0278054	0.0169221
irai	0.0603072	0.0272561	0.0216317	0.0221817	0.0448374	0.0323964	0.0344653	0.0173372	0.00986773	0.00830051	0.00982574	0.00668781	0.0116987	0.0104962	0.00994769	0.00724629	0.00723895	0.00772541	0.0112422	0.00924684	0.0118029	0.0136905	0.0146494	0.00832462	0.0184015	0.0240648	0.0255422	0.0336655	0.0338509	0.0241721	0.0242016	0.0253429	0.0219607	0.022454	0.031279	0.0293902	0.0367586	0.0400036	0.0252136	0.0161993	0.00916858	0.0124703	0.00373269	0.00373108	0.0132421	0.00579349	0.0087061	0.0160422	0.0104304	0.0157871	0.0228881	0.0271028
ailleurs	0.01544	0.0144729	0.0162845	0.0219041	0.0191637	0.0244462	0.0137299	0.0130715	0.00951943	0.00934038	0.00929274	0.00613832	0.00984223	0.0095644	0.0102821	0.00744262	0.00667914	0.0107331	0.0155636	0.0123161	0.0149264	0.0176333	0.0198348	0.0286838	0.0376195	0.0237132	0.0234868	0.0275855	0.0245525	0.0203892	0.0298012	0.0291002	0.0167344	0.0176926	0.0187861	0.0182971	0.0193625	0.0156615	0.0149687	0.0114137	0.00917649	0.0106475	0.0074105	0.0105292	0.0180377	0.0184174	0.0214786	0.0252009	0.0280009	0.0304289	0.0337705	0.101431
</S>	0.0134115	0.00816892	0.00709433	0.00981906	0.0114465	0.00974056	0.00706096	0.00485585	0.00504704	0.00622987	0.00369766	0.00452579	0.00574016	0.00614415	0.00809921	0.0057062	0.00563487	0.00702767	0.00964807	0.00692778	0.00885424	0.00859201	0.0110224	0.0141787	0.017866	0.0177127	0.0253783	0.0220742	0.0169798	0.0161527	0.01965	0.0202657	0.0146535	0.0132276	0.0167422	0.0246051	0.0219313	0.014244	0.0242754	0.0200701	0.0198275	0.0261713	0.0166835	0.0310008	0.0351861	0.0303588	0.0486508	0.0480385	0.0416049	0.0503055	0.0645175	0.0931529
