 	a27	a82	a10	a87	a97	a83	a54	a41	a94	a70	a56	a70	a83	a99	a54	a41	a37	a94	a70	a94	a4	a13	a93	a70	a11	a75	a73	a7	a26	a44	a13	a57	a82	a26	a82	a97	a82	a57	</S>
j'	0.122233	0.0833097	0.0959854	0.05261	0.0602174	0.0451922	0.0403619	0.01608	0.0161885	0.0150837	0.0118633	0.00943557	0.0110923	0.0116647	0.0109228	0.00813484	0.0107787	0.00974583	0.00702521	0.00846391	0.00671579	0.00879887	0.00690725	0.00797011	0.00853062	0.00916926	0.00800239	0.0271871	0.0332332	0.0439729	0.0343102	0.026133	0.024623	0.0212659	0.0181848	0.0131331	0.0164989	0.0117659	0.0272083
ai	0.0146228	0.0207255	0.023905	0.0145419	0.0256463	0.016978	0.0259419	0.0341059	0.0344392	0.0284572	0.0243225	0.0310885	0.0195735	0.0177902	0.0152135	0.0177408	0.00941958	0.0156127	0.00974179	0.0142782	0.0275821	0.0215514	0.0383677	0.0612369	0.0493285	0.0551132	0.0335551	0.0354008	0.0288197	0.0203879	0.0203298	0.0210364	0.0221075	0.0234472	0.0209401	0.0231129	0.0224376	0.031292	0.029808
succédé	0.0317936	0.0171137	0.0144717	0.0111491	0.0100285	0.00798796	0.0107387	0.0149395	0.0120648	0.0171609	0.0150055	0.0217606	0.0146278	0.0114623	0.00654879	0.0110216	0.0216964	0.0170627	0.0182974	0.0172764	0.0388572	0.0205403	0.043611	0.036894	0.0206111	0.0167859	0.00951334	0.0109698	0.0259105	0.0233331	0.0510606	0.0394593	0.0389167	0.0493129	0.0525619	0.0672092	0.034976	0.076152	0.0411171
à	0.0361111	0.0314605	0.0161674	0.0164965	0.0171605	0.0162735	0.00924194	0.0132668	0.00944201	0.012146	0.00950426	0.00754369	0.0178817	0.0112239	0.00848203	0.0126329	0.0167971	0.0348257	0.0449189	0.0478544	0.0528963	0.0581115	0.0545767	0.0675084	0.054422	0.0270832	0.032093	0.025443	0.0396802	0.0198937	0.027673	0.0391109	0.0251387	0.017581	0.0175309	0.013002	0.0135127	0.0116528	0.0136592
cet	0.0262682	0.0258849	0.0160602	0.0135921	0.0114158	0.0116506	0.00605306	0.0071419	0.00390491	0.00531044	0.00471875	0.00333072	0.00942272	0.00532864	0.00432575	0.00634546	0.00624013	0.0131316	0.0193014	0.0214914	0.0210767	0.022405	0.023714	0.0260532	0.0274699	0.0228745	0.0292979	0.029417	0.0356696	0.0352534	0.0585362	0.0717411	0.0578151	0.0477855	0.0594409	0.0520921	0.0546932	0.0508215	0.0529248
homme	0.0754388	0.0622009	0.0299332	0.0412378	0.0260586	0.0188136	0.0140982	0.0210257	0.00861454	0.0199432	0.0179399	0.00713577	0.0304725	0.0154374	0.00596032	0.00644539	0.00447101	0.00916356	0.0162673	0.0126503	0.0161761	0.011825	0.0101616	0.0104767	0.0120583	0.0170069	0.0364495	0.0294887	0.0714513	0.0583249	0.0677672	0.0540254	0.038133	0.0337695	0.026539	0.0159191	0.0185332	0.0109637	0.0176227
comme	0.120547	0.0814696	0.0325632	0.0313074	0.0130334	0.0113663	0.00847342	0.00696927	0.0022278	0.00273233	0.00306662	0.00192094	0.00537642	0.0054448	0.00319582	0.00272156	0.00273351	0.00418479	0.00940433	0.0107501	0.0123121	0.0126058	0.019571	0.019522	0.0187078	0.0154493	0.0181457	0.0190807	0.0379039	0.0333615	0.0484516	0.0413189	0.0395989	0.0415495	0.0524776	0.0582641	0.0454278	0.0523045	0.0544583
chef	0.041324	0.0281837	0.012587	0.0105719	0.00649376	0.00573987	0.00440525	0.00264125	0.00123669	0.00201503	0.00189348	0.00147033	0.00249992	0.00247976	0.00227215	0.0029702	0.00220398	0.00341321	0.00853871	0.00989384	0.0103815	0.0166347	0.0162376	0.0166615	0.0186693	0.0188942	0.0203937	0.041382	0.0663567	0.0653164	0.065167	0.0461602	0.0414458	0.052883	0.0661107	0.0653815	0.07275	0.0792795	0.0670603
du	0.0558032	0.0380319	0.023089	0.0159345	0.00350016	0.00345954	0.0025873	0.00221503	0.000706056	0.00142311	0.00197834	0.00181158	0.00275824	0.00255475	0.00280857	0.00286435	0.00303881	0.00358585	0.00709971	0.00638435	0.00897598	0.00984477	0.0141581	0.0160317	0.0186045	0.0162679	0.0161562	0.026529	0.0306478	0.0384956	0.0371384	0.0457245	0.0476584	0.0441478	0.0569904	0.0444768	0.0756853	0.067548	0.203285
village	0.0415734	0.0378384	0.0302195	0.025281	0.0200469	0.0115526	0.00944373	0.00684428	0.00616804	0.00801939	0.00910579	0.00924852	0.00901629	0.00819785	0.00773135	0.00756688	0.00883926	0.00999483	0.0145769	0.0146194	0.0196804	0.0128787	0.0211175	0.0170727	0.0148087	0.0151757	0.0210448	0.0371825	0.0498708	0.0432541	0.0470673	0.0521528	0.0581862	0.0545814	0.0560123	0.0442796	0.0428163	0.0456231	0.0513108
</S>	0.0442093	0.0181102	0.00373861	0.00223841	0.000667555	0.000517386	0.000520818	0.000452468	0.000399842	0.000804843	0.000923538	0.00119719	0.00157207	0.00172195	0.00222257	0.00332843	0.00428204	0.00437902	0.00653039	0.00581942	0.00587356	0.00535176	0.0071573	0.00644061	0.00571324	0.00545072	0.00589054	0.0188968	0.0320494	0.0584812	0.0633485	0.0710158	0.0680921	0.0649785	0.0901408	0.0916666	0.105571	0.109073	0.0811729
