 	a66	a87	a23	a40	a7	a36	a7	a79	a90	a44	a93	a70	a93	a44	a70	a88	a71	a54	a15	a36	a40	a36	a40	a36	a27	a57	a87	a23	a87	</S>
ils	0.0322552	0.045963	0.049156	0.0634538	0.0627522	0.055079	0.0305249	0.0356558	0.0289435	0.0170163	0.0153024	0.015698	0.0172472	0.0199275	0.029168	0.0517619	0.0250137	0.0256708	0.0281901	0.0292467	0.0309605	0.0393632	0.0304672	0.031491	0.0266505	0.0208054	0.0156836	0.04418	0.0276732	0.0546994
ont	0.0199124	0.0176518	0.0228238	0.0269685	0.0175614	0.0205857	0.0204327	0.0209855	0.0135652	0.0110454	0.0062498	0.0085771	0.0149266	0.0221076	0.0259492	0.0368068	0.0216917	0.026902	0.0424774	0.0520873	0.0640774	0.0660904	0.0471474	0.0862608	0.0892892	0.0409668	0.0601866	0.0355207	0.0442472	0.0169055
coupé	0.0244732	0.0278634	0.0298935	0.0229052	0.0135935	0.0102095	0.00551601	0.00599223	0.00569901	0.00480756	0.00797829	0.0096346	0.00849179	0.00650252	0.00613747	0.010458	0.0084442	0.0178185	0.0304058	0.0363519	0.0514655	0.0859599	0.0850055	0.129398	0.0820611	0.0476755	0.0901281	0.046701	0.0620323	0.0263966
l'	0.0463243	0.0390873	0.0393249	0.0243612	0.0165303	0.0106774	0.00669615	0.00315018	0.0025809	0.00266815	0.00445371	0.00769457	0.0196071	0.0376402	0.0316583	0.0318073	0.026885	0.0386035	0.0396858	0.0340383	0.0488126	0.0423232	0.0348866	0.0551203	0.0344323	0.0515237	0.0607401	0.040331	0.0697201	0.0986355
arbre	0.0152759	0.0118655	0.0124869	0.0211589	0.0285604	0.0278581	0.0334071	0.0372104	0.0546082	0.0491173	0.0583958	0.0802494	0.0899082	0.049899	0.0487017	0.0594715	0.0376859	0.0342257	0.0312165	0.0220818	0.0222661	0.0178937	0.0186556	0.0344646	0.0202261	0.0177225	0.0206681	0.0191969	0.0155087	0.0100134
olondo	0.0269568	0.0198838	0.0133762	0.0130481	0.00974422	0.00897943	0.00932982	0.00817173	0.0104109	0.0208439	0.0481935	0.0496859	0.078667	0.0525191	0.058317	0.0538324	0.0375438	0.0321522	0.0266003	0.0282743	0.0453872	0.0451823	0.041102	0.0508239	0.0480364	0.0377199	0.0248406	0.0544684	0.0219596	0.0239494
pour	0.0747688	0.0847569	0.0939183	0.0485966	0.018847	0.0179295	0.00792087	0.00454651	0.00282708	0.00244752	0.00223485	0.00337824	0.00932408	0.021096	0.0274114	0.0338925	0.026302	0.0249615	0.0193849	0.0242238	0.0288435	0.0352075	0.0478761	0.0417585	0.0495167	0.0500771	0.0330276	0.0647185	0.0424813	0.0577248
faire	0.0658003	0.0715942	0.0640949	0.058375	0.0296551	0.034481	0.012739	0.00885406	0.00266404	0.00153585	0.001599	0.00274132	0.00621045	0.0126627	0.0215136	0.0262098	0.0321493	0.0344966	0.032565	0.0373978	0.0501419	0.0480847	0.0606977	0.0525133	0.034226	0.044606	0.0383046	0.0194039	0.0465629	0.0481198
des	0.0680841	0.0631117	0.0435168	0.0177035	0.013966	0.0118801	0.00788816	0.00556784	0.00359744	0.00197413	0.00400411	0.007	0.00813306	0.0115944	0.0173135	0.0162979	0.0181964	0.016459	0.0157094	0.0275451	0.0317694	0.0511177	0.0584274	0.0693757	0.0537309	0.0575383	0.0610242	0.0447129	0.0957191	0.0970419
planches	0.0716706	0.0443752	0.0249648	0.00889268	0.00729482	0.00616473	0.00467322	0.00211384	0.00169949	0.00141122	0.00262764	0.00643956	0.0121242	0.0173898	0.0202164	0.0229587	0.01825	0.0189925	0.0194829	0.0254533	0.0268446	0.0364394	0.0433951	0.0509113	0.0494999	0.0664074	0.0677137	0.0804899	0.0935351	0.147568
</S>	0.02698	0.0170041	0.0065617	0.00237502	0.00252445	0.00185643	0.0025222	0.00169982	0.00141416	0.0017	0.00383296	0.00613421	0.00675375	0.00917559	0.0107349	0.0142417	0.00709859	0.0102227	0.0108524	0.0241914	0.0251757	0.0393908	0.0477897	0.0476542	0.0608387	0.0853218	0.0667458	0.125169	0.0948054	0.239233
