 	a23	a10	a30	a93	a62	a12	a56	a93	a90	a4	a13	a90	a98	a85	a47	a44	a93	a90	a4	a93	a4	a13	a11	a70	a34	a0	a75	a85	a5	a37	a75	a6	a37	a36	a27	a30	a10	a87	a97	a87	a23	a87	</S>
cette	0.0389317	0.0516694	0.0579238	0.0420296	0.0527197	0.0334637	0.0303769	0.021966	0.0293318	0.0284362	0.0293506	0.02856	0.0239226	0.0224471	0.0268054	0.0375624	0.0294996	0.0239005	0.0160259	0.0122874	0.0152739	0.0118622	0.0136894	0.0142147	0.0108069	0.00917238	0.00601576	0.00595878	0.00660713	0.0134397	0.0144485	0.0149512	0.0150654	0.0150956	0.0200902	0.0160561	0.0158634	0.0219818	0.0185587	0.0209342	0.0197357	0.0124619	0.0505059
femme	0.00414909	0.00817791	0.0326791	0.0246678	0.0337094	0.0308407	0.0268874	0.108737	0.146065	0.137595	0.0790081	0.0343847	0.0500477	0.0269366	0.0144708	0.0119837	0.0149851	0.019519	0.0191299	0.0128102	0.0153214	0.0115112	0.0092473	0.00874495	0.010438	0.013866	0.0182448	0.0236678	0.0113778	0.0056994	0.00592381	0.00223103	0.00149713	0.00141618	0.00263795	0.00364661	0.00212169	0.00297031	0.00152703	0.00181741	0.00312689	0.00305973	0.0031217
est	0.0178971	0.0184064	0.0224768	0.0269067	0.0245892	0.0315499	0.028426	0.0401623	0.0350534	0.0310708	0.0435491	0.0405987	0.0181411	0.0219286	0.0355578	0.0510204	0.061826	0.0332201	0.0223739	0.0243471	0.0414427	0.0136295	0.0165936	0.00905365	0.00976009	0.00987909	0.0140976	0.0133763	0.00692982	0.00537138	0.00694644	0.013433	0.0103662	0.01454	0.0179502	0.0219863	0.0219268	0.0209607	0.0224982	0.0264193	0.0186914	0.0260191	0.00902703
en	0.00890444	0.00815416	0.00482266	0.00513177	0.00347108	0.00324966	0.00323178	0.0113018	0.00954604	0.00931666	0.00723879	0.0089351	0.0117785	0.00779236	0.0184588	0.0209677	0.0119308	0.0186052	0.0243893	0.0493594	0.0521431	0.0702852	0.0577728	0.0807537	0.127141	0.133488	0.0818569	0.0716817	0.0128431	0.00716404	0.00471607	0.00397538	0.00472071	0.00426417	0.00451704	0.00498202	0.00518226	0.00432025	0.00480726	0.00282328	0.00396492	0.0038981	0.00611276
train	0.0118889	0.0230291	0.0183713	0.0131136	0.0118504	0.0175615	0.0138497	0.0164685	0.0144113	0.0162802	0.0143523	0.0144631	0.0162606	0.0151292	0.0160115	0.00535178	0.00426982	0.00397284	0.00482483	0.00607556	0.00623233	0.0205522	0.0370286	0.0474203	0.0581021	0.0957289	0.0743163	0.122097	0.0991649	0.0426425	0.0179455	0.0098779	0.0110999	0.0123472	0.01725	0.0117331	0.0137779	0.0116634	0.00747003	0.00450115	0.00678026	0.00649707	0.00823513
de	0.0191049	0.013406	0.0165201	0.0157071	0.0454359	0.0296689	0.0561775	0.0260921	0.0187755	0.0181201	0.0254078	0.0396466	0.0321432	0.0439756	0.0401036	0.0592723	0.0322886	0.0231184	0.0192423	0.0220091	0.017462	0.0201329	0.00885103	0.0140617	0.00608761	0.00357901	0.00290745	0.00342622	0.00588761	0.0179935	0.0129396	0.020489	0.0204107	0.018075	0.0215408	0.017851	0.0305812	0.0226507	0.0304052	0.0300899	0.0256235	0.0213162	0.0314225
verser	0.0170373	0.0179539	0.0203892	0.0112644	0.0220944	0.0201044	0.0206458	0.0130775	0.0239429	0.0235335	0.0324543	0.0311184	0.037811	0.0308621	0.0503986	0.0638129	0.057505	0.0645047	0.0430937	0.0452324	0.0365132	0.0348078	0.0695837	0.0569344	0.0403424	0.0158865	0.00965265	0.0101008	0.0117762	0.0116264	0.00599153	0.00440376	0.00343645	0.0030396	0.00315898	0.00314664	0.00560601	0.00393488	0.00483241	0.00437352	0.00355667	0.00477973	0.00567928
les	0.0239438	0.0133406	0.0151842	0.0115448	0.0177176	0.00822003	0.0213134	0.0200212	0.0145389	0.0155312	0.0213292	0.0336168	0.033058	0.0321222	0.0378418	0.0474276	0.0378697	0.0283119	0.0304531	0.0333538	0.0217543	0.0227314	0.0166145	0.0137247	0.0193245	0.014769	0.0268096	0.0364714	0.0499523	0.0208406	0.0187341	0.0227616	0.0219655	0.0197218	0.0225342	0.0212089	0.0202282	0.0171417	0.0222206	0.0192498	0.0133663	0.0172416	0.0238936
cendres	0.0463562	0.0359113	0.0236597	0.0154646	0.00769247	0.00445301	0.00654458	0.0090246	0.00989428	0.00657771	0.00772675	0.00668506	0.00732088	0.00782746	0.031689	0.018746	0.0240056	0.0116425	0.0212726	0.0135139	0.019523	0.0294393	0.0115256	0.011295	0.0252228	0.0289181	0.0407128	0.0264251	0.0391302	0.0292102	0.0355075	0.0217584	0.0207455	0.0686239	0.0693108	0.0273958	0.0394036	0.0338807	0.0270405	0.0195603	0.0170586	0.0259621	0.0163418
dans	0.0321392	0.0209115	0.0168337	0.0154664	0.0138619	0.00756319	0.0112331	0.00446544	0.00611188	0.0047197	0.00418262	0.0127829	0.00321865	0.00517466	0.00633181	0.0062983	0.00324923	0.00165679	0.00249456	0.00157935	0.00145424	0.00170886	0.00130003	0.000983822	0.00154212	0.0018535	0.00218322	0.00333994	0.00796591	0.0184528	0.03026	0.0288458	0.0510068	0.0618924	0.0833485	0.0585123	0.0637226	0.0640528	0.0685932	0.0571849	0.05578	0.0600973	0.0956441
