 	a66	a87	a23	a53	a54	a6	a36	a21	a85	a47	a37	a85	a6	a47	a6	a36	a27	a47	a96	a37	a26	a82	a87	a23	a87	</S>
il	0.0515591	0.0490207	0.026428	0.0323748	0.0394571	0.0402192	0.0421016	0.0645967	0.0549804	0.0400642	0.0728799	0.0252781	0.0178399	0.0133411	0.00811051	0.00557911	0.00865895	0.0148942	0.0251708	0.0363565	0.0583798	0.0514443	0.033677	0.0467608	0.0607081	0.0801192
a	0.00769954	0.0095169	0.016586	0.0268049	0.035326	0.0362754	0.0381088	0.045704	0.0307166	0.0291418	0.0444233	0.0400996	0.037981	0.0455551	0.0343099	0.0253366	0.0325889	0.0226244	0.0185132	0.0458647	0.0406635	0.0494138	0.0793547	0.0637872	0.0967244	0.0468795
mangé	0.0308463	0.0330319	0.0293235	0.0343283	0.0238918	0.0136333	0.013265	0.0286255	0.0203244	0.012603	0.0264184	0.0145683	0.0166207	0.0281855	0.0345204	0.0670408	0.0948463	0.0303604	0.0504885	0.0364668	0.0783871	0.0592964	0.0599733	0.0487253	0.0622689	0.05196
la	0.122532	0.108906	0.069081	0.0391804	0.0177687	0.00973076	0.00726309	0.006498	0.00874914	0.00911276	0.00741052	0.0123303	0.0118319	0.0185933	0.0251404	0.0528997	0.0527454	0.0491841	0.067101	0.0482242	0.065691	0.0371304	0.0381576	0.0359434	0.0299317	0.0488627
partie	0.0417357	0.014373	0.00865963	0.00768977	0.0105904	0.0165385	0.0216135	0.034848	0.0198825	0.0215178	0.0413818	0.0300411	0.0288536	0.0327202	0.0389129	0.0227414	0.0235533	0.026813	0.0436205	0.0731603	0.101909	0.0697076	0.0784538	0.0699922	0.0663297	0.0543613
dure	0.0493489	0.0284195	0.0177315	0.0166847	0.020611	0.0254988	0.0218443	0.0309623	0.0175205	0.0187012	0.0315436	0.0216568	0.021966	0.0205418	0.0277817	0.0173479	0.0450802	0.0451898	0.078941	0.0704579	0.066068	0.0610319	0.0711006	0.0501845	0.0599182	0.0638675
des	0.100293	0.0397086	0.00678005	0.0054796	0.00518956	0.00851388	0.013499	0.0086584	0.00988984	0.00679243	0.00890022	0.0123456	0.00768022	0.00746931	0.0106676	0.00786603	0.0271234	0.0600062	0.0665065	0.0651069	0.0809052	0.0972979	0.10104	0.0945231	0.0937283	0.0540293
fesses	0.0541757	0.0307867	0.0107015	0.00745384	0.00312371	0.00406032	0.00733854	0.00814627	0.0126668	0.00755737	0.0095557	0.0107535	0.00759886	0.0109243	0.00641069	0.0089758	0.0109345	0.0190381	0.0334269	0.0616666	0.103159	0.0797948	0.0805631	0.154656	0.119338	0.137193
d'	0.0541207	0.0359598	0.0176634	0.0128845	0.00691027	0.00658196	0.00926749	0.0133995	0.0172437	0.0110917	0.0129345	0.00889434	0.0109067	0.0106323	0.00882867	0.0109383	0.0144691	0.0130352	0.0317219	0.0566266	0.103867	0.0634253	0.0608369	0.128752	0.113201	0.165807
un	0.0723843	0.0728711	0.0551729	0.0442705	0.0203512	0.0153129	0.0140668	0.0135997	0.0182967	0.0110447	0.0124114	0.00966972	0.0109337	0.0114387	0.00856761	0.0103463	0.0130855	0.0170219	0.0383094	0.039213	0.0681045	0.0715062	0.0440098	0.095769	0.0898553	0.122387
singe	0.0276039	0.0195676	0.014054	0.013579	0.0114964	0.0112189	0.012534	0.0177849	0.0281365	0.0250693	0.0352533	0.042916	0.0402843	0.0433515	0.0364624	0.0361179	0.0406296	0.0426195	0.0444034	0.0543172	0.0605664	0.0580131	0.0486857	0.0729763	0.0786866	0.0836722
</S>	0.0223779	0.0243662	0.00699962	0.00945182	0.00959762	0.0118146	0.0098789	0.0231424	0.0261587	0.0273903	0.0438982	0.0460322	0.0296746	0.0247492	0.0343523	0.0250834	0.0365941	0.0116014	0.0184211	0.0199406	0.105845	0.029686	0.076083	0.0872465	0.123904	0.11571
