 	a23	a40	a36	a2	a11	a12	a96	a98	a47	a36	a0	a37	a70	a66	a62	a88	a90	a25	a92	a12	a56	a43	a75	a92	a90	a25	a69	a4	a57	a82	a87	a23	a87	</S>
les	0.0892944	0.124775	0.0686836	0.0749416	0.129489	0.0723446	0.0579431	0.0402947	0.031873	0.0237447	0.029084	0.0209178	0.0208514	0.0118618	0.00835269	0.00861661	0.00843289	0.00798983	0.00768406	0.00477596	0.00651138	0.00573062	0.0070051	0.00708436	0.0157448	0.0152545	0.0100742	0.018857	0.018007	0.0126794	0.00720426	0.00946161	0.00636443	0.0180711
jeunes	0.00543009	0.00824479	0.0645457	0.0384619	0.104409	0.0952765	0.121681	0.121899	0.101594	0.0788892	0.0499539	0.0287897	0.0161549	0.023887	0.017652	0.0112489	0.0212966	0.0248523	0.0133021	0.0133594	0.00819859	0.00640379	0.00142089	0.00133344	0.00172337	0.0012327	0.00172335	0.00147801	0.00190872	0.00228189	0.00156107	0.00228024	0.00413484	0.00339069
déracinent	0.0435446	0.0238942	0.0404533	0.0393382	0.020811	0.0195181	0.0211319	0.0310908	0.0266292	0.0240163	0.0447519	0.0323623	0.0305218	0.0223042	0.037275	0.0268936	0.0438087	0.0252448	0.0236872	0.0140611	0.0173579	0.0197168	0.0264428	0.0223273	0.0170821	0.0204159	0.021169	0.0337801	0.0508624	0.0449139	0.0358919	0.0340332	0.0295064	0.035162
l'	0.147733	0.0570665	0.0438252	0.044084	0.032529	0.0202581	0.0304408	0.0423901	0.0581939	0.0384029	0.0345182	0.0191343	0.0329608	0.0226929	0.0252021	0.0176692	0.0306018	0.0210492	0.0139771	0.00913763	0.016596	0.0127625	0.0197158	0.0112002	0.0132453	0.0141851	0.0101048	0.0199197	0.0168973	0.0165012	0.0118808	0.0132527	0.0207662	0.0611056
arbre	0.0235216	0.00806559	0.0184986	0.015183	0.0200466	0.0182306	0.022358	0.030291	0.0388146	0.0537517	0.0505354	0.0686593	0.0746447	0.092413	0.115796	0.0682818	0.0605493	0.023236	0.025504	0.0183616	0.0163261	0.0164139	0.0127647	0.00924493	0.00878805	0.0109738	0.00809941	0.0121483	0.0151518	0.00799058	0.00580055	0.00992591	0.0080224	0.0116075
qui	0.0389266	0.00874355	0.0113052	0.00945365	0.00555044	0.00480545	0.00825601	0.0170024	0.0304901	0.044647	0.05388	0.0639639	0.0386116	0.0322248	0.0300131	0.017648	0.0124402	0.0055432	0.00950944	0.00484722	0.00637673	0.00618441	0.0114353	0.0125127	0.0115841	0.0264146	0.0466514	0.0689908	0.0770822	0.0497243	0.0513014	0.0935888	0.0408869	0.0494047
est	0.0651088	0.0146342	0.0251754	0.0158783	0.0151905	0.00886966	0.0120224	0.0170457	0.0215744	0.0261935	0.0191868	0.0216204	0.0302685	0.0232755	0.0172321	0.014762	0.0123361	0.0101495	0.0167125	0.00814026	0.0118266	0.0097629	0.0120291	0.00918046	0.0153605	0.0228943	0.0561682	0.0593468	0.0665965	0.0793272	0.056827	0.0551704	0.0508463	0.099287
au	0.073488	0.0198556	0.0278437	0.0101767	0.0093539	0.00745953	0.00739479	0.013288	0.0143124	0.0150771	0.0187429	0.0205103	0.0243089	0.0180339	0.0190068	0.0201382	0.017794	0.0165079	0.0197349	0.0133898	0.0163629	0.0169802	0.0238695	0.0179503	0.0209501	0.032278	0.0454704	0.0403336	0.0502079	0.0600421	0.0578014	0.0721145	0.0671049	0.0921166
coeur	0.0609401	0.0193371	0.0263321	0.011299	0.0108941	0.0081902	0.0107308	0.0172532	0.0265812	0.0262508	0.0320677	0.0279905	0.0369792	0.0235425	0.0231666	0.0275327	0.0276788	0.021808	0.0240803	0.0144167	0.00972424	0.00983801	0.00885095	0.00835975	0.0113594	0.0222137	0.0359499	0.02656	0.038278	0.0496683	0.0590476	0.0711576	0.067325	0.104596
du	0.0963404	0.0265328	0.0719417	0.0220949	0.0384319	0.0278499	0.0356149	0.0534194	0.0578185	0.0628027	0.0737289	0.0305855	0.0339123	0.0211799	0.011907	0.00926393	0.00778372	0.00791414	0.00782571	0.00597751	0.00801462	0.0065981	0.0104738	0.00962288	0.0118848	0.0173882	0.0183147	0.0218343	0.0224741	0.0309129	0.0262189	0.0363328	0.0336779	0.0433263
vil-	0.0416136	0.0220448	0.0612586	0.03039	0.05172	0.0338353	0.05335	0.0638977	0.0954484	0.110205	0.0865027	0.052621	0.0383939	0.0252523	0.0197154	0.0158656	0.0125009	0.0119116	0.00946772	0.00717692	0.00728374	0.00615847	0.00664732	0.0072427	0.00466481	0.00718967	0.00876449	0.0101558	0.0124635	0.0118809	0.0122448	0.0219641	0.0175743	0.0225938
lage	0.15929	0.0607494	0.02062	0.0206145	0.017066	0.00791374	0.0108279	0.014956	0.0257248	0.0182934	0.0187761	0.0165369	0.0158387	0.0039942	0.00714704	0.00552389	0.00545258	0.00770105	0.00642701	0.00684224	0.0052651	0.00406713	0.00663387	0.0076344	0.0122215	0.0193805	0.0426579	0.0420714	0.0578389	0.0799576	0.0599035	0.0662738	0.0404516	0.105348
</S>	0.0981966	0.0281919	0.0211824	0.0272697	0.0273743	0.0189061	0.0163161	0.019148	0.0226937	0.0172843	0.0180255	0.0207477	0.0288516	0.0106376	0.0146384	0.0107991	0.00837106	0.00864054	0.0100916	0.00936174	0.0121818	0.0122819	0.0174481	0.0192803	0.0333081	0.0364745	0.0410835	0.0426846	0.0596461	0.0622135	0.042048	0.0550536	0.0502862	0.079282
