 	a66	a87	a10	a87	a79	a69	a90	a92	a56	a44	a75	a92	a98	a79	a85	a5	a85	a47	a92	a56	a44	a62	a21	a5	a18	a27	a82	a87	a23	a97	</S>
une	0.0364174	0.0324994	0.0268671	0.0226961	0.0195284	0.0229042	0.044322	0.0334763	0.0256723	0.0171564	0.0165503	0.0295455	0.0304074	0.0278207	0.0126728	0.0127469	0.0146177	0.0123519	0.0177696	0.0165209	0.0250398	0.0762177	0.0436006	0.0546614	0.054565	0.0324253	0.0538348	0.0312978	0.0387519	0.0389741	0.0780885
nasse	0.00264858	0.00229189	0.00432388	0.00774323	0.0062652	0.00661436	0.00940336	0.0182828	0.0282752	0.048051	0.0645916	0.0803189	0.133345	0.212405	0.108394	0.0929699	0.0436727	0.0403104	0.0255743	0.00762087	0.0149159	0.00820023	0.00598423	0.00580535	0.0043193	0.00222997	0.00280579	0.00277186	0.00289565	0.00463566	0.00233345
tissée	0.0804966	0.0705525	0.0846987	0.0493758	0.0298255	0.0339482	0.0315337	0.0360624	0.0335126	0.0353688	0.0318974	0.0372401	0.0335986	0.0167812	0.0168686	0.0194456	0.0207931	0.0155661	0.0148326	0.00832258	0.0114269	0.0160464	0.0149433	0.0184572	0.0192815	0.0223353	0.031165	0.0409644	0.0373661	0.0573734	0.0299197
avec	0.0717765	0.0646015	0.068363	0.0567653	0.0419223	0.0368208	0.0332181	0.0155064	0.0110948	0.0141865	0.0236576	0.0250777	0.0219455	0.0283401	0.0318999	0.029628	0.0283254	0.0239616	0.0153583	0.0169879	0.0199101	0.018733	0.0310443	0.0297796	0.0289748	0.0262699	0.0223998	0.0335528	0.021526	0.0314612	0.0769113
la	0.0455586	0.0257467	0.023297	0.0201022	0.0227214	0.0203313	0.0177798	0.0124457	0.0185756	0.0159051	0.017351	0.0203223	0.023247	0.0241811	0.0336874	0.0284883	0.0327844	0.0191546	0.0272251	0.0262815	0.0299377	0.0514852	0.0431424	0.0639263	0.0621806	0.0351853	0.0464649	0.0478933	0.0451743	0.0326621	0.066762
liane	0.0392302	0.0228457	0.0206904	0.0167402	0.0177185	0.0207492	0.0322635	0.043079	0.0598744	0.0362665	0.0340056	0.0294193	0.0218929	0.0208273	0.023973	0.0178996	0.0241145	0.0191064	0.0256808	0.0224487	0.0328568	0.0402366	0.0559654	0.0436896	0.045848	0.0589543	0.0388589	0.0330645	0.0414376	0.0208952	0.0393674
ekaa	0.0546213	0.0411534	0.0346775	0.0283675	0.0255027	0.0276966	0.0523186	0.0432102	0.0199634	0.0128532	0.0123227	0.0134274	0.0133603	0.00841711	0.00739648	0.0130534	0.015582	0.0158247	0.0210535	0.0253994	0.0322629	0.0511559	0.0500721	0.0516266	0.052988	0.0491164	0.0550139	0.0494444	0.0431751	0.0263477	0.0525956
est	0.0847004	0.0416117	0.0254021	0.00813822	0.00767474	0.00795212	0.00779029	0.0101753	0.00845025	0.00892154	0.00891794	0.0111457	0.00927906	0.00623735	0.00550103	0.00852687	0.00975181	0.00998404	0.0189849	0.0274722	0.0336049	0.0676477	0.0526339	0.0576944	0.0779195	0.0755936	0.0740429	0.0570908	0.0608459	0.0443206	0.0719883
durable	0.0574553	0.0303458	0.0194734	0.0081489	0.00529093	0.00433824	0.00424234	0.00411645	0.00464907	0.006152	0.00799114	0.00925487	0.0107122	0.00596044	0.00683337	0.0149616	0.0121875	0.0192178	0.0288885	0.0451355	0.0491932	0.116528	0.0810488	0.077318	0.0796312	0.0653066	0.0736754	0.0492032	0.0445953	0.0331091	0.0250358
</S>	0.0431713	0.027533	0.0224709	0.019862	0.0190857	0.0211416	0.0337565	0.0233189	0.0133903	0.0138378	0.0111941	0.0113707	0.0149224	0.00874281	0.00748438	0.0111724	0.0126097	0.00865402	0.0176992	0.0240056	0.0249871	0.0476503	0.0323891	0.0392921	0.0608298	0.0395898	0.056684	0.0640734	0.0761333	0.0704164	0.122531
