 	a23	a87	a23	a87	a23	a20	a73	a84	a54	a41	a94	a41	a54	a73	a76	a94	a32	a76	a56	a24	a75	a76	a69	a4	a57	a53	a76	a41	a73	a94	a76	a94	a75	a73	a94	a54	a73	a84	a57	a87	</S>
il	0.0329084	0.0263473	0.0173974	0.0275856	0.0354458	0.037854	0.0416534	0.0375006	0.0575359	0.0537569	0.0693665	0.0598898	0.0480832	0.0220882	0.038895	0.0219411	0.0217105	0.0212704	0.013917	0.00826366	0.00992503	0.00773842	0.00732726	0.00745356	0.00592535	0.00461761	0.00972544	0.00679693	0.0107555	0.00807509	0.0077239	0.0132827	0.0138328	0.0177091	0.0312323	0.0193315	0.0386806	0.0290497	0.0198196	0.0188387	0.018748
attire	0.00389156	0.00422675	0.00778484	0.00878531	0.00397135	0.00592919	0.00898857	0.0177763	0.0318159	0.0289729	0.0293424	0.0490085	0.081978	0.0463393	0.0698188	0.0650543	0.0456477	0.0308069	0.0379924	0.0322606	0.0174079	0.0218099	0.018473	0.015538	0.0116543	0.0135218	0.0159808	0.018471	0.00923561	0.0100359	0.0124902	0.0205607	0.0157028	0.0129898	0.0132717	0.0157124	0.0146373	0.016078	0.024157	0.0455733	0.0463071
les	0.0129048	0.00961004	0.00914012	0.0100038	0.0103341	0.00967232	0.0117844	0.00855649	0.00851033	0.00883272	0.0182165	0.014259	0.0184448	0.0144324	0.0169624	0.0221663	0.0142952	0.0163027	0.0193566	0.0133837	0.00879895	0.01008	0.0106117	0.00644315	0.00686205	0.00526653	0.0110386	0.00501779	0.00276008	0.00297938	0.00348439	0.00824556	0.0105912	0.0183563	0.0362265	0.053122	0.100803	0.11795	0.0870607	0.102193	0.124941
animaux	0.0297022	0.0174722	0.0126552	0.0109498	0.00849408	0.00958278	0.0183685	0.0321872	0.0272855	0.0162549	0.0166292	0.0649768	0.0589041	0.0586451	0.0376298	0.0327732	0.0222419	0.0338702	0.0245477	0.0332331	0.0378834	0.0305618	0.0312543	0.0343807	0.0316619	0.0344542	0.0300258	0.0328904	0.0321718	0.0375036	0.0278821	0.0130719	0.00909205	0.0148706	0.00523062	0.00751397	0.0072938	0.00737619	0.00408942	0.00262831	0.00175958
au	0.023574	0.0118322	0.011857	0.0124193	0.010818	0.00934252	0.0148549	0.0406504	0.0252537	0.0203401	0.0292146	0.101276	0.0869111	0.0746801	0.0581129	0.0382087	0.0200945	0.0304854	0.0212191	0.0183832	0.0282046	0.0272502	0.0285089	0.0160516	0.0260622	0.0184567	0.0145016	0.0132959	0.0180152	0.0179739	0.0163441	0.00889115	0.0092578	0.00693347	0.00679026	0.0101479	0.00807379	0.0111346	0.0120808	0.0193967	0.0231006
piège	0.0157754	0.0170896	0.0119026	0.010882	0.00895179	0.00802527	0.0102912	0.0167363	0.0285074	0.0390636	0.0468349	0.0451324	0.0507354	0.0690442	0.0420183	0.0442614	0.0453883	0.0646264	0.022837	0.0364539	0.0387792	0.0239871	0.0364032	0.00676939	0.0234493	0.0275952	0.0167978	0.0115827	0.0344511	0.0226652	0.0203985	0.00938691	0.0114836	0.0101318	0.00440628	0.00711966	0.0083282	0.0143671	0.011941	0.0124037	0.0129955
avec	0.0647477	0.0298818	0.0195843	0.0188304	0.0107394	0.0160143	0.0446061	0.0428192	0.0619504	0.0366083	0.0234713	0.0488672	0.0840917	0.0357519	0.0405213	0.0227266	0.0171797	0.0117172	0.0075978	0.00583054	0.00639219	0.00680772	0.00449251	0.00251454	0.00341778	0.0017343	0.0027294	0.00686904	0.00978498	0.0105787	0.00756559	0.00809344	0.0171504	0.0159999	0.0135331	0.0389388	0.0447053	0.0348944	0.0322137	0.0340169	0.0540303
un	0.0221907	0.0106303	0.00748252	0.00499577	0.00526711	0.00566	0.00215974	0.002242	0.00327154	0.00383756	0.00412916	0.00652605	0.0145333	0.00693957	0.0104392	0.0117592	0.00769592	0.0077186	0.00869301	0.013691	0.0137284	0.0138313	0.0177936	0.0130999	0.0119966	0.00863517	0.00857866	0.0272899	0.0486508	0.0448903	0.0455329	0.0440153	0.063418	0.0653616	0.068573	0.0682049	0.072173	0.0666108	0.0499309	0.0422999	0.0455229
remède	0.0181514	0.014359	0.0112057	0.00971732	0.0130282	0.0148889	0.0081026	0.00904517	0.0055209	0.00694431	0.00685013	0.00965552	0.019118	0.0136497	0.0123844	0.0166502	0.00923401	0.0110483	0.0122565	0.0248244	0.0236427	0.0217448	0.0323381	0.021364	0.0195257	0.0343711	0.0217041	0.0316248	0.0452101	0.0428587	0.0410403	0.047529	0.0406284	0.041585	0.032837	0.0385062	0.0423226	0.0497505	0.0455769	0.0356939	0.0435113
</S>	0.0329669	0.0152704	0.011471	0.0110498	0.013105	0.0130113	0.0106471	0.0129267	0.011175	0.0136506	0.0138551	0.018202	0.0365303	0.0175528	0.024902	0.0241989	0.0143649	0.0127601	0.0157577	0.0172812	0.0208242	0.014839	0.0203019	0.0146947	0.0123432	0.0118638	0.0122184	0.0217754	0.0244665	0.030308	0.027808	0.0321442	0.0310323	0.0222643	0.02649	0.0311187	0.0378459	0.0427808	0.0468303	0.0706341	0.106738
