 	a66	a87	a23	a79	a15	a79	a44	a93	a70	a11	a90	a75	a79	a7	a93	a96	a0	a75	a79	a7	a58	a82	a87	a23	a87	</S>
il	0.0432978	0.0619429	0.0398426	0.0261756	0.0225936	0.0237614	0.0231197	0.0145538	0.0150497	0.0140131	0.0171043	0.0103614	0.00681186	0.00436921	0.00560517	0.00960224	0.0140332	0.0247677	0.0391401	0.0540621	0.0716513	0.0746395	0.0905008	0.0976661	0.0981621	0.0971727
est	0.00805835	0.00560051	0.00713896	0.0236816	0.0334088	0.0434426	0.0242407	0.0194611	0.0212781	0.0157564	0.017766	0.018498	0.0213537	0.0301825	0.0389671	0.0420659	0.0726042	0.048982	0.0532361	0.0811803	0.059435	0.0695327	0.094471	0.0690231	0.0515198	0.0291156
allé	0.00796004	0.00347674	0.00381922	0.00401286	0.00330874	0.00287925	0.00490973	0.00982164	0.0142557	0.00966924	0.00757139	0.00768608	0.00758148	0.0108438	0.0186325	0.0302512	0.0348651	0.0537301	0.064953	0.150329	0.0962138	0.102243	0.119944	0.0728395	0.0547436	0.103459
chercher	0.0654594	0.0310906	0.0265825	0.0241824	0.0221101	0.0156712	0.0157673	0.0162192	0.0307205	0.0311953	0.0406268	0.0423107	0.0397279	0.0410931	0.0782086	0.042994	0.0425684	0.0518113	0.0603263	0.0811184	0.0344728	0.0460936	0.0270631	0.0295489	0.0162395	0.0467979
le	0.0547248	0.0360517	0.0141359	0.00795691	0.0160627	0.00557972	0.00889819	0.0144604	0.0145534	0.013904	0.016395	0.0141378	0.019643	0.0380041	0.0442369	0.0580102	0.0479708	0.0408124	0.052052	0.0794693	0.0496733	0.0570271	0.0848871	0.0640972	0.0754982	0.0717578
bois	0.0419652	0.0377278	0.0267933	0.0282727	0.0302918	0.026676	0.0224382	0.0231881	0.0326456	0.0230117	0.0185881	0.021232	0.0179996	0.0358207	0.0393235	0.0409487	0.0617509	0.095926	0.0530546	0.0748949	0.0432225	0.0604242	0.0316319	0.0518687	0.0283408	0.0319627
de	0.0947226	0.082948	0.0310075	0.0231541	0.0557464	0.0318691	0.044623	0.0242962	0.0347838	0.0349524	0.0314106	0.0204508	0.0136476	0.0107448	0.0108317	0.0144101	0.0194479	0.0214128	0.0228059	0.0293255	0.027189	0.0379012	0.0399313	0.0583426	0.0594223	0.124623
chauffe	0.111737	0.0415254	0.0109351	0.00496883	0.00618624	0.00245012	0.00388088	0.0101882	0.0102631	0.0207778	0.0194468	0.0167899	0.0144801	0.0115234	0.0169427	0.0184426	0.0273379	0.0483694	0.046208	0.0689607	0.0658578	0.101537	0.0576334	0.0978015	0.0791778	0.0865778
dans	0.0796703	0.0465846	0.0191633	0.00862279	0.00962742	0.00748012	0.0149101	0.0250094	0.0172213	0.0160951	0.0142377	0.00842197	0.00726997	0.007902	0.0140645	0.0162709	0.0257244	0.0393242	0.0606212	0.0783139	0.0668842	0.0562446	0.0777744	0.0520675	0.097859	0.132635
la	0.0430279	0.0270179	0.00891733	0.00651736	0.00796804	0.00800705	0.0143767	0.0173506	0.0135592	0.0161347	0.0144367	0.0135115	0.0187217	0.0272418	0.0355001	0.0497698	0.0506326	0.0501973	0.0492537	0.0735616	0.0679103	0.0561372	0.0792496	0.056869	0.0729446	0.121186
forêt	0.011678	0.00448505	0.00187558	0.00160113	0.00238841	0.00207077	0.00423628	0.0102716	0.0155071	0.0198506	0.0151349	0.0152801	0.0158542	0.0240138	0.0372744	0.0569863	0.0779257	0.0848505	0.0670407	0.0912801	0.0734209	0.0787548	0.0796581	0.0626551	0.0716281	0.0742778
</S>	0.0114462	0.00248481	0.000974036	0.00112522	0.00256252	0.00380844	0.00606842	0.012589	0.0145856	0.00698409	0.00700983	0.00499971	0.00612727	0.0134646	0.0126758	0.0307992	0.0559378	0.0529008	0.065369	0.0884756	0.0781532	0.0950766	0.0975591	0.081029	0.135571	0.112223
