 	a66	a87	a97	a3	a30	a93	a62	a93	a90	a25	a79	a56	a96	a66	a62	a21	a75	a92	a75	a92	a37	a26	a82	a3	a97	a99	a97	a87	</S>
cette	0.0962253	0.114394	0.127971	0.0754035	0.0325989	0.0223569	0.0134129	0.0145138	0.0155975	0.0117774	0.00939158	0.00814516	0.008997	0.00532816	0.0030479	0.00396626	0.00936458	0.0288295	0.0312898	0.0399718	0.0416288	0.0395201	0.0323281	0.0239251	0.037127	0.0421119	0.0373957	0.0267325	0.0466485
femme	0.00750116	0.00988898	0.0107259	0.0155282	0.0248537	0.0346974	0.0229052	0.055278	0.0732416	0.0647085	0.0498349	0.0377433	0.0455282	0.0838705	0.0861652	0.0779152	0.0358427	0.0294446	0.0377404	0.0250746	0.0225432	0.0382574	0.0200745	0.0126346	0.0129502	0.0162061	0.019625	0.0184055	0.0108156
a	0.0286041	0.041776	0.0633206	0.0492753	0.0250472	0.0354049	0.0388852	0.0503209	0.0567079	0.0807396	0.046679	0.0493315	0.0187105	0.0229545	0.0231281	0.0348553	0.0261926	0.0141322	0.0265947	0.026488	0.035681	0.0323678	0.0294183	0.028882	0.0154053	0.0331203	0.038836	0.0216559	0.00548527
sevré	0.0382775	0.018573	0.0171112	0.0133074	0.00547908	0.0024146	0.00266251	0.0078922	0.0223512	0.0563915	0.066652	0.0701086	0.0786887	0.132005	0.103299	0.0866743	0.03028	0.0241764	0.0173439	0.0139536	0.0231835	0.0215625	0.0169544	0.0163808	0.0144237	0.019037	0.0224336	0.0221957	0.0361879
son	0.0620821	0.0474997	0.0511932	0.0718786	0.0601429	0.0339474	0.0281025	0.0293938	0.0140826	0.00852216	0.00732994	0.00543681	0.00672057	0.00485405	0.00673654	0.0129127	0.0261845	0.0340223	0.0268649	0.0298933	0.0207953	0.0379172	0.040724	0.0428163	0.0474294	0.0487369	0.0572943	0.0547141	0.081772
enfant	0.0551334	0.0452782	0.0362613	0.0259828	0.0198112	0.0271897	0.0302214	0.0529166	0.0468313	0.0469773	0.0528666	0.0341258	0.036789	0.0247365	0.0163703	0.039948	0.0330553	0.0325692	0.0256778	0.0302574	0.0245486	0.0322506	0.0244563	0.0275967	0.0284914	0.0291433	0.0437709	0.0272748	0.0494685
prématurément	0.0461572	0.0400629	0.0333363	0.0228316	0.020209	0.0251945	0.0249928	0.0266209	0.0230891	0.0167485	0.00904556	0.00765368	0.00953	0.00850106	0.00792096	0.0208539	0.0285214	0.0364456	0.0313635	0.0387402	0.0524949	0.0494507	0.0493372	0.0534621	0.0593543	0.0486397	0.0635682	0.0439947	0.10188
pour	0.0438999	0.0367374	0.0348082	0.0235846	0.014757	0.0218877	0.0189956	0.0220476	0.0188683	0.0141106	0.00888843	0.00850998	0.0133825	0.012014	0.0149513	0.0295759	0.0584306	0.0420356	0.0505918	0.0563334	0.0483376	0.0387717	0.0461574	0.0459465	0.0536544	0.0311162	0.0622477	0.0355481	0.09381
reprendre	0.0414945	0.0286519	0.0234157	0.0206974	0.0163084	0.0176672	0.0131411	0.0160762	0.0192246	0.0214168	0.0180594	0.0182962	0.0204255	0.0425164	0.0406469	0.0414142	0.0516052	0.0317002	0.0307168	0.0327802	0.0319896	0.04181	0.040083	0.0459925	0.0511668	0.0446473	0.0595016	0.0664725	0.0720817
les	0.0339096	0.0250808	0.0209787	0.0131534	0.00653427	0.00663512	0.00377319	0.00585215	0.00758994	0.00755499	0.00402877	0.00539077	0.00838649	0.0188902	0.0134558	0.0152471	0.0240684	0.0258038	0.0327152	0.047491	0.0604694	0.0611564	0.0594818	0.0690363	0.0938615	0.0527782	0.0958843	0.0811355	0.099657
relations	0.0365097	0.02841	0.0251401	0.0166081	0.00849501	0.00863269	0.00570344	0.00837408	0.00952164	0.0101659	0.00698459	0.00792343	0.00837095	0.0191154	0.021976	0.0250354	0.0416032	0.0349095	0.0399739	0.0509208	0.0487152	0.0440103	0.048724	0.0518905	0.0731726	0.0385554	0.0759287	0.0606848	0.143945
sexuelles	0.0546184	0.0483704	0.0376093	0.0196969	0.00936229	0.0101705	0.00746428	0.00503961	0.00411119	0.00229783	0.00114464	0.00158614	0.00290667	0.00353599	0.00268156	0.00477968	0.011302	0.0165853	0.0197479	0.0291392	0.0546219	0.0469327	0.059592	0.0719324	0.0999584	0.0803858	0.0750177	0.0658808	0.153529
</S>	0.0780841	0.0586482	0.0383629	0.025022	0.0143076	0.0236797	0.0269098	0.0293427	0.0229496	0.0155285	0.00753848	0.0083683	0.0113554	0.00993269	0.00885969	0.0157494	0.0283182	0.0236206	0.0185695	0.024119	0.0275368	0.0362386	0.0307803	0.0402744	0.0566636	0.0589512	0.0571241	0.0659548	0.13721
