 	a66	a87	a23	a40	a37	a75	a6	a36	a0	a11	a93	a44	a21	a85	a92	a85	a47	a36	a2	a57	a87	a23	a83	a62	a88	a75	a47	a79	a98	a92	a5	a18	a40	a98	a79	a44	a62	a47	a88	a71	a75	a85	a47	a15	a36	a2	a57	a87	a23	a87	a97	</S>
mes	0.0456724	0.0518771	0.0390114	0.0327145	0.0322824	0.038376	0.0754389	0.0807645	0.0428741	0.0320577	0.0355507	0.0211894	0.0132203	0.0101364	0.015064	0.0122551	0.00934158	0.0141519	0.0120305	0.012621	0.00761394	0.00833419	0.00750459	0.00547723	0.0065782	0.0066792	0.00730848	0.0100753	0.00913454	0.011018	0.0133319	0.0138234	0.0106826	0.0172859	0.00823976	0.00842057	0.012747	0.00811461	0.018635	0.0101019	0.00776079	0.00608135	0.00551537	0.00518266	0.00701985	0.00767349	0.00911941	0.0102841	0.00879738	0.0275033	0.0268377	0.0504886
petits	0.0205644	0.0402621	0.0458738	0.0617261	0.0565275	0.05785	0.0679521	0.0465061	0.0477063	0.0261274	0.034942	0.0215053	0.0147694	0.0232236	0.0272106	0.0196484	0.0109925	0.0205459	0.0218056	0.0312381	0.0173971	0.0198138	0.0139847	0.0160965	0.0143182	0.0181988	0.00868228	0.0109657	0.00841369	0.00987773	0.00708215	0.0058359	0.00409593	0.00840144	0.00625143	0.00459478	0.00651307	0.00835139	0.00613542	0.0104818	0.00827841	0.00873828	0.00563035	0.00852564	0.0100497	0.0103634	0.00751683	0.00945302	0.00895893	0.00937611	0.00814215	0.00249838
fils	0.030039	0.0253197	0.00782307	0.00890248	0.0244723	0.0556177	0.0322569	0.0444269	0.0242796	0.0218849	0.0268037	0.0256285	0.0117889	0.0444513	0.0499196	0.0271988	0.017656	0.0258985	0.00964372	0.00826166	0.00882197	0.010995	0.0177341	0.013911	0.017491	0.019099	0.0225524	0.0434854	0.0609647	0.0520488	0.0685961	0.0358182	0.012376	0.0115925	0.00332742	0.00306556	0.00281036	0.00380103	0.00207674	0.0015847	0.00354671	0.00382927	0.00385742	0.00827643	0.00557211	0.00532851	0.00900731	0.00591186	0.0066771	0.00694698	0.0049491	0.00167209
m'	0.0405587	0.0304495	0.0121279	0.00849114	0.0092183	0.0074015	0.012055	0.0171456	0.0107005	0.0153251	0.0140586	0.0187926	0.0186268	0.0226365	0.0313479	0.0242519	0.0205107	0.0319868	0.0308994	0.0250165	0.0273619	0.024308	0.0200941	0.0129794	0.017233	0.0146086	0.0110605	0.0150114	0.0211757	0.0148783	0.0158365	0.0128435	0.00781852	0.00721114	0.00818211	0.00688741	0.0052079	0.00751472	0.00860791	0.00640948	0.0070656	0.00499688	0.0114892	0.0159756	0.0159194	0.0259336	0.0640532	0.0301794	0.0425924	0.0475194	0.0457077	0.0217366
ont	0.0277851	0.011151	0.00974742	0.0051189	0.00497609	0.0100323	0.00943622	0.0102836	0.00629683	0.00556116	0.00525704	0.0129728	0.0102345	0.00843886	0.0121256	0.0100793	0.0182089	0.0210699	0.0327249	0.0354193	0.0203789	0.0320571	0.0373809	0.0405038	0.0663994	0.0367914	0.0443833	0.0464381	0.0402217	0.0452699	0.0408036	0.0263129	0.0234497	0.0269203	0.0152493	0.0101643	0.00883303	0.013045	0.0186962	0.0110685	0.00911935	0.00325142	0.00802316	0.00610942	0.00328589	0.00622479	0.0174895	0.0080891	0.0105689	0.0299369	0.00805895	0.0185554
prié	0.0130436	0.00364978	0.00352504	0.00286728	0.00307075	0.00365016	0.00328978	0.0068893	0.0190745	0.0179207	0.0141473	0.028669	0.0339258	0.0295851	0.0392854	0.030654	0.0451048	0.0438631	0.0481021	0.0462855	0.0539903	0.0658379	0.0761776	0.0561473	0.0498632	0.0219699	0.0178081	0.0203355	0.0231161	0.0170666	0.0130994	0.0095844	0.00537365	0.00714093	0.00377931	0.00393077	0.00341477	0.00481456	0.00857018	0.00496469	0.00924129	0.0055339	0.00421443	0.00384042	0.00434477	0.00678488	0.0145794	0.0101756	0.0125305	0.00950193	0.00743582	0.00822877
de	0.028014	0.0158315	0.0155716	0.00813004	0.00577201	0.00564189	0.00862183	0.0161149	0.0147911	0.016938	0.0311467	0.0252771	0.0265735	0.0226275	0.0307693	0.026123	0.0370374	0.0351132	0.0450911	0.0400464	0.0399524	0.0396092	0.0367683	0.0312462	0.0298066	0.0199453	0.0140025	0.0161045	0.0165098	0.0144665	0.014662	0.00972002	0.00774899	0.00669874	0.0082234	0.0034498	0.005178	0.00408169	0.0105072	0.00680511	0.0109962	0.0219705	0.0161242	0.018467	0.0163482	0.0138639	0.0121322	0.0185887	0.0217119	0.0161741	0.0222961	0.0206088
venir	0.0298064	0.0178488	0.0129951	0.011027	0.00538613	0.0020636	0.00302627	0.00321936	0.00408008	0.00449432	0.00986292	0.0121288	0.0136649	0.00909238	0.0174979	0.0152105	0.014227	0.0198813	0.0358457	0.0370537	0.0338184	0.0383119	0.0308515	0.0298409	0.0218636	0.0188569	0.0131071	0.0127116	0.0117889	0.00971176	0.0103057	0.0095619	0.0137158	0.017025	0.0174511	0.0149183	0.0140894	0.0143901	0.016023	0.0129542	0.0114958	0.0263829	0.0114731	0.014323	0.0212533	0.0216903	0.0190436	0.0320879	0.0426056	0.0372867	0.0592298	0.0634186
partager	0.0235489	0.0151336	0.0062989	0.00276782	0.00261038	0.00192116	0.0025696	0.00293691	0.00630565	0.0097816	0.0166031	0.0238413	0.0217922	0.0222839	0.0252117	0.0232657	0.0228894	0.0262286	0.0324574	0.0371875	0.0344198	0.0360397	0.029375	0.0250523	0.0208665	0.0131625	0.0155177	0.0163154	0.0124147	0.0130511	0.011293	0.0134306	0.010789	0.0102651	0.0104234	0.0075119	0.0087567	0.00842298	0.0114485	0.00938258	0.0103181	0.0244779	0.0132048	0.0154295	0.0216504	0.0210471	0.0173408	0.0309643	0.0346708	0.0317611	0.0565926	0.0789689
l'	0.0273436	0.0133621	0.00751839	0.00473521	0.00258695	0.0010715	0.00104206	0.00209886	0.0030828	0.00379545	0.00641892	0.00706813	0.00722227	0.00682372	0.00895232	0.00904955	0.00740912	0.00924323	0.0178786	0.0176197	0.0147721	0.0165461	0.0136652	0.0137928	0.0098716	0.00829162	0.0107171	0.010932	0.0101164	0.0101558	0.0109217	0.0106233	0.0163245	0.014236	0.0133346	0.0087385	0.00992997	0.00778239	0.0175543	0.0154406	0.0185292	0.0466648	0.0330732	0.0315852	0.0509874	0.050116	0.0375954	0.0489387	0.0533158	0.0563536	0.0675736	0.0971979
héritage	0.0166457	0.00859242	0.00318721	0.00179536	0.00119147	0.00159805	0.0024177	0.00328173	0.00523318	0.00696579	0.0131624	0.017825	0.0167599	0.0173732	0.0192892	0.0200995	0.0203615	0.0222859	0.0288644	0.0289723	0.0273341	0.0285583	0.0266127	0.0258938	0.0236823	0.0218902	0.0234861	0.0226215	0.0223565	0.023264	0.0229644	0.0227283	0.0255139	0.0233186	0.0257629	0.0140185	0.0147759	0.0134897	0.013654	0.0166979	0.021577	0.026959	0.0137714	0.0160195	0.016957	0.0241205	0.0178363	0.0284435	0.0261894	0.0267365	0.041257	0.0456074
de	0.0342249	0.0105083	0.00528329	0.00244518	0.00249107	0.00343954	0.00412642	0.00671137	0.00874551	0.00974249	0.0202106	0.0204533	0.02502	0.0208627	0.0262354	0.027124	0.0255574	0.0251465	0.0322224	0.0403467	0.0301347	0.0247938	0.0169473	0.0131997	0.0124111	0.00989111	0.0112912	0.0125606	0.0112047	0.0163983	0.0157236	0.0174321	0.0144884	0.0174886	0.00965674	0.00572357	0.0129981	0.0106748	0.026296	0.0305805	0.0237647	0.0268049	0.0113074	0.0123778	0.0111497	0.0275609	0.024939	0.0370064	0.0322406	0.0385376	0.0546806	0.0288385
leur	0.04053	0.00997353	0.00364581	0.00132755	0.00224138	0.00338166	0.00267934	0.00462925	0.00523776	0.00564914	0.0101812	0.0143942	0.0125178	0.0117462	0.0140745	0.0128753	0.0143041	0.0135753	0.0180586	0.0199035	0.0168929	0.013119	0.00878954	0.00631917	0.00693929	0.00455589	0.00787688	0.0108999	0.00992561	0.016427	0.0174877	0.0168224	0.0196095	0.020729	0.0157668	0.00880765	0.0158821	0.0113689	0.0314023	0.0328701	0.0386667	0.0415564	0.0326789	0.0262839	0.0207826	0.0362683	0.0368561	0.0389201	0.0411039	0.048815	0.061432	0.0632182
père	0.0795724	0.0201338	0.00935847	0.00349898	0.00909625	0.0148617	0.0143444	0.0186554	0.0195391	0.0171507	0.0240527	0.023233	0.0224879	0.020564	0.0255137	0.0262129	0.0256674	0.0227253	0.0249067	0.0311289	0.0217932	0.0183993	0.0118083	0.0097189	0.00874826	0.0071017	0.0101463	0.0116332	0.00667581	0.0128548	0.00864121	0.0152823	0.0106459	0.0207033	0.0166015	0.00788342	0.0125081	0.0155206	0.0470233	0.0499076	0.0378513	0.0211928	0.0166461	0.0141427	0.00598027	0.016748	0.0222674	0.0158632	0.0132948	0.0191175	0.0258407	0.0147545
</S>	0.101531	0.028721	0.0163813	0.0106827	0.0123118	0.00900112	0.00998116	0.00980753	0.00754605	0.0102479	0.0171145	0.0167117	0.0134076	0.0171094	0.0174341	0.0172799	0.0151451	0.0144305	0.0201462	0.02244	0.0148294	0.013078	0.0101982	0.00984296	0.0100187	0.00847234	0.00941335	0.00984894	0.00823505	0.0118792	0.00940817	0.0138743	0.0120074	0.0177154	0.0149628	0.0106023	0.0165102	0.0171908	0.0567853	0.0517547	0.0405812	0.0257492	0.0195826	0.0200131	0.00909338	0.0216778	0.0286422	0.0214588	0.0169366	0.0315326	0.0301642	0.0205106
