 	a66	a87	a23	a99	a53	a44	a56	a32	a24	a88	a9	a50	a62	a21	a92	a37	a98	a85	a47	a36	a56	a90	a92	a5	a23	a40	a6	a36	a93	a4	a57	a53	a90	a98	a79	a7	a4	a58	a84	a87	a23	a99	a97	</S>
le	0.0235183	0.0330366	0.0263841	0.0236049	0.0346375	0.0533825	0.0519549	0.0752636	0.0558351	0.0367667	0.0233684	0.0248724	0.0231333	0.0229782	0.0186222	0.0222564	0.0165901	0.0131487	0.0156534	0.0103444	0.0225644	0.0150553	0.0150054	0.022352	0.0209068	0.0163352	0.0308728	0.0162197	0.0213238	0.0270681	0.0280161	0.00853372	0.00481291	0.00863508	0.0146484	0.0141172	0.0108784	0.0201402	0.0154598	0.0153032	0.0145215	0.00956595	0.00860602	0.0137063
cabri	0.00724437	0.0133084	0.0248934	0.0191228	0.0446779	0.0166939	0.0109672	0.0105801	0.0135813	0.020825	0.0292706	0.0420806	0.0526401	0.0310562	0.0521522	0.068032	0.0454448	0.053565	0.056379	0.0535071	0.0481678	0.0232481	0.0318692	0.0289884	0.0224653	0.00677068	0.0109059	0.0555577	0.0123905	0.016065	0.0116526	0.00627752	0.00488695	0.0107779	0.00879513	0.00602381	0.00506037	0.00303182	0.00398609	0.00368181	0.00287916	0.0028989	0.00508925	0.00250808
qui	0.0190269	0.0194116	0.0201526	0.0180264	0.0104855	0.0324337	0.0523028	0.0354836	0.0320512	0.0197102	0.0354955	0.0423032	0.0604887	0.0806422	0.0968496	0.0558924	0.0469788	0.0896532	0.0642546	0.0366637	0.0233829	0.00708788	0.00372817	0.00312757	0.00357456	0.0010183	0.00163519	0.00264792	0.00414516	0.00390303	0.00159117	0.0044063	0.00552431	0.00503254	0.00746371	0.00767891	0.00313792	0.00394838	0.00813169	0.0066223	0.00571394	0.00413165	0.00721101	0.00684918
sera	0.0219552	0.0101857	0.00725718	0.00614111	0.00275085	0.00450657	0.0348541	0.0180307	0.0186643	0.0339912	0.0332383	0.0866025	0.0629872	0.0506305	0.0409398	0.0505874	0.0459275	0.032559	0.0452135	0.035328	0.0446053	0.0231527	0.0116549	0.0096494	0.00513503	0.00420243	0.0046801	0.00349615	0.0177019	0.00874529	0.0067288	0.00819075	0.00868391	0.00592533	0.00730442	0.00989223	0.00852699	0.0120565	0.0260646	0.0262962	0.0230923	0.020974	0.0253311	0.0355594
offert	0.0547686	0.0405475	0.0460158	0.0622135	0.0950388	0.0456978	0.0275021	0.0217783	0.0168132	0.00814301	0.01279	0.0079119	0.00796933	0.0115791	0.00696689	0.0179504	0.00783574	0.010118	0.0251534	0.0163248	0.0307745	0.0420541	0.0295497	0.0331027	0.0292793	0.0292499	0.0275015	0.0119992	0.0171963	0.0199773	0.0184426	0.0225592	0.0337169	0.0183608	0.0102435	0.00758616	0.0100586	0.00928914	0.00951507	0.00994162	0.0136189	0.0107301	0.00532033	0.00681439
aux	0.0213665	0.0110649	0.00855704	0.0081963	0.00486516	0.0122162	0.0204793	0.0173045	0.0296436	0.0229366	0.0265222	0.036344	0.0383741	0.0542124	0.0448976	0.0740514	0.060053	0.0569931	0.0683758	0.0510398	0.0628328	0.0474031	0.028055	0.0233041	0.0129398	0.0104356	0.00721278	0.00752471	0.0162931	0.0095191	0.00446688	0.00442947	0.00413353	0.00287453	0.00356878	0.00568513	0.00760455	0.00913963	0.0115181	0.0101543	0.0124716	0.0123931	0.00839576	0.010151
beaux-parents	0.0241863	0.0103461	0.00506777	0.00495089	0.00220659	0.00751405	0.0184572	0.0146973	0.0298345	0.0200302	0.0299053	0.030536	0.0412056	0.0476461	0.0396892	0.042748	0.0306518	0.0391621	0.0575019	0.0320635	0.0366055	0.0422192	0.0225384	0.0192368	0.0184833	0.0113998	0.0211641	0.0146674	0.0342273	0.0305055	0.0131942	0.0212629	0.0235392	0.0140438	0.012633	0.0143455	0.0114994	0.0225454	0.0190356	0.0146408	0.0188604	0.0135607	0.00795903	0.0134323
est	0.0422821	0.0370613	0.0226696	0.0165926	0.0200613	0.0326526	0.0356064	0.0268848	0.0153718	0.0222427	0.023773	0.0142358	0.0275399	0.0240965	0.0224615	0.0261993	0.0275005	0.043286	0.0540097	0.0443341	0.0392075	0.0293944	0.0190329	0.0194094	0.0110082	0.010527	0.0108701	0.00648084	0.0245751	0.0251205	0.00885512	0.0101673	0.0203021	0.0207992	0.0199753	0.0171983	0.0133049	0.0136594	0.0134192	0.0181525	0.0267032	0.0168149	0.0108712	0.0152901
attaché	0.0224713	0.0167764	0.00851512	0.00592976	0.00398915	0.00532257	0.00489662	0.00523953	0.010843	0.00979409	0.0133038	0.0085477	0.00975667	0.013823	0.0108206	0.0135297	0.0101139	0.0163727	0.028033	0.0214648	0.0281888	0.0432675	0.0391097	0.0437042	0.0298269	0.0307689	0.0273633	0.0264368	0.0651768	0.0409959	0.0336449	0.0280283	0.0302498	0.0306228	0.023836	0.0141623	0.0230889	0.0516777	0.0284629	0.031607	0.0338737	0.0251971	0.0159892	0.0151771
</S>	0.0333736	0.0291214	0.0256385	0.0175603	0.0230814	0.0422336	0.0209372	0.0201176	0.0206114	0.0194931	0.0191884	0.0144011	0.0136495	0.0166489	0.0159072	0.0155511	0.0126436	0.0127086	0.0143254	0.0135941	0.0215422	0.0223669	0.0185797	0.020455	0.0147951	0.0162374	0.011728	0.0113821	0.0218516	0.0262238	0.0161446	0.00774416	0.0117299	0.0121846	0.0186656	0.0186238	0.0308293	0.0555109	0.0377888	0.050549	0.0482754	0.0325639	0.0356237	0.0378187
