 	a15	a87	a23	a61	a94	a96	a56	a96	a24	a76	a25	a44	a24	a61	a31	a62	a47	a21	a61	a75	a25	a69	a58	a90	a25	a56	a96	a83	a21	a24	a26	a75	a56	a90	a98	a85	a61	a47	a31	a24	a96	a35	a90	a98	a85	a43	a75	a44	a98	a85	a44	a98	a47	a37	a36	a27	a82	a87	a23	a97	</S>
ce	0.0317719	0.0286183	0.0266052	0.0220693	0.0358773	0.0371768	0.0219537	0.0180406	0.0235691	0.0123131	0.0428099	0.0154384	0.0271183	0.0200728	0.0141019	0.0121486	0.0257949	0.0213541	0.0142972	0.0153139	0.0148507	0.0121175	0.0198451	0.0170652	0.00968559	0.01304	0.0154153	0.0126833	0.0107148	0.0161149	0.0186461	0.0108736	0.0180314	0.0183125	0.0147871	0.0190586	0.0101052	0.00853704	0.00972632	0.00635089	0.00616195	0.00810925	0.00565732	0.00694082	0.00983721	0.0128213	0.011871	0.00968962	0.0112444	0.0163503	0.00621807	0.00949433	0.00567476	0.0112431	0.00676546	0.00840841	0.0075896	0.0146349	0.015832	0.0275058	0.0455441
voleur	0.0102429	0.0133057	0.0207967	0.0159948	0.0126801	0.0255423	0.0195652	0.0265521	0.0141819	0.0237809	0.0289392	0.032111	0.0426499	0.0574907	0.0552362	0.0859179	0.0470298	0.0442753	0.0181318	0.0279608	0.0282947	0.0252787	0.0193237	0.0256314	0.0132254	0.0128527	0.0163161	0.0176482	0.00880426	0.00957983	0.011366	0.0076828	0.0135983	0.0221108	0.0129194	0.0166657	0.012915	0.0120132	0.00560153	0.00652204	0.00625187	0.00737536	0.00649374	0.00881296	0.00616185	0.00504437	0.0042679	0.00475535	0.00616315	0.00612921	0.00447324	0.00296383	0.0016338	0.00136146	0.000598981	0.000471198	0.000653745	0.00128198	0.000753709	0.00258346	0.00103378
a	0.00998391	0.00617552	0.00867359	0.00982748	0.0122537	0.0121464	0.0110069	0.0113167	0.0111623	0.0150886	0.0104438	0.0228357	0.0250774	0.0271436	0.0372663	0.0421706	0.0224329	0.0253766	0.039055	0.0273601	0.0245962	0.0186241	0.0228549	0.0274193	0.0359313	0.0245448	0.0308689	0.0340145	0.0166477	0.0336352	0.0191016	0.0232728	0.0191845	0.0237742	0.024114	0.03003	0.0377457	0.0320066	0.0190946	0.0204378	0.0110929	0.0127716	0.0104411	0.00574665	0.00416058	0.00260078	0.00217721	0.00408988	0.00368984	0.00307251	0.00477528	0.00392874	0.00376927	0.00359727	0.00240943	0.00162362	0.00187751	0.00583554	0.00311314	0.00365838	0.000873144
beaucoup	0.0452922	0.0272311	0.0191538	0.0168671	0.0109627	0.00362092	0.00460751	0.00263351	0.00312003	0.00609764	0.00342264	0.00383187	0.00531868	0.00353548	0.00483146	0.00701028	0.0066328	0.00951157	0.0147455	0.0104551	0.00921397	0.0142833	0.0275223	0.0193898	0.0362432	0.0187654	0.0251243	0.0351643	0.0163515	0.0320994	0.0167746	0.027266	0.0184712	0.0148257	0.0199547	0.0207643	0.042502	0.0401607	0.0223593	0.0205267	0.0198552	0.022418	0.0286964	0.0174055	0.0209707	0.0159948	0.0183642	0.0172773	0.0123839	0.0148396	0.0119309	0.0143426	0.00655849	0.0182479	0.00508427	0.00749146	0.00751516	0.0175502	0.0108483	0.00929998	0.0162806
de	0.013172	0.0166224	0.0118221	0.0124655	0.00691017	0.00563559	0.00475771	0.00581107	0.00563593	0.00630477	0.00504814	0.0050387	0.00420038	0.00838855	0.0088228	0.0196577	0.0171081	0.016249	0.0183674	0.0116534	0.0218254	0.0203759	0.0469278	0.0312515	0.0486333	0.0331477	0.0201592	0.0250725	0.0167166	0.0312279	0.0204682	0.036756	0.0218768	0.0429066	0.0616462	0.0398722	0.0475155	0.0275	0.0351322	0.0202496	0.016944	0.00992908	0.00634645	0.00582141	0.00611474	0.00639846	0.00629155	0.00470743	0.0057278	0.00583891	0.00628497	0.00661701	0.00579557	0.00909631	0.00355878	0.00199417	0.0038764	0.0073103	0.00739827	0.0113464	0.00966932
cicatrices	0.00955224	0.00928782	0.00660603	0.0082268	0.00408262	0.00306905	0.00275278	0.00322826	0.00343814	0.00281051	0.00277416	0.00450624	0.00446008	0.00860935	0.0105667	0.0189328	0.0194886	0.0206063	0.0259383	0.0162451	0.0276797	0.0267989	0.0386231	0.0306425	0.0499891	0.0553949	0.0371168	0.0343311	0.0259615	0.0394843	0.0267813	0.0416339	0.0241186	0.03495	0.0427062	0.0379811	0.0302392	0.0154073	0.0205353	0.0103617	0.00793947	0.00560926	0.00314422	0.00264134	0.00273335	0.0026136	0.00247779	0.00203752	0.0026255	0.00244804	0.00303283	0.00360666	0.00745875	0.00826624	0.00751705	0.010857	0.0140172	0.0169558	0.0256122	0.0207083	0.0117793
au	0.0115427	0.00783681	0.00707954	0.00783347	0.00391687	0.00185765	0.00166952	0.00172303	0.00307146	0.0019674	0.0032147	0.00476267	0.00784244	0.0107226	0.0143236	0.0242994	0.0178862	0.024176	0.0302837	0.0202745	0.0218064	0.0299924	0.0381472	0.0450803	0.0536623	0.0623894	0.0564191	0.0472443	0.0429633	0.0537832	0.0383648	0.0541448	0.0330246	0.0236294	0.0170043	0.0156167	0.0109882	0.00680641	0.00910674	0.00931332	0.00778218	0.00797002	0.00629946	0.00363519	0.00423503	0.00357675	0.00319842	0.00296748	0.00258723	0.00414919	0.00271616	0.00317456	0.00512775	0.00729741	0.00812057	0.00751033	0.0105509	0.00925945	0.00981884	0.00789532	0.00635634
dos	0.00580958	0.00592147	0.00349141	0.00366491	0.0019591	0.00152516	0.00136589	0.00246291	0.00298166	0.00253514	0.00225005	0.00244154	0.00412483	0.0047162	0.00578448	0.0126393	0.00816617	0.00824463	0.0126207	0.00709765	0.0133418	0.0141418	0.0272088	0.0243031	0.0623562	0.0493203	0.03833	0.0433494	0.019169	0.0446101	0.0214944	0.0485905	0.0177481	0.0231525	0.0221531	0.017329	0.0135879	0.00813982	0.00775242	0.0111117	0.0132997	0.013798	0.0123564	0.00781564	0.0107842	0.0135443	0.0144834	0.0155488	0.0145941	0.0235067	0.0218413	0.0173336	0.0234108	0.0344519	0.0449503	0.0188179	0.0324836	0.0134969	0.0124521	0.00869293	0.00534481
à	0.0149854	0.0169123	0.0108065	0.0115552	0.00777468	0.00530963	0.00515461	0.006334	0.00929456	0.00676883	0.00765663	0.0100235	0.0129945	0.0163196	0.0222748	0.0215306	0.0197825	0.0291787	0.0339408	0.0272686	0.0274214	0.0311094	0.0232828	0.029412	0.0365187	0.0403689	0.0357037	0.0338963	0.0367591	0.0343595	0.0309264	0.0388845	0.0247571	0.0154901	0.0101805	0.00977305	0.0061348	0.00450011	0.00543593	0.00720517	0.0068813	0.00784465	0.00630863	0.00572599	0.00574673	0.00594476	0.00491404	0.00428153	0.00501163	0.00573682	0.00616577	0.00812	0.014036	0.0143362	0.0132631	0.0119067	0.0190368	0.0179847	0.0243852	0.0221427	0.0122411
cause	0.0255846	0.0265	0.0175224	0.0158367	0.00746876	0.00589493	0.00809987	0.00686797	0.00851457	0.00909733	0.00783809	0.00845591	0.00954357	0.0143031	0.0149383	0.0192892	0.0147366	0.0177723	0.0209098	0.0138751	0.0179337	0.0208752	0.0222092	0.0244183	0.0325471	0.0276007	0.0266031	0.033106	0.023437	0.0275298	0.0214273	0.0275566	0.0210376	0.0195433	0.0158396	0.0128097	0.0110825	0.0108293	0.0103648	0.0132541	0.0140709	0.0152058	0.0125357	0.0132391	0.0139924	0.013285	0.00926698	0.00788366	0.00904007	0.0102715	0.00831394	0.0140073	0.010822	0.0218395	0.00666592	0.0071259	0.00728175	0.0242101	0.0280223	0.0357947	0.0240714
