 	a15	a57	a10	a40	a47	a85	a92	a61	a75	a56	a44	a98	a85	a66	a70	a96	a56	a96	a56	a96	a90	a56	a34	a75	a70	a83	a9	a87	a23	a99	a87	</S>
ces	0.0843269	0.137432	0.113071	0.096842	0.0872676	0.0888315	0.0449113	0.0193493	0.0117582	0.0110322	0.0110924	0.0135432	0.0149593	0.0179009	0.0200032	0.0189188	0.0242675	0.0172686	0.0138208	0.0121254	0.0138654	0.0138387	0.0122807	0.0114422	0.0102688	0.00942832	0.00889018	0.00808501	0.00940635	0.0100665	0.0115917	0.0221139
femmes	0.00121415	0.00499307	0.00564336	0.0158995	0.0203666	0.0440286	0.0670485	0.139314	0.176705	0.153887	0.12191	0.0972754	0.0562617	0.0479737	0.0239982	0.0054874	0.00461108	0.00210671	0.00109593	0.000729839	0.000775044	0.000907634	0.000528971	0.000572606	0.000425681	0.000482553	0.000629519	0.000863933	0.000608673	0.00105233	0.00132969	0.0012732
se	0.0139849	0.0195946	0.0108636	0.00884909	0.0228441	0.0212958	0.0305579	0.0852526	0.10475	0.067166	0.0637661	0.048295	0.0659523	0.0714436	0.0487597	0.0544542	0.0596784	0.0521807	0.0271448	0.0112291	0.00520426	0.00354905	0.00564328	0.00490312	0.0063566	0.00340785	0.00972326	0.00754389	0.0250762	0.0212941	0.0148038	0.0044318
sont	0.00941713	0.00814259	0.00334757	0.00491039	0.0174644	0.0445406	0.0368777	0.0378641	0.0377753	0.0633208	0.0464855	0.0423881	0.0700909	0.0961625	0.0508857	0.118249	0.0852605	0.0540084	0.031508	0.0171602	0.0110269	0.00994031	0.00929667	0.00891835	0.0106477	0.0149942	0.0119503	0.0148155	0.00950189	0.010723	0.0064396	0.00588681
disputées	0.0225737	0.0257521	0.0207389	0.014796	0.014562	0.0170389	0.0175982	0.0213054	0.0265812	0.0557173	0.0637347	0.0841611	0.096327	0.102425	0.0483802	0.0579091	0.102132	0.0562379	0.0270338	0.0298134	0.0223703	0.0117954	0.0122167	0.00715125	0.00804777	0.00775612	0.00520419	0.00267403	0.00496985	0.00330941	0.00264061	0.00704544
au	0.0653487	0.0487866	0.0523876	0.0427255	0.0172635	0.0147496	0.0107434	0.0232881	0.0447312	0.0587563	0.0781122	0.0414372	0.0347113	0.0466147	0.0311307	0.0256917	0.0265943	0.0317304	0.0096185	0.0115723	0.00905474	0.0157248	0.0149833	0.0136862	0.0164829	0.0200685	0.0321157	0.02452	0.0267576	0.0277411	0.0299692	0.0529018
sujet	0.0399689	0.0216002	0.0255964	0.0228022	0.01813	0.0142917	0.00966124	0.0131145	0.0186445	0.0422564	0.0438692	0.0326749	0.0598935	0.0632168	0.0503546	0.0407427	0.0456956	0.0473372	0.0224863	0.0210543	0.0159697	0.00961139	0.00822581	0.0130868	0.014992	0.0210078	0.0389339	0.0400072	0.0382243	0.0513012	0.0539406	0.0413084
d'	0.102436	0.0694219	0.0744525	0.0444486	0.0229322	0.0150765	0.00711593	0.014284	0.0132611	0.0130928	0.0118078	0.00971548	0.0163002	0.0290602	0.0243796	0.0158184	0.0551549	0.0373736	0.0133203	0.017049	0.00934152	0.00568999	0.00787017	0.00733296	0.0102048	0.0204873	0.0308307	0.0487335	0.0468036	0.0479899	0.0503839	0.10783
un	0.0502544	0.0229424	0.0191434	0.0154957	0.0140429	0.0118627	0.0102802	0.00688617	0.00548751	0.00768298	0.00834795	0.00717247	0.0160342	0.0171164	0.0231496	0.0178927	0.0346205	0.0255057	0.0139143	0.0146627	0.0200566	0.0280066	0.0315256	0.0357258	0.0518071	0.0534597	0.0761163	0.0781767	0.0620641	0.0708331	0.0857481	0.0639853
mari	0.0483446	0.058303	0.0588674	0.0524152	0.0367939	0.0331538	0.0289401	0.0171877	0.0132715	0.0127624	0.0103901	0.00717758	0.0197245	0.0240918	0.0244465	0.0187627	0.0375926	0.0343511	0.0158467	0.0163584	0.0125692	0.00797335	0.00888132	0.0115697	0.0145298	0.0272427	0.0433953	0.0528482	0.0294915	0.0653232	0.0656457	0.0917485
</S>	0.0544697	0.0411059	0.0275117	0.0192246	0.0186103	0.0142637	0.00602332	0.00311907	0.00352659	0.00304052	0.00268287	0.00220912	0.0061424	0.0116671	0.00989167	0.00964414	0.0158133	0.0132777	0.00575676	0.00849496	0.0100631	0.0108321	0.0101729	0.0167437	0.0180381	0.0360042	0.0735329	0.110555	0.0724381	0.108141	0.116815	0.140189
