 	a66	a87	a23	a87	a23	a87	a23	a87	a79	a18	a53	a90	a44	a96	a0	a24	a83	a50	a83	a18	a66	a18	a50	a62	a12	a18	a53	a90	a93	a4	a11	a70	a93	a69	a4	a54	a36	a26	a57	a87	a23	a99	a83	a24	a70	a34	a93	a4	a70	a34	a56	a43	a75	a6	a37	a36	a26	a57	a87	a23	a87	a23	a87	</S>
la	0.0164938	0.0211817	0.0228999	0.0184671	0.026775	0.0143878	0.0141603	0.0114935	0.00576438	0.00943393	0.0163664	0.0151122	0.0433241	0.0419202	0.0466702	0.0458619	0.0343219	0.0451498	0.0292245	0.0380631	0.0331875	0.0778845	0.0255477	0.0391156	0.00971835	0.0128249	0.00926022	0.00894139	0.00695683	0.0104832	0.00845231	0.00424261	0.00454071	0.00540177	0.00621419	0.00505865	0.00645855	0.00524558	0.0056669	0.00514271	0.00477204	0.00517107	0.00464379	0.00360383	0.00395203	0.00293365	0.00209447	0.00325016	0.00277756	0.00215382	0.00262807	0.00232254	0.00634339	0.00635828	0.00707943	0.0100018	0.00652992	0.0114995	0.0120582	0.0121809	0.0180166	0.0226353	0.0103569	0.0292212
manière	0.00287062	0.00422213	0.00516592	0.00595156	0.0082237	0.00700833	0.00879911	0.0141701	0.00815963	0.0764507	0.0658183	0.0472191	0.0316224	0.0155937	0.0117222	0.0112353	0.00615396	0.00938322	0.00814156	0.0044602	0.00445231	0.00825713	0.00234231	0.00602587	0.00330667	0.00304108	0.00317608	0.00537595	0.00854027	0.030623	0.0500126	0.0651233	0.0761126	0.11911	0.0772823	0.0299193	0.0205497	0.0125844	0.0112388	0.0099916	0.0194948	0.012549	0.00945381	0.00865502	0.00735516	0.00509753	0.00653329	0.00451843	0.00401336	0.00376394	0.00352767	0.00293209	0.00323843	0.00131088	0.00120835	0.00124404	0.000346497	0.000826017	0.000320178	0.000929025	0.000743699	0.000687678	0.00146578	0.000347821
dont	0.0236537	0.0199689	0.0228965	0.0141459	0.0178482	0.0127426	0.0133898	0.010738	0.00695463	0.0210301	0.0185818	0.0253894	0.0348307	0.0525226	0.0204011	0.056855	0.0302377	0.0181501	0.0443723	0.0285727	0.0187011	0.0167178	0.0104749	0.0160431	0.0179414	0.0140007	0.00660087	0.0101241	0.00982675	0.0274508	0.030745	0.0361166	0.0292126	0.0723416	0.0291437	0.0336526	0.0137362	0.0227046	0.00959889	0.0103696	0.0131689	0.0146922	0.00790116	0.00385983	0.00242215	0.0026111	0.00191242	0.00146763	0.00135576	0.0011259	0.000454387	0.00103641	0.00108296	0.00262339	0.00229004	0.00142431	0.00245945	0.00255686	0.00140796	0.00108895	0.000862083	0.00048644	0.00176742	0.00115776
il	0.0331237	0.0170367	0.0174069	0.0171618	0.0108265	0.0054768	0.00738842	0.00401625	0.00452713	0.00595533	0.00517102	0.00687546	0.008507	0.0156424	0.0104765	0.0144736	0.00737648	0.00866088	0.0109049	0.00807263	0.00472661	0.00564449	0.00790308	0.0167628	0.025523	0.0275546	0.0176969	0.0168378	0.0216178	0.0164597	0.0107855	0.0105912	0.0112287	0.0130875	0.0103017	0.0105583	0.00685756	0.0116983	0.00982047	0.0104422	0.00986605	0.0103452	0.00978657	0.00653407	0.00973612	0.00826659	0.00729168	0.00572396	0.0108139	0.00703437	0.00380856	0.00559185	0.00354709	0.00659278	0.0118173	0.0141152	0.0473233	0.0372635	0.0386918	0.0491995	0.0436234	0.0309608	0.0851047	0.0517832
m'	0.0370121	0.0178724	0.0184486	0.020824	0.00485422	0.00812728	0.00969438	0.00770492	0.0094407	0.00911637	0.0141445	0.0128391	0.0145469	0.0187464	0.0128639	0.0275776	0.0195072	0.0178795	0.0319377	0.0251719	0.0163369	0.0107409	0.0173649	0.00742198	0.0217754	0.0156105	0.0106927	0.0150269	0.0172544	0.0194163	0.0158661	0.0147749	0.0112671	0.0118932	0.0215161	0.0179997	0.0198902	0.0112514	0.0108136	0.00831399	0.00942768	0.0100602	0.0092578	0.00592229	0.00294097	0.00366646	0.0020898	0.00286058	0.00318119	0.00301954	0.00207095	0.0102424	0.00668061	0.0101009	0.0230633	0.0194469	0.0356632	0.0299786	0.0256194	0.0367021	0.0170381	0.0186127	0.0532587	0.0255584
a	0.0187852	0.0116595	0.0142821	0.0130029	0.00798604	0.0122816	0.019286	0.0119798	0.0136475	0.00650226	0.00615716	0.00715714	0.00702294	0.00932827	0.0122411	0.0256403	0.0278393	0.0276129	0.0476547	0.0432634	0.0476441	0.0270723	0.0320482	0.026094	0.0323207	0.0463014	0.00987084	0.023721	0.0166683	0.0306619	0.0323937	0.017067	0.00875404	0.0110926	0.0105528	0.0210634	0.0150242	0.0122958	0.00773217	0.0105751	0.00637335	0.00828544	0.00694932	0.00496015	0.00455691	0.00510019	0.00489634	0.00363483	0.00274606	0.0028187	0.00193541	0.00609131	0.00710364	0.0144631	0.0183368	0.0135361	0.0216474	0.0172416	0.0146541	0.009784	0.00684427	0.007136	0.0119194	0.0167021
découragé	0.0116389	0.0108718	0.010121	0.0122557	0.0112574	0.0108116	0.013813	0.00994899	0.0193949	0.00705398	0.00549211	0.00916635	0.0107815	0.0188265	0.021542	0.0342563	0.0230569	0.0202353	0.0519729	0.0264099	0.0297939	0.0315851	0.0336827	0.0276616	0.064753	0.0388957	0.0111648	0.0178761	0.0144204	0.0257012	0.0368891	0.0168012	0.00704105	0.00777625	0.00472627	0.0139343	0.00842538	0.00811563	0.00499908	0.00700049	0.00525899	0.00527862	0.00405505	0.00211298	0.002568	0.00238791	0.00232334	0.00151143	0.00222631	0.0024079	0.00300141	0.00493887	0.00568861	0.0102994	0.0206859	0.0233072	0.0186628	0.0183937	0.0204749	0.0204185	0.017075	0.0176385	0.0186512	0.0204834
je	0.0196617	0.0170341	0.0113631	0.00893944	0.00449903	0.00297244	0.00325965	0.00155153	0.000947072	0.00114038	0.00169003	0.00229257	0.00387385	0.0103622	0.0144109	0.0244137	0.0292956	0.0364387	0.0390212	0.0346574	0.0319011	0.0244643	0.0375879	0.0320613	0.0683041	0.0663116	0.0460141	0.0501538	0.0391932	0.0300604	0.0199623	0.015594	0.00588399	0.00564386	0.00872304	0.00852183	0.0083818	0.00519594	0.00529525	0.00618919	0.00590413	0.00430457	0.00612476	0.00391117	0.00461156	0.00504948	0.00236864	0.00589694	0.00513185	0.0042309	0.00240517	0.00448463	0.00489461	0.00509496	0.00641084	0.0106627	0.0113074	0.0130718	0.0131776	0.0189983	0.0221823	0.0192677	0.0155305	0.02171
n'	0.0142405	0.00804933	0.00653194	0.00512693	0.00316167	0.00315295	0.00307842	0.00248496	0.00186503	0.00106566	0.00156856	0.00165033	0.0035686	0.00450324	0.00439879	0.00840919	0.0113437	0.0116806	0.0246872	0.0272202	0.0131686	0.00715944	0.0135909	0.0084615	0.0408719	0.0310253	0.0483476	0.0380189	0.0424893	0.0297123	0.0148217	0.0185096	0.0106223	0.0104797	0.0199777	0.0185777	0.0201887	0.015896	0.013	0.0162192	0.0137753	0.0148665	0.00925112	0.0144515	0.0108906	0.0133585	0.00845951	0.0145791	0.0125761	0.0114133	0.0153344	0.0235304	0.0246097	0.0160659	0.0168548	0.0262228	0.021277	0.027399	0.0224532	0.0223305	0.0176161	0.0201512	0.0244978	0.0191096
arrive	0.014921	0.016871	0.0200509	0.0216921	0.0134286	0.0187721	0.0180432	0.0207194	0.0257403	0.0112288	0.00868257	0.0115494	0.0134057	0.0108811	0.0128023	0.0157003	0.0102064	0.015378	0.023308	0.0213333	0.021322	0.0173204	0.0210067	0.0101462	0.0243027	0.0180794	0.0170411	0.0170895	0.0157178	0.0147427	0.0111428	0.0106037	0.00937658	0.00895184	0.0163987	0.0122621	0.012216	0.00871561	0.00910107	0.011516	0.0100242	0.012302	0.00538318	0.0100105	0.00914185	0.00863442	0.00915278	0.0168266	0.015448	0.0129299	0.0216491	0.0290602	0.0150834	0.0138574	0.0127036	0.0177758	0.0224498	0.0229114	0.0204815	0.0185241	0.0171785	0.0150646	0.0255564	0.0260834
