 	a66	a10	a82	a10	a97	a30	a53	a93	a70	a31	a47	a75	a98	a79	a90	a98	a85	a6	a36	a98	a15	a98	a47	a79	a44	a37	a93	a44	a90	a79	a94	a79	a15	a69	a93	a44	a7	a26	a10	a82	a10	a57	</S>
oyibha	0.0137667	0.0135681	0.0155741	0.0159824	0.0127583	0.0208759	0.0162418	0.0525647	0.045748	0.112246	0.0705653	0.0600716	0.0474602	0.0616734	0.0602533	0.0384616	0.0188053	0.00902555	0.0143213	0.0119711	0.00660092	0.00739673	0.00742718	0.0191195	0.0137236	0.0198215	0.00812687	0.0050021	0.00265901	0.00555168	0.0088858	0.0107409	0.00750352	0.0132483	0.0109946	0.0132171	0.0167075	0.0184856	0.0165339	0.0138821	0.0197593	0.0153748	0.0273029
est	0.0101	0.00958919	0.0125949	0.0137921	0.012367	0.0170618	0.0184844	0.0262154	0.0279302	0.028694	0.0268545	0.0493388	0.030119	0.0531848	0.0251368	0.0380445	0.047414	0.0377815	0.0347169	0.0440425	0.0442485	0.0585637	0.0432656	0.0179453	0.0118249	0.0146834	0.00724218	0.0111571	0.00590391	0.00576554	0.0113193	0.0209884	0.0175526	0.0215352	0.0255	0.0205623	0.0126868	0.0116334	0.0112653	0.0163597	0.011646	0.0167667	0.0181221
en	0.00729443	0.00667163	0.00830804	0.00655701	0.00593979	0.00557449	0.00408231	0.00624757	0.0101698	0.00786747	0.00832981	0.0147668	0.0253737	0.043158	0.0259521	0.0460921	0.0622581	0.0576588	0.0480976	0.0456973	0.0344839	0.0257306	0.0145896	0.00367784	0.00266742	0.00295625	0.00254175	0.00281385	0.00401732	0.00335136	0.00743814	0.0124763	0.0175843	0.0399764	0.0606177	0.0510222	0.046219	0.0543397	0.0332048	0.0434623	0.0282777	0.0272505	0.0352044
train	0.0371863	0.0369183	0.0303233	0.0261342	0.0330797	0.0197206	0.0129203	0.0070293	0.00830313	0.00319427	0.00369571	0.00301635	0.00784785	0.00404734	0.00562596	0.00678473	0.0134651	0.0138748	0.017346	0.0126408	0.02767	0.0235717	0.0200523	0.02779	0.0257201	0.0264968	0.0317063	0.0576838	0.125511	0.0988501	0.0353495	0.020974	0.0209911	0.017277	0.0345629	0.0139764	0.0224433	0.0139193	0.00624557	0.0165154	0.00811674	0.00814547	0.013277
de	0.0378066	0.0224661	0.0213908	0.0193595	0.0114216	0.0117281	0.00961547	0.0335068	0.0363021	0.0527894	0.0379011	0.0278786	0.0286837	0.0251129	0.0384975	0.0433803	0.0311014	0.0281836	0.0250146	0.0232657	0.0164438	0.0241133	0.0138523	0.0162774	0.00669246	0.01498	0.0023459	0.00485137	0.00135804	0.00416611	0.00688033	0.00801357	0.0108387	0.0221225	0.0350968	0.0248933	0.0239803	0.035491	0.0363443	0.0205023	0.0200899	0.0416571	0.0436033
prélever	0.0168165	0.0083391	0.00755049	0.0123911	0.00848247	0.00893641	0.00910612	0.00558448	0.00699243	0.0113905	0.0097345	0.0157167	0.0143698	0.0178347	0.0143154	0.0273208	0.0166718	0.0505469	0.0409414	0.0430666	0.0839598	0.077584	0.057566	0.072517	0.0532708	0.0652677	0.0142573	0.0162515	0.00999861	0.0155819	0.0296401	0.014979	0.0170455	0.0228811	0.0254335	0.0204607	0.0109089	0.00585834	0.00739627	0.00505464	0.00568127	0.0103049	0.011993
de	0.0188063	0.011047	0.00862428	0.00861135	0.00687997	0.00785216	0.00626012	0.00544103	0.00703243	0.00638595	0.00656124	0.0144471	0.0116701	0.0220081	0.0160504	0.026344	0.0404085	0.0282712	0.0296514	0.0346887	0.039139	0.0296132	0.0161867	0.0151811	0.0133156	0.0157565	0.00966411	0.0153293	0.0129198	0.0338551	0.0181194	0.0450491	0.0184957	0.0643671	0.0753603	0.0604228	0.0450716	0.0258347	0.0337845	0.027425	0.027754	0.020967	0.0193472
l'	0.0143216	0.00713676	0.00522486	0.00424467	0.00273674	0.00272063	0.00227653	0.00217465	0.00243633	0.00347353	0.00355806	0.00898189	0.00731678	0.0136761	0.0111152	0.0191799	0.0261287	0.0254188	0.0226731	0.0271007	0.0197704	0.0152035	0.00825466	0.00831855	0.00584731	0.0106322	0.0046718	0.0136726	0.00856817	0.0265787	0.0227156	0.0358536	0.0416944	0.0656559	0.124322	0.0708348	0.105995	0.0591734	0.0370882	0.0354557	0.0315435	0.0189809	0.017274
arachide	0.01717	0.0127564	0.0123312	0.010775	0.00703174	0.00768756	0.00539093	0.00542059	0.00507511	0.0105562	0.00813803	0.0178045	0.00872906	0.0202311	0.0150517	0.0181974	0.0187428	0.016088	0.015951	0.020647	0.0154067	0.0134983	0.00933187	0.0107947	0.00799645	0.0162731	0.00714508	0.0154074	0.0104782	0.0198413	0.0147799	0.0292085	0.0265564	0.048794	0.0497879	0.0487911	0.0850357	0.0654631	0.0428765	0.0619258	0.05362	0.0401626	0.0530498
comme	0.0197855	0.0115183	0.0128237	0.00913648	0.00675044	0.00666655	0.0043315	0.00723482	0.00702364	0.0134512	0.009271	0.0131764	0.00844149	0.011986	0.0150119	0.0162989	0.0214038	0.0145009	0.0173439	0.020045	0.0167325	0.0156976	0.00934518	0.011156	0.00619872	0.0118205	0.00444062	0.00995464	0.00694911	0.0107636	0.01458	0.033061	0.0288205	0.0546442	0.074268	0.0520091	0.0877372	0.0819859	0.0435368	0.0460239	0.0418309	0.0354429	0.0568
tribut	0.0236367	0.0161586	0.0208967	0.0147618	0.014054	0.0134276	0.00785569	0.0112625	0.0111723	0.0177766	0.0131998	0.016728	0.00939117	0.0141969	0.0123008	0.0140967	0.0172909	0.0113116	0.0177104	0.0224132	0.024738	0.0253854	0.0150583	0.0132364	0.00761792	0.00987995	0.00650003	0.0108577	0.00891916	0.012653	0.0152233	0.0255727	0.0191318	0.0526891	0.059162	0.048125	0.0855037	0.0643388	0.0350026	0.0338386	0.0408452	0.0292225	0.056857
à	0.0341099	0.0244388	0.0212044	0.0157368	0.0150558	0.0164261	0.0142895	0.0192165	0.026288	0.0305587	0.0325354	0.0260642	0.0215778	0.0176482	0.0222106	0.01834	0.0251914	0.0130841	0.0173218	0.0232196	0.0219407	0.0250306	0.0182622	0.0167354	0.0136157	0.015334	0.0104153	0.0161808	0.0149539	0.0153811	0.0181511	0.0353108	0.0181365	0.0307611	0.0425975	0.0303254	0.0381038	0.028976	0.0324541	0.0216818	0.0240089	0.0306102	0.0465155
