 	a66	a87	a23	a87	a23	a87	a23	a53	a20	a6	a37	a5	a37	a54	a6	a37	a62	a88	a0	a75	a85	a6	a54	a47	a36	a2	a57	a87	a79	a69	a58	a53	a69	a4	a30	a4	a11	a93	a70	a13	a38	a50	a70	a93	a69	a44	a57	a82	a99	a87	a23	a87	</S>
si	0.00995579	0.0117554	0.0131257	0.0125851	0.00757009	0.0129417	0.015737	0.0111168	0.0126708	0.0152008	0.0449461	0.0518462	0.0878133	0.0734134	0.0862899	0.068103	0.049037	0.0512024	0.0250246	0.0248631	0.0287147	0.00593914	0.00404252	0.00729961	0.00354019	0.00540176	0.00478603	0.00668132	0.00272265	0.00288486	0.00309936	0.00338492	0.00457392	0.00343385	0.0131787	0.0112833	0.00582196	0.00767976	0.0079601	0.00634223	0.0042268	0.00390232	0.00707931	0.00986898	0.0153111	0.0210635	0.0175166	0.0200512	0.0143444	0.0137519	0.0151477	0.0118366	0.0219306
on	0.00614107	0.00635476	0.00557758	0.00663926	0.00610862	0.00790418	0.00877471	0.0144116	0.0226034	0.0305414	0.0327684	0.018076	0.0268937	0.0215743	0.0103463	0.00913895	0.0108363	0.016184	0.0132175	0.0087215	0.0210027	0.00747999	0.0160801	0.0167867	0.0285815	0.0466044	0.0700659	0.0343814	0.0490752	0.0290932	0.02375	0.0328224	0.0188721	0.0230617	0.0271747	0.0222853	0.023682	0.0139558	0.0088651	0.00697123	0.0102917	0.00828194	0.00789482	0.0143368	0.0223019	0.0156626	0.0241976	0.0130957	0.0164203	0.0146074	0.0156422	0.0218024	0.0120596
commence	0.0110486	0.00745727	0.00572784	0.00613985	0.00548372	0.00433767	0.0071842	0.0122353	0.0169228	0.0257958	0.0409181	0.046774	0.0515987	0.0476348	0.0358623	0.0331076	0.0287292	0.0353171	0.0236294	0.0228353	0.0447366	0.0332541	0.0325598	0.0248515	0.0253733	0.0571448	0.0319152	0.0289448	0.0336018	0.0216342	0.0147959	0.0166821	0.0148954	0.00853605	0.01028	0.0103757	0.00808109	0.0058725	0.00377668	0.00328472	0.00598552	0.00388135	0.00294324	0.00296573	0.00388485	0.00506154	0.00835907	0.00770002	0.00982977	0.00991748	0.00876095	0.0127736	0.018601
le	0.0550933	0.0462607	0.0267128	0.0339371	0.0264071	0.0314014	0.024075	0.0171845	0.00950085	0.00782689	0.00720766	0.00561649	0.00973945	0.00857515	0.00405554	0.00548532	0.00529341	0.0181842	0.0134926	0.0158288	0.0229696	0.0171626	0.0123476	0.0159893	0.0112307	0.0234484	0.0183993	0.0122139	0.0159899	0.0142256	0.0173939	0.0228804	0.0190876	0.0157336	0.0185081	0.0165869	0.0250397	0.0180176	0.0138366	0.015471	0.02157	0.0213468	0.0169529	0.0175743	0.0145408	0.0207762	0.020758	0.0166046	0.0280625	0.0244055	0.0259956	0.0266711	0.0263307
travail	0.0486152	0.0177875	0.0173922	0.0136052	0.012042	0.0138869	0.0101929	0.00749659	0.00891631	0.00749021	0.00348759	0.00349016	0.0049907	0.00778355	0.0158277	0.00927805	0.0130806	0.0227367	0.0281811	0.0510983	0.0509752	0.0621074	0.0437786	0.0461433	0.0392291	0.0222385	0.0174239	0.0163879	0.0163145	0.0171872	0.0114148	0.0136951	0.0104391	0.00981969	0.00690945	0.0072787	0.0086553	0.00834738	0.0102031	0.00813461	0.0146876	0.0139961	0.0119971	0.0112544	0.00976122	0.020791	0.0226827	0.0195871	0.0294259	0.0306047	0.0220304	0.0211052	0.0280147
c'	0.0375214	0.0317204	0.0315723	0.0275924	0.0259045	0.0277373	0.0136951	0.0136712	0.0106641	0.0116552	0.0100568	0.0115105	0.0130829	0.0157928	0.0250121	0.0525476	0.0196072	0.041338	0.0419776	0.0750908	0.0452083	0.0478665	0.0392455	0.0266394	0.0136155	0.00937306	0.00747458	0.00871528	0.00904818	0.0068787	0.00508774	0.00339934	0.00624276	0.00345082	0.00455311	0.00499871	0.00567254	0.00717541	0.0136631	0.00838853	0.00976483	0.0112094	0.0113289	0.0112224	0.0117543	0.0150296	0.01552	0.0196192	0.0198001	0.0141979	0.0151995	0.0125071	0.0183997
est	0.0254117	0.013522	0.00989568	0.0107101	0.00704074	0.0158753	0.0191576	0.0198692	0.0219127	0.0216857	0.0212319	0.0195683	0.0281854	0.0322946	0.0388706	0.041684	0.0289194	0.0297573	0.0315571	0.0344529	0.0393499	0.0380668	0.0386504	0.042021	0.0353727	0.0194165	0.0127558	0.0145719	0.0165286	0.015312	0.0130168	0.0119747	0.017433	0.00816602	0.0151058	0.0109341	0.00612451	0.0109282	0.0127219	0.0101762	0.0127075	0.00839044	0.0092247	0.00849062	0.00411184	0.00633783	0.00823234	0.0134273	0.00895496	0.0158237	0.0115733	0.0171445	0.0153519
bien	0.0782789	0.0501161	0.0293997	0.0298697	0.0306709	0.0151271	0.00995988	0.00890533	0.00728155	0.00461033	0.00565243	0.00515046	0.00955851	0.00477465	0.00529642	0.00540074	0.00861917	0.0127809	0.0123425	0.0153693	0.0216354	0.0213967	0.0173464	0.022594	0.0160685	0.0217565	0.0102398	0.0106094	0.0134937	0.0122914	0.00824615	0.00981968	0.0098963	0.00582848	0.0167134	0.0190737	0.0222729	0.0275279	0.0239762	0.0244259	0.0278989	0.0197111	0.0184684	0.0167875	0.00954611	0.0177518	0.0210013	0.0227553	0.0299471	0.0369187	0.0313244	0.0345677	0.0289446
lui	0.0384504	0.0419879	0.0382193	0.0402711	0.0192349	0.0174501	0.0120763	0.0123092	0.00736184	0.00359561	0.0110116	0.00927854	0.0160943	0.0119259	0.00799697	0.0103829	0.0110202	0.0298358	0.0199484	0.0228765	0.0317644	0.029347	0.0249915	0.0265124	0.0202884	0.0258945	0.012208	0.0148951	0.0153318	0.0111331	0.00881116	0.0108568	0.0106775	0.00804545	0.0112201	0.0191106	0.0147441	0.0127079	0.0113528	0.00888374	0.0227946	0.0126953	0.0104421	0.0079066	0.00629707	0.0156623	0.0168247	0.0246423	0.0284205	0.0290704	0.0255737	0.0267485	0.0628178
qui	0.020049	0.0169486	0.0109282	0.0121924	0.00585063	0.0054833	0.0034979	0.00356955	0.00312774	0.00319433	0.00660043	0.00612711	0.0114059	0.00942896	0.0105865	0.0123515	0.0123945	0.0221129	0.0143326	0.0189606	0.0225323	0.024868	0.0205704	0.0239929	0.0203014	0.0234704	0.0175739	0.0184811	0.0148685	0.0156174	0.0144604	0.0162138	0.015899	0.0115978	0.0128578	0.0146144	0.0098839	0.00849793	0.0095841	0.0099829	0.0184621	0.0144786	0.0141264	0.0127196	0.0122812	0.0275016	0.0354338	0.0410987	0.0448245	0.0489823	0.049406	0.0465908	0.0990835
