 	a66	a87	a23	a13	a30	a4	a54	a6	a36	a5	a75	a6	a47	a36	a2	a54	a47	a37	a79	a37	a6	a36	a31	a0	a24	a9	a87	a23	a13	a50	a83	a71	a38	a36	a37	a36	a37	a5	a37	a26	a50	a88	a71	a9	a87	</S>
la	0.0118265	0.0220897	0.0249422	0.0378548	0.0518874	0.0316733	0.0914185	0.0666835	0.0504589	0.0558598	0.0335762	0.0158957	0.0146549	0.0124601	0.0143601	0.01392	0.0116697	0.0172734	0.00922769	0.00789774	0.00876848	0.0129515	0.0126967	0.0220799	0.0212963	0.021003	0.0215437	0.0126255	0.0158189	0.0146577	0.0131383	0.0114324	0.0177485	0.00766036	0.0120318	0.0134785	0.0132656	0.011255	0.014265	0.0131964	0.0151583	0.0164063	0.0154001	0.019607	0.0145042	0.0323801
mère	0.00542281	0.0171182	0.0254528	0.0294365	0.0413401	0.0851207	0.113969	0.0901859	0.0494839	0.0447654	0.0306973	0.0296192	0.0242726	0.0247109	0.0136294	0.00539624	0.00483372	0.0239926	0.0321626	0.0598962	0.0345768	0.0258536	0.0113636	0.00594827	0.0422651	0.0267029	0.0105876	0.0191747	0.00845362	0.00997241	0.00644769	0.00388069	0.00491978	0.00566428	0.00537311	0.00280468	0.00239133	0.00203616	0.00208935	0.00216593	0.00153141	0.00141929	0.00235857	0.00383925	0.00325344	0.00342017
écarquillait	0.0152041	0.0204269	0.0162523	0.0146042	0.0155163	0.0155787	0.0489252	0.0515386	0.0699453	0.122521	0.0939882	0.0656074	0.0453075	0.0599902	0.0541905	0.011796	0.0101872	0.01895	0.0226064	0.0256425	0.00984592	0.0107601	0.00749143	0.00473455	0.0173065	0.0162197	0.0179028	0.0186362	0.0213027	0.0103772	0.0108672	0.00506961	0.00625478	0.00503148	0.00413753	0.00346508	0.00418094	0.00295719	0.00235297	0.00282906	0.00408667	0.00210866	0.00432854	0.00313204	0.00262012	0.00322286
l'	0.0078114	0.00865583	0.00649053	0.00482803	0.00341623	0.00426334	0.00887548	0.0127692	0.0396993	0.080518	0.0366051	0.0411844	0.0836327	0.0380964	0.0471235	0.0460844	0.0545514	0.0559779	0.0670355	0.0406451	0.0208767	0.0200648	0.0241607	0.0180349	0.0173786	0.0189852	0.016435	0.0183467	0.0149777	0.00570226	0.00996336	0.00598939	0.00535783	0.00330349	0.00314508	0.00512482	0.00446454	0.00586241	0.0084389	0.014738	0.010141	0.011318	0.0190095	0.0108858	0.00912338	0.00990784
oeil	0.034889	0.0394864	0.0433266	0.0198995	0.0226303	0.0219858	0.0123692	0.00779064	0.00918707	0.00884242	0.010203	0.0243505	0.0574206	0.0321317	0.0252199	0.0356031	0.0490365	0.0422243	0.0374858	0.0388561	0.0349015	0.0475358	0.0251285	0.0422635	0.0313491	0.0387975	0.027778	0.0288436	0.0230569	0.0137706	0.0150318	0.00868527	0.00952552	0.00761722	0.00762171	0.00470574	0.00493603	0.00500542	0.00250579	0.00580487	0.00806773	0.00383666	0.00867094	0.00609326	0.00804894	0.00747965
de	0.0158823	0.0212302	0.0223334	0.0159148	0.0171992	0.0322566	0.0133782	0.0163857	0.0349748	0.0319994	0.0299427	0.0270125	0.0349245	0.0211594	0.0214038	0.013712	0.0157515	0.0162442	0.0326671	0.0207832	0.0195902	0.0312007	0.030152	0.0411919	0.0235984	0.0255549	0.0253921	0.0149887	0.0164336	0.019534	0.0261623	0.0219605	0.0238544	0.0146375	0.0145996	0.0139588	0.0139838	0.0194639	0.00898563	0.0134364	0.0187507	0.0171092	0.0264796	0.0172561	0.0167015	0.0298683
son	0.0190865	0.0281753	0.0242462	0.0196334	0.0174924	0.0121308	0.0151557	0.0115125	0.0209084	0.0344544	0.0348775	0.026366	0.025809	0.027701	0.0392645	0.0486367	0.0290524	0.0241371	0.0269631	0.0300354	0.0233291	0.0206529	0.0202254	0.0116311	0.0175813	0.0119697	0.0131461	0.00873034	0.0130735	0.0100015	0.0141727	0.0106231	0.0115919	0.0103209	0.0092111	0.0121201	0.013833	0.0177107	0.0162265	0.0306489	0.0236228	0.0203733	0.0370166	0.0313449	0.0317017	0.0435026
enfant	0.0265098	0.0334257	0.0197026	0.00951154	0.00934214	0.00772571	0.0123318	0.00809933	0.0188846	0.0230335	0.0256115	0.0270339	0.0285411	0.0408703	0.0315022	0.0151965	0.02674	0.017696	0.0241561	0.0185213	0.0153131	0.0225099	0.0229859	0.0306911	0.0236985	0.026803	0.0288122	0.0254381	0.0337662	0.015681	0.0223481	0.0118796	0.0205335	0.0161311	0.014888	0.0136779	0.0164652	0.0205084	0.0169259	0.039053	0.0271274	0.0128857	0.043301	0.0224475	0.0192694	0.0124237
pour	0.0248815	0.0358332	0.0291318	0.016933	0.014887	0.0151283	0.011638	0.00880351	0.0160419	0.0191401	0.0268625	0.0231416	0.0236989	0.0302121	0.0254558	0.0287878	0.0243056	0.0199082	0.0217333	0.0185714	0.0108163	0.0161394	0.0119739	0.0163795	0.0111005	0.0139838	0.0187014	0.0142227	0.0214649	0.0186362	0.0245327	0.0210195	0.0203416	0.0162429	0.0157013	0.0169628	0.0178193	0.0229276	0.0209007	0.0391595	0.032516	0.0237194	0.042551	0.0334696	0.0317212	0.0319009
y	0.0371803	0.046366	0.0352499	0.0223493	0.0171491	0.0187895	0.0114008	0.00735287	0.0130369	0.0140401	0.0156405	0.0152741	0.0194797	0.017222	0.0188393	0.0214734	0.027175	0.0280343	0.0315344	0.0212714	0.0159529	0.0193858	0.0150198	0.0177103	0.0142043	0.0136416	0.0222479	0.015712	0.0216033	0.0203705	0.0254737	0.024824	0.0289674	0.0284024	0.021471	0.0208993	0.014132	0.0175805	0.0171181	0.0196366	0.0219384	0.0140144	0.0242157	0.0256149	0.0384586	0.0425456
mettre	0.0379186	0.0714262	0.0644854	0.0491355	0.026468	0.0447998	0.0180038	0.00689722	0.00750206	0.00820953	0.00750133	0.0068075	0.00867415	0.0106056	0.00807368	0.015277	0.011842	0.0112769	0.015089	0.0135673	0.0151826	0.0239555	0.0198223	0.0250485	0.0259613	0.0237738	0.0292308	0.019635	0.0221206	0.0230847	0.0202197	0.0299129	0.0293199	0.0227391	0.0204878	0.0178322	0.00985184	0.0136947	0.00919006	0.0123218	0.0188859	0.0110104	0.0172252	0.022551	0.027549	0.0458328
le	0.0269683	0.0481084	0.0331257	0.0314528	0.0195013	0.0216463	0.0178539	0.0162288	0.0220075	0.0250925	0.0198096	0.0174456	0.0191144	0.0210753	0.0183151	0.0229622	0.0204696	0.0204753	0.0224794	0.0183373	0.0176568	0.0216619	0.0245402	0.0170065	0.0196658	0.0205441	0.0245568	0.0182523	0.0236513	0.0226529	0.028657	0.0296049	0.0298609	0.0273455	0.0198146	0.0188107	0.0113073	0.0141453	0.00919909	0.0116866	0.0153665	0.0107166	0.0207681	0.0187858	0.0251008	0.0361722
médicament	0.0316275	0.0359257	0.0160969	0.0105133	0.0076809	0.00868046	0.0091643	0.0108204	0.0189495	0.0213629	0.0230828	0.0245859	0.0276529	0.0292627	0.0279711	0.0282008	0.0262905	0.026888	0.0291448	0.0190782	0.0177811	0.0216018	0.0245898	0.0171436	0.0211845	0.0189922	0.021021	0.0153057	0.0216121	0.0199888	0.0259941	0.0273526	0.0306696	0.0283602	0.0197976	0.0195361	0.0159317	0.0186306	0.0141207	0.0172894	0.0224583	0.0169767	0.0315018	0.0222648	0.0333463	0.0235696
</S>	0.0250899	0.0385128	0.0224053	0.0313293	0.014567	0.0144757	0.0155301	0.0129266	0.0151721	0.0157239	0.0150641	0.0145839	0.0177085	0.0187221	0.0129866	0.0268648	0.0209808	0.0197045	0.0168885	0.0126328	0.0128403	0.0221045	0.0194117	0.0168586	0.0198674	0.0212666	0.019999	0.0148565	0.0190249	0.0180408	0.0179276	0.0223128	0.0261237	0.017925	0.0246013	0.0256021	0.0195289	0.0254169	0.0209536	0.0259844	0.0272966	0.024738	0.0327688	0.0379636	0.0362555	0.0484617
