 	a66	a87	a23	a79	a90	a79	a15	a98	a6	a5	a12	a96	a75	a85	a6	a12	a96	a88	a62	a96	a34	a21	a85	a79	a98	a85	a6	a36	a27	a84	a57	a87	a23	a99	a97	a87	</S>
le	0.042515	0.0424667	0.0556882	0.0543425	0.040025	0.0448762	0.112129	0.0558246	0.0591782	0.0503187	0.0300444	0.0150849	0.0112904	0.0103646	0.00850797	0.0110639	0.0113853	0.0165698	0.0140458	0.0170203	0.0181722	0.00857281	0.0104566	0.0130065	0.014457	0.0102493	0.0176246	0.0271227	0.0234843	0.036858	0.0167969	0.0135169	0.017937	0.01792	0.0172134	0.0148031	0.0190676
pêcheur	0.0330923	0.0745202	0.0810878	0.0938765	0.140458	0.0584325	0.0583248	0.03083	0.0126231	0.0311175	0.0212945	0.0183227	0.0168321	0.0270159	0.0355286	0.0605283	0.0182826	0.0355242	0.0413323	0.0123585	0.0212178	0.0229364	0.00652876	0.0135855	0.00907955	0.00205759	0.00145042	0.00196332	0.00337252	0.00207538	0.00219403	0.00153813	0.00108554	0.000915278	0.00337608	0.00258992	0.00265159
s'	0.0589221	0.0675546	0.0570908	0.0627906	0.111729	0.0677359	0.0411014	0.0238355	0.0201441	0.0716602	0.0205691	0.018655	0.0136751	0.0311278	0.0291666	0.0255021	0.00733658	0.014827	0.0165546	0.0140674	0.00809928	0.0200164	0.00875038	0.0209157	0.0153244	0.00676654	0.00499581	0.00706517	0.0126975	0.0106664	0.0133197	0.016798	0.0213462	0.0155254	0.0219741	0.0153693	0.00632389
est	0.0144157	0.00858343	0.00333258	0.00464376	0.00501138	0.0040011	0.0105919	0.0265899	0.0638148	0.0798583	0.0533152	0.107945	0.14167	0.127952	0.0366667	0.0411578	0.0166087	0.00803079	0.00771729	0.0123447	0.00962615	0.00833496	0.0160908	0.017944	0.0100356	0.00974093	0.0119967	0.010267	0.0115537	0.0135226	0.0164845	0.0150553	0.0160044	0.0105785	0.0134862	0.0136483	0.0213796
assis	0.0152625	0.0197006	0.0221827	0.0253269	0.0461132	0.0365405	0.0547782	0.0184506	0.0170622	0.0308845	0.0135137	0.0168925	0.02325	0.0302027	0.0467235	0.0472663	0.0389092	0.0773816	0.0774012	0.0841179	0.0546741	0.030119	0.0442949	0.0232266	0.0249762	0.0135182	0.00663004	0.00809216	0.0100953	0.0062293	0.00552277	0.00707514	0.00345155	0.0032082	0.0065337	0.00476847	0.00562387
sur	0.015672	0.0111063	0.0104931	0.0120815	0.0154292	0.0262187	0.022662	0.0244971	0.0352143	0.035233	0.0361394	0.0592817	0.0394865	0.0461235	0.0484006	0.0414023	0.0485767	0.0399586	0.0400471	0.0368511	0.0335322	0.0333552	0.0282822	0.0241391	0.02236	0.0132358	0.00949085	0.014609	0.0332239	0.0224138	0.0180713	0.0322679	0.0119329	0.00944821	0.0136112	0.0202445	0.0149072
le	0.024614	0.0215526	0.0148481	0.013574	0.00878645	0.0177826	0.0239076	0.0577292	0.0613061	0.0491189	0.0480322	0.0397203	0.0337449	0.022326	0.0209437	0.017214	0.0276051	0.0098821	0.0131431	0.011587	0.00694382	0.00781059	0.0102368	0.0085678	0.0119014	0.0151088	0.0208023	0.0300204	0.0291433	0.0527327	0.0254746	0.0550533	0.0348625	0.0282267	0.0324224	0.0507695	0.0425051
bout	0.013229	0.00869375	0.00550846	0.00483749	0.00462491	0.0123824	0.0160296	0.0307467	0.0370805	0.0258945	0.040856	0.0531278	0.0362205	0.0213492	0.0251292	0.0146802	0.0235561	0.0111688	0.0113191	0.0274913	0.0294475	0.0424618	0.0396334	0.0221045	0.0208412	0.0240563	0.0289169	0.0642414	0.0443013	0.0692861	0.0281665	0.0500676	0.0274978	0.0175689	0.0220873	0.0241533	0.0212428
de	0.0213658	0.018992	0.0114268	0.00977567	0.00735626	0.0118653	0.0168995	0.0229287	0.0194513	0.0215866	0.0324334	0.0208984	0.0138467	0.00791273	0.00896403	0.00664162	0.0236301	0.0105028	0.013586	0.0185171	0.0221829	0.0152176	0.0161935	0.0119011	0.0120989	0.0148113	0.0204924	0.0482414	0.0356439	0.0727723	0.0233723	0.0478196	0.0540218	0.05765	0.0534488	0.0755321	0.100019
la	0.029625	0.0205753	0.013376	0.0108641	0.00618825	0.00974549	0.0103507	0.0161687	0.0164173	0.0134148	0.0231625	0.0335088	0.0188248	0.0191757	0.0124075	0.00832496	0.0160038	0.00895416	0.00958676	0.0183975	0.0159928	0.0105809	0.0169789	0.0100348	0.0157771	0.0200872	0.0208989	0.0359747	0.0463485	0.0514552	0.0302397	0.0413649	0.0525089	0.0685765	0.0547349	0.0937235	0.0996509
pirogue	0.0153794	0.0198193	0.0200168	0.0150097	0.00880907	0.0121045	0.0239257	0.0242511	0.0141467	0.0176139	0.0151148	0.0201028	0.0138047	0.0204153	0.021376	0.0156344	0.0228184	0.0168124	0.0164722	0.014891	0.0139154	0.0154267	0.0149005	0.0123999	0.0143111	0.0161328	0.0168389	0.027792	0.0263567	0.0440155	0.0216825	0.0435094	0.0569916	0.0661314	0.0436458	0.0970028	0.120429
</S>	0.0254412	0.0243572	0.0214772	0.0148493	0.00943697	0.0142985	0.0303875	0.0255828	0.0122598	0.0230828	0.0186164	0.0240733	0.0139313	0.0154612	0.017355	0.0199162	0.0263995	0.0207258	0.0211376	0.0164089	0.0126568	0.0126773	0.0138245	0.00706013	0.0107559	0.0134136	0.0152691	0.0242657	0.0233962	0.0373662	0.0196053	0.0415151	0.0579765	0.0546037	0.0507531	0.0970448	0.112618
