 	a66	a87	a23	a87	a23	a99	a50	a12	a5	a23	a24	a31	a47	a56	a34	a61	a21	a85	a36	a2	a57	a87	a23	a31	a12	a90	a15	a20	a90	a69	a58	a53	a90	a25	a35	a12	a31	a88	a71	a9	a87	a23	a97	</S>
la	0.0311501	0.0339715	0.0577367	0.0291688	0.0383759	0.0147844	0.0279634	0.0638748	0.0536284	0.0355444	0.0283717	0.0204531	0.012837	0.0114703	0.00956299	0.00813316	0.0113352	0.00918365	0.0130675	0.0123999	0.0134622	0.0111265	0.00732936	0.00679755	0.0132438	0.0140069	0.01618	0.0221397	0.013985	0.0168523	0.0146083	0.0118005	0.0215993	0.0198052	0.0363791	0.0208178	0.0442036	0.0506866	0.0276591	0.0300883	0.0194214	0.0160507	0.0102691	0.0184749
nourriture	0.00314856	0.00359312	0.00615265	0.00359769	0.00606025	0.0043986	0.00590187	0.014212	0.0169415	0.0161932	0.0176083	0.0271704	0.0348302	0.0359743	0.0467123	0.0475353	0.099059	0.0761344	0.092987	0.057627	0.0469392	0.0463849	0.0414017	0.0468038	0.0692115	0.0425392	0.0244497	0.0179382	0.0187157	0.00621604	0.00478463	0.00525478	0.00196617	0.000917479	0.00234692	0.00128834	0.000913833	0.000624595	0.000711464	0.000428605	0.00106481	0.000604002	0.00193007	0.000726485
que	0.0138811	0.0164367	0.0225163	0.0144414	0.022964	0.0433047	0.0274236	0.0276516	0.0351526	0.0424366	0.0482602	0.0302459	0.0386259	0.0428224	0.0578957	0.0483496	0.0781664	0.0717412	0.0716686	0.0534423	0.0335469	0.0245105	0.0144544	0.0200986	0.0146361	0.0104423	0.00815291	0.00798881	0.00574935	0.00519246	0.00642259	0.00764581	0.00440941	0.00219953	0.0017893	0.00204227	0.00120149	0.00151026	0.00136796	0.00109355	0.00227483	0.00509549	0.00600392	0.00474455
tu	0.0717498	0.0964474	0.0566393	0.0437885	0.033691	0.0491916	0.0233516	0.0228105	0.0413625	0.0201943	0.0320777	0.0199417	0.0160472	0.0245318	0.0141127	0.0112937	0.0148496	0.0103631	0.0147916	0.0119679	0.019333	0.0191784	0.0178664	0.0176719	0.0189587	0.0210573	0.0280653	0.0273639	0.0153811	0.0125246	0.0108093	0.00939368	0.0119441	0.00499715	0.00859948	0.00637778	0.00636928	0.0112923	0.0120806	0.0150044	0.0231555	0.0155987	0.0137323	0.0240414
as	0.0779608	0.0844197	0.0497605	0.0317477	0.0232142	0.0316987	0.0106314	0.00750182	0.0125753	0.0101178	0.0127521	0.00642894	0.00707787	0.0083686	0.0103753	0.0212151	0.0292609	0.024166	0.0408818	0.0212811	0.0317747	0.0227923	0.0251506	0.0270764	0.0352893	0.0479693	0.0445022	0.0635659	0.0278489	0.0208718	0.0228411	0.0224681	0.0152738	0.00747311	0.00265878	0.00271045	0.00165867	0.00189281	0.0032134	0.00311174	0.00786895	0.00914501	0.0138381	0.0175687
laissée	0.0266865	0.0254472	0.0255863	0.0175182	0.0202759	0.0216873	0.0104104	0.016237	0.0178465	0.013031	0.0169917	0.0135984	0.0151179	0.0215324	0.0285234	0.033656	0.0558921	0.0435281	0.0681566	0.0281967	0.0437423	0.0318275	0.0366454	0.0356207	0.0377659	0.0324088	0.0217391	0.0314759	0.02225	0.0255416	0.0239483	0.0224947	0.0141061	0.00713882	0.00670735	0.00451809	0.00658168	0.00638282	0.00676246	0.00663405	0.00893127	0.0112591	0.0152777	0.0203208
au	0.0680463	0.0430607	0.0523222	0.0216246	0.0193869	0.0193083	0.011836	0.0262058	0.0222225	0.0162712	0.0178785	0.0193766	0.0158392	0.0160533	0.013888	0.0157277	0.0161543	0.0169416	0.0205462	0.0251951	0.0392808	0.0349734	0.0367066	0.0404477	0.0505078	0.0401703	0.0224508	0.0283433	0.0158572	0.0172455	0.0217583	0.0307381	0.0172787	0.0133228	0.0154507	0.00652605	0.00887757	0.011866	0.0111534	0.00954117	0.0118894	0.01065	0.014941	0.0121387
feu	0.0356638	0.0189227	0.0239075	0.00970203	0.0177388	0.0105831	0.0126426	0.0332728	0.0174663	0.0128481	0.0126907	0.0143254	0.00703759	0.00801463	0.00981973	0.00855271	0.0066384	0.00864895	0.00776023	0.0123159	0.0249738	0.0391092	0.0409515	0.0434776	0.0475883	0.0444002	0.0308758	0.0466901	0.046463	0.0490669	0.0305451	0.0203883	0.0243582	0.0191658	0.0250743	0.0132168	0.0130144	0.0197703	0.0122019	0.0132658	0.0197535	0.0241421	0.0306752	0.0322799
s'	0.0389364	0.0222896	0.0202429	0.0134298	0.0191554	0.0148203	0.0145009	0.030527	0.0179016	0.0136715	0.0152445	0.0207876	0.0131663	0.0168818	0.018289	0.0227533	0.0294012	0.030634	0.0469539	0.0251527	0.0449255	0.0416877	0.0473459	0.0455129	0.0408555	0.0279007	0.0189697	0.0276825	0.0211815	0.0193007	0.0163978	0.012986	0.0143982	0.0123473	0.0093118	0.00860699	0.00617381	0.016169	0.00977847	0.0113586	0.0141127	0.0182327	0.0209025	0.0491216
est	0.0206981	0.0186945	0.0248313	0.0166482	0.0271914	0.0206389	0.0215963	0.0363728	0.0271165	0.0283844	0.0231374	0.020547	0.0193038	0.0269695	0.0322388	0.037815	0.0544182	0.0588653	0.0633839	0.0354532	0.0493234	0.0482115	0.0436839	0.0417717	0.0279169	0.0167593	0.00811928	0.0109716	0.0101103	0.0120595	0.0090556	0.00535795	0.00617519	0.00697388	0.00470325	0.00419292	0.00362583	0.00770089	0.00538439	0.00574808	0.0081693	0.00867294	0.0109727	0.0300354
entièrement	0.0437432	0.025355	0.0248907	0.0285101	0.031003	0.0282558	0.0236804	0.0444367	0.0260749	0.0270883	0.0252435	0.0294491	0.0288538	0.0363018	0.0342471	0.0319245	0.0326703	0.026648	0.0351319	0.0239761	0.0338112	0.03312	0.0349881	0.0279689	0.0191545	0.0142695	0.0104862	0.0145542	0.0178307	0.00802777	0.00610779	0.0045961	0.00537742	0.00572592	0.00474173	0.00510525	0.00505858	0.0106892	0.0077338	0.0136486	0.0188369	0.0185775	0.0187921	0.0533141
calcinée	0.0599478	0.0326797	0.0338847	0.0369648	0.0354639	0.0300255	0.0217226	0.0445138	0.0279629	0.0279882	0.0248874	0.0257269	0.02274	0.0229296	0.021035	0.0194318	0.019553	0.0204813	0.0263354	0.0272165	0.0312659	0.0319387	0.0337983	0.0305747	0.0238208	0.0191682	0.0110097	0.0240023	0.0314471	0.0258056	0.0186204	0.00771252	0.00925053	0.00528062	0.00511579	0.00442919	0.00399089	0.0109763	0.00795428	0.0128892	0.0152318	0.0130184	0.0103117	0.030896
</S>	0.10892	0.061306	0.0475427	0.0450455	0.0251429	0.0206647	0.0135646	0.0186509	0.0189105	0.0162727	0.0163516	0.0180847	0.0161622	0.0106288	0.00856369	0.0100971	0.00687063	0.00877953	0.0116789	0.0109662	0.0110096	0.0117366	0.00981589	0.0116524	0.011503	0.00875265	0.00858359	0.0134902	0.0154472	0.0153404	0.0252357	0.0248268	0.0395021	0.0278064	0.0193593	0.0145498	0.0136954	0.0400636	0.0225782	0.0279631	0.0275244	0.0251306	0.0226704	0.0575584
