 	a66	a87	a23	a99	a18	a99	a94	a13	a83	a0	a90	a69	a70	a44	a99	a13	a58	a57	a82	a3	a87	a97	a87	a23	a87	a23	a87	a23	a87	a23	a87	a97	</S>
le	0.0455633	0.0579957	0.0500913	0.0324496	0.0179529	0.0119925	0.0060476	0.00386769	0.00353321	0.00340521	0.00405065	0.00410675	0.00378563	0.00817541	0.00791295	0.010558	0.0115059	0.0239539	0.0160992	0.0253435	0.0662258	0.0716508	0.0573814	0.047949	0.065173	0.0704456	0.0545368	0.0345957	0.0513486	0.0292501	0.0404823	0.0292705	0.0332995
lézard	0.0379991	0.0387249	0.0553556	0.0638047	0.0413328	0.0586247	0.0496935	0.0475361	0.062818	0.0199399	0.0203415	0.0239394	0.040301	0.0741372	0.0542806	0.0795854	0.0314789	0.0532685	0.0180437	0.0100273	0.0240479	0.0288794	0.00755348	0.00582084	0.00613951	0.00924472	0.00341709	0.00621292	0.0043942	0.00875843	0.00375504	0.0068904	0.00365334
à	0.0348885	0.041211	0.0413197	0.0495099	0.0617053	0.0738861	0.187124	0.107562	0.121932	0.0633664	0.0419242	0.0188464	0.00995195	0.0290979	0.0110639	0.00915425	0.0156699	0.0100403	0.0159479	0.00634175	0.0108658	0.0104873	0.0033986	0.0030763	0.00513427	0.00458474	0.00129713	0.0018626	0.00240199	0.00252897	0.00104584	0.00171788	0.0010561
gueule	0.0110806	0.0070115	0.00426703	0.00337176	0.00415572	0.00885172	0.0341549	0.0402327	0.0206491	0.0193934	0.0379541	0.0244587	0.037795	0.0766284	0.0674202	0.0445169	0.0580106	0.0396973	0.0325125	0.0173668	0.00989867	0.00919599	0.0129804	0.0183878	0.0207394	0.0195593	0.0278946	0.0537254	0.0369344	0.0393918	0.0566593	0.0525026	0.0526013
rouge	0.0155018	0.0139637	0.00708527	0.00624573	0.0067265	0.00479622	0.0062826	0.0100836	0.0123506	0.051333	0.069117	0.0644472	0.0623091	0.054072	0.0935879	0.0559895	0.127982	0.0365315	0.0259081	0.0234416	0.00891729	0.00655501	0.0099671	0.00944614	0.0141406	0.0133939	0.0138894	0.0260165	0.0292224	0.0295278	0.0274153	0.0431436	0.0206103
vit	0.0236896	0.0159511	0.01063	0.00746749	0.00982794	0.00495578	0.00573043	0.0130516	0.00934803	0.0105534	0.018366	0.0143469	0.0176334	0.022585	0.025739	0.0183759	0.0491335	0.0260522	0.017402	0.0300312	0.0161779	0.00953704	0.0180117	0.0248192	0.034422	0.051606	0.0405992	0.0600853	0.0741801	0.0662362	0.07742	0.0839918	0.0920433
dans	0.0403085	0.0332493	0.0244428	0.0175899	0.01665	0.0150349	0.0167419	0.0151394	0.0165376	0.0135756	0.011579	0.00599789	0.00683258	0.00770385	0.00681263	0.00784683	0.00965571	0.0133233	0.0167917	0.0276437	0.0323757	0.0230423	0.0393011	0.0409777	0.0426425	0.0584509	0.0568273	0.0664646	0.0569309	0.0637536	0.0479835	0.063065	0.0847276
la	0.0267881	0.0164269	0.0131204	0.00740638	0.0117468	0.00707269	0.00798272	0.00758767	0.00575353	0.00546859	0.00738937	0.00464226	0.00600997	0.010062	0.00828585	0.0115749	0.0134675	0.0286427	0.0205324	0.0319127	0.0370491	0.0277594	0.0346994	0.0436478	0.0604193	0.055842	0.0499793	0.0593099	0.0504716	0.0734191	0.0586342	0.0727111	0.124184
plaine	0.0441725	0.0201325	0.0150677	0.00920732	0.0123443	0.0071021	0.0143884	0.00850536	0.00787614	0.00510595	0.00469755	0.00281623	0.00343171	0.00787925	0.00670077	0.0075766	0.0161802	0.0126301	0.0154944	0.0262371	0.0590522	0.0316388	0.0379363	0.0270907	0.0410648	0.0573579	0.0574479	0.0792098	0.0810283	0.0837867	0.0639272	0.0885606	0.0443528
</S>	0.041667	0.0237994	0.0190218	0.0125914	0.0180773	0.0075289	0.0057017	0.0048787	0.00370095	0.00355536	0.00517971	0.00647368	0.00822466	0.0113851	0.0055746	0.00910019	0.0070689	0.010154	0.00617223	0.0114984	0.0278431	0.00909183	0.00973033	0.0166705	0.0257333	0.0304225	0.0342906	0.0594305	0.0584179	0.0730322	0.0936872	0.103464	0.236832
