 	a66	a87	a97	a99	a13	a62	a12	a47	a12	a62	a12	a47	a21	a92	a37	a56	a93	a4	a70	a94	a70	a13	a3	a97	a3	a97	a99	a27	</S>
j'	0.0532446	0.0516257	0.0447805	0.0302852	0.0303974	0.0130193	0.0131471	0.0116489	0.00945996	0.00638163	0.00975254	0.00938911	0.0133365	0.020827	0.0328042	0.0583351	0.0339727	0.0598501	0.0564404	0.0677809	0.0937952	0.0484628	0.0499578	0.0404217	0.0208415	0.0253446	0.0202787	0.0258861	0.0485329
entretiens	0.133401	0.0593349	0.0855659	0.0425821	0.0409584	0.0360308	0.0130563	0.0102707	0.0219465	0.017222	0.0132816	0.0206953	0.0129682	0.0163485	0.0170984	0.0282854	0.0263235	0.0367164	0.0343819	0.0408474	0.0351117	0.0441053	0.0322169	0.0169887	0.0226899	0.0290445	0.0333635	0.0426161	0.036548
de	0.0361664	0.0211799	0.013159	0.0135654	0.0114975	0.00872318	0.0076289	0.00827647	0.00936829	0.0131912	0.0124447	0.0176897	0.00668234	0.00703069	0.0138721	0.0145363	0.0229447	0.0297631	0.0215627	0.0292341	0.0334442	0.0199119	0.028251	0.0394395	0.0623466	0.0704175	0.162575	0.102877	0.162221
bonnes	0.0311171	0.0319123	0.0161748	0.0343149	0.0478785	0.0346369	0.0256965	0.0354391	0.0641102	0.130713	0.148352	0.0651966	0.0412602	0.0338905	0.0253382	0.026039	0.0269235	0.0145132	0.0112533	0.0115895	0.0153285	0.0168468	0.0254901	0.0159136	0.0205682	0.0156481	0.0129282	0.0126256	0.00830223
relations	0.0350873	0.0222172	0.016184	0.0226202	0.0305459	0.0253621	0.0348568	0.0524125	0.065526	0.081109	0.0579447	0.0250228	0.0219652	0.0104828	0.00853467	0.0107981	0.0101625	0.00937634	0.010253	0.0193527	0.0134571	0.0123036	0.0173443	0.0319448	0.0310756	0.049926	0.0987496	0.109623	0.0657622
avec	0.0652784	0.0451402	0.038893	0.0388563	0.0422045	0.0468849	0.0373977	0.0289373	0.0219875	0.0129615	0.0140436	0.00793358	0.00457836	0.00200188	0.00266475	0.00426985	0.00440454	0.00595706	0.00772084	0.0078553	0.00730098	0.00719281	0.017214	0.0332351	0.0406552	0.0658827	0.09533	0.107694	0.185525
le	0.0474172	0.0310075	0.0329174	0.0180007	0.0195996	0.0223394	0.0264871	0.0241677	0.015223	0.00760336	0.00779147	0.00577415	0.00483977	0.00676209	0.00811387	0.0140273	0.0206748	0.0191433	0.0164822	0.0200111	0.0180112	0.0157351	0.0212145	0.0446066	0.0654538	0.12778	0.125533	0.128383	0.0848989
notable	0.0522204	0.0308443	0.0213779	0.018199	0.0139736	0.0162494	0.0175779	0.0165948	0.00989528	0.00631827	0.00625599	0.00378209	0.0025643	0.00413503	0.00547515	0.0101184	0.00884017	0.015112	0.00948421	0.0161622	0.0228	0.0257464	0.0436126	0.104201	0.101208	0.0989324	0.114809	0.113687	0.0898232
okoumou	0.0330102	0.0177941	0.0130197	0.00838478	0.00949593	0.0101505	0.0134443	0.0117267	0.00836959	0.0075894	0.00823914	0.00206952	0.00173771	0.00219117	0.00226492	0.00507842	0.00754931	0.0117469	0.00946808	0.0194941	0.0243412	0.0171518	0.0225923	0.0734995	0.08535	0.101621	0.122921	0.13954	0.210158
</S>	0.0335172	0.0119249	0.00941896	0.00945008	0.00845963	0.00804642	0.0128895	0.0183272	0.0152979	0.013974	0.0139397	0.0057609	0.00533779	0.00376636	0.00412304	0.00800593	0.00977956	0.00971025	0.0119171	0.0127925	0.0138546	0.0159333	0.0228533	0.086176	0.0815513	0.100981	0.129867	0.145697	0.176647
