 	a66	a87	a23	a50	a88	a71	a53	a79	a56	a12	a96	a62	a47	a75	a94	a90	a75	a85	a47	a98	a92	a79	a93	a90	a4	a57	a82	a87	a40	a36	a37	a62	a83	a70	a34	a56	a96	a70	a13	a57	a3	a97	a30	a53	a15	a7	a54	a47	a85	a37	a43	a61	a70	a54	a7	a2	a57	a87	a23	a87	</S>
la	0.0264353	0.0541033	0.0365762	0.0453236	0.0722784	0.0435286	0.0357256	0.0446012	0.0388694	0.0514773	0.0263447	0.0217132	0.0154334	0.0115998	0.0159063	0.0117931	0.00791716	0.00912874	0.0106863	0.0124956	0.00594551	0.0125014	0.00935255	0.0128876	0.00972502	0.0155419	0.0148167	0.0186298	0.0126953	0.0269415	0.0166537	0.0237808	0.017986	0.0107865	0.00681175	0.0103514	0.00914847	0.00457177	0.0058775	0.00387648	0.00468246	0.00426452	0.00361829	0.00215453	0.00289766	0.00211652	0.00314084	0.00238321	0.00185736	0.0023367	0.0047373	0.00830168	0.0101016	0.0121507	0.0188558	0.0118438	0.0165029	0.00835721	0.0105145	0.0104457	0.0179181
manière	0.00156476	0.00316628	0.00343916	0.00794137	0.0125391	0.0103285	0.00551548	0.0268706	0.0553895	0.0311568	0.0516816	0.055081	0.0455145	0.0504054	0.0505012	0.103422	0.0689142	0.0618006	0.0237329	0.0120181	0.00697844	0.00657307	0.0144481	0.0135625	0.0149733	0.0143269	0.0119906	0.0112158	0.0103007	0.0152252	0.0115183	0.00622819	0.0109906	0.00954591	0.00744704	0.00345071	0.0113608	0.014898	0.0148419	0.011756	0.0114509	0.00771092	0.0111838	0.0119	0.00933589	0.00425681	0.0113478	0.0087244	0.0106798	0.00133095	0.000885454	0.000633191	0.000289127	0.000601221	0.000332553	0.000275128	0.000320525	0.000365648	0.000933516	0.00266904	0.00215815
dont	0.026139	0.0108186	0.00734513	0.0059363	0.00638051	0.0125649	0.00994877	0.0134127	0.0132187	0.00915578	0.0133761	0.0327168	0.0284802	0.0257893	0.0230719	0.0515412	0.0523411	0.0470544	0.025907	0.0254252	0.0376445	0.0404188	0.0533108	0.0339546	0.0311955	0.0460851	0.0272315	0.0262409	0.0355867	0.0166937	0.0187495	0.0119011	0.0184942	0.0220273	0.0140122	0.0106728	0.011725	0.0133272	0.0103457	0.0134187	0.0094607	0.00249715	0.00321583	0.00293506	0.00163159	0.00207743	0.0016691	0.00232821	0.00249947	0.00269223	0.00145413	0.000982812	0.000760205	0.000629957	0.000360624	0.00272235	0.00118805	0.005518	0.00539035	0.00949236	0.0068349
cet	0.0156675	0.0103041	0.0044811	0.00340038	0.0042045	0.00591197	0.00667609	0.00580103	0.00498699	0.00383535	0.00364804	0.00483683	0.00316781	0.00600987	0.00846648	0.0123851	0.0136969	0.0139018	0.0232115	0.0276678	0.0373634	0.0364584	0.0278892	0.0348283	0.0295902	0.0231897	0.0178103	0.0159939	0.01433	0.0165872	0.0135039	0.0200921	0.0218162	0.0181356	0.0136039	0.0171702	0.0134081	0.0211499	0.013552	0.018732	0.00953178	0.0042901	0.00779637	0.0172013	0.0354772	0.0448834	0.037072	0.017178	0.0202164	0.0274283	0.0373406	0.0181246	0.0295201	0.00811746	0.0038647	0.0166565	0.00634105	0.00908536	0.0108794	0.0199844	0.0115455
homme	0.0184154	0.00826504	0.00392916	0.00256136	0.00309298	0.00765411	0.0051062	0.00829098	0.00565822	0.00338415	0.00632573	0.00697049	0.00990765	0.0118394	0.0118727	0.0114257	0.0109361	0.0222392	0.0119565	0.00466376	0.0130805	0.0302351	0.0265333	0.02767	0.0188474	0.00908976	0.0265757	0.0150635	0.0181174	0.0229909	0.0192358	0.0243418	0.023916	0.0237396	0.0125202	0.0246149	0.0203268	0.0245971	0.0310267	0.0196498	0.0255857	0.0247034	0.0245767	0.0163229	0.0186874	0.0231148	0.0215224	0.031796	0.0134338	0.0145643	0.01168	0.0143106	0.00718542	0.00329649	0.00486286	0.0199192	0.0105532	0.0230378	0.0241471	0.0358438	0.0241892
est	0.0169621	0.0121796	0.00878596	0.00415062	0.00321184	0.00392014	0.00516549	0.00799031	0.00617745	0.00643252	0.00553217	0.0111873	0.020968	0.024671	0.0229522	0.0166445	0.0204618	0.0307306	0.0207504	0.0131034	0.0167652	0.0415101	0.030693	0.018298	0.0224609	0.0121594	0.0357391	0.0166719	0.0388796	0.031032	0.0368735	0.032108	0.0381003	0.0377062	0.0147201	0.0165055	0.0102272	0.0151204	0.0116144	0.0143198	0.0237945	0.0234146	0.022643	0.0104451	0.0129908	0.0101994	0.0136832	0.0140879	0.00994851	0.0106736	0.0076014	0.00730365	0.00587278	0.00701949	0.00733137	0.0136389	0.00888818	0.00886124	0.00538134	0.00775127	0.014988
assailli	0.0229748	0.0116574	0.0082669	0.00319867	0.00293863	0.00423679	0.00468522	0.0050788	0.00414773	0.00345619	0.0038822	0.00685403	0.0116711	0.0171727	0.0121389	0.00890215	0.0177888	0.0196717	0.0173021	0.0119475	0.0186996	0.0337304	0.0272349	0.0226775	0.0242486	0.00995373	0.0308254	0.0161043	0.0340226	0.0170251	0.0244392	0.0238607	0.0310244	0.0263412	0.0139026	0.0187958	0.0108001	0.0251072	0.0138731	0.0279664	0.0323052	0.0182556	0.0251831	0.0138391	0.0203602	0.0204066	0.0268317	0.0325711	0.0209017	0.0169437	0.0110742	0.00810865	0.00614074	0.00700973	0.00796635	0.0121477	0.0110707	0.0209273	0.0112987	0.0130908	0.0149619
il	0.019991	0.00969729	0.00502946	0.00468999	0.00604883	0.00767979	0.00708296	0.00906478	0.00892736	0.00961797	0.0136447	0.0225374	0.0297726	0.0241085	0.0380728	0.0243692	0.033656	0.031875	0.0251701	0.0152175	0.0204348	0.0287068	0.0216974	0.023345	0.0204916	0.0223846	0.0269542	0.0186758	0.0364466	0.0285652	0.0363515	0.0583971	0.0342928	0.0375123	0.0221703	0.0201721	0.0116842	0.00852787	0.0123928	0.00793481	0.00785775	0.00485205	0.00749086	0.00306122	0.00359984	0.00315266	0.00719386	0.00680878	0.00558246	0.00475182	0.00459999	0.0108478	0.00394761	0.00710217	0.0152037	0.0142072	0.0106674	0.0119824	0.0112025	0.00637666	0.00611991
doit	0.022284	0.0139991	0.00886654	0.00494534	0.0071993	0.00895587	0.0108429	0.00707985	0.00461477	0.00369909	0.0053772	0.00846155	0.0166689	0.0147068	0.0205304	0.0119776	0.0138061	0.0196488	0.0238375	0.022781	0.0199387	0.0334122	0.0317855	0.0361654	0.0404695	0.0204675	0.0279462	0.0224876	0.0250438	0.0182251	0.0268878	0.034978	0.0178539	0.0179366	0.0178908	0.0228684	0.0237312	0.0142201	0.0205274	0.0140044	0.0119662	0.0109852	0.0211952	0.0068356	0.00490578	0.00574138	0.00500976	0.00906079	0.00486726	0.00515881	0.00530424	0.0132457	0.00527727	0.00504937	0.0159566	0.0135254	0.0157827	0.0239928	0.0259218	0.0271268	0.0259687
être	0.01787	0.0127164	0.00899649	0.00484757	0.00965453	0.0114102	0.0123918	0.00808212	0.0055645	0.00326072	0.00554456	0.00822824	0.013175	0.0148395	0.0138388	0.0118905	0.0166203	0.0225945	0.0231312	0.0261182	0.0229184	0.0348099	0.0300702	0.0332352	0.0307819	0.0198365	0.01871	0.0157184	0.0188646	0.00884794	0.0164671	0.0121276	0.00906793	0.0138217	0.0142198	0.0122196	0.0130162	0.0106522	0.0128362	0.0121478	0.01054	0.0068243	0.0133614	0.0114529	0.00737178	0.00960639	0.00847463	0.0116359	0.0150173	0.0116837	0.0121974	0.0106182	0.0093182	0.010642	0.0270701	0.0151128	0.0203998	0.0200737	0.0316217	0.039608	0.0862253
