 	a66	a87	a23	a50	a88	a43	a94	a11	a0	a88	a62	a12	a43	a11	a43	a75	a25	a79	a90	a44	a57	a30	a4	a13	a9	a87	a23	a50	a90	a96	a18	a12	a96	a5	a12	a96	a66	a27	a57	a87	a23	a99	a97	</S>
la	0.0474338	0.0730207	0.0467213	0.0433729	0.0403184	0.038386	0.0214317	0.019289	0.0140658	0.0148327	0.0102332	0.0134187	0.00825316	0.00846526	0.00811149	0.0122529	0.0241794	0.031966	0.0254005	0.0207532	0.0250089	0.0278382	0.0334176	0.021823	0.0421208	0.0478545	0.0309378	0.0317229	0.017953	0.0186113	0.0129798	0.0149111	0.0118459	0.0107856	0.00948726	0.0119211	0.00962615	0.0131549	0.0127734	0.0140397	0.0127295	0.0163632	0.0124933	0.0176949
manière	0.00086634	0.00258843	0.00185253	0.0031679	0.00388422	0.0041667	0.00616665	0.0099418	0.00717003	0.0151415	0.0282777	0.017179	0.0446521	0.0337699	0.046743	0.0720517	0.142938	0.161328	0.0707737	0.0602899	0.0579048	0.0494098	0.0360955	0.0218493	0.0220406	0.0165704	0.0200447	0.0125563	0.0051373	0.00338761	0.0021616	0.0028292	0.00182675	0.00187506	0.00146844	0.00143275	0.00197434	0.000723586	0.00168404	0.00109488	0.00139211	0.00131176	0.00193436	0.000345072
dont	0.0671964	0.0210256	0.0242591	0.0389073	0.0289035	0.0207036	0.0314644	0.0217412	0.0358919	0.0369654	0.0982679	0.0609676	0.055291	0.0862382	0.0367393	0.0432812	0.0690166	0.0449324	0.0347515	0.0175591	0.0155078	0.0140532	0.00890057	0.00730118	0.00294902	0.00297805	0.00480919	0.00187811	0.00154266	0.00239756	0.00191151	0.00117621	0.00190319	0.00316219	0.0024656	0.00328469	0.0028237	0.00709424	0.0043494	0.0095131	0.00849305	0.0082767	0.00726171	0.00186428
son	0.0299963	0.0347021	0.0220687	0.0102733	0.0199599	0.0130756	0.0391458	0.0266209	0.0248667	0.0197777	0.0408478	0.0229528	0.0417864	0.0317606	0.0327821	0.0356568	0.0455075	0.0343723	0.0204465	0.0263539	0.0178715	0.0270621	0.0368888	0.0500453	0.0312041	0.0221162	0.0258584	0.0112593	0.00780674	0.00571276	0.00522369	0.00370049	0.00801464	0.0157144	0.011393	0.0134836	0.0138525	0.0155456	0.013713	0.0198085	0.0266145	0.0146525	0.0249299	0.00457462
pied	0.0244698	0.0102942	0.00835921	0.0160542	0.02642	0.0360818	0.0316327	0.0318188	0.0459964	0.0201728	0.0841868	0.0234345	0.0348218	0.0352564	0.0311985	0.0312936	0.0313792	0.0227674	0.0270379	0.0333248	0.0235126	0.0228641	0.0213223	0.0277043	0.0176745	0.0181059	0.0257602	0.0121336	0.0139609	0.00885482	0.00768982	0.00628432	0.00696478	0.0134988	0.0120731	0.00659809	0.00578414	0.00714432	0.0166561	0.0176594	0.0309927	0.0253896	0.0336774	0.0116933
s'	0.0370909	0.012626	0.0152436	0.021585	0.0174571	0.0175579	0.0147986	0.0182824	0.0179407	0.00958057	0.0387103	0.0171724	0.0303972	0.0366389	0.0370354	0.0381297	0.0357055	0.0214671	0.0401317	0.0293017	0.0223568	0.0240466	0.0203468	0.0251095	0.0188394	0.0176002	0.0245623	0.00932661	0.00616952	0.0111681	0.00641531	0.00772381	0.00648129	0.00761111	0.0109573	0.0114294	0.00930439	0.0140165	0.0297513	0.0238417	0.0559421	0.0344688	0.0571606	0.0385178
est	0.0304379	0.00950382	0.0165017	0.0194274	0.0112028	0.00656925	0.0106828	0.00798956	0.00778824	0.00467282	0.0124005	0.00918146	0.0177544	0.0243991	0.0318328	0.0221322	0.02584	0.0191582	0.035606	0.0233046	0.0214589	0.0255606	0.0213461	0.0175488	0.0204765	0.0323104	0.0239849	0.0199915	0.0198709	0.0209718	0.0136927	0.0194343	0.0140112	0.0194088	0.0234145	0.0176997	0.0116542	0.0186929	0.0261842	0.0257811	0.056295	0.0379006	0.0648748	0.0810503
gonflé	0.0416136	0.0242245	0.0265685	0.020554	0.0147887	0.0134984	0.0168734	0.0155282	0.0112718	0.0123918	0.0109638	0.0116133	0.00973669	0.00804634	0.0106528	0.0104535	0.0228394	0.0177394	0.0218483	0.0208244	0.0164145	0.0129678	0.0107734	0.0130566	0.0135745	0.0254644	0.021271	0.0165212	0.0290884	0.0231008	0.0386219	0.0312658	0.0190235	0.0170693	0.0358479	0.0189536	0.0171807	0.0124348	0.0231269	0.0336012	0.04648	0.0384271	0.0569777	0.0867259
me	0.0154753	0.00986334	0.0070322	0.0067656	0.00579194	0.00747577	0.00783932	0.0057382	0.00411877	0.0055643	0.0104689	0.00901281	0.0104709	0.010328	0.013666	0.0238331	0.0421614	0.0457398	0.0350187	0.0216337	0.025418	0.0231442	0.0223256	0.022294	0.0162429	0.0187554	0.0107931	0.0123444	0.0115648	0.012053	0.0182002	0.0237317	0.0162023	0.0206999	0.0562275	0.042523	0.041285	0.0373522	0.050432	0.0362442	0.0540876	0.0515064	0.0523274	0.0262471
rend	0.0105808	0.0109814	0.0139499	0.00939893	0.00628288	0.0123174	0.010764	0.00825665	0.0046605	0.00797931	0.00795935	0.00952759	0.0118876	0.00971134	0.0131465	0.0172601	0.0325002	0.0476763	0.0345285	0.0464591	0.0506147	0.026601	0.0194813	0.012825	0.0110614	0.0154687	0.00766804	0.00960306	0.00705138	0.00846463	0.0139781	0.0197503	0.0220394	0.013779	0.0244256	0.0171878	0.0388752	0.0364682	0.0420232	0.0392399	0.0581929	0.0457219	0.0603437	0.0733075
triste	0.0207007	0.0222277	0.0227902	0.0221655	0.0158065	0.0165228	0.0160735	0.0183476	0.0125962	0.0157077	0.0101142	0.0133151	0.0138078	0.0087058	0.0110037	0.0126214	0.0223817	0.0274593	0.0235712	0.0306758	0.0281628	0.0153166	0.0115405	0.0139972	0.0129991	0.0184004	0.0109169	0.0124011	0.0128312	0.0120675	0.0193006	0.0217186	0.0226577	0.0198428	0.0242315	0.0192667	0.0317582	0.0359082	0.0325282	0.0422794	0.0540616	0.0432528	0.0599914	0.0679749
</S>	0.0187451	0.0245261	0.0287918	0.0197439	0.016481	0.0164171	0.0141285	0.00957742	0.0089967	0.00999947	0.00990647	0.0111174	0.00600645	0.00619738	0.00493223	0.00578454	0.00850442	0.0118716	0.00939197	0.00903113	0.00844707	0.0122376	0.0101015	0.0171005	0.0115451	0.0156269	0.00876305	0.00631402	0.00790582	0.00905651	0.0130595	0.0208378	0.0276293	0.0162928	0.0339217	0.0294154	0.0689429	0.0363716	0.0610829	0.0520444	0.0637848	0.0610503	0.0702872	0.0880307
