 	a23	a87	a23	a87	a23	a99	a53	a44	a70	a44	a4	a13	a53	a70	a54	a5	a96	a70	a50	a66	a38	a70	a44	a99	a4	a57	a4	a13	a9	a82	a97	a3	a97	a87	a23	a87	a23	a87	a23	a87	a23	a85	</S>
cet	0.0355117	0.0325211	0.0304189	0.0352645	0.0261142	0.0297543	0.0482737	0.0714835	0.0530135	0.0515062	0.0271398	0.0283687	0.0280428	0.0160469	0.0150211	0.0210784	0.0228676	0.0329338	0.0201398	0.0207672	0.0188239	0.0199542	0.0164174	0.00711138	0.016391	0.015405	0.0159679	0.0120766	0.00817783	0.0119205	0.0104169	0.010266	0.0121141	0.0132645	0.0234741	0.016618	0.0127681	0.014267	0.0139754	0.0179688	0.0180062	0.0149571	0.0333904
enfant	0.00635353	0.00535736	0.0182023	0.0261005	0.028699	0.0513733	0.0603844	0.0680589	0.0655267	0.0661008	0.0588716	0.119064	0.0686366	0.0499101	0.0720142	0.032253	0.0199156	0.0295343	0.0247069	0.0161376	0.0166434	0.0123788	0.0142199	0.0080321	0.00655208	0.00363273	0.0039048	0.0047023	0.00423196	0.00237602	0.00422071	0.00311856	0.00211449	0.00232573	0.00184353	0.00131923	0.00114775	0.0020847	0.00232139	0.00251213	0.00351738	0.00459984	0.00500052
est	0.042893	0.0434789	0.0465598	0.0421288	0.0455768	0.0481504	0.0433461	0.0471864	0.0392713	0.0532168	0.0208502	0.0370173	0.0345925	0.0242544	0.0151248	0.019576	0.0345635	0.0600444	0.0202705	0.015629	0.0140221	0.00932187	0.00938214	0.0121405	0.0119505	0.00717687	0.00899898	0.00894539	0.00820637	0.004087	0.00590967	0.00654014	0.00574261	0.00902573	0.00636057	0.0129061	0.0147166	0.0199331	0.0130205	0.0148215	0.0148162	0.0256126	0.022632
en	0.0173931	0.0133483	0.00764778	0.00455419	0.00665527	0.00329872	0.00345647	0.00466025	0.0072949	0.00575555	0.0225215	0.0549665	0.0663186	0.0926778	0.0489904	0.0720097	0.0564264	0.0788423	0.0476016	0.043043	0.0234719	0.0181374	0.0293796	0.0389829	0.0191613	0.012596	0.00859858	0.00529791	0.0062408	0.00440201	0.00462791	0.00513349	0.00666339	0.0088732	0.0103185	0.00800072	0.0131093	0.0110924	0.0125256	0.0168744	0.0166377	0.0220565	0.0403563
train	0.0220313	0.026777	0.0229269	0.0161077	0.0249351	0.0162057	0.0165025	0.0108331	0.00700065	0.00649442	0.00572225	0.0108545	0.00967804	0.0156576	0.0249667	0.0246312	0.0549767	0.0597648	0.0861696	0.0807843	0.0543792	0.0328895	0.0349145	0.0161554	0.0164631	0.0138231	0.00752539	0.0136201	0.0124599	0.00936229	0.00668399	0.00788752	0.0130995	0.0118631	0.0170197	0.0198745	0.0248793	0.0291073	0.0249019	0.0233298	0.02744	0.0198834	0.0194173
d'	0.0202374	0.0106504	0.00606893	0.00427808	0.0040445	0.00427596	0.00485414	0.0064231	0.009464	0.0132611	0.0150505	0.0231679	0.0188741	0.0155244	0.0130737	0.0135739	0.0171726	0.0207596	0.0166882	0.0172217	0.025327	0.0309814	0.0276383	0.0271002	0.0149437	0.0182974	0.0255731	0.0165812	0.0181207	0.0287419	0.0191609	0.00871019	0.0201661	0.0128311	0.0208619	0.019372	0.0479941	0.0444158	0.0662485	0.0746874	0.0618896	0.0619455	0.0537476
apprendre	0.0160639	0.0126614	0.0122135	0.0123252	0.0193198	0.0163711	0.0203864	0.0230489	0.0335924	0.0542691	0.0382293	0.0425864	0.0573901	0.0513179	0.0660844	0.0762726	0.0922547	0.0700738	0.0571321	0.0533668	0.0372281	0.025026	0.0159257	0.020644	0.0105798	0.00859479	0.0069135	0.00356543	0.00381546	0.00420808	0.00397397	0.00127666	0.00135007	0.00143026	0.00109404	0.00125846	0.00214852	0.00342165	0.00287233	0.00372276	0.00471352	0.00560244	0.00567479
à	0.0364321	0.0288766	0.0260081	0.0233167	0.0287383	0.0245593	0.0211609	0.0218169	0.0223522	0.0456004	0.0170614	0.0384255	0.0290247	0.0319435	0.0240337	0.0458659	0.100424	0.0690236	0.0333588	0.0245709	0.0289527	0.020224	0.0198983	0.0224997	0.0134077	0.00858166	0.00786813	0.00815678	0.00912183	0.00560883	0.00754478	0.00459517	0.00535298	0.00425381	0.00424769	0.00874484	0.00997544	0.0119421	0.0138083	0.0149442	0.0174594	0.0284708	0.031747
fabriquer	0.0283082	0.0164808	0.0147248	0.0106852	0.0184918	0.0125041	0.00985289	0.00772322	0.00939696	0.0184048	0.0108542	0.0253261	0.0233749	0.0240872	0.0291522	0.0491254	0.048123	0.0393062	0.0462574	0.0425254	0.0345932	0.0435529	0.0250378	0.0232449	0.0139358	0.0122631	0.00728691	0.00949086	0.00447306	0.00908576	0.00764011	0.00609209	0.0130496	0.0109708	0.0114582	0.0187693	0.0196223	0.0295824	0.0284918	0.0309127	0.0398317	0.0570924	0.0588177
la	0.0324779	0.0150551	0.00917739	0.00603284	0.00805693	0.00625083	0.00522366	0.0041859	0.00508594	0.00689537	0.00773282	0.0125993	0.010607	0.0116395	0.00981628	0.0141467	0.0139476	0.0133577	0.0136367	0.0120064	0.0104603	0.0249447	0.0191457	0.0237226	0.0110502	0.0126134	0.0105019	0.0120941	0.00603954	0.0175488	0.0123149	0.010727	0.0282691	0.0271632	0.0267484	0.0340155	0.0411888	0.0656101	0.0533931	0.0610514	0.0759593	0.0889446	0.108561
