 	a82	a10	a87	a62	a47	a61	a21	a96	a75	a56	a4	a98	a15	a44	a84	a53	a90	a15	a94	a76	a90	a58	a98	a6	a37	a75	a5	a18	a11	a90	a57	a40	a7	a26	a82	a87	a23	a87	a23	a87	a23	a87	a97	a87	</S>
ebhyondo	0.0958407	0.0830426	0.0776731	0.0379376	0.0328376	0.0344598	0.0193162	0.0238279	0.0248811	0.0150548	0.0158537	0.00723262	0.00975835	0.00713373	0.0216686	0.0296633	0.0224643	0.0270947	0.0270408	0.0297932	0.0201076	0.0142797	0.0161732	0.028284	0.021357	0.0218487	0.0152203	0.0226291	0.0196751	0.00905553	0.00689657	0.00639883	0.00544456	0.00616581	0.00973431	0.00698194	0.00955099	0.00899742	0.0104528	0.00835869	0.0116321	0.0154964	0.018649	0.0154913	0.0285445
est	0.0076069	0.0154343	0.0176058	0.0119079	0.0170592	0.0088399	0.00625227	0.00476744	0.0127084	0.023259	0.0297754	0.0460092	0.0496703	0.0413977	0.113843	0.0578764	0.0727648	0.0365435	0.0329226	0.0256263	0.0202266	0.0182902	0.0235494	0.0321589	0.0322772	0.0239893	0.0200732	0.017051	0.0154665	0.0156528	0.0208566	0.0297108	0.0136345	0.00985235	0.011859	0.00585397	0.00352408	0.00402832	0.00293878	0.00384648	0.00467614	0.00588119	0.00618075	0.00811768	0.0184341
un	0.0347274	0.0147904	0.0178993	0.0218221	0.0133771	0.0101077	0.0100997	0.0084367	0.0138147	0.0127592	0.0166535	0.0282976	0.0287009	0.0386644	0.0390395	0.0314324	0.0423222	0.0256217	0.0220559	0.0186615	0.0172469	0.0068504	0.00542343	0.0067725	0.00604702	0.00582792	0.00544468	0.0109202	0.0121164	0.00942968	0.007794	0.0158005	0.0175874	0.0231294	0.0211528	0.0198053	0.0134569	0.0407839	0.0223938	0.0524837	0.0507984	0.0452153	0.0524376	0.0339452	0.0478525
bois	0.0443279	0.0194305	0.0125582	0.025949	0.0163905	0.0106314	0.0112656	0.0131615	0.0230473	0.00908057	0.0252224	0.0337282	0.0335039	0.0264111	0.0297924	0.0317464	0.032599	0.0339892	0.0290685	0.0388952	0.0462215	0.0305967	0.0172357	0.0150362	0.0132468	0.0100623	0.0147246	0.0223936	0.028189	0.0208449	0.0161877	0.0103762	0.00865381	0.0116538	0.0147043	0.0247624	0.0144742	0.0383368	0.0210954	0.024652	0.0265814	0.0166014	0.0261006	0.0132628	0.0132072
qu'	0.0349814	0.0299437	0.0348887	0.0270454	0.0171787	0.0284324	0.0327601	0.0306268	0.035512	0.0269603	0.0288955	0.0291882	0.0361861	0.0292066	0.0291244	0.0347706	0.0268578	0.037947	0.0238263	0.0209745	0.0361958	0.0365852	0.0222794	0.0345021	0.0406801	0.0285572	0.0274899	0.0307259	0.0455331	0.0156497	0.0103827	0.00673302	0.00335398	0.00502225	0.00478853	0.00335905	0.00229674	0.00231877	0.00223199	0.00204547	0.00626715	0.00816448	0.0106802	0.00672084	0.0121301
on	0.101366	0.0406596	0.0339378	0.0289359	0.0276131	0.0324457	0.0139552	0.0184319	0.0184957	0.0176792	0.0123591	0.0193616	0.0323498	0.035781	0.0303324	0.0935246	0.03774	0.0657032	0.0560292	0.0148368	0.00637759	0.00588539	0.00989555	0.00680824	0.0155939	0.00777878	0.0063594	0.00665082	0.00896364	0.00661054	0.00499571	0.00745154	0.0110114	0.0150998	0.0129862	0.00914153	0.0111303	0.0110854	0.0151479	0.0089477	0.0124821	0.0138258	0.0136599	0.0152885	0.0252847
utilise	0.0117224	0.0100907	0.00987933	0.00745537	0.00600737	0.005439	0.00436584	0.00551366	0.00828469	0.016195	0.0179727	0.0228186	0.0430709	0.032874	0.0425709	0.0488037	0.0405394	0.0884928	0.0769525	0.068392	0.0761322	0.0613666	0.0264646	0.0363812	0.0528087	0.0280221	0.0214342	0.0261605	0.0369908	0.0124494	0.00618728	0.00428575	0.00330696	0.00358322	0.00473316	0.00269312	0.00291	0.002516	0.00318928	0.00214858	0.00309958	0.00330917	0.00302568	0.0035702	0.0057908
pour	0.0280461	0.0209129	0.0215751	0.00994807	0.00849214	0.00624765	0.00341546	0.00381519	0.00558558	0.0128867	0.013591	0.0205613	0.0245956	0.0213963	0.0501871	0.0407268	0.0538862	0.0847852	0.0801703	0.0825366	0.0685254	0.0312299	0.0189308	0.0243535	0.0219787	0.0150939	0.0133798	0.0154083	0.0181471	0.0115933	0.0116324	0.0104484	0.00660055	0.00952779	0.0109237	0.00554807	0.0079768	0.00753403	0.00917625	0.00846307	0.0112887	0.0129766	0.0112102	0.0177309	0.0269604
la	0.0271922	0.015543	0.0128784	0.00972074	0.00793839	0.00547425	0.00363345	0.00466493	0.00727493	0.00958725	0.0126564	0.0196672	0.0186826	0.0153127	0.0308253	0.0260104	0.0245062	0.0281773	0.0291454	0.0382069	0.0356413	0.0179636	0.0130706	0.0186592	0.0149261	0.0128101	0.0105562	0.0150993	0.0186161	0.0160482	0.0115565	0.0219363	0.0181766	0.0210109	0.0243342	0.0133916	0.0192	0.0194782	0.0278433	0.0334051	0.0312693	0.043777	0.0477386	0.071601	0.0747927
fabrication	0.0257442	0.0180189	0.0147687	0.0151217	0.0075182	0.00965854	0.00316889	0.00652773	0.00957867	0.0114092	0.0141294	0.017681	0.0171069	0.0220607	0.0301825	0.0324172	0.0267734	0.0396355	0.0324669	0.048189	0.0477008	0.0314119	0.0192487	0.0306609	0.0255787	0.0178525	0.0173506	0.0191986	0.0264701	0.0204316	0.0169243	0.0203595	0.0113823	0.0177949	0.0166162	0.00949504	0.0105318	0.0083041	0.0100001	0.0112593	0.0225254	0.0277297	0.0300808	0.0498587	0.0790764
du	0.046867	0.0137222	0.00687171	0.00799529	0.00382251	0.00472674	0.00201702	0.00402497	0.00692284	0.00705855	0.00861732	0.0096658	0.014273	0.0152949	0.0262957	0.0393161	0.0321326	0.0467023	0.0296331	0.0221209	0.013179	0.0105662	0.0163186	0.0230532	0.0282974	0.0277278	0.0357838	0.0351266	0.0450091	0.0433618	0.0271584	0.0211712	0.0252534	0.0318293	0.0131348	0.00982304	0.00745204	0.00938861	0.0152836	0.0141121	0.0317419	0.0414613	0.064754	0.0349952	0.025937
manche	0.0479882	0.01375	0.00693095	0.00681546	0.00310817	0.00630429	0.00281312	0.00458734	0.00724277	0.00430992	0.00380662	0.00564714	0.00492785	0.00899846	0.00998384	0.0215102	0.0154331	0.0310954	0.0189241	0.0135221	0.00972689	0.0092846	0.0233006	0.0386531	0.0444019	0.0403871	0.0523161	0.0507899	0.0809924	0.0615122	0.0272181	0.0210108	0.0135293	0.0182786	0.00850769	0.00626307	0.0074774	0.00660904	0.015903	0.013816	0.0400579	0.0419459	0.0601556	0.0398021	0.0303614
