 	a66	a87	a23	a87	a23	a87	a23	a87	a23	a18	a24	a31	a88	a62	a47	a34	a56	a75	a92	a37	a47	a88	a75	a85	a6	a36	a2	a57	a87	a23	a9	a57	</S>
j'	0.061314	0.0504096	0.0302669	0.0239135	0.0183335	0.0136241	0.0146264	0.0137811	0.0131289	0.0114975	0.00891749	0.0081191	0.00910548	0.00751163	0.00769962	0.00728967	0.010287	0.0134044	0.0102546	0.011241	0.00902617	0.0146215	0.0624159	0.0248361	0.0622448	0.0701758	0.0270431	0.0438035	0.0817124	0.0560864	0.0790687	0.0381819	0.0860581
ai	0.0311801	0.0189272	0.0333735	0.0343581	0.0439671	0.0394755	0.0441636	0.0435054	0.0356191	0.0278543	0.0236967	0.0211255	0.0256633	0.0205586	0.0186927	0.0166955	0.0303024	0.0398306	0.066912	0.0384597	0.0399495	0.0386118	0.0277019	0.0325077	0.0231337	0.0155362	0.0242503	0.0281226	0.0249445	0.027022	0.0193745	0.0255086	0.0189756
capturé	0.0131804	0.0111556	0.0171778	0.0178707	0.015653	0.0177158	0.0386725	0.0348792	0.0274193	0.0297049	0.0354116	0.0322115	0.0349042	0.0222099	0.0188046	0.0183226	0.0208645	0.0410415	0.0854813	0.0368263	0.0207941	0.0262925	0.0272046	0.0273346	0.0304788	0.0337623	0.0325872	0.0466532	0.0329583	0.0507464	0.0307806	0.0369689	0.0339316
une	0.122914	0.0542828	0.0445219	0.0479471	0.0417712	0.0162385	0.0155242	0.0117307	0.0135137	0.0120625	0.0130186	0.00776528	0.0114212	0.00430691	0.0131663	0.00984297	0.0158468	0.0535984	0.0783676	0.0637106	0.0489487	0.035473	0.0185402	0.0336234	0.013051	0.0137601	0.0122564	0.0291971	0.0230239	0.0246653	0.0247541	0.0215592	0.0495967
rainette	0.0371201	0.0246055	0.019245	0.0222557	0.02396	0.0166987	0.0121236	0.0106917	0.0150127	0.0163319	0.0186999	0.0431031	0.0732403	0.0572879	0.0248124	0.0291433	0.0328626	0.0251473	0.042998	0.0326608	0.015584	0.0365292	0.0273006	0.0364517	0.061339	0.0479348	0.0258387	0.036631	0.0320873	0.0356244	0.0274364	0.0230547	0.0161877
pendant	0.108378	0.0950826	0.0606476	0.0434029	0.0246342	0.0100348	0.0118805	0.00737989	0.0087673	0.00452504	0.00608126	0.00903576	0.0118744	0.00673751	0.00496275	0.00817394	0.00908505	0.00503151	0.00787191	0.00992814	0.0210432	0.0502524	0.042976	0.0846496	0.0650482	0.0451118	0.0589179	0.0362271	0.033147	0.0329925	0.0297502	0.0269537	0.0194154
la	0.107411	0.0700922	0.0623713	0.0343445	0.0282268	0.00913778	0.0142036	0.0109273	0.0137858	0.0121908	0.0114412	0.00602931	0.00667937	0.00323094	0.00193827	0.00214871	0.00389713	0.00566042	0.0067577	0.0246778	0.0513988	0.05902	0.0653941	0.0646963	0.0831083	0.0489076	0.0397519	0.0406625	0.0249211	0.0256023	0.0234756	0.0262302	0.0116792
pêche	0.0424831	0.026927	0.017872	0.0160597	0.0163956	0.0120578	0.0164066	0.0108852	0.0135719	0.0124179	0.00863632	0.0131177	0.0124224	0.0066274	0.0064523	0.0105227	0.00973524	0.0088327	0.0133336	0.0229251	0.04472	0.0734393	0.0513042	0.0628682	0.0963479	0.0784541	0.0480845	0.0497934	0.0465194	0.0446336	0.040469	0.0363444	0.0293396
à	0.0597981	0.0282595	0.0155613	0.0110827	0.00451008	0.00184983	0.0032177	0.00209397	0.00184237	0.00108205	0.00165366	0.00197745	0.00219646	0.000766185	0.00060008	0.000850228	0.000899934	0.00102572	0.00132888	0.0045288	0.0119723	0.0188914	0.0288735	0.0324924	0.0276147	0.0339588	0.0404301	0.0902522	0.0941567	0.111716	0.127094	0.143366	0.0940575
l'	0.0262069	0.0154951	0.00965225	0.00787815	0.00543775	0.00256619	0.00304538	0.00273246	0.00229172	0.00215428	0.00218311	0.00180038	0.0029571	0.000811164	0.000613715	0.000680032	0.00061008	0.00157911	0.00256368	0.0136079	0.0277322	0.0332618	0.0452579	0.0487334	0.0456509	0.0561187	0.0540651	0.124693	0.100613	0.102754	0.100504	0.113849	0.041901
écopée	0.017967	0.00934803	0.0077164	0.00654721	0.00383886	0.00232869	0.00312993	0.00241748	0.0021592	0.00255398	0.00240021	0.00282597	0.00303003	0.00128546	0.00128612	0.00154274	0.00112675	0.00218866	0.00287003	0.007956	0.023878	0.0281326	0.0394537	0.043464	0.0566684	0.0644275	0.0495044	0.129819	0.104856	0.122258	0.103513	0.105731	0.0437766
</S>	0.0347364	0.0126778	0.00760582	0.00417772	0.0022312	0.00142841	0.00127635	0.00111981	0.00125968	0.0021552	0.00201905	0.00435837	0.00369304	0.0020229	0.00190365	0.00265779	0.00198302	0.00351387	0.00449923	0.00816694	0.0102503	0.0166608	0.0313415	0.029153	0.0595238	0.0593828	0.0434588	0.114812	0.116804	0.139846	0.113264	0.104446	0.0575706
