 	a66	a87	a23	a87	a23	a87	a23	a70	a93	a90	a98	a6	a92	a12	a62	a88	a38	a70	a66	a13	a99	a97	a87	a23	a99	a62	a75	a79	a90	a98	a79	a44	a26	a44	a93	a25	a69	a4	a57	a82	a87	a23	a97	a87	a23	a99	</S>
cet	0.0202172	0.0312629	0.029777	0.0311671	0.0372085	0.05023	0.0722068	0.0494729	0.0545964	0.0507061	0.0531107	0.0335602	0.0295379	0.0278033	0.0192743	0.0139698	0.0131349	0.0208179	0.0136195	0.0136333	0.0211205	0.0212378	0.0227463	0.0236229	0.0185997	0.019726	0.0322665	0.0218942	0.0128394	0.0143649	0.0127214	0.00892747	0.00313143	0.00510393	0.00999938	0.00541981	0.00767325	0.0084001	0.00676668	0.00752937	0.00664708	0.00758441	0.00841893	0.00445389	0.00455958	0.00421046	0.0147279
homme	0.00441773	0.0042183	0.00765768	0.0224849	0.049082	0.0439601	0.065759	0.0654213	0.0754625	0.062946	0.0859865	0.0688581	0.0627867	0.0344653	0.021498	0.00916949	0.0151227	0.0125099	0.0155047	0.0117021	0.0163047	0.0130923	0.00664246	0.0111101	0.00805035	0.0113991	0.0121313	0.026163	0.0285153	0.0317189	0.015243	0.0204958	0.00648208	0.00575463	0.00532741	0.00503595	0.00161244	0.0023945	0.00134514	0.00136474	0.000911467	0.00216682	0.00300232	0.00179157	0.00493766	0.00411603	0.0138779
est	0.0214065	0.0207032	0.0287412	0.0340624	0.0275912	0.0369066	0.0256995	0.028528	0.0164098	0.0408618	0.0244432	0.0173562	0.036274	0.023003	0.0217459	0.0314331	0.0438851	0.0310885	0.0192719	0.0204248	0.0204648	0.00510117	0.0068609	0.005926	0.00379245	0.00583318	0.00475095	0.00496899	0.00408369	0.00414518	0.00390494	0.00489384	0.00563489	0.010926	0.00769689	0.0173673	0.0203387	0.0218185	0.0387735	0.0301699	0.0307503	0.0310445	0.049271	0.0313242	0.0198025	0.0243175	0.0362023
un	0.025474	0.01469	0.0104992	0.0070602	0.00526128	0.00850978	0.00620228	0.00408558	0.00624566	0.00671907	0.0183053	0.0227936	0.0536802	0.0248553	0.0591217	0.0638038	0.0716912	0.064185	0.0326086	0.0467056	0.0561753	0.0426349	0.0444203	0.031537	0.0202529	0.0260336	0.0278839	0.0204105	0.0221083	0.0211313	0.0190057	0.017552	0.0199664	0.0110253	0.00717332	0.00283077	0.00306417	0.00420785	0.00320155	0.00151654	0.00431108	0.00575795	0.00594341	0.0051789	0.00655166	0.00358223	0.0140456
sorcier	0.0267769	0.0242861	0.0170207	0.0200636	0.0213158	0.0247869	0.0313774	0.0192084	0.0238983	0.0197516	0.0210725	0.0435057	0.0274423	0.0347419	0.0414749	0.0444525	0.0282544	0.0439891	0.042371	0.0498471	0.0570968	0.0498445	0.0639842	0.0433889	0.0329394	0.026965	0.030862	0.0197849	0.0141992	0.0109548	0.00713312	0.006129	0.0053739	0.00259121	0.00175823	0.00110577	0.00091704	0.000970558	0.000847494	0.000712476	0.0013906	0.00147051	0.00174048	0.0023137	0.00209152	0.00273761	0.00505992
c'	0.018031	0.0112292	0.014068	0.0166747	0.00823653	0.0172786	0.0209323	0.0185707	0.0216909	0.0294609	0.0562346	0.0861502	0.0683706	0.0690181	0.0686568	0.0747291	0.0360758	0.0290843	0.0402801	0.044688	0.027193	0.0330153	0.0340988	0.0219901	0.0167472	0.0125238	0.00882869	0.0039907	0.00289993	0.00308165	0.00348986	0.00293733	0.00313975	0.00437189	0.00307135	0.00171025	0.00574243	0.0045748	0.0033465	0.00217746	0.00285179	0.0037299	0.00675382	0.00561064	0.00777485	0.00603734	0.0188504
est	0.0426776	0.0261247	0.0369671	0.0280139	0.0181942	0.0223103	0.0213696	0.0164965	0.0198347	0.0459286	0.05145	0.0254832	0.0353589	0.0299135	0.0272981	0.0264437	0.0200868	0.0186516	0.0159201	0.0167996	0.0106049	0.0159181	0.0197026	0.0154962	0.0258931	0.0135617	0.0242526	0.0185784	0.0168695	0.0191238	0.0183668	0.00991046	0.00784337	0.0196416	0.0226973	0.0175671	0.0206544	0.0210137	0.0171624	0.012071	0.0110875	0.0117752	0.0222661	0.0136296	0.01445	0.0112245	0.0233154
pourquoi	0.0146569	0.0124416	0.0130909	0.0122111	0.0072825	0.012082	0.0131859	0.0105121	0.0114014	0.0110581	0.0138608	0.0131158	0.0157179	0.0116779	0.0176051	0.0192727	0.0280015	0.0345957	0.029044	0.0381501	0.0292314	0.0315401	0.0468249	0.0340405	0.0436125	0.0312888	0.0315958	0.0330335	0.0195914	0.0180073	0.0251008	0.0155909	0.0218094	0.0214776	0.0171522	0.00888395	0.0116655	0.00988476	0.00956215	0.00569547	0.0184021	0.0226497	0.0257388	0.0307367	0.0280409	0.0283123	0.0415664
on	0.0216529	0.0147426	0.016203	0.0088779	0.00369387	0.00671454	0.0055108	0.00638091	0.00617203	0.0100412	0.0116732	0.0121898	0.0120011	0.00961975	0.010806	0.0134483	0.0131505	0.0120544	0.0143879	0.0230392	0.0153619	0.0211165	0.0286466	0.0143252	0.0372959	0.0159848	0.0209702	0.0111495	0.0125943	0.0169303	0.0207146	0.0179024	0.0205185	0.0310543	0.0234785	0.0202534	0.0321266	0.0314454	0.0273087	0.0252195	0.0416596	0.0454459	0.0479192	0.0442716	0.0418467	0.0306047	0.0714955
l'	0.0245661	0.0256248	0.0269272	0.0245488	0.0175029	0.0223509	0.0189462	0.0200018	0.0189526	0.0196253	0.0263186	0.0215154	0.0293715	0.0167723	0.0154774	0.0144012	0.0192951	0.0219534	0.0316289	0.0320957	0.0242473	0.025465	0.0241995	0.021264	0.030804	0.0227385	0.0288489	0.0229576	0.0200023	0.023643	0.0279883	0.0172452	0.0192964	0.0250258	0.0199766	0.00915237	0.00871495	0.0102051	0.00747675	0.00545921	0.0155616	0.0199152	0.021791	0.0172861	0.0225513	0.022434	0.0378739
a	0.0280799	0.0347089	0.033736	0.0425156	0.0440587	0.0465096	0.0343719	0.0326291	0.0237155	0.0172401	0.0209816	0.0179554	0.021213	0.0137487	0.0127385	0.0169852	0.0234407	0.0224067	0.0362853	0.0368968	0.0276104	0.0253312	0.023519	0.0189339	0.0239353	0.0206962	0.0249771	0.0204306	0.0200041	0.020786	0.0203331	0.0113704	0.0187267	0.016895	0.0128909	0.0102394	0.00782445	0.00818791	0.00645825	0.00550093	0.00833823	0.0122498	0.00968702	0.0127628	0.0151173	0.0129254	0.0240512
chassé	0.0257928	0.0278402	0.0298183	0.0326763	0.0287149	0.0367882	0.0279205	0.0248343	0.0194799	0.018004	0.0192508	0.0217787	0.02038	0.0139315	0.0102309	0.011566	0.0113132	0.00988185	0.0169597	0.0181065	0.0115477	0.0133139	0.0133352	0.0123151	0.0218462	0.0138198	0.0193082	0.0160889	0.0141526	0.022703	0.0244727	0.021468	0.0152747	0.0215983	0.0239998	0.0115333	0.02068	0.0170528	0.0135236	0.010589	0.0157319	0.0196824	0.0240386	0.0181545	0.029484	0.0251718	0.103845
du	0.0431474	0.0281135	0.022695	0.0187829	0.0199219	0.0200545	0.0170454	0.0133955	0.0128808	0.0202361	0.0105911	0.0114835	0.0123062	0.0120427	0.00981983	0.0149957	0.0169952	0.0112852	0.0152665	0.0208436	0.012988	0.0144971	0.0210639	0.0211001	0.0271282	0.0245495	0.0221807	0.019287	0.0220528	0.021927	0.0208281	0.0206684	0.0238682	0.0356371	0.0339512	0.0246655	0.029402	0.0245116	0.0229498	0.0149129	0.0228891	0.0271725	0.022245	0.0307768	0.0243755	0.0289715	0.0334981
village	0.019181	0.0147169	0.0128123	0.0108313	0.0130112	0.0138182	0.0123635	0.0113653	0.0106947	0.0127849	0.0180331	0.0163683	0.0140668	0.0158303	0.0103797	0.012027	0.00581672	0.00560229	0.00813177	0.0113547	0.00765969	0.0149539	0.0172682	0.0116871	0.0244119	0.0216911	0.0220894	0.0172764	0.0158063	0.0182252	0.0200474	0.0156569	0.0243118	0.0284176	0.0180586	0.0259388	0.0439275	0.0398092	0.0463378	0.0333079	0.0464444	0.0482132	0.0468915	0.0415516	0.030468	0.0363619	0.0339969
</S>	0.027746	0.0287701	0.0253532	0.0219996	0.017372	0.0176465	0.0163841	0.01027	0.00781883	0.0092351	0.00930886	0.00680835	0.00620356	0.0072018	0.00467968	0.00427826	0.00322657	0.00361429	0.0037267	0.00399359	0.00348375	0.00526773	0.007112	0.00799704	0.0216393	0.0136001	0.0221142	0.0196045	0.0114228	0.0174093	0.0224737	0.0215815	0.0207949	0.0323348	0.0310217	0.0380656	0.0485079	0.045541	0.0423628	0.0362337	0.0435825	0.0369929	0.0345426	0.0418679	0.0374033	0.0477274	0.0536781
