 	a66	a87	a23	a87	a97	a87	a97	a79	a69	a53	a15	a92	a21	a47	a62	a47	a21	a85	a5	a12	a93	a4	a57	a53	a4	a53	a4	a57	a40	a6	a5	a18	a31	a21	a12	a96	a5	a96	a90	a5	a44	a13	a83	a62	a88	a70	a4	a13	a9	a3	a97	a87	a97	a87	a97	</S>
le	0.0105736	0.0209022	0.0152655	0.0153733	0.0178157	0.0126664	0.0096215	0.0106085	0.0121983	0.0278706	0.0206662	0.0199258	0.0393133	0.0434675	0.134631	0.0686329	0.051464	0.0392199	0.0417213	0.0220245	0.0127763	0.0113843	0.0147268	0.0101546	0.0084385	0.00795955	0.00949125	0.00756156	0.0129959	0.00922751	0.00994509	0.00950094	0.00747578	0.00503551	0.0116838	0.00471962	0.00370932	0.00415566	0.0030042	0.00419755	0.0066543	0.0107673	0.00848659	0.00816027	0.00563301	0.00544441	0.00853456	0.0151762	0.01467	0.0150215	0.0139976	0.0180632	0.016031	0.0139768	0.0158574	0.0214195
récolteur	0.00703428	0.0153726	0.0110165	0.0115423	0.0153479	0.0104225	0.0171044	0.0217724	0.0313664	0.032572	0.147888	0.182054	0.156787	0.0507085	0.00859938	0.00174377	0.00459451	0.00168773	0.00183764	0.00307803	0.00250456	0.00632506	0.00381808	0.00592368	0.00550745	0.00401597	0.00501573	0.00636629	0.00847187	0.00217507	0.00228189	0.0052876	0.0144007	0.0189125	0.0187743	0.0279526	0.0377274	0.0232337	0.0112467	0.0072626	0.0146047	0.00994311	0.00612719	0.00389808	0.00210064	0.00218746	0.00171878	0.00294777	0.000337673	0.00106547	0.000612643	0.000985819	0.00130144	0.000379949	0.000947086	0.00110912
de	0.0382543	0.0414429	0.0395789	0.0360567	0.0330974	0.0196139	0.024502	0.0341799	0.0103803	0.0143664	0.048785	0.19173	0.1396	0.0712772	0.0155738	0.00773033	0.0111788	0.00834084	0.00737169	0.00841285	0.00692053	0.00457005	0.00305984	0.00455398	0.00528521	0.00559089	0.00346491	0.00285465	0.00246252	0.00308103	0.000819613	0.00169646	0.00373931	0.00161278	0.00278003	0.00478748	0.00353934	0.00347509	0.00185655	0.00617885	0.0151648	0.0101934	0.0135131	0.00882665	0.009291	0.0136652	0.00825666	0.0145011	0.00521638	0.00748535	0.00403597	0.0044201	0.0043656	0.00246237	0.00305809	0.00174187
vin	0.0202816	0.00967483	0.00719315	0.012399	0.0088067	0.0109574	0.0128808	0.0221879	0.0183152	0.0220842	0.0423161	0.111528	0.073829	0.0695343	0.0380344	0.0274013	0.0171451	0.0131654	0.0274793	0.0204467	0.0255079	0.0297099	0.0322337	0.0215195	0.0148517	0.0198792	0.0170213	0.0132267	0.0157068	0.0124047	0.014074	0.0107794	0.00849355	0.00791835	0.0108542	0.00703232	0.00577496	0.00427513	0.00423971	0.00565263	0.00606413	0.00345815	0.00584608	0.00397468	0.0029288	0.00436023	0.0029009	0.0047878	0.00731495	0.00633905	0.00889098	0.0132231	0.0118262	0.0172363	0.0176384	0.0163945
qui	0.0402791	0.00914066	0.0108608	0.00960705	0.00878663	0.00751645	0.00640278	0.00837805	0.00770022	0.00645053	0.00835356	0.00921789	0.00976345	0.0144357	0.0214898	0.024839	0.0219663	0.0298292	0.0107863	0.0166792	0.0207691	0.0127289	0.0142724	0.0176872	0.0214247	0.0274853	0.0184225	0.0286739	0.0242124	0.0262954	0.0274228	0.0322526	0.0180392	0.018614	0.0147954	0.0172745	0.0103811	0.0110512	0.0101188	0.0116591	0.00548721	0.00919322	0.0097191	0.00762331	0.0114061	0.0112249	0.00364798	0.0177215	0.0174776	0.0210737	0.027482	0.0310889	0.0301188	0.0399825	0.0496984	0.0409914
venait	0.0164177	0.00712453	0.00561203	0.00706654	0.00576604	0.00499796	0.00541402	0.00541599	0.00695949	0.00683474	0.00759795	0.0079467	0.00419526	0.00449727	0.00415609	0.0124125	0.0300474	0.0265006	0.0377643	0.0594225	0.0647208	0.0571849	0.0600203	0.0522607	0.0624442	0.0563083	0.0385918	0.0485642	0.0440982	0.0288605	0.0268009	0.0187647	0.0145317	0.0107831	0.013229	0.00660762	0.00544763	0.00419466	0.00318118	0.00926206	0.00499661	0.00488441	0.00682345	0.00500041	0.00478332	0.00584357	0.00255383	0.00555229	0.00619092	0.00698844	0.00624551	0.00844878	0.00566739	0.0072004	0.0105487	0.0162659
dans	0.0105518	0.00331699	0.0017674	0.00200161	0.00133384	0.00120302	0.00164143	0.00212225	0.00355554	0.00362589	0.00294467	0.00189041	0.00176318	0.00328128	0.00514781	0.0136747	0.0177864	0.0327479	0.0229498	0.0373084	0.0438678	0.0307593	0.0556634	0.0669545	0.0649627	0.0532809	0.0418297	0.0460009	0.0498238	0.0257514	0.0350033	0.0509706	0.0297686	0.0310998	0.0286817	0.0174809	0.0120127	0.00787042	0.00446637	0.00725286	0.00613314	0.00632357	0.0105895	0.00599335	0.00510386	0.0056082	0.00355568	0.00808915	0.00771065	0.0064784	0.00759506	0.00730702	0.00617592	0.00651548	0.01202	0.0206849
ce	0.0178624	0.00539209	0.00299171	0.00216195	0.00222547	0.00176844	0.00250618	0.00415874	0.00575163	0.00556421	0.003458	0.00204931	0.00201125	0.00220966	0.00543445	0.00970869	0.0100774	0.0221972	0.0212334	0.0329241	0.0564397	0.0428585	0.0564541	0.0513774	0.0436839	0.0543645	0.0419156	0.0312679	0.0253948	0.0228734	0.0219535	0.0241186	0.0132278	0.0108681	0.0183347	0.0101616	0.00810366	0.00829941	0.00682954	0.0103971	0.0133384	0.0129159	0.0166625	0.00644756	0.00538641	0.00958606	0.00982579	0.0238736	0.0283725	0.023739	0.027536	0.0199765	0.0162485	0.0166922	0.0316919	0.0170974
chemin	0.00606163	0.00686752	0.00388627	0.00443836	0.00411539	0.00280903	0.00351502	0.00461067	0.00546602	0.00495196	0.00633749	0.00566476	0.00718798	0.00611188	0.013091	0.00945928	0.011228	0.0132757	0.0139346	0.017447	0.0166112	0.019103	0.0316056	0.0370008	0.0302626	0.0371606	0.0269459	0.0357214	0.0209932	0.0319114	0.0174812	0.0294274	0.0207211	0.0145787	0.0214661	0.0141462	0.0137491	0.0144535	0.013799	0.020222	0.0187953	0.0144266	0.022684	0.0109891	0.0100794	0.011695	0.00826954	0.0226414	0.0282709	0.0296025	0.0387983	0.0388205	0.036734	0.0356437	0.0346473	0.0200832
a	0.00990791	0.00791626	0.0050679	0.00572333	0.0052022	0.00383203	0.004385	0.0069515	0.0101491	0.0092556	0.00977961	0.00882318	0.00975474	0.00768607	0.0120069	0.00659712	0.00911948	0.0187137	0.019198	0.0384002	0.0439959	0.0318367	0.0494627	0.0659818	0.0360055	0.0457893	0.0332511	0.0295278	0.0250758	0.0304946	0.0296713	0.061197	0.0201538	0.0343643	0.027686	0.0273658	0.0285354	0.0175304	0.0122418	0.0142723	0.0118433	0.00742575	0.00973006	0.00492544	0.00272333	0.0032754	0.00468162	0.00494626	0.00991253	0.00585216	0.00755841	0.00683193	0.00777723	0.00768751	0.0157695	0.0161506
bifurqué	0.00975755	0.0113442	0.00710613	0.0112425	0.00908195	0.006907	0.00903979	0.0116868	0.0086318	0.00703649	0.0114305	0.0148696	0.0111472	0.0113633	0.0104454	0.00792929	0.011053	0.0143603	0.0150379	0.0212014	0.0271404	0.0237952	0.0343277	0.0331078	0.0248199	0.0256547	0.0237491	0.0264346	0.0326635	0.0302727	0.0371288	0.0339342	0.0193702	0.0176116	0.0211387	0.0121526	0.0166901	0.0137975	0.013716	0.019017	0.0189021	0.0106145	0.0199167	0.0101611	0.00858135	0.00941494	0.00458103	0.00777632	0.0101594	0.0130967	0.0167245	0.0160624	0.0221453	0.0209221	0.0383165	0.0654306
à	0.00771436	0.00729941	0.00431716	0.0043698	0.0054505	0.00301414	0.00340203	0.0038043	0.00391071	0.00463462	0.00586521	0.0151539	0.00913999	0.0116999	0.0125044	0.0151313	0.00821195	0.0115421	0.00937417	0.0178965	0.0217038	0.0219173	0.0204126	0.0196649	0.0202294	0.0289513	0.0337969	0.0279479	0.0221037	0.0387935	0.0338816	0.0272193	0.0164821	0.010676	0.017803	0.00820456	0.00835607	0.00828116	0.00912344	0.00876244	0.00885768	0.010376	0.0132179	0.0120146	0.00973148	0.00980718	0.00934011	0.0264071	0.0298955	0.032423	0.0294265	0.0320618	0.0354204	0.0400423	0.0576546	0.0745763
droite	0.0094649	0.0090428	0.00801577	0.00951097	0.00867183	0.00736642	0.00790427	0.0101516	0.00871093	0.0085327	0.015591	0.0406789	0.0303901	0.0253324	0.0272469	0.0208711	0.0112193	0.011393	0.0113816	0.0112184	0.0133483	0.0113658	0.0112268	0.00981188	0.00979635	0.0133856	0.014884	0.0125236	0.0098002	0.0191352	0.0200858	0.0187969	0.0106031	0.00783084	0.013234	0.00773283	0.00867446	0.00950058	0.00856843	0.00872413	0.00890472	0.00859104	0.0109799	0.0114055	0.0091248	0.0116027	0.0113284	0.0238948	0.0390137	0.0392035	0.0348893	0.0412883	0.0438799	0.0536552	0.0607833	0.0597313
</S>	0.0155302	0.0123348	0.0125307	0.0124957	0.0131881	0.0120521	0.0115882	0.0135275	0.0140116	0.0158628	0.00883335	0.0165289	0.0124578	0.0150513	0.0228658	0.0345937	0.0213953	0.020957	0.0186421	0.0199002	0.0198451	0.0197991	0.0209939	0.0202208	0.0173244	0.0180508	0.0166526	0.0185342	0.0184855	0.0207605	0.0222052	0.017371	0.015571	0.0149735	0.0144191	0.0121405	0.0113748	0.0119289	0.0139555	0.0135667	0.0136128	0.0129764	0.0159254	0.0122458	0.0131728	0.0116973	0.00554248	0.0122669	0.0120617	0.0172735	0.0199662	0.0273488	0.025638	0.0419731	0.0469742	0.0488041
