 	a23	a87	a99	a83	a62	a21	a61	a75	a25	a44	a25	a56	a90	a25	a56	a75	a43	a0	a83	a9	a87	a3	a87	a23	a10	a87	</S>
je	0.0601255	0.0575437	0.0567678	0.0690145	0.0314386	0.0327186	0.0171646	0.0227647	0.0159465	0.0161283	0.0191793	0.0113762	0.00938274	0.00970219	0.0112851	0.00976791	0.00662152	0.0153616	0.0281191	0.0573897	0.0574747	0.0659925	0.0645469	0.0629803	0.0477416	0.0444516	0.0990142
m'	0.0379828	0.0317767	0.0444626	0.0955619	0.0705857	0.0920629	0.0819189	0.08215	0.0345344	0.0192764	0.0094602	0.00987945	0.0155943	0.00823333	0.0159227	0.0278849	0.0281145	0.0209871	0.023395	0.0407037	0.0258309	0.0189213	0.0410716	0.0413549	0.0247563	0.027259	0.0303184
en	0.0241351	0.0223478	0.0280723	0.0386037	0.0164221	0.0259022	0.0104509	0.0110692	0.00671082	0.00331537	0.00225458	0.00193841	0.00210729	0.0013896	0.00401291	0.00709872	0.00905574	0.0151019	0.0286956	0.0386197	0.048696	0.0899751	0.097261	0.0943464	0.0943555	0.146249	0.131813
vais	0.0246951	0.0109769	0.0106688	0.00824758	0.0124591	0.0184958	0.0309056	0.0701058	0.100267	0.158691	0.170301	0.185249	0.0592283	0.0331698	0.0196751	0.0133911	0.0111646	0.0105961	0.0146601	0.00710627	0.00794816	0.0065573	0.00611277	0.00311824	0.00265098	0.00188892	0.0016706
prendre	0.134009	0.0498183	0.0623371	0.0285524	0.022367	0.011845	0.0152246	0.0325371	0.0251917	0.034284	0.0241619	0.0159411	0.00858322	0.00878872	0.0118531	0.0143243	0.0159514	0.0342604	0.0280704	0.031315	0.045119	0.040933	0.0509473	0.0627494	0.0703162	0.0613029	0.0592165
un	0.035612	0.0210479	0.0270586	0.0244993	0.0177112	0.0197089	0.0147365	0.013749	0.0122934	0.00942134	0.00766706	0.00319331	0.00489372	0.00734431	0.0153712	0.0231182	0.0309984	0.0527273	0.0474256	0.0584068	0.0928503	0.0678243	0.0694533	0.0684508	0.091803	0.0852697	0.0773647
bain	0.051378	0.0263173	0.0360733	0.0331045	0.0350308	0.0343482	0.0480423	0.041531	0.0344049	0.029508	0.020849	0.00586341	0.00633859	0.00769245	0.00874375	0.0122595	0.00922109	0.0212058	0.0267422	0.0239481	0.0497734	0.0661274	0.0946843	0.0818735	0.0651245	0.0716744	0.0581403
de	0.0588753	0.0279583	0.035524	0.0301365	0.0228346	0.0298046	0.0168643	0.0100463	0.008838	0.00989096	0.00844603	0.00322839	0.0026219	0.00293261	0.00376277	0.00747941	0.0125067	0.0410993	0.033013	0.0523947	0.0816396	0.0764636	0.0932663	0.106761	0.0883165	0.0853259	0.0499695
soleil	0.0329205	0.0157793	0.0206325	0.0137231	0.0110597	0.007098	0.00593086	0.00670931	0.0052042	0.00540594	0.00448104	0.00252213	0.00391953	0.00445807	0.00552118	0.0135488	0.0285593	0.0455182	0.0488581	0.0702249	0.0802579	0.0730749	0.1121	0.0994178	0.0932861	0.105074	0.0847143
</S>	0.04074	0.0189212	0.0242904	0.0131531	0.00954021	0.00534848	0.00530122	0.00761484	0.0075058	0.00632404	0.00496392	0.00229761	0.0045629	0.00525723	0.00983649	0.0153593	0.0162139	0.0271127	0.0411043	0.0352573	0.0461747	0.0577114	0.117402	0.0929533	0.0997125	0.130543	0.154798
