 	a66	a87	a23	a38	a54	a47	a98	a79	a56	a44	a37	a21	a75	a25	a79	a76	a98	a79	a7	a69	a4	a58	a82	a10	a87	a23	a87	</S>
cet	0.0328927	0.0395205	0.045879	0.05668	0.0818682	0.0636927	0.0824657	0.061776	0.0567181	0.044167	0.0412566	0.0192319	0.0375443	0.0241013	0.0163476	0.0141461	0.0059891	0.00772763	0.00793331	0.00903603	0.0277032	0.0296314	0.0289363	0.0223066	0.0153648	0.0306112	0.0246759	0.071797
enfant	0.00271405	0.00295683	0.00361198	0.00438873	0.00636459	0.0123738	0.0451894	0.0562093	0.0623358	0.111286	0.144661	0.192879	0.0804899	0.0664927	0.0727097	0.0662927	0.0103468	0.0255153	0.00748463	0.00504618	0.0075191	0.00106412	0.00312876	0.000719223	0.000870661	0.00189789	0.00278854	0.00266399
a	0.0702567	0.0773111	0.0532234	0.0543767	0.0533186	0.0574215	0.080182	0.0305596	0.0269759	0.0261112	0.0171297	0.0417201	0.030503	0.0195359	0.0242763	0.014016	0.00691875	0.0135865	0.0144853	0.007498	0.0227752	0.00968456	0.0288096	0.0190402	0.0318218	0.0343557	0.0721825	0.0619243
marché	0.0512093	0.0419657	0.0282956	0.0253731	0.0194973	0.013704	0.0167358	0.012676	0.0152653	0.0214631	0.0265255	0.026249	0.0256813	0.0350015	0.0808976	0.0315683	0.0237594	0.0311136	0.0362914	0.055667	0.0626965	0.0414681	0.0467743	0.0437086	0.0312464	0.0432074	0.0359629	0.0759961
sur	0.0669629	0.0776986	0.0911814	0.0723681	0.0819201	0.0514268	0.0285628	0.0241887	0.0191927	0.0109272	0.0148142	0.00995103	0.0176838	0.0261472	0.0594461	0.0148207	0.0169244	0.0173002	0.0136174	0.0241485	0.0237746	0.0255534	0.0273084	0.0366232	0.0374568	0.0415114	0.0325435	0.0359459
l'	0.0613711	0.0608738	0.0562333	0.0547958	0.0458981	0.0298459	0.0402456	0.0208741	0.0192427	0.0214246	0.0196127	0.0211406	0.0153622	0.0111474	0.00946242	0.00852882	0.00937071	0.0101938	0.0173199	0.0338323	0.0347069	0.0462239	0.0694421	0.0815484	0.0679005	0.0398351	0.026493	0.0670743
épine	0.0462198	0.0472768	0.0424844	0.0476175	0.0449745	0.0478912	0.0655089	0.040859	0.0411046	0.0571513	0.0398871	0.0466261	0.0333585	0.0279605	0.0253099	0.0159357	0.0118397	0.013003	0.0159383	0.0302658	0.0424829	0.0342891	0.0413498	0.0330551	0.0323891	0.0274261	0.0199524	0.0278424
dans	0.0650154	0.0628789	0.063184	0.062395	0.071206	0.0630771	0.0484558	0.0499344	0.0414099	0.0259168	0.0177567	0.0214649	0.0119723	0.00998562	0.0108489	0.0105845	0.0143469	0.0137656	0.0106844	0.0271124	0.0331005	0.0325416	0.0455691	0.0433935	0.0416266	0.0319482	0.0242509	0.0455742
la	0.0273953	0.0281287	0.030395	0.0499011	0.0561504	0.0606919	0.0562335	0.0530045	0.0517637	0.0360883	0.0318199	0.0323909	0.0186203	0.0136405	0.0121541	0.00871793	0.00609188	0.00499691	0.00603062	0.0143698	0.0250341	0.0371248	0.0752669	0.0405917	0.0392522	0.036689	0.0289288	0.118527
forêt	0.0233625	0.0245045	0.0221453	0.0398833	0.0434996	0.0623613	0.0459191	0.0621754	0.0469826	0.0552103	0.0400059	0.0382779	0.0281558	0.0180399	0.0126287	0.00741194	0.00536931	0.00586781	0.00562218	0.0140689	0.0231313	0.0219899	0.0667269	0.0464069	0.0426806	0.0517938	0.0524452	0.0933334
</S>	0.0357488	0.0353235	0.0361293	0.0466989	0.0609168	0.0527534	0.0385748	0.0405936	0.0277387	0.0175688	0.0153731	0.0144187	0.0162796	0.0077725	0.00435766	0.00195823	0.00276928	0.00266562	0.00292229	0.0089991	0.013194	0.0354131	0.0634591	0.0715807	0.0847815	0.0732934	0.0580337	0.130682
